證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本合計,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）,　　 備供出售金融資產未實現評價損益,　　 與其他綜合損益組成部分相關之所得稅
1530,2013年第3季,,                720010,,                559981,                160029,,                    927,                160956,,,                 64806,,                 25349,,                 17995,                108150,                 52806,,,                  2550,,                -10376,,                  4246,,                    775,                -11297,                 41509,,                  7396,                 34113,                 34113,,,,,,                 -5427,                 28686,,                 34113,                              0,,                 28686,                              0,,                              0.37,,                              0.37,,,,,,                 -5427,,,,,,,,
1530,2013年第2季,,                797501,,                638848,                158653,,                  1561,                160214,,,                 60491,,                 25503,,                 14543,                100537,                 59677,,,                  2235,,                 17558,,                  3825,,                    -10,                 15958,                 75635,,                 25797,                 49838,                 49838,,,,,,                  7536,                 57374,,                 49838,                              0,,                 57374,                              0,,                              0.54,,                              0.54,,,,,,                  7536,,,,,,,,
1530,2013年度,,              2992668,,              2338565,                654103,,                  3503,                657606,,,                249165,,                111220,,                 63623,                424008,                233598,,,                 18928,,                 58103,,                 15942,,                  4252,                 65341,                298939,,                 62961,                235978,                235978,,,,,,                 33764,                269742,,                235978,                              0,,                269742,                              0,,                              2.57,,                              2.56,,,                 33700,                     64,,                              0,,,,,,,,
1530,2013年07月01日至2013年09月30日,,                720010,,                559981,                160029,                   -927,,                160956,,,                 64806,,                 25349,,                 17995,                108150,                 52806,,,                  2550,,                -10376,,                  4246,,                    775,                -11297,                 41509,,                  7396,                 34113,                 34113,,,,,,                 -5427,                 28686,,                 34113,                              0,,                 28686,                              0,,                              0.37,,                              0.37,,,                 -5427,,,,,,,,,,                              0,
1530,2013年04月01日至2013年06月30日,,                797501,,                638848,                158653,                 -1561,,                160214,,,                 60491,,                 25503,,                 14543,                100537,                 59677,,,                  2235,,                 17558,,                  3825,,                    -10,                 15958,                 75635,,                 25797,                 49838,                 49838,,,,,,                  7536,                 57374,,                 49838,                              0,,                 57374,                              0,,                              0.54,,                              0.54,,,                  9080,,,,,                797501,,,,,                              0,                  1544
1530,2013年01月01日至2013年12月31日,,              2992668,,              2338565,                654103,,                  3503,                657606,,,                249165,,                111220,,                 63623,                424008,                233598,,,                 18928,,                 58103,,                 15942,,                  4252,                 65341,                298939,,                 62961,                235978,                235978,,,,,,                 33764,                269742,,                235978,                              0,,                269742,                              0,,                              2.57,,                              2.56,,,                 33700,                     64,,,,,,,                              2.57,                              2.56,,
1530,2013年01月01日至2013年09月30日,,              2173598,,              1715468,                458130,,                   -643,                457487,,,                179152,,                 76547,,                 45830,                301529,                155958,,,                 16967,,                 39638,,                 11829,,                    729,                 45505,                201463,,                 45982,                155481,                155481,,,,,,                 26931,                182412,,                155481,                              0,,                182412,                              0,,                              1.69,,                              1.68,,,,,,                 26931,,,,,,,,
1530,2013年01月01日至2013年06月30日,,              1453588,,              1155487,                298101,,                 -1570,                296531,,,                114346,,                 51198,,                 27835,                193379,                103152,,,                 14417,,                 50014,,                  7583,,                    -46,                 56802,                159954,,                 38586,                121368,                121368,,,,,,                 32358,                153726,,                121368,                              0,,                153726,                              0,,                              1.32,,                              1.32,,,,,,                 32358,,,,,,,,
1530,2013年01月01日至2013年03月31日,,                656087,,                516639,                139448,,                 -3131,                136317,,,                 53855,,                 25695,,                 13292,                 92842,                 43475,,,                 12182,,                 32456,,                  3758,,                    -36,                 40844,                 84319,,                 12789,                 71530,                 71530,,,,,,                 24822,                 96352,,                 71530,                              0,,                 96352,                              0,,                              0.78,,,,,                 24822,,,,,                656087,,                516639,,,,
1530,2012年07月01日至2012年09月30日,,                977492,,                732646,                244846,                  3666,,                241180,,,                 91462,,                 19964,,                 16989,                128415,                112765,,,                 12426,,                 -8852,,                  4395,,                  2158,                  1337,                114102,,                 23793,                 90309,                 90309,,,,,,                 -9703,                 80606,,                 90309,                              0,,                 80606,                              0,,                              0.98,,                              0.98,,,                 -9703,,,,,,,,,,                              0,
1530,2012年04月01日至2012年06月30日,,                978303,,                759279,                219024,                  3027,,                215997,,,                 91362,,                 21207,,                 17722,                130291,                 85706,,,                  7825,,                    306,,                  4742,,                  3639,                  7028,                 92734,,                 16102,                 76632,                 76632,,,,,,                  2267,                 78899,,                 76632,                              0,,                 78899,                              0,,                              0.84,,                              0.84,,,                  2267,,,,,                978303,,,,,                              0,                              0
1530,2012年01月01日至2012年12月31日,,              3670290,,              2804424,                865866,,                 -8761,                857105,,,                325374,,                 99656,,                 70437,                495467,                361638,,,                 24067,,                -40469,,                 18427,,                  7803,                -27026,                334612,,                 68404,                266208,                266208,,,,,,                -24326,                241882,,                266208,                              0,,                241882,                              0,,                              2.90,,                              2.89,,,                -21368,                 -2958,,,,,,,                              2.90,                              2.89,,
1530,2012年01月01日至2012年09月30日,,              2875166,,              2186048,                689118,                  7740,,                681378,,,                255798,,                 64092,,                 52436,                372326,                309052,,,                 21793,,                -29495,,                 13774,,                  7854,                -13622,                295430,,                 61180,                234250,                234250,,,,,,                -23372,                210878,,                234250,                              0,,                210878,                              0,,                              2.55,,                              2.54,,,                -24364,,,,,,,,,,                    992,
1530,2012年01月01日至2012年06月30日,,              1897674,,              1453402,                444272,                  4074,,                440198,,,                164336,,                 44128,,                 35447,                243911,                196287,,,                  9367,,                -20643,,                  9379,,                  5696,                -14959,                181328,,                 37387,                143941,                143941,,,,,,                -13669,                130272,,                143941,                              0,,                130272,                              0,,                              1.57,,                              1.57,,,                -14661,,,,,              1897674,,,,,                    992,                              0
1530,2012年01月01日至2012年03月31日,,                919371,,                694123,                225248,                  1047,,                224201,,,                 72974,,                 22921,,                 17725,                113620,                110581,,,                  1542,,                -20949,,                  4637,,                  2057,                -21987,                 88594,,                 21285,                 67309,                 67309,,,,,,                -15936,                 51373,,                 67309,,,                 51373,,,                              0.73,,                              0.73,,,                -16928,,,,,                919371,,,,,                    992,                              0
