證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 利息費用,　　　 利息收入,　　　　 利息收入合計
6213,2014年01月01日至2014年03月31日,,              4899589,,              4329953,                569636,                569636,,,                124279,,                155370,,                 52800,                332449,                237187,,,                 24468,,                -15818,,                 14003,,                   -794,                 -6147,                231040,,                 86582,                144458,                144458,,,                120285,                -30243,                 20449,                 69593,                 69593,                214051,,                144458,,                214051,,                              0.44,                              0.44,,                              0.44,                              0.44,,,,,,,
6213,2013年第3季,,              4994624,,              4299900,                694724,                694724,,,                156487,,                107489,,                 57569,                321545,                373179,,,                 54257,,                 -8937,,                 18330,,                              0,                 26990,                400169,,                149122,                251047,                251047,,,,,,,                -82339,                168708,,                251047,,                168708,,                              0.77,                              0.77,,                              0.77,                              0.77,                -80385,                -15619,,                -13665,,,
6213,2013年第2季,,              4846118,,              4179573,                666545,                666545,,,                129773,,                 97799,,                 63845,                291417,                375128,,,                  9780,,                 22548,,                 12984,,                              0,                 19344,                394472,,                277951,                116521,                116521,,,,,,,                112685,                229206,,                116521,,                229206,,                              0.36,                              0.36,,                              0.36,                              0.36,                134608,                    960,,                 22883,,,
6213,2013年度,,             19734932,,             17142549,              2592383,              2592383,,,                505660,,                464922,,                238241,              1208823,              1383560,,,                101321,,                 53109,,                 59973,,                 -2698,                 91759,              1475319,,                658335,                816984,                816984,,,,,,,                421492,              1238476,,                816984,,              1238476,,                              2.52,                              2.52,,                              2.51,                              2.51,                399211,                 86901,                  3246,                 67866,,,
6213,2013年07月01日至2013年09月30日,,              4994624,,              4299900,                694724,                694724,,,                156487,,                107489,,                 57569,                321545,                373179,,,                  1254,,                 44066,,                 18330,,,                 26990,                400169,,                149122,                251047,                251047,,,,,,,                -82339,                168708,,                251047,,                168708,,                              0.77,                              0.77,,                              0.77,                              0.77,                -80385,                -15619,,                -13665,,,                  1254
6213,2013年04月01日至2013年06月30日,,              4846118,,              4179573,                666545,                666545,,,                129773,,                 97799,,                 63845,                291417,                375128,,,                  3796,,                 28532,,                 12984,,,                 19344,                394472,,                277951,                116521,                116521,,,,,,,                112685,                229206,,                116521,,                229206,,                              0.36,                              0.36,,                              0.36,                              0.36,                134608,                    960,,                 22883,                 12984,,                  3796
6213,2013年01月01日至2013年12月31日,,             19734932,,             17142549,              2592383,              2592383,,,                505660,,                464922,,                238241,              1208823,              1383560,,,                 11208,,                143222,,                 59973,,                 -2698,                 91759,              1475319,,                658335,                816984,                816984,,,,,,,                421492,              1238476,,                816984,,              1238476,,                              2.52,                              2.52,,                              2.51,                              2.51,                399211,                 86901,                  3246,                 67866,,,                 11208
6213,2013年01月01日至2013年09月30日,,             14799397,,             12834061,              1965336,              1965336,,,                374350,,                302386,,                172124,                848860,              1116476,,,                 74552,,                 22525,,                 46499,,                              0,                 50578,              1167054,,                534104,                632950,                632950,,,,,,,                213847,                846797,,                632950,,                846797,,                              1.95,                              1.95,,                              1.94,                              1.94,                280860,                -19322,,                 47691,,,
6213,2013年01月01日至2013年06月30日,,              9804773,,              8534161,              1270612,              1270612,,,                217863,,                194897,,                114555,                527315,                743297,,,                 20295,,                 31462,,                 28169,,                              0,                 23588,                766885,,                384982,                381903,                381903,,,,,,,                296186,                678089,,                381903,,                678089,,                              1.18,                              1.18,,                              1.17,                              1.17,                361245,                 -3703,,                 61356,,,
6213,2013年01月01日至2013年03月31日,,              4958655,,              4354588,                604067,                604067,,,                 88090,,                 97098,,                 50710,                235898,                368169,,,                 10515,,                  8914,,                 15185,,                              0,                  4244,                372413,,                107031,                265382,                265382,,,,,,,                183501,                448883,,                265382,,                448883,,                              0.82,                              0.82,,                              0.81,                              0.81,                188164,                 -4663,,                              0,                 15185,,
6213,2012年07月01日至2012年09月30日,,              4817792,,              4132515,                685277,                685277,,,                107852,,                122359,,                 54192,                284403,                400874,,,                  1449,,                 75982,,                 22045,,,                 55386,                456260,,                 89555,                366705,                366705,,,,,,,               -159401,                207304,,                366705,,                207304,,                              1.13,                              1.13,,                              1.13,                              1.13,               -163626,                  4225,,                              0,,,                  1449
6213,2012年04月01日至2012年06月30日,,              5082950,,              4431237,                651713,                651713,,,                132739,,                104289,,                 47869,                284897,                366816,,,                  1692,,                 45956,,                 20784,,,                 26864,                393680,,                118292,                275388,                275388,,,,,,,                 23925,                299313,,                275388,,                299313,,                              0.85,                              0.85,,                              0.84,                              0.84,                 61956,                -38031,,                              0,                 20784,,                  1692
6213,2012年01月01日至2012年12月31日,,             19320612,,             16806143,              2514469,              2514469,,,                439611,,                451055,,                208050,              1098716,              1415753,,,                  6588,,                151719,,                 83716,,                              0,                 74591,              1490344,,                408218,              1082126,              1082126,,,,,,,               -238443,                843683,,              1082126,,                843683,,                              3.34,                              3.34,,                              3.31,                              3.31,               -284301,                 42512,                  3346,                              0,,,                  6588
6213,2012年01月01日至2012年09月30日,,             14783930,,             12815901,              1968029,              1968029,,,                328562,,                333697,,                136694,                798953,              1169076,,,                  4778,,                137475,,                 67568,,,                 74685,              1243761,,                335035,                908726,                908726,,,,,,,               -199596,                709130,,                908726,,                709130,,                              2.80,                              2.80,,                              2.78,                              2.78,               -273047,                 73451,,                              0,,,                  4778
6213,2012年01月01日至2012年06月30日,,              9966138,,              8683386,              1282752,              1282752,,,                220710,,                211338,,                 82502,                514550,                768202,,,                  3329,,                 61493,,                 45523,,,                 19299,                787501,,                245480,                542021,                542021,,,,,,,                -40195,                501826,,                542021,,                501826,,                              1.67,                              1.67,,                              1.66,                              1.66,               -109421,                 69226,,                              0,                 45523,,                  3329
6213,2012年01月01日至2012年03月31日,,              4883188,,              4252149,                631039,                631039,,,                 87971,,                107049,,                 34633,                229653,                401386,,,                  1637,,                 15537,,                 24739,,,                 -7565,                393821,,                127188,                266633,                266633,,,,,,,                -64120,                202513,,                266633,,                202513,,                              0.82,                              0.82,,                              0.81,                              0.81,               -171377,                107257,,,                 24739,,                  1637
