證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 未實現銷貨（損）益,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　　 外幣兌換損失,　　　 減損損失,　　　　 減損損失合計
3022,2014年01月01日至2014年03月31日,,,,              1261756,                  7899,              1253857,              1253857,,,                853784,                853784,                400073,                    -41,                400032,,,                 98426,,                104682,,                119245,                322353,                 77679,,,,                 42289,                 24389,                 66678,,                126351,                 22984,                  5773,                 16531,                  9701,                161938,,                 19108,,                125573,                335081,                412760,,                 40760,                372000,                372000,,,                 46014,                 10441,,                  3642,                 60097,                 60097,                432097,,                372000,                              0,,                432097,                              0,,                              1.13,,                              1.12,,,,,,,,,,
3022,2013年第3季,,,,              1138345,                 11892,              1126453,              1126453,,,                778269,                778269,                348184,                   -476,                347708,,,                 64273,,                 70758,,                112687,                247718,                 99990,,,,                 81723,                117611,                199334,,                    587,                  3830,                 -2551,                 16625,                    255,                 18236,,                 10554,,                 92258,                299274,                399264,,                 71652,                327612,                327612,,,,,,,,                -33546,                294066,,                329077,                 -1465,,                295531,                 -1465,,                              1.06,,                              1.05,,                -30354,                 -2857,,,                   -335,,,,
3022,2013年第2季,,,,              1284915,                  7938,              1276977,              1276977,,,                826301,                826301,                450676,                     91,                450767,,,                 78828,,                114060,,                100840,                293728,                157039,,,,                 24376,                 22128,                 46504,,                    649,                    215,                  2215,                  3558,                    959,                  5678,,                  6459,,                113337,                159060,                316099,,                 88966,                227133,                227133,,,,,,,,                 47212,                274345,,                228866,                 -1733,,                276078,                 -1733,,                              0.74,,                              0.73,,                 51362,                 -3617,,,                   -533,,,,
3022,2013年度,,,,              4927017,                 36601,              4890416,              4890416,,,              3323190,              3323190,              1567226,                   -109,              1567117,,,                300481,,                411996,,                442971,              1155448,                411669,,,,                190793,                217539,                408332,,                  9350,                  8729,                 92672,                 49464,                  7717,                152498,,                 50820,,                450527,                960537,              1372206,,                256338,              1115868,              1115868,,,,,,,,                157324,              1273192,,              1120849,                 -4981,,              1278173,                 -4981,,                              3.41,,                              3.36,,                148391,                 -8030,                  2928,,                 14533,                    498,,,
3022,2013年07月01日至2013年09月30日,,,,              1684543,                 11892,              1672651,              1672651,,,              1324467,              1324467,                348184,                   -476,                347708,,,                 64273,,                 70758,,                112687,                247718,                 99990,,,,                 81723,                134236,                215959,,                    587,                  3830,                              0,,                    255,                  1611,,                 10554,,                 92258,                299274,                399264,,                 71652,                327612,                327612,,,,,,,,                -33546,                294066,,                329077,                 -1465,,                295531,                 -1465,,                              1.12,,                              1.10,,                -30354,                 -2857,,,                   -335,,                  2551,,                              0
3022,2013年04月01日至2013年06月30日,,,,              1430764,                  7938,              1422826,              1422826,,,                972150,                972150,                450676,                     91,                450767,,,                 78828,,                114060,,                100840,                293728,                157039,,,,                 24376,                 25686,                 50062,,                    649,                    215,                  2215,,                    959,                  2120,,                  6459,,                113337,                159060,                316099,,                 88966,                227133,                227133,,,,,,,,                 47212,                274345,,                228866,                 -1733,,                276078,                 -1733,,                              0.78,,                              0.76,,                 51362,                 -3617,,,                   -533,,                              0,,                              0
3022,2013年01月01日至2013年12月31日,,,,              4927017,                 36601,              4890416,              4890416,,,              3323190,              3323190,              1567226,                   -109,              1567117,,,                211066,,                501411,,                442971,              1155448,                411669,,,,                190793,                217539,                408332,,                  9350,                  8729,                 92672,                 49464,                  7717,                152498,,                 50820,,                450527,                960537,              1372206,,                256338,              1115868,              1115868,,,,,,,,                157324,              1273192,,              1120849,                 -4981,,              1278173,                 -4981,,                              3.62,,                              3.56,,                148391,                 -8030,                  2928,,                 14533,                    498,                              0,,                              0
3022,2013年01月01日至2013年09月30日,,,,              3698187,                 28081,              3670106,              3670106,,,              2448772,              2448772,              1221334,                   -297,              1221037,,,                221504,,                293473,,                325665,                840642,                380395,,,,                114719,                168644,                283363,,                 10251,                  6743,                 23800,                 21105,                  1825,                 60074,,                 18519,,                337568,                662486,              1042881,,                205029,                837852,                837852,,,,,,,,                 97446,                935298,,                841050,                 -3198,,                938496,                 -3198,,                              2.72,,                              2.66,,                 99767,                 -7269,,,                  4948,,,,
3022,2013年01月01日至2013年06月30日,,,,              2559842,                 16189,              2543653,              2543653,,,              1670503,              1670503,                873150,                    179,                873329,,,                157231,,                222715,,                212978,                592924,                280405,,,,                 32996,                 51033,                 84029,,                  9664,                  2913,                 26351,                  4480,                  1570,                 41838,,                  7965,,                245310,                363212,                643617,,                133377,                510240,                510240,,,,,,,,                130992,                641232,,                511973,                 -1733,,                642965,                 -1733,,                              1.65,,                              1.63,,                130121,                 -4412,,,                  5283,,,,
3022,2013年01月01日至2013年03月31日,,,,              1274927,                  8251,              1266676,              1266676,,,                844202,                844202,                422474,                     88,                422562,,,                 78403,,                108655,,                112138,                299196,                123366,,,,                  8620,                 28905,                 37525,,                  9015,                  2698,                 24136,                    922,                    611,                 36160,,                  1506,,                131973,                204152,                327518,,                 44411,                283107,                283107,,,,,,,,                 83780,                366887,,                283107,                              0,,                366887,                              0,,                              0.91,,                              0.90,                              0,                 78759,                   -795,,,                  5816,,,,
3022,2012年07月01日至2012年09月30日,,,,              1647185,                 19251,              1627934,              1627934,,,              1110121,              1110121,                517813,                    -24,                517789,,,                100865,,                102871,,                110691,                314427,                203362,,,,                  6586,                 42533,                 49119,,                    598,                     33,                              0,,                  2266,                -15167,,                  2120,,                115694,                147526,                350888,,                 41496,                309392,                309392,,,,,,,,                -56410,                252982,,                309392,                              0,,                252982,                              0,,                              1.05,,                              1.04,,                -58724,                  1215,,,                  1099,,                 13532,,                              0
3022,2012年04月01日至2012年06月30日,,,,              1385090,                 14004,              1371086,              1371086,,,                886860,                886860,                484226,                     26,                484252,,,                 81499,,                102784,,                125941,                310224,                174028,,,,                 17777,                 48111,                 65888,,                    531,                  8845,                              0,,                              0,                -30791,,                  1308,,                103015,                136804,                310832,,                 13918,                296914,                296914,,,,,,,,                 13598,                310512,,                296914,                              0,,                310512,                              0,,                              1.01,,                              0.99,,                 21608,                -14989,,,                  6979,,                 38810,,                  1357
3022,2012年01月01日至2012年12月31日,,,,              5581540,                 69175,              5512365,              5512365,,,              3662665,              3662665,              1849700,                     59,              1849759,,,                304165,,                423743,,                507927,              1235835,                613924,,,,                 64647,                105035,                169682,,                 27944,                 19288,                              0,                  2276,                  1445,                -86739,,                 14660,,                403161,                471444,              1085368,,                 77147,              1008221,              1008221,,,,,,,,               -122598,                885623,,              1008221,                              0,,                885623,                              0,,                              3.26,,                              3.20,,               -103617,                -18727,                 -2139,,                  1522,                   -363,                 86545,,                 48257
3022,2012年01月01日至2012年09月30日,,,,              4169275,                 41932,              4127343,              4127343,,,              2709309,              2709309,              1418034,                     43,              1418077,,,                249807,,                302116,,                352124,                904047,                514030,,,,                 42160,                 99862,                142022,,                 21146,                 17204,                              0,,                  2620,                -28248,,                  8780,,                317429,                422423,                936453,,                 82576,                853877,                853877,,,,,,,,               -109216,                744661,,                853877,                              0,,                744661,                              0,,                              2.90,,                              2.85,,               -100818,                -11963,,,                  3565,,                 62570,,                  1408
3022,2012年01月01日至2012年06月30日,,,,              2522090,                 22681,              2499409,              2499409,,,              1599188,              1599188,                900221,                     67,                900288,,,                148942,,                199245,,                241433,                589620,                310668,,,,                 35574,                 57415,                 92989,,                 20548,                 17171,                              0,,                    354,                -13167,,                  6660,,                201735,                274897,                585565,,                 41080,                544485,                544485,,,,,,,,                -52806,                491679,,                544485,                              0,,                491679,                              0,,                              1.85,,                              1.81,,                -42094,                -13178,,,                  2466,,                 49038,,                  1494
3022,2012年01月01日至2012年03月31日,,,,              1137000,                  8677,              1128323,              1128323,,,                712328,                712328,                415995,                     41,                416036,,,                 67443,,                 96461,,                115492,                279396,                136640,,,,                 17797,                  9670,                 27467,,                 20017,                  8326,                              0,,                    720,                 17258,,                  5352,,                 98720,                138093,                274733,,                 27162,                247571,                247571,,,,,,,,                -66404,                181167,,                247571,                              0,,                181167,                              0,,                              0.84,,                              0.82,,                -63702,                  1811,,,                 -4513,,                 10228,,                    137
