證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 勞務收入,　　　 勞務收入合計,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　 與待出售非流動資產直接相關之權益,　　　 可能重分類至損益之其他項目,　　　 其他收入－其他,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 銷貨成本,　　　 銷貨成本合計,　　 其他營業成本
3583,2014年01月01日至2014年03月31日,,,                536756,,                  9953,,                    921,                547630,,                384744,                162886,                162886,,,                 83482,,                 40289,,                 35946,                159717,                  3169,,,                  5277,,                  8293,,                    292,,                  2507,,                 -1254,                 10101,                 13270,,                  7742,                  5528,                  5528,,,                  3209,,                    111,                  1531,                  1789,                  1789,                  7317,,                  5528,,,,                  7317,,,,                              0.07,                              0.07,,                              0.07,                              0.07,,,,,,,,,,,,,,,
3583,2013年第3季,,,                733398,,                 21700,,                 20777,                775875,,                507466,                268409,                268409,,,                 82828,,                 31538,,                 32318,                146684,                121725,,,                   -181,,                -13637,,,,                  2810,,                 -4348,                -20976,                100749,,                 22692,                 78057,                 78057,,,,,,,,                 -2501,                 75556,,                 78057,,,,                 75556,,,,                              0.96,                              0.96,,                              0.96,                              0.96,,,,,,,                 -2501,,,,                              0,                              0,,,
3583,2013年第2季,,,                738746,,                 18738,,                 10125,                767609,,                539518,                228091,                228091,,,                 91781,,                 31512,,                 33115,                156408,                 71683,,,                  1359,,                   -250,,,,                  2878,,                    222,                 -1547,                 70136,,                 19606,                 50530,                 50530,,,,,,,,                  1110,                 51640,,                 50530,,,,                 51640,,,,                              0.62,                              0.62,,,,,,,,,,                  1110,,,,                              0,                              0,,,
3583,2013年度,,,              2961457,,                 66963,,                 39220,              3067640,,              2084703,                982937,                982937,,,                361163,,                137069,,                130970,                629202,                353735,,,                 10188,,                -15872,,,,                 11868,,                 -8383,                -25935,                327800,,                 78383,                249417,                249417,,,,,,,,                  6376,                255793,,                249417,,,,                255793,,,,                              3.13,                              3.13,,                              3.11,                              3.11,,,,,,                 10188,                  6616,                   -516,                    276,,,,,,
3583,2013年07月01日至2013年09月30日,,,                733398,,                 21700,,                 20777,                775875,,                507466,                268409,                268409,,,                 82828,,                 31538,,                 32318,                146684,                121725,,,                   -181,,                -13637,,,,                  2810,,                 -4348,                -20976,                100749,,                 22692,                 78057,                 78057,,,,,,,,                 -2501,                 75556,,                 78057,,,,                 75556,,,,                              0.96,                              0.96,,,,,,,,,                   -181,                 -2501,,,,,,,                507290,                    176
3583,2013年04月01日至2013年06月30日,,,                738747,,                 18738,,                 10124,                767609,,                539518,                228091,                228091,,,                 91864,,                 31512,,                 33032,                156408,                 71683,,,                  2018,,                   -250,,,,                  3537,,                    222,                 -1547,                 70136,,                 19606,                 50530,                 50530,,,,,,,,                  1110,                 51640,,                 50530,,,,                 51640,,,,                              0.62,                              0.62,,,,,,,,,,                  1110,,,,,,,                527361,                 12157
3583,2013年01月01日至2013年12月31日,,,              2961457,,                 66963,,                 39220,              3067640,,              2084703,                982937,                982937,,,                361163,,                137069,,                130970,                629202,                353735,,,                 10188,,                -15872,,,,                 11868,,                 -8383,                -25935,                327800,,                 78383,                249417,                249417,,,,,,,,                  6376,                255793,,                249417,,,,                255793,,,,                              3.13,                              3.13,,,,,,,,,                 10188,                   -198,                   -516,                    276,,                  6814,,,,
3583,2013年01月01日至2013年09月30日,,,              2069344,,                 55697,,                 31519,              2156560,,              1474828,                681732,                681732,,,                266048,,                 93777,,                 94346,                454171,                227561,,,                  9119,,                -10374,,,,                  9246,,                 -4126,                -14627,                212934,,                 50493,                162441,                162441,,,,,,,,                  4792,                167233,,                162441,,,,                167233,,,,                              2.05,                              2.05,,                              2.04,                              2.04,,,,,,,                  4792,,,,                              0,                              0,,,
3583,2013年01月01日至2013年06月30日,,,              1335946,,                 33997,,                 10742,              1380685,,                967362,                413323,                413323,,,                183220,,                 62239,,                 62028,                307487,                105836,,,                  9300,,                  3263,,,,                  6436,,                    222,                  6349,                112185,,                 27801,                 84384,                 84384,,,,,,,,                  7293,                 91677,,                 84384,,,,                 91677,,,,                              1.08,                              1.08,,,,,,,,,,                  7293,,,,                              0,                              0,,,
3583,2013年01月01日至2013年03月31日,,,                597200,,                 15259,,                    617,                613076,,                427844,                185232,                185232,,,                 91439,,                 30727,,                 28913,                151079,                 34153,,,                  7941,,                  3513,,,,                  3558,,                              0,                  7896,                 42049,,                  8195,                 33854,                 33854,,,,,,,,                  6183,                 40037,,                 33854,,,,                 40037,,,,                              0.45,                              0.45,,,,,,,,,,                  6183,,,,                              0,                              0,,,
3583,2012年07月01日至2012年09月30日,,,                647229,,                  5419,,                  4368,                657016,,                441022,                215994,                215994,,,                 66755,,                 30735,,                 24048,                121538,                 94456,,,                 16810,,                 -4097,,,,                  5494,,                              0,                  7219,                101675,,                 13787,                 87888,                 87888,,,,,,,,                 -5749,                 82139,,                 87888,,,,                 82139,,,,                              1.19,                              1.19,,,,,,,,,                 16810,                 -5749,,,,,,,                403536,                 37486
3583,2012年04月01日至2012年06月30日,,,                498005,,                 19415,,                  7573,                524993,,                328321,                196672,                196672,,,                101884,,                 28468,,                 33096,                163448,                 33224,,,                  6215,,                 -5416,,,,                  5785,,                              0,                 -4986,                 28238,,                 18250,                  9988,                  9988,,,,,,,,                  2643,                 12631,,                  9988,,,,                 12631,,,,                              0.13,                              0.13,,,,,,,,,,                  2643,,,,,,,                301510,                 26811
3583,2012年01月01日至2012年12月31日,,,              2174674,,                 60133,,                 17488,              2252295,,              1459020,                793275,                793275,,,                347989,,                110724,,                121304,                580017,                213258,,,                  2219,,                 18649,,,,                 21793,,                              0,                   -925,                212333,,                 34876,                177457,                177457,,,,,,,,                -13978,                163479,,                177457,,,,                163479,,,,                              2.40,                              2.40,,,,,,,,,                  2219,                              0,                 -7535,                  1281,,                 -7724,,,,
3583,2012年01月01日至2012年09月30日,,,              1592961,,                 34507,,                 15082,              1642550,,              1081817,                560733,                560733,,,                256055,,                 84074,,                 87771,                427900,                132833,,,                 27159,,                -17911,,,,                 17667,,                              0,                 -8419,                124414,,                 23804,                100610,                100610,,,,,,,,                 -6676,                 93934,,                100610,,,,                 93934,,,,                              1.36,                              1.36,,,,,,,,,                 27159,                 -6676,,,,,,,              1017488,                 64329
3583,2012年01月01日至2012年06月30日,,,                945732,,                 29088,,                 10714,                985534,,                640795,                344739,                344739,,,                189300,,                 53339,,                 63723,                306362,                 38377,,,                 10349,,                -13814,,,,                 12173,,                              0,                -15638,                 22739,,                 10017,                 12722,                 12722,,,,,,,,                   -927,                 11795,,                 12722,,,,                 11795,,,,                              0.17,                              0.17,,,,,,,,,,                   -927,,,,,,,                613952,                 26843
3583,2012年01月01日至2012年03月31日,,,                424628,,                  6432,,                 29481,                460541,,                312474,                148067,                148067,,,                 87416,,                 24871,,                 30627,                142914,                  5153,,,                  4134,,                 -8398,,,,                  6388,,,                -10652,                 -5499,,                 -8233,                  2734,                  2734,,,,,,,,                 -3570,                   -836,,                  2734,,,,                   -836,,,,                              0.04,                              0.04,,,,,,,,,,                 -3570,,,,,,,                312442,                     32
