證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
1309,2014年01月01日至2014年03月31日,,,              4363504,              4363504,,,              4369599,              4369599,                 -6095,                 -6095,,,                116483,,                 45755,,                  4969,                167207,               -173302,,,                 15978,,                -43088,,                 21359,                 21359,,                  1425,                -47044,               -220346,,                 -7486,               -212860,               -212860,,,                 18452,                -14523,,                 -5278,                  3137,                 -4486,                 -4486,               -217346,,               -212860,,               -217346,,                             -0.65,,                             -0.65,,,,,,,,
1309,2013年第3季,,,              5961926,              5961926,,,              5801822,              5801822,                160104,                160104,,,                118933,,                 46249,,                  5778,                170960,                -10856,,,                 16530,,                -10645,,                 12498,                 12498,,                  6162,                   -451,                -11307,,                 -3192,                 -8115,                 -8115,,,,,,,,,                  4143,                 -3972,,                 -8115,,                 -3972,,                             -0.02,,                             -0.02,,,                -15185,                 10554,,,                  6193,                 -2581
1309,2013年第2季,,,              5753362,              5753362,,,              5623172,              5623172,                130190,                130190,,,                113137,,                 43944,,                  5374,                162455,                -32265,,,                 39989,,                 49385,,                 15789,                 15789,,                 11463,                 85048,                 52783,,                    159,                 52624,                 52624,,,,,,,,,                 18664,                 71288,,                 52624,,                 71288,,                              0.16,,                              0.16,                              0,                              0,                 43823,                -18749,,,                  1180,                  7590
1309,2013年度,,,             21438961,             21438961,,,             20930084,             20930084,                508877,                508877,,,                477683,,                179333,,                 23209,                680225,               -171348,,,                101317,,                109900,,                 57197,                 57197,,                 32202,                186222,                 14874,,                 -2509,                 17383,                 17383,,,,,,,,,                 47866,                 65249,,                 17383,,                 65249,,                              0.05,,                              0.05,,,                115717,                -36560,                -20684,,                  5689,                 16296
1309,2013年07月01日至2013年09月30日,,,              5961926,              5961926,,,              5801822,              5801822,                160104,                160104,,,                118933,,                 46249,,                  5778,                170960,                -10856,,,                 16530,,                -10645,,                 12498,                 12498,,                  6162,                   -451,                -11307,,                 -3192,                 -8115,                 -8115,,,,,,,,,                  4143,                 -3972,,                 -8115,,                 -3972,,                             -0.02,,                             -0.02,,,                -15757,                 17319,,,,                 -2581
1309,2013年04月01日至2013年06月30日,,,              5753362,              5753362,,,              5623172,              5623172,                130190,                130190,,,                113137,,                 43944,,                  5374,                162455,                -32265,,,                 39989,,                 49385,,                 15789,                 15789,,                 11463,                 85048,                 52783,,                    159,                 52624,                 52624,,,,,,,,,                 18664,                 71288,,                 52624,,                 71288,,                              0.16,,                              0.16,                              0,                              0,                 45208,                -18954,,,,                  7590
1309,2013年01月01日至2013年12月31日,,,             21438961,             21438961,,,             20930084,             20930084,                508877,                508877,,,                477683,,                179333,,                 23209,                680225,               -171348,,,                101317,,                109900,,                 57197,                 57197,,                 32202,                186222,                 14874,,                 -2509,                 17383,                 17383,,,,,,,,,                 47866,                 65249,,                 17383,,                 65249,,                              0.05,,                              0.05,,,                115717,                -36560,                -20684,,                  5689,                 16296
1309,2013年01月01日至2013年09月30日,,,             16105050,             16105050,,,             15679027,             15679027,                426023,                426023,,,                333863,,                135897,,                 17263,                487023,                -61000,,,                 71555,,                 89112,,                 41938,                 41938,,                 26959,                145688,                 84688,,                -12182,                 96870,                 96870,,,,,,,,,                 40044,                136914,,                 96870,,                136914,,                              0.30,,                              0.30,,,                 81358,                -32435,,,                  5092,                 13971
1309,2013年01月01日至2013年06月30日,,,             10143124,             10143124,,,              9877205,              9877205,                265919,                265919,,,                214930,,                 89648,,                 11485,                316063,                -50144,,,                 55025,,                 99757,,                 29440,                 29440,,                 20797,                146139,                 95995,,                 -8990,                104985,                104985,,,,,,,,,                 35901,                140886,,                104985,,                140886,,                              0.32,,                              0.32,                              0,                              0,                 96543,                -42989,,,                 -1101,                 16552
1309,2013年01月01日至2013年03月31日,,,              4389762,              4389762,,,              4254033,              4254033,                135729,                135729,,,                101793,,                 45704,,                  6111,                153608,                -17879,,,                 15036,,                 50372,,                 13651,                 13651,,                  9334,                 61091,                 43212,,                 -9149,                 52361,                 52361,,,,,,,,,                 17237,                 69598,,                 52361,,                 69598,,                              0.16,,                              0.16,,,                 52720,                -24240,,,                 -2281,                  8962
1309,2012年07月01日至2012年09月30日,,,              5239108,              5239108,,,              4958486,              4958486,                280622,                280622,,,                123219,,                 73221,,                  6138,                202578,                 78044,,,                 25178,,                  1975,,                 17242,                 17242,,                  6406,                 16317,                 94361,,                 10213,                 84148,                 84148,,,,,,,,,                 18728,                102876,,                 84148,,                102876,,                              0.26,,                              0.26,,,                -37953,                 50350,,,,                 -6331
1309,2012年04月01日至2012年06月30日,,,              4753622,              4753622,,,              4841227,              4841227,                -87605,                -87605,,,                134360,,                 41486,,                  5930,                181776,               -269381,,,                 36471,,                 -5065,,                 16623,                 16623,,                  6886,                 21669,               -247712,,                -31330,               -216382,               -216382,,,,,,,,,                -43980,               -260362,,               -216382,,               -260362,,                             -0.66,,                             -0.66,                              0,                              0,                 11705,                -53729,,,,                  1956
1309,2012年01月01日至2012年12月31日,,,             18633595,             18633595,,,             17967789,             17967789,                665806,                665806,,,                489647,,                228347,,                 25572,                743566,                -77760,,,                 88757,,                -16387,,                 60951,                 60951,,                 27636,                 39055,                -38705,,                 -1040,                -37665,                -37665,,,,,,,,,                 -5920,                -43585,,                -37665,,                -43585,,                             -0.11,,                             -0.11,,,                -64567,                 54607,                 -8977,,                    375,                -12642
1309,2012年01月01日至2012年09月30日,,,             13879120,             13879120,,,             13457708,             13457708,                421412,                421412,,,                372500,,                152879,,                 18643,                544022,               -122610,,,                 76490,,                  7287,,                 49427,                 49427,,                 21454,                 55804,                -66806,,                -12885,                -53921,                -53921,,,,,,,,,                 12891,                -41030,,                -53921,,                -41030,,                             -0.16,,                             -0.16,,,                -70355,                 71526,,,,                -11720
1309,2012年01月01日至2012年06月30日,,,              8640012,              8640012,,,              8499222,              8499222,                140790,                140790,,,                249281,,                 79658,,                 12505,                341444,               -200654,,,                 51312,,                  5312,,                 32185,                 32185,,                 15048,                 39487,               -161167,,                -23098,               -138069,               -138069,,,,,,,,,                 -5837,               -143906,,               -138069,,               -143906,,                             -0.42,,                             -0.42,                              0,                              0,                -32402,                 21176,,,,                 -5389
1309,2012年01月01日至2012年03月31日,,,              3886390,              3886390,,,              3657995,              3657995,                228395,                228395,,,                114921,,                 38172,,                  6575,                159668,                 68727,,,                 14841,,                 10377,,                 15562,                 15562,,                  8162,                 17818,                 86545,,                  8232,                 78313,                 78313,,,,,,,,,                 38143,                116456,,                 78313,,                116456,,                              0.24,,                              0.24,,,                -44107,                 74905,,,,                 -7345
