證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　 不重分類至損益之項目,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之項目總額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 租賃收入,　　　 租賃收入合計
3519,2014年01月01日至2014年03月31日,,,,              3785691,                  2590,              3783101,              3783101,,              3589671,                193430,                193430,,,                 34742,,                106454,,                 22367,                163563,                 29867,,,                  6940,,                -98449,,                 54742,,                              0,               -146251,               -116384,,                 14400,               -130784,               -130784,,,                 37662,                -11350,,,                  5137,                 21175,                 21175,               -109609,,               -143277,,                 12493,,               -129547,,                 19938,,                             -0.39,,,                              0,                              0,,,,,,,,
3519,2013年第3季,,,,              3420907,                 19139,              3401768,              3401768,,              3697236,               -295468,               -295468,,,                 17810,,                104062,,                 21310,                143182,               -438650,,,                 12660,,                 66649,,                 71613,,                  5859,                 13555,               -425095,,                 19637,               -444732,               -444732,,,,,,,,,                -30476,               -475208,,               -449073,                              0,                  4341,,               -474088,                              0,                 -1120,,                             -1.36,,,,,                -27623,                 -6621,,,                              0,                 -3768,,
3519,2013年第2季,,,,              3218685,                  3967,              3214718,              3214718,,              3708704,               -493986,               -493986,,,                 14874,,                 97468,,                 12456,                124798,               -618784,,,                 15942,,                 83442,,                 78258,,                -14799,                  6327,               -612457,,                -25144,               -587313,               -587313,,,,,,,,,                109968,               -477345,,               -621922,                  2085,                 32524,,               -523263,                  2085,                 43833,,                             -1.91,,,,,                 58385,                 59586,,,,                  8003,,
3519,2013年度,,,,             13322845,                 64956,             13257889,             13257889,,             14795497,             -1537608,             -1537608,,,                 65970,,                391641,,                 99706,                557317,             -2094925,,,                 93947,,                -72083,,                275491,,                -13371,               -266998,             -2361923,,                 25199,             -2387122,             -2387122,,,,,,,,,                167960,             -2219162,,             -2428169,                 -3427,                 44474,,             -2290004,                 -3427,                 74269,,                             -7.26,,,,,                150708,                 34064,                 -3456,,                 -2774,                 10582,,
3519,2013年07月01日至2013年09月30日,,,,              3420907,                 19139,              3401768,              3401768,,              3697236,               -295468,               -295468,,,                 17810,,                104062,,                 21310,                143182,               -438650,,,                 12660,,                 66649,,                 71613,,                  5859,                 13555,               -425095,,                 19637,               -444732,               -444732,,,,,,,,,                -30476,               -475208,,               -449073,                              0,                  4341,,               -474088,                              0,                 -1120,,                             -1.36,,,,,                -27623,                 -6621,,,                              0,                 -3768,,
3519,2013年04月01日至2013年06月30日,,,,              3092301,                  3967,              3088334,              3088334,,              3597299,               -508965,               -508965,,,                 12919,,                 91729,,                  9449,                114097,               -623062,,,                 15452,,                 82800,,                 77484,,                -14799,                  5969,               -617093,,                -25144,               -591949,               -591949,,,,,,,,,                109968,               -481981,,               -621922,,                 29973,,               -523263,,                 41282,,                             -1.91,,,,,                 58385,                 59586,,,,                  8003,,
3519,2013年01月01日至2013年12月31日,,,,             13322845,                 64956,             13257889,             13257889,,             14795497,             -1537608,             -1537608,,,                 65970,,                391641,,                 99706,                557317,             -2094925,,,                 93947,,                -72083,,                275491,,                -13371,               -266998,             -2361923,,                 25199,             -2387122,             -2387122,,,,,,,,,                167960,             -2219162,,             -2428169,                 -3427,                 44474,,             -2290004,                 -3427,                 74269,,                             -7.26,,,,,                147934,                 34064,                 -3456,,,                 10582,,
3519,2013年01月01日至2013年09月30日,,,,              9457832,                 43550,              9414282,              9414282,,             10713862,             -1299580,             -1299580,,,                 48350,,                293089,,                 78894,                420333,             -1719913,,,                 41268,,                173666,,                207618,,                 -8940,                 -1624,             -1721537,,                 -5507,             -1716030,             -1716030,,,,,,,,,                106206,             -1609824,,             -1740646,                 -3427,                 28043,,             -1655185,                 -3427,                 48788,,                             -5.25,,,,,                105132,                  5690,,,                    982,                  5598,,
3519,2013年01月01日至2013年06月30日,,,,              6036925,                 24411,              6012514,              6012514,,              7016626,             -1004112,             -1004112,,,                 30540,,                189027,,                 57584,                277151,             -1281263,,,                 28608,,                107017,,                136005,,                -14799,                -15179,             -1296442,,                -25144,             -1271298,             -1271298,,,,,,,,,                136682,             -1134616,,             -1291573,                 -3427,                 23702,,             -1181097,                 -3427,                 49908,,                             -3.98,,,,,                133737,                 12311,,,,                  9366,,
3519,2013年01月01日至2013年03月31日,,,,              2818240,                 20444,              2797796,              2797796,,              3307922,               -510126,               -510126,,,                 15666,,                 91559,,                 45128,                152353,               -662479,,,                 12666,,                 23575,,                 57747,,,                -21506,               -683985,,                              0,               -683985,               -683985,,,,,,,,,                 26714,               -657271,,               -669651,                 -5512,                 -8822,,               -657834,                 -5512,                  6075,,                             -2.08,,,,,                 75352,                -47275,,,,                  1363,,                              0
3519,2012年07月01日至2012年09月30日,,,,              2051146,                  4287,              2046859,              2046859,,              2780460,               -733601,               -733601,,,                 16330,,                100351,,                 19850,                136531,               -870132,,,                 22091,,                 55267,,                 76676,,                  4940,                  5622,               -864510,,                -67924,               -796586,               -796586,,,,,,,,,               -155201,               -951787,,               -779233,                -13116,                 -4237,,               -923042,                -13116,                -15629,,                             -2.59,,,,,                -62842,               -101105,,,                              0,                 -8746,,
3519,2012年04月01日至2012年06月30日,,,,              2896562,                    681,              2895881,              2895881,,              3563199,               -667318,               -667318,,,                 20285,,                131385,,                 60837,                212507,               -879825,,,                 33073,,                 -4342,,                 80663,,                              0,                -51932,               -931757,,                -12648,               -919109,               -919109,,,,,,,,,                 46299,               -872810,,               -911040,,                 -8069,,               -868595,,                 -4215,,                             -3.13,,,,,                 19493,                 29466,,,,                  2660,,
3519,2012年01月01日至2012年12月31日,,,,             10621880,                 21498,             10600382,             10600382,,             13471417,             -2871035,             -2871035,,,                144263,,                473429,,                176104,                793796,             -3664831,,,                556680,,               -287998,,                301676,,                  4636,                -28358,             -3693189,,                -27175,             -3666014,             -3666014,,,,,,,,,                -67686,             -3733700,,             -3573240,                -38754,                -54020,,             -3620660,                -38754,                -74286,,                            -11.65,,,,,               -109571,                 35925,                -11111,,,                -17071,,
3519,2012年01月01日至2012年09月30日,,,,              8361760,                 19997,              8341763,              8341763,,             10439407,             -2097644,             -2097644,,,                 90077,,                377598,,                154671,                622346,             -2719990,,,                137842,,                 57671,,                227595,,                  4940,                -27142,             -2747132,,               -148581,             -2598551,             -2598551,,,,,,,,,                -64987,             -2663538,,             -2540773,                -25982,                -31796,,             -2585413,                -25982,                -52143,,                             -8.43,,,,,               -107773,                 27924,,,                              0,                -14862,,
3519,2012年01月01日至2012年06月30日,,,,              5719716,                 12682,              5707034,              5707034,,              7088384,             -1381350,             -1381350,,,                 46913,,                260194,,                130356,                437463,             -1818813,,,                110255,,                  3889,,                149349,,                              0,                -35205,             -1854018,,                -80657,             -1773361,             -1773361,,,,,,,,,                 90214,             -1683147,,             -1761540,,                -11821,,             -1662371,,                -20776,,                             -6.05,,,,,                -44931,                129029,,,,                 -6116,,
3519,2012年01月01日至2012年03月31日,,,,              2823154,                 12001,              2811153,              2811153,,              3525185,               -714032,               -714032,,,                 26628,,                128809,,                 69519,                224956,               -938988,,,                 77182,,                  8231,,                 68686,,,                 16727,               -922261,,                -68009,               -854252,               -854252,,,,,,,,,                 43915,               -810337,,               -850500,,                 -3752,,               -793776,,                -16561,,                             -3.13,,,,,                -64424,                 99563,,,,                 -8776,,
