證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 其他營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資利益,　　　 外幣兌換利益,　　　 處分不動產、廠房及設備損失,　　　 其他利益及損失淨額,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　　　 什項支出,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）
3694,2013年01月01日至2013年12月31日,,,              6377306,,                 27938,              6405244,,,              5552457,                  2635,              5555092,                850152,                850152,,,                307655,,                260223,,                569621,              1137499,               -287347,,,                  3180,,                    473,                 30318,                  2275,                 28516,,,,,,                 13184,,                              0,                 18512,               -268835,,                -10067,               -258768,               -258768,,,,,                 59398,               -199370,,               -258768,,               -199370,,                             -1.99,                             -1.99,,,,                 59455,                    -57
3694,2013年01月01日至2013年09月30日,,,              4671603,,                 18910,              4690513,,,              4068248,                  2384,              4070632,                619881,                619881,,,                243176,,                162250,,                426059,                831485,               -211604,,,                    669,,                  4935,                 14121,                  2341,                 16715,,                              0,,                              0,,                  9138,,                              0,                  8246,               -203358,,                -11343,               -192015,               -192015,,,,,                 42070,               -149945,,               -192015,,               -149945,,                             -1.48,                             -1.48,,,,                 42070,
3694,2013年01月01日至2013年06月30日,,,              2966233,,                 11961,              2978194,,,              2597965,                  1945,              2599910,                378284,                378284,,,                153547,,                108610,,                280700,                542857,               -164573,,,                  3915,,,                 25109,                     85,                 25024,,,,,,                  6379,,,                 22560,               -142013,,                -14850,               -127163,               -127163,,,,,                 52434,                -74729,,               -127163,,                -74729,,                             -0.98,                             -0.98,,,,                 52434,
3694,2013年01月01日至2013年03月31日,,,              1332400,,                  4656,              1337056,,,              1153310,                    514,              1153824,                183232,                183232,,,                 82099,,                 55298,,                128513,                265910,                -82678,,,                    875,,,                 16343,                     81,                 16262,,,,,,                  3388,,                              0,                 13749,                -68929,,                 -6526,                -62403,                -62403,,,,,                 30667,                -31736,,                -62403,,                -31736,,                             -0.48,                             -0.48,,,                             -0.48,                 30667,
3694,2012年07月01日至2012年09月30日,,,              2226257,,                 13215,              2239472,,,              1957898,                    295,              1958193,                281279,                281279,,,                 72085,,                 59894,,                148783,                280762,                    517,,,                  2671,,,                 -8801,                              0,                 -8801,,,,,,                  3703,,                              0,                 -9833,                 -9316,,                  9400,                -18716,                -18716,,,,,                -20881,                -39597,,                -18716,,                -39597,,                             -0.14,                             -0.14,,,,                -20881,
3694,2012年04月01日至2012年06月30日,,,              2506146,,                  5364,              2511510,,,              2188740,                     96,              2188836,                322674,                322674,,,                 64944,,                 56625,,                161376,                282945,                 39729,,,                  1569,,,                 -2012,                              0,                 -2012,,,,,,                  4743,,                   -380,                 -5566,                 34163,,                  1986,                 32177,                 32177,,,,,                  8096,                 40273,,                 32177,,                 40273,,                              0.25,                              0.25,,,,                  8096,
3694,2012年01月01日至2012年12月31日,,,              8257113,,                 36771,              8293884,,,              7280191,                  1143,              7281334,              1012550,              1012550,,,                282667,,                241113,,                590404,              1114184,               -101634,,,                 13347,,                              0,                -26858,                    114,                -26972,,,,,,                 17602,,                   -809,                -32036,               -133670,,                 -5384,               -128286,               -128286,,,,,                -33054,               -161340,,               -128286,,               -161340,,                             -1.00,                             -1.00,,,,                -32976,                    -78
3694,2012年01月01日至2012年09月30日,,,              6645460,,                 26409,              6671869,,,              5836546,                    633,              5837179,                834690,                834690,,,                217608,,                174246,,                435709,                827563,                  7127,,,                  4583,,,                -26792,                              0,                -26792,,,,,,                 12402,,                   -809,                -35420,                -28293,,                  5645,                -33938,                -33938,,,,,                -32272,                -66210,,                -33938,,                -66210,,                             -0.27,                             -0.27,,,,                -32272,
3694,2012年01月01日至2012年06月30日,,,              4419203,,                 13194,              4432397,,,              3878648,                    338,              3878986,                553411,                553411,,,                145523,,                114352,,                286926,                546801,                  6610,,,                  1912,,,                -17991,                              0,                -17991,,,,,,                  8699,,                   -809,                -25587,                -18977,,                 -3755,                -15222,                -15222,,,,,                -11391,                -26613,,                -15222,,                -26613,,                             -0.12,                             -0.12,,,,                -11391,
3694,2012年01月01日至2012年03月31日,,,              1913057,,                  7830,              1920887,,,              1689908,                    242,              1690150,                230737,                230737,,,                 80579,,                 57727,,                125550,                263856,                -33119,,,                    343,,,,,                -15979,,,,,,                  3956,,                   -429,                -20021,                -53140,,                 -5741,                -47399,                -47399,,,,,                -19487,                -66886,,                -47399,,                -66886,,                             -0.39,                             -0.39,,,                             -0.39,                -19487,
