證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　　 利息費用,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－國外營運機構財務報表換算之兌換差額
3049,2014年01月01日至2014年03月31日,,                852977,,                547593,                305384,                305384,,,                  5335,,                 21002,,                 15538,                 41875,                263509,,,                 13433,,                -17828,,                 70371,                -74766,                188743,,                              0,                188743,,                111418,                300161,,,                 11599,                              0,                 11599,                 11599,                311760,,                300161,,                311760,,                              0.21,                              0.13,                              0.34,,                              0.21,                              0.13,                              0.34,,,,,,,,,,,,,,,,,,
3049,2013年第3季,,              1502503,,                625809,                876694,                876694,,,                 16028,,                 89229,,                 12604,                117861,                775196,,,                 11653,,                 -7129,,                 83893,                -87807,                687389,,                              0,                687389,,               -418667,                268722,,,,,,                 -3294,                265428,,                269176,,                266000,,                              0.77,                             -0.46,                              0.31,,                              0.77,                             -0.46,                              0.31,,                 -8438,                 -3023,                              0,,,                   -271,,                   -454,                   -572,,              1502503,,                625809,,                 16363,                 83893,                   -271
3049,2013年第2季,,              1503902,,                815845,                688057,                688057,,,                 21308,,                 19773,,                 11937,                 53018,                629247,,,                  2693,,                 21440,,                 69075,                -54804,                574443,,                              0,                574443,,               -217655,                356788,,,,,,                  9524,                366312,,                357830,,                367002,,                              0.65,                             -0.25,                              0.40,,                              0.65,                             -0.25,                              0.40,,                 -9862,                  8554,                              0,,,                    970,,                 -1042,                   -690,,              1503902,,                815845,,                 -5792,                 69075,                    970
3049,2013年度,,              5150578,,              2983819,              2166759,              2166759,,,                 31642,,                202368,,                  1706,                235716,              1931043,,,                  9339,,                167332,,                304689,               -159674,              1771369,,                              0,              1771369,,             -1462030,                309339,,,,,,                  8394,                317733,,                311583,,                319977,,                              2.22,                             -1.87,                              0.35,,                              2.20,                             -1.85,                              0.35,,                -31656,                    785,                              0,                  6870,,                  1907,                  1168,                 -2244,                 -2244,,,,,,,,
3049,2013年07月01日至2013年09月30日,,              2098707,,              1578355,                520352,                520352,,,                 30763,,                 93000,,                 28371,                152134,                368218,,,                 21638,,                 -4553,,                 97187,                -88540,                279678,,                              0,                279678,,                -10956,                268722,,,,,,                 -3294,                265428,,                269176,,                266000,,                              0.32,                             -0.01,                              0.31,,                              0.31,                             -0.01,                              0.30,,                 -8438,                 -3023,,,,                   -271,,                   -454,                   -572,,              2098707,,              1578355,,,                 97187,
3049,2013年04月01日至2013年06月30日,,              3238983,,              2520139,                718844,                718844,,,                 55491,,                143392,,                 26060,                224943,                493901,,,                 35805,,                -78627,,                 84429,               -137113,                356788,,                              0,                356788,,,                356788,,,,,,                  9524,                366312,,                357830,,                367002,,,,                              0.40,,,,                              0.40,,                 -9862,                  8554,,,,                    970,,                 -1042,                   -690,,              3238983,,              2520139,,,                 84429,
3049,2013年01月01日至2013年12月31日,,              5150578,,              2983819,              2166759,              2166759,,,                 31642,,                202368,,                  1706,                235716,              1916237,,,                  9339,,                182138,,                304689,               -144868,              1771369,,                              0,              1771369,,             -1462030,                309339,,,,,,                  8394,                317733,,                311583,,                319977,,                              2.22,                             -1.87,                              0.35,,                              2.20,                             -1.85,                              0.35,,                -31656,                    785,,                  6870,,                  1907,                  1168,                 -2244,                 -2244,,              5150578,,              2983819,,                -14806,                304689,                  1907
3049,2013年01月01日至2013年09月30日,,              4273116,,              1861375,              2411741,              2411741,,,                 57823,,                112410,,                 46237,                216470,              2204123,,,                 15293,,                 35202,,                227590,               -198403,              2005720,,                              0,              2005720,,             -1309756,                695964,,,,,,                 15304,                711268,,                698136,,                712886,,                              2.21,                             -1.42,                              0.79,,                              2.21,                             -1.42,                              0.79,,                -21308,                 13593,                              0,,,                  1711,,                 -2172,                 -1618,,              4273116,,              1861375,,                  8852,                227590,                  1711
3049,2013年01月01日至2013年06月30日,,              2770613,,              1425122,              1345491,              1345491,,,                 41795,,                 56443,,                 33633,                131871,              1206109,,,                  4162,,                 33691,,                143697,               -118714,              1087395,,                              0,              1087395,,               -660153,                427242,,,,,,                 18598,                445840,,                428960,,                446886,,                              1.23,                             -0.75,                              0.48,,                              1.22,                             -0.74,                              0.48,,                -12870,                 16616,                              0,,,                  1982,,                 -1718,                 -1046,,              2770613,,              1425122,,                 -7511,                143697,                  1982
3049,2013年01月01日至2013年03月31日,,              1266711,,                609277,                657434,                657434,,,                 20487,,                 36670,,                 21696,                 78853,                576862,,,                  1469,,                 12251,,                 74622,                -63910,                512952,,                              0,                512952,,               -442498,                 70454,,,,,,                  9074,                 79528,,                 71130,,                 79884,,                              0.58,                             -0.50,                              0.08,,                              0.58,                             -0.50,                              0.08,,                 -3008,                  8062,,,,                  1012,,                   -676,                   -356,,              1266711,,                609277,,                 -1719,                 74622,                  1012
3049,2012年07月01日至2012年09月30日,,              1502835,,              1745624,               -242789,               -242789,,,                 38345,,                 90270,,                 50940,                179555,               -422344,,,                  5191,,                -28126,,                 77034,               -104326,               -526670,,                   -202,               -526468,,                -12660,               -539128,,,,,,                 -4912,               -544040,,               -538603,,               -543351,,                             -0.60,                             -0.01,                             -0.61,,                              0.00,                              0.00,                              0.00,,                 -4357,                 -4383,,,,                   -529,,                   -525,                   -689,,              1502835,,              1745624,,,                 77034,
3049,2012年04月01日至2012年06月30日,,                724587,,              1258796,               -534209,               -534209,,,                 26097,,                121266,,                 71409,                218772,               -752981,,,                 27021,,                -39982,,                 56886,                -79843,               -832824,,                     86,               -832910,,,               -832910,,,,,,                  2009,               -830901,,               -830184,,               -828236,,,,                             -0.94,,,,                              0.00,,                 -9996,                  1793,,,,                    216,,                 -2726,                 -2665,,                724587,,              1258796,,,                 56886,
3049,2012年01月01日至2012年12月31日,,              3027726,,              2033872,                993854,                993854,,,                 52714,,                 58303,,                  3411,                114428,                879426,,,                  2713,,                  2717,,                143816,               -159232,                720194,,                    844,                719350,,             -3010375,             -2291025,,,,,,                -23269,             -2314294,,             -2284421,,             -2307192,,                              0.69,                             -3.27,                             -2.58,,                              0.00,                              0.00,                              0.00,,                -20846,                -13162,,                -10286,,                 -1570,                 -1749,                 -6604,                 -7102,,              3027726,,              2033872,,                              0,                143816,                 -1570
3049,2012年01月01日至2012年09月30日,,              2729121,,              3983392,             -1254271,             -1254271,,,                 87600,,                273430,,                149721,                510751,             -1765022,,,                 49314,,                -15900,,                145866,               -126671,             -1891693,,                   -544,             -1891149,,               -118437,             -2009586,,,,,,                -14056,             -2023642,,             -2004671,,             -2018241,,                             -2.14,                             -0.13,                             -2.27,,                              0.00,                              0.00,                              0.00,,                -14219,                -12522,,,,                 -1534,,                 -4915,                 -5401,,              2729121,,              3983392,,,                145866,
3049,2012年01月01日至2012年06月30日,,              1226286,,              2237768,             -1011482,             -1011482,,,                 49255,,                223100,,                 98781,                371136,             -1382618,,,                 44627,,                -54115,,                 68832,                -88182,             -1470800,,                   -342,             -1470458,,,             -1470458,,,,,,                 -9144,             -1479602,,             -1466068,,             -1474890,,,,                             -1.66,,,,                              0.00,,                 -9862,                 -8139,,,,                 -1005,,                 -4390,                 -4712,,              1226286,,              2237768,,,                 68832,
3049,2012年01月01日至2012年03月31日,,                501699,,                978972,               -477273,               -477273,,,                 23158,,                101834,,                 27372,                152364,               -629637,,,                 17606,,                -14133,,                 11946,                 -8339,               -637976,,                   -428,               -637548,,,               -637548,,,,,,                -11153,               -648701,,               -635884,,               -646654,,,,                             -0.72,,,,                              0.00,,                    134,                 -9932,,,,                 -1221,,                 -1664,                 -2047,,                501699,,                978972,,,                 11946,
