證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之備供出售金融資產未實現損益,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－備供出售金融商品未實現損益,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
1315,2014年01月01日至2014年03月31日,,                631838,,                527010,                104828,                104828,,,                 29528,,                 88991,                118519,                -13691,,,                 15138,,                  2885,,                  2277,,                   -759,                 14987,                  1296,,                  4387,                 -3091,                 -3091,,,                 11273,               -142234,,                 -7800,                 -7800,                  1923,               -140684,               -140684,               -143775,,                    105,                 -3196,,               -140542,                 -3233,,                              0.00,                              0.00,                              0.00,,                              0.00,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,,,,,
1315,2013年第3季,,              1314676,,              1079616,                235060,                235060,,,                 32216,,                108974,                141190,                 93870,,,                 44539,,                -22180,,                  2091,,                 12637,                 32905,                126775,,                 24025,                102750,                102750,,,,,,,,,,                -26158,                 76592,,                 97425,                  5325,,                 71429,                  5163,,                              0.46,                              0.00,                              0.46,,                              0.46,,,,,,,,,,,,                 -6837,                -14617,,,                 -5839,                 -5839,                 -1135
1315,2013年第2季,,                719295,,                595863,                123432,                123432,,,                 33832,,                105208,                139040,                -15608,,,                 10478,,                 48759,,                  1879,,                 -1875,                 55483,                 39875,,                -10610,                 50485,                 50485,,,,,,,,,,                296797,                347282,,                 50325,                    160,,                346890,                    392,,                              0.24,                              0.00,                              0.24,,                              0.24,,,,,,,,,,,,                 -2860,                299665,,,                   -534,                   -534,                   -526
1315,2013年度,,              3388796,,              2810852,                577944,                577944,,,                127385,,                389449,                516834,                 61110,,,                 73019,,                 45678,,                  7982,,                  9807,                120522,                181632,,                 11028,                170604,                170604,,,,,,,,,,                392657,                563261,,                173786,                 -3182,,                565746,                 -2485,,                              0.82,                              0.00,                              0.82,,                              0.82,,,,,,,,,,,,                -10901,                391357,                   -510,,                 10739,                 10739,                 -1972
1315,2013年07月01日至2013年09月30日,,              1314676,,              1079616,                235060,                235060,,,                 32216,,                108974,                141190,                 93870,,,                 44539,,                -22180,,                  2091,,                 12637,                 32905,                126775,,                 24025,                102750,                102750,,,,,,,,,,                -26158,                 76592,,                 97425,                  5325,,                 71429,                  5163,,                              0.46,,                              0.46,,                              0.46,,,,,,,,,,,,                 -6837,                -14617,,,                 -5839,                 -5839,                 -1135
1315,2013年04月01日至2013年06月30日,,                719295,,                595863,                123432,                123432,,,                 33832,,                105208,                139040,                -15608,,,                 10478,,                 48759,,                  1879,,                 -1875,                 55483,                 39875,,                -10610,                 50485,                 50485,,,,,,,,,,                296797,                347282,,                 50325,                    160,,                346890,                    392,,                              0.24,,                              0.24,,                              0.24,,,,,,,,,,,,                 -2860,                299665,,,                   -534,                   -534,                   -526
1315,2013年01月01日至2013年12月31日,,              3388796,,              2810852,                577944,                577944,,,                127385,,                389449,                516834,                 61110,,,                 73019,,                 45678,,                  7982,,                  9807,                120522,                181632,,                 11028,                170604,                170604,,,,,,,,,,                392657,                563261,,                173786,                 -3182,,                565746,                 -2485,,                              0.82,                              0.00,                              0.82,,                              0.82,,,,,,,,,,,,                -10901,                391357,                   -510,,                 10739,                 10739,                 -1972
1315,2013年01月01日至2013年09月30日,,              2734139,,              2255575,                478564,                478564,,,                 95024,,                310242,                405266,                 73298,,,                 64973,,                 26894,,                  6027,,                 10414,                 96254,                169552,,                 11553,                157999,                157999,,,,,,,,,,                183549,                341548,,                156197,                  1802,,                339275,                  2273,,                              0.74,                              0.00,                              0.74,,                              0.74,,,,,,,,,,,,                 -7989,                198181,,,                 -8081,                 -8081,                 -1438
1315,2013年01月01日至2013年06月30日,,              1419463,,              1175959,                243504,                243504,,,                 62808,,                201377,                264185,                -20681,,,                 20542,,                 49074,,                  3936,,                 -2222,                 63458,                 42777,,                -12473,                 55250,                 55250,,,,,,,,,,                209706,                264956,,                 58772,                 -3522,,                267846,                 -2890,,                              0.28,                              0.00,                              0.28,,                              0.28,,,,,,,,,,,,                 -1153,                212798,,,                 -2242,                 -2242,                   -303
1315,2013年01月01日至2013年03月31日,,                700168,,                580096,                120072,                120072,,,                 28976,,                 99251,                128227,                 -8155,,,                 13146,,                    315,,                  2057,,                   -347,                 11057,                  2902,,                 -1863,                  4765,                  4765,,,,,,,,,,                -87091,                -82326,,                  8447,                 -3682,,                -79044,                 -3282,,                              0.04,                              0.00,                              0.04,,                              0.04,,,,,,,,,,,,                  1707,                -86868,,,                 -1708,                 -1708,                    222
1315,2012年07月01日至2012年09月30日,,              1143388,,                934847,                208541,                208541,,,                 31548,,                102894,                134442,                 74099,,,                112364,,                -11324,,                  3568,,                 20985,                118457,                192556,,                  6352,                186204,                186204,,,,,,,,,,                188516,                374720,,                183505,                  2699,,                372329,                  2391,,                              0.87,,                              0.87,,                              0.87,,,,,,,,,,,,                 -6187,                180183,,,                 13521,                 13521,                   -999
1315,2012年04月01日至2012年06月30日,,                869309,,                696998,                172311,                172311,,,                 34128,,                114646,                148774,                 23537,,,                 10108,,                    924,,                  2154,,                 -1334,                  7544,                 31081,,                 27313,                  3768,                  3768,,,,,,,,,,               -457348,               -453580,,                  5087,                 -1319,,               -452422,                 -1158,,                              0.02,,                              0.02,,                              0.02,,,,,,,,,,,,                 12872,               -438336,,,                -29723,                -29723,                  2161
1315,2012年01月01日至2012年12月31日,,              3506393,,              2852897,                653496,                653496,,,                129763,,                442493,                572256,                 81240,,,                152881,,                -41200,,                 10446,,                 18575,                119810,                201050,,                 32605,                168445,                168445,,,,,,,,,,               -172065,                 -3620,,                176360,                 -7915,,                  5001,                 -8621,,                              0.83,                              0.00,                              0.83,,                              0.83,,,,,,,,,,,,                -49503,               -135053,                -13113,,                 17309,                 17309,                 -8295
1315,2012年01月01日至2012年09月30日,,              2801508,,              2262618,                538890,                538890,,,                 96481,,                324570,                421051,                117839,,,                133920,,                -24585,,                  7799,,                 19136,                120672,                238511,,                 32293,                206218,                206218,,,,,,,,,,                -25816,                180402,,                206791,                   -573,,                181707,                 -1305,,                              0.98,,                              0.98,,                              0.97,,,,,,,,,,,,                -21884,                -41673,,,                 34145,                 34145,                 -3596
1315,2012年01月01日至2012年06月30日,,              1658121,,              1327772,                330349,                330349,,,                 64934,,                222529,                287463,                 42886,,,                 22409,,                -13261,,                  4231,,                 -1848,                  3069,                 45955,,                 25940,                 20015,                 20015,,,,,,,,,,               -214332,               -194317,,                 23287,                 -3272,,               -190621,                 -3696,,                              0.11,,                              0.11,,                              0.11,,,,,,,,,,,,                -15697,               -221856,,,                 20625,                 20625,                 -2596
1315,2012年01月01日至2012年03月31日,,                788811,,                630775,                158036,                158036,,,                 31736,,                107883,                139619,                 18417,,,                 13233,,                -14184,,                  2077,,                   -515,                 -3543,                 14874,,                 -1372,                 16246,                 16246,,,,,,,,,,                243017,                259263,,                 18199,                 -1953,,                261801,                 -2538,,                              0.09,,                              0.09,,                              0.09,,,,,,,,,,,,                -28568,                216480,,,                 50348,                 50348,                 -4757
