證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　　 銷貨收入,　　　 銷貨折讓,　　　 銷貨成本,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）,　　 當期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 與其他綜合損益組成部分相關之所得稅
3561,2014年01月01日至2014年03月31日,,,,              2656201,,              2655814,              2655814,,,              2383413,              2383413,                272401,                272401,,,                 30319,,                 56243,,                 19671,                106233,                166168,,,                  9043,,                 12490,,                 19551,,                -15878,                -13896,                152272,,                     36,                152236,                152236,,,                  1714,                 56837,                    291,                 58260,                 58260,                210496,,                152239,                     -3,,                210492,                      4,,                              0.46,,                              0.46,              2656201,                    387,              2383413,                              0.46,                              0.46,,,,
3561,2013年第3季,,,,              1984635,                  1204,              1983431,              1983431,,,              1789864,              1789864,                193567,                193567,,,                 15188,,                 45251,,                 13740,                 74179,                119388,,,                  9424,,                 -9466,,                 22333,,                -25170,                -47545,                 71843,,                              0,                 71843,                 71843,,,,,,,                 17787,                 89630,,                 71847,                     -4,,                 89639,                     -9,,                              0.22,,                              0.00,              1984635,,              1789864,                              0.22,                              0.00,,                 -2272,                 19675,                   -384
3561,2013年第2季,,,,              1603532,                    375,              1603157,              1603157,,,              1501659,              1501659,                101498,                101498,,,                 28901,,                 47127,,                 13995,                 90023,                 11475,,,                 11865,,               -119024,,                 23092,,                -21429,               -151680,               -140205,,                              0,               -140205,               -140205,,,,,,,                -12704,               -152909,,               -140198,                     -7,,               -152904,                     -5,,                             -0.44,,                              0.00,              1603532,,,,,,                  3131,                -15303,                    532
3561,2013年度,,,,              7108792,                 88111,              7020681,              7020681,,,              6644087,              6644087,                376594,                376594,,,                111353,,                183655,,                 57785,                352793,                 23801,,,                 40213,,               -302507,,                 88883,,                -96728,               -447905,               -424104,,                -54421,               -369683,               -369683,,,,,,,                359284,                -10399,,               -369665,                    -18,,                -10393,                     -6,,                             -1.18,,                              0.00,              7108792,,              6644087,                             -1.18,                              0.00,                -54421,                 10151,                350859,                  1726
3561,2013年07月01日至2013年09月30日,,,,              1984635,                  1204,              1983431,              1983431,,,              1789864,              1789864,                193567,                193567,,,                 15188,,                 45251,,                 13740,                 74179,                119388,,,                  9424,,                 -9466,,                 22333,,                -25170,                -47545,                 71843,,                              0,                 71843,                 71843,,,,,,,                 17787,                 89630,,                 71847,                     -4,,                 89639,                     -9,,                              0.22,,,              1984635,,              1789864,,,                              0,                 -2272,                 19675,                   -384
3561,2013年04月01日至2013年06月30日,,,,              1603532,                    375,              1603157,              1603157,,,              1501659,              1501659,                101498,                101498,,,                 28901,,                 47127,,                 13995,                 90023,                 11475,,,                 11865,,               -119024,,                 23092,,                -21429,               -151680,               -140205,,                              0,               -140205,               -140205,,,,,,,                -12704,               -152909,,               -140198,                     -7,,               -152904,                     -5,,                             -0.44,,,              1603532,,              1501659,,,,                  3131,                -15303,                    532
3561,2013年01月01日至2013年12月31日,,,,              7108792,                 88111,              7020681,              7020681,,,              6644087,              6644087,                376594,                376594,,,                111353,,                183655,,                 57785,                352793,                 23801,,,                 40213,,               -302507,,                 88883,,                -96728,               -447905,               -424104,,                -54421,               -369683,               -369683,,,,,,,                359284,                -10399,,               -369665,                    -18,,                -10393,                     -6,,                             -1.18,,,              7108792,,              6644087,                             -1.18,,                -54421,                 10151,                350859,                  1726
3561,2013年01月01日至2013年09月30日,,,,              4738057,                 43427,              4694630,              4694630,,,              4516943,              4516943,                177687,                177687,,,                 81139,,                132579,,                 39993,                253711,                -76024,,,                 31159,,               -176443,,                 68984,,                -76835,               -291103,               -367127,,                     29,               -367156,               -367156,,,,,,,                112096,               -255060,,               -367141,                    -15,,               -255053,                     -7,,                             -1.16,,                              0.00,              4738057,,              4516943,                             -1.16,                              0.00,,                  7317,                106023,                  1244
3561,2013年01月01日至2013年06月30日,,,,              2753422,                 42223,              2711199,              2711199,,,              2727079,              2727079,                -15880,                -15880,,,                 65951,,                 87329,,                 26252,                179532,               -195412,,,                 21735,,               -166977,,                 46651,,                -51665,               -243558,               -438970,,                     29,               -438999,               -438999,,,,,,,                 94309,               -344690,,               -438988,                    -11,,               -344692,                      2,,                             -1.38,,                              0.00,              2753422,,,,,,                  9589,                 86348,                  1628
3561,2013年01月01日至2013年03月31日,,,,              1149890,,              1108042,              1108042,,,              1225420,              1225420,               -117378,               -117378,,,                 37050,,                 40202,,                 12257,                 89509,               -206887,,,                  9870,,                -47953,,                 23559,,                -30236,                -91878,               -298765,,                     29,               -298794,               -298794,,,,,,,                107002,               -191792,,               -298790,                     -4,,               -191788,                     -4,,                             -0.95,,                              0.00,              1149890,                 41848,              1225420,                             -0.95,                              0.00,,                  6447,                101651,                  1096
3561,2012年07月01日至2012年09月30日,,,,              1330297,                 47567,              1282730,              1282730,,,              1547654,              1547654,               -264924,               -264924,,,                 77195,,                 51943,,                 11631,                140769,               -405693,,,                 36630,,                -14927,,                 27261,,                -56519,                -62077,               -467770,,                              0,               -467770,               -467770,,,,,,,               -148945,               -616715,,               -467763,                     -7,,               -616697,                    -18,,                             -1.53,,,              1330297,,              1547654,,,                              0,                 -2988,               -146465,                   -508
3561,2012年04月01日至2012年06月30日,,,,              2196947,                  9110,              2187837,              2187837,,,              2147186,              2147186,                 40651,                 40651,,,                 48931,,                 40498,,                 10889,                100318,                -59667,,,                  6003,,               -314300,,                 28626,,                 -9311,               -346234,               -405901,,                              0,               -405901,               -405901,,,,,,,               -132306,               -538207,,               -405894,                     -7,,               -538200,                     -7,,                             -1.55,,,              2196947,,              2147186,,,,                -27716,               -109302,                 -4712
3561,2012年01月01日至2012年12月31日,,,,              6231148,                 66389,              6164759,              6164759,,,              6702315,              6702315,               -537556,               -537556,,,                265639,,                164690,,                 46873,                477202,             -1014758,,,                 59603,,               -404259,,                107368,,               -353064,               -805088,             -1819846,,                 -3541,             -1816305,             -1816305,,,,,,,               -286901,             -2103206,,             -1816272,                    -33,,             -2102999,                   -207,,                             -6.35,,,              6231148,,              6702315,                             -6.35,,                 -3541,                -30927,               -261232,                 -5258
3561,2012年01月01日至2012年09月30日,,,,              5221479,                 58981,              5162498,              5162498,,,              5438528,              5438528,               -276030,               -276030,,,                211681,,                131797,,                 34893,                378371,               -654401,,,                 54988,,               -327327,,                 83763,,                -67742,               -423844,             -1078245,,                     34,             -1078279,             -1078279,,,,,,,               -177549,             -1255828,,             -1078253,                    -26,,             -1255633,                   -195,,                             -3.91,,,              5221479,,              5438528,,,                     34,                -32183,               -150837,                 -5471
3561,2012年01月01日至2012年06月30日,,,,              3891182,                 11414,              3879768,              3879768,,,              3890874,              3890874,                -11106,                -11106,,,                134486,,                 79854,,                 23262,                237602,               -248708,,,                 18358,,               -312400,,                 56502,,                -11223,               -361767,               -610475,,                     34,               -610509,               -610509,,,,,,,                -28446,               -638955,,               -610490,                    -19,,               -638936,                    -19,,                             -2.34,,,              3891182,,              3890874,,,,                -29005,                 -4372,                 -4931
3561,2012年01月01日至2012年03月31日,,,,              1694235,                  2304,              1691931,              1691931,,,              1743688,              1743688,                -51757,                -51757,,,                 85555,,                 39356,,                 12373,                137284,               -189041,,,                 12355,,                  1900,,                 27876,,                 -1912,                -15533,               -204574,,                     34,               -204608,               -204608,,,,,,,                103860,               -100748,,               -204596,                    -12,,               -100736,                    -12,,                             -0.80,,,              1694235,,,,,                     34,                 -1070,                104930,
