證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2109,2014年01月01日至2014年03月31日,,,,              1661685,                  1375,                  2158,              1658152,              1658152,,,              1279429,              1279429,                378723,                378723,,,                133455,,                 99661,,                  9171,                242287,                136436,,,                  7913,,                  5125,,                 15422,,                              0,                 -2384,                134052,,                 30359,                103693,                103693,,,                              0,                              0,                              0,,                 83498,                    -54,,,                 12004,                 71440,                 71440,                175133,,                 64801,                 38892,,                107489,                 67644,,                              0.19,,                              0.19,,,,
2109,2013年第3季,,,,              1864138,                  1027,                  1940,              1861171,              1861171,,,              1430326,              1430326,                430845,                430845,,,                136945,,                 94991,,                  8671,                240607,                190238,,,                 25492,,                -13438,,                 25125,,,                -13071,                177167,,                 21852,                155315,                155315,,,,,,,,,,,,,                -64381,                 90934,,                108532,                 46783,,                 68013,                 22921,,                              0.35,,,                -62267,                 -5409,,                 -3295
2109,2013年第2季,,,,              1930938,                  1049,                  2391,              1927498,              1927498,,,              1562724,              1562724,                364774,                364774,,,                133641,,                 79620,,                 10379,                223640,                141134,,,                 15804,,                 17848,,                 23602,,,                 10050,                151184,,                 32434,                118750,                118750,,,,,,,,,,,,,                -51670,                 67080,,                 72795,                 45955,,                 62274,                  4806,,                              0.24,,,                -72194,                              0,,                -20524
2109,2013年度,,,,              7488255,                  4966,                  8318,              7474971,              7474971,,,              5894935,              5894935,              1580036,              1580036,,,                602270,,                354266,,                 39245,                995781,                584255,,,                 41882,,                 87151,,                 90309,,                              0,                 38724,                622979,,                140352,                482627,                482627,,,,,,,,,,,,,                -30457,                452170,,                325957,                156670,,                336082,                116088,,                              1.10,,                              1.10,                -38710,                     14,                  1211,                 -7028
2109,2013年07月01日至2013年09月30日,,,,              1864138,                  1027,                  1940,              1861171,              1861171,,,              1430326,              1430326,                430845,                430845,,,                136945,,                 94991,,                  8671,                240607,                190238,,,                 25492,,                -13438,,                 25125,,,                -13071,                177167,,                 21852,                155315,                155315,,,,,,,,,,,,,                -64381,                 90934,,                108532,                 46783,,                 68013,                 22921,,                              0.28,,,                -62267,                 -5409,,                 -3295
2109,2013年04月01日至2013年06月30日,,,,              1930938,                  1049,                  2391,              1927498,              1927498,,,              1562724,              1562724,                364774,                364774,,,                133641,,                 79620,,                 10379,                223640,                141134,,,                 15804,,                 17848,,                 23602,,,                 10050,                151184,,                 32434,                118750,                118750,,,,,,,,,,,,,                -51670,                 67080,,                 72795,                 45955,,                 62274,                  4806,,                              0.20,,,                -72194,,,                -20524
2109,2013年01月01日至2013年12月31日,,,,              7488255,                  4966,                  8318,              7474971,              7474971,,,              5894935,              5894935,              1580036,              1580036,,,                602270,,                354266,,                 39245,                995781,                584255,,,                 41882,,                 87151,,                 90309,,,                 38724,                622979,,                140352,                482627,                482627,,,,,,,,,,,,,                -30457,                452170,,                325957,                156670,,                336082,                116088,,                              1.10,,                              1.10,                -24654,                     14,                  1211,                  7028
2109,2013年01月01日至2013年09月30日,,,,              5650004,                  4091,                  6132,              5639781,              5639781,,,              4531210,              4531210,              1108571,              1108571,,,                394428,,                254977,,                 28428,                677833,                430738,,,                 49045,,                 17017,,                 71643,,,                 -5581,                425157,,                 76792,                348365,                348365,,,,,,,,,,,,,                  6938,                355303,,                232317,                116048,,                250426,                104877,,                              0.81,,,                 10345,                 -5409,,                 -2002
2109,2013年01月01日至2013年06月30日,,,,              3785866,                  3064,                  4192,              3778610,              3778610,,,              3100884,              3100884,                677726,                677726,,,                257483,,                159986,,                 19757,                437226,                240500,,,                 23553,,                 30455,,                 46518,,,                  7490,                247990,,                 54940,                193050,                193050,,,,,,,,,,,,,                 71319,                264369,,                123785,                 69265,,                182413,                 81956,,                              0.45,,,                 72612,                              0,,                  1293
2109,2013年01月01日至2013年03月31日,,,,              1854928,                  2015,                  1801,              1851112,              1851112,,,              1538160,              1538160,                312952,                312952,,,                123842,,                 80366,,                  9378,                213586,                 99366,,,                  7749,,                 12607,,                 22916,,,                 -2560,                 96806,,                 22506,                 74300,                 74300,,,,,,,,,,,,,                122989,                197289,,                 50990,                 23310,,                120139,                 77150,,                              0.20,,,                144806,                              0,,                 21817
2109,2012年07月01日至2012年09月30日,,,,              1425804,                  1653,                  3242,              1420909,              1420909,,,              1168232,              1168232,                252677,                252677,,,                 99951,,                 95472,,                 11274,                206697,                 45980,,,                 25797,,                -30049,,                 31188,,,                -35440,                 10540,,                 11580,                 -1040,                 -1040,,,,,,,,,,,,,                 -4979,                 -6019,,                -20397,                 19357,,                -32550,                 26531,,                             -0.06,,,                 -4979,                              0,,                              0
2109,2012年04月01日至2012年06月30日,,,,              1805264,                  1822,                  3216,              1800226,              1800226,,,              1498320,              1498320,                301906,                301906,,,                145434,,                 86034,,                 11771,                243239,                 58667,,,                  9740,,                 -5226,,                 22817,,,                -18303,                 40364,,                 37421,                  2943,                  2943,,,,,,,,,,,,,                -12033,                 -9090,,                -12726,                 15669,,                -13168,                  4078,,                             -0.04,,,                -12033,,,                              0
2109,2012年01月01日至2012年12月31日,,,,              7381617,                  3907,                 12256,              7365454,              7365454,,,              6262543,              6262543,              1102911,              1102911,,,                523364,,                347816,,                 44018,                915198,                187713,,,                 54998,,               -110003,,                112846,,,               -167851,                 19862,,                 86217,                -66355,                -66355,,,,,,,,,,,,,                 26831,                -39524,,               -136089,                 69734,,                -86996,                 47472,,                             -0.57,,                             -0.57,                 48048,                              0,                -21217,                              0
2109,2012年01月01日至2012年09月30日,,,,              5068381,                  3488,                  8269,              5056624,              5056624,,,              4253987,              4253987,                802637,                802637,,,                350551,,                263862,,                 32652,                647065,                155572,,,                 45652,,                -39340,,                 78904,,,                -72592,                 82980,,                 67912,                 15068,                 15068,,,,,,,,,,,,,                 61398,                 76466,,                -43702,                 58770,,                 36260,                 40206,,                             -0.14,,,                 61398,                              0,,                              0
2109,2012年01月01日至2012年06月30日,,,,              3642577,                  1835,                  5027,              3635715,              3635715,,,              3085755,              3085755,                549960,                549960,,,                250600,,                168390,,                 21378,                440368,                109592,,,                 19855,,                 -9291,,                 47716,,,                -37152,                 72440,,                 56332,                 16108,                 16108,,,,,,,,,,,,,                 66377,                 82485,,                -23305,                 39413,,                 68810,                 13675,,                             -0.07,,,                 66377,,,                              0
2109,2012年01月01日至2012年03月31日,,,,              1837313,                     13,                  1811,              1835489,              1835489,,,              1587435,              1587435,                248054,                248054,,,                105166,,                 82356,,                  9607,                197129,                 50925,,,                 10115,,                 -4065,,                 24899,,,                -18849,                 32076,,                 18911,                 13165,                 13165,,,,,,,,,,,,,                 78410,                 91575,,                -10579,                 23744,,                 81978,                  9597,,                             -0.03,,,                 78410,,,                              0
