證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 其他綜合損益
6702,2013年度,,             12172813,,             11429958,                742855,                742855,,              1137073,               -394218,,,                726444,,               -114573,,                133219,,                 65192,                543844,                149626,,                 16616,                133010,                133010,,,,,,,,,,                 13816,                146826,,                133010,                              0,,                146826,                              0,,                              0.24,,                              0.24,                    190,                 33554,                 -3713,                -21018,,                  1230,                 -3573,
6702,2013年07月01日至2013年09月30日,,              3493945,,              3089172,                404773,                404773,,                295137,                109636,,,                 23854,,                  3709,,                 32283,,                 15317,                 10597,                120233,,                 16563,                103670,                103670,,,,,,,,,,                 -2886,                100784,,                103670,,,                100784,                              0,,                              0.19,,                              0.19,                   -107,                 -4864,                  2864,,,                   -779,,
6702,2013年04月01日至2013年06月30日,,              3026260,,              2831848,                194412,                194412,,                276252,                -81840,,,                 10622,,                 13703,,                 36671,,                 14669,                  2323,                -79517,,                -22675,                -56842,                -56842,,,,,,,,,,                 17742,                -39100,,                -56842,                              0,,                -39100,,,                             -0.10,,                             -0.10,                     44,                 20309,                 -2738,,,                    127,                              0,                              0
6702,2013年01月01日至2013年12月31日,,             12172813,,             11429958,                742855,                742855,,              1137073,               -394218,,,                726444,,               -114573,,                133219,,                 65192,                543844,                149626,,                 16616,                133010,                133010,,,,,,,,,,                 13816,                146826,,                133010,                              0,,                146826,                              0,,                              0.24,,                              0.24,                    190,                 33554,                 -3713,                -21018,,                  1230,                 -3573,
6702,2013年01月01日至2013年09月30日,,              9265911,,              8576054,                689857,                689857,,                834569,               -144712,,,                 39739,,                 37314,,                 94762,,                 45530,                 27821,               -116891,,                -34261,                -82630,                -82630,,,,,,,,,,                 20811,                -61819,,                -82630,                              0,,                -61819,                              0,,                             -0.15,,                             -0.15,                    131,                 24698,                 -3930,,,                    -88,                              0,
6702,2013年01月01日至2013年06月30日,,              5771966,,              5486882,                285084,                285084,,                539432,               -254348,,,                 15885,,                 33605,,                 62479,,                 30213,                 17224,               -237124,,                -50824,               -186300,               -186300,,,,,,,,,,                 23697,               -162603,,               -186300,                              0,,               -162603,                              0,,                             -0.34,,                             -0.34,                    238,                 29562,                 -6794,,,                    691,                              0,                              0
6702,2013年01月01日至2013年03月31日,,              2745706,,              2655034,                 90672,                 90672,,                263180,               -172508,,,                  5263,,                 19902,,                 25808,,                 15544,                 14901,               -157607,,                -28149,               -129458,               -129458,,,,,,,,,,                  5955,               -123503,,               -129458,                              0,,               -123503,                              0,,                             -0.23,,                             -0.23,                    194,                  9817,                 -4056,,,,                              0,
6702,2012年07月01日至2012年09月30日,,              2729370,,              2391552,                337818,                337818,,                286290,                 51528,,,                 16095,,                  7964,,                  9745,,                 16669,                 30983,                 82511,,                 10178,                 72333,                 72333,,,,,,,,,,                 34677,                107010,,                 72333,,,                107010,                              0,,                              0.13,,                              0.13,                   -145,                  5682,                 21795,,,                  7345,,
6702,2012年04月01日至2012年06月30日,,              2478577,,              2138319,                340258,                340258,,                264838,                 75420,,,                  5456,,                 19145,,                  8962,,                 16136,                 31775,                107195,,                 59614,                 47581,                 47581,,,,,,,,,,                -13938,                 33643,,                 47581,                              0,,                 33643,,,                              0.09,,                              0.09,                     91,                 -1749,                -10522,,,                 -1758,                              0,                              0
6702,2012年01月01日至2012年12月31日,,             10036777,,              8864673,              1172104,              1172104,,              1057693,                114411,,,                 38669,,                 44598,,                 27097,,                 57913,                114083,                228494,,                 66719,                161775,                161775,,,,,,,,,,                -40063,                121712,,                161775,                              0,,                121712,                              0,,                              0.29,,                              0.29,                   -306,                 35262,                  1297,                -93638,,                  1404,                -15918,
6702,2012年01月01日至2012年09月30日,,              7512391,,              6634742,                877649,                877649,,                768235,                109414,,,                 25705,,                 35201,,                 28899,,                 45753,                 77760,                187174,,                 61490,                125684,                125684,,,,,,,,,,                 37436,                163120,,                125684,,,                163120,                              0,,                              0.23,,                              0.23,                   -243,                 24983,                  7109,,,                  5587,,
6702,2012年01月01日至2012年06月30日,,              4783021,,              4243190,                539831,                539831,,                481945,                 57886,,,                  9610,,                 27237,,                 19154,,                 29084,                 46777,                104663,,                 51312,                 53351,                 53351,,,,,,,,,,                  2759,                 56110,,                 53351,                              0,,                 56110,,,                              0.10,,                              0.10,                    -98,                 19301,                -14686,,,                 -1758,                              0,                              0
6702,2012年01月01日至2012年03月31日,,              2304444,,              2104871,                199573,                199573,,                217107,                -17534,,,                  4154,,                  8092,,                 10192,,                 12948,                 15002,                 -2532,,                 -8302,                  5770,                  5770,,,,,,,,,,                 16697,                 22467,,                  5770,,,                 22467,,,                             -0.01,,                              0.00,                   -189,                 21050,                 -4164,,,                              0,,
