證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 與其他綜合損益組成部分相關之所得稅
2501,2014年01月01日至2014年06月30日,,              3095750,,              2208733,                887017,                887017,,                567884,                319133,,,                123206,,                  7779,,                 93847,,                  9487,                 46625,                365758,,                151180,                214578,                214578,,,                -82407,               -113976,,                    155,               -196228,               -196228,                 18350,,                271653,                -57075,,                103110,                -84760,,                              0.16,,,,,,,
2501,2014年01月01日至2014年03月31日,,              1051342,,                862792,                188550,                188550,,                283494,                -94944,,,                 14769,,                   -379,,                 45535,,                  6349,                -24796,               -119740,,                 -6781,               -112959,               -112959,,,,,,,,               -265687,               -378646,,                -84702,                -28257,,               -340374,                -38272,,                             -0.05,                -54577,               -238270,,                 27160,,                             -0.05,
2501,2013年第3季,,              1447204,,              1015016,                432188,                432188,,                319200,                112988,,,                 69661,,                 72285,,                 23068,,                  2301,                121179,                234167,,                  6980,                227187,                227187,,,,,,,,                 67190,                294377,,                245445,                -18258,,                324170,                -29793,,                              0.15,                -36563,                103800,,                    -47,,,
2501,2013年第2季,,              4076921,,              2763844,              1313077,              1313077,,                338688,                974389,,,                 24029,,                -21273,,                 21153,,                  3673,                -14724,                959665,,                 44822,                914843,                914843,,,,,,,,                 45211,                960054,,                943246,                -28403,,                979258,                -19204,,                              0.57,                 34679,                 10583,,                    -51,,,
2501,2013年度,,              8141139,,              5550999,              2590140,              2590140,,              1111856,              1478284,,,                139511,,                141371,,                103463,,                 11647,                189066,              1667350,,                 83388,              1583962,              1583962,,,,,,,,              1113320,              2697282,,              1687746,               -103784,,              2772489,                -75207,,                              1.02,                 96686,              1016860,,                   -226,,,
2501,2013年07月01日至2013年09月30日,,              1447204,,              1015016,                432188,                432188,,                319200,                112988,,,                 69661,,                 72285,,                 23068,,                  2301,                121179,                234167,,                  6980,                227187,                227187,,,,,,,,                 67190,                294377,,                245445,                -18258,,                324170,                -29793,,                              0.15,                -36610,                103800,,,,,
2501,2013年04月01日至2013年06月30日,,              4076921,,              2763844,              1313077,              1313077,,                338688,                974389,,,                 24029,,                -21273,,                 21153,,                  3673,                -14724,                959665,,                 44822,                914843,                914843,,,,,,,,                 45211,                960054,,                943246,                -28403,,                979258,                -19204,,                              0.57,                 34628,                 10583,,,,,                              0
2501,2013年01月01日至2013年12月31日,,              8141139,,              5550999,              2590140,              2590140,,              1111856,              1478284,,,                139511,,                141371,,                103463,,                 11647,                189066,              1667350,,                 83388,              1583962,              1583962,,,,,,,,              1113320,              2697282,,              1687746,               -103784,,              2772489,                -75207,,                              1.02,                 96686,              1016860,,                   -226,,,
2501,2013年01月01日至2013年09月30日,,              6993160,,              4737017,              2256143,              2256143,,                817798,              1438345,,,                116845,,                 76878,,                 66409,,                  8448,                135762,              1574107,,                 69857,              1504250,              1504250,,,,,,,,                660846,              2165096,,              1567849,                -63599,,              2216572,                -51476,,                              0.95,                 46749,                614012,,                     85,,,
2501,2013年01月01日至2013年06月30日,,              5545956,,              3722001,              1823955,              1823955,,                498598,              1325357,,,                 47184,,                  4593,,                 43341,,                  6147,                 14583,              1339940,,                 62877,              1277063,              1277063,,,,,,,,                593656,              1870719,,              1322404,                -45341,,              1892402,                -21683,,                              0.80,                 83312,                510212,,                    132,,,
2501,2013年01月01日至2013年03月31日,,              1469035,,                958157,                510878,                510878,,                159910,                350968,,,                 23155,,                 25866,,                 22188,,                  2474,                 29307,                380275,,                 18055,                362220,                362220,,,,,,,,                548445,                910665,,                379158,                -16938,,                913144,                 -2479,,                              0.23,                 48633,                499629,,                    183,,                              0.23,
2501,2012年07月01日至2012年09月30日,,              2495809,,              1945671,                550138,                550138,,                327306,                222832,,,                 48175,,                  4571,,                  5131,,                  3209,                 50824,                273656,,                 36558,                237098,                237098,,,,,,,,                235660,                472758,,                256477,                -19379,,                492137,                -19379,,                              0.15,                 -6500,                242160,,,,,
2501,2012年04月01日至2012年06月30日,,              2689022,,              1534429,              1154593,              1154593,,                393468,                761125,,,                 23207,,                   -198,,                  3070,,                  7489,                 27428,                788553,,                 63041,                725512,                725512,,,,,,,,               -218353,                507159,,                728094,                 -2582,,                509741,                 -2582,,                              0.44,                  6639,               -224992,,,,,                              0
2501,2012年01月01日至2012年12月31日,,              8036256,,              5320714,              2715542,              2715542,,              1093220,              1622322,,,                109352,,                 -1093,,                 24419,,                 16870,                100710,              1723032,,                121952,              1601080,              1601080,,,,,,,,                137721,              1738801,,              1642185,                -41105,,              1779906,                -41105,,                              0.99,                -11599,                149398,,                    -78,,,
2501,2012年01月01日至2012年09月30日,,              6447738,,              4325406,              2122332,              2122332,,                899992,              1222340,,,                 95128,,                  4068,,                 10003,,                 10698,                 99891,              1322231,,                113177,              1209054,              1209054,,,,,,,,                148426,              1357480,,              1230920,                -21866,,              1379346,                -21866,,                              0.74,                -14073,                162499,,,,,
2501,2012年01月01日至2012年06月30日,,              3951929,,              2379735,              1572194,              1572194,,                572686,                999508,,,                 46953,,                   -503,,                  4872,,                  7489,                 49067,              1048575,,                 76619,                971956,                971956,,,,,,,,                -87234,                884722,,                974443,                 -2487,,                887209,                 -2487,,                              0.59,                 -7573,                -79661,,,,,                              0
2501,2012年01月01日至2012年03月31日,,              1262907,,                845306,                417601,                417601,,                179218,                238383,,,                 23746,,                   -305,,                  1802,,                              0,                 21639,                260022,,                 13578,                246444,                246444,,,,,,,,                131119,                377563,,                246349,                     95,,                377468,                     95,,                              0.15,                -14212,                145331,,,,                              0.15,                              0
