證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益
3593,2014年01月01日至2014年03月31日,,                 13509,,                 15457,                 -1948,                 -1948,,,                     56,,                 28059,,                    663,                 28778,                -30726,,,                  2775,,                   -749,,                    618,                  1408,                -29318,,                  1511,                -30829,                -30829,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,,                              0,,                 -2388,                   -406,                 -1982,                 -1982,                -32811,,                -30829,,                -32811,,                             -0.27,,                             -0.27,                              0,                              0,                              0,                              0,,,,,,,,,
3593,2013年第3季,,                 44480,,                161941,               -117461,               -117461,,,                  5803,,                 39223,,                 11711,                 56737,               -174198,,,                  3576,,                -28878,,                    778,                -26080,               -200278,,                -22094,               -178184,               -178184,,,,,,,,,,,,,,,,,                 -5517,               -183701,,               -178184,,               -183701,,                             -1.58,,                             -1.58,,,,,,,,,,,                 -6647,,                  1130
3593,2013年第2季,,                 62792,,                158512,                -95720,                -95720,,,                  7126,,                 30486,,                 17033,                 54645,               -150365,,,                  3886,,                   -756,,                    927,                  2203,               -148162,,                 -6629,               -141533,               -141533,,,,,,,,,,,,,,,,,                 11558,               -129975,,               -141533,,               -129975,,                             -1.26,,                             -1.26,,                              0,,                              0,,,,,,,                 13925,,                 -2367
3593,2013年度,,                223653,,                406472,               -182819,               -182819,,,                 32043,,                134270,,                 46644,                212957,               -395776,,,                 24307,,                -82902,,                  3391,                -61986,               -457762,,                  7018,               -464780,               -464780,,,,,,,,,,,,,,,,,                 36521,               -428259,,               -464780,,               -428259,,                             -4.12,,                             -4.12,,,,,,                              0,,                              0,,                              0,                 44060,                    -49,                 -7490
3593,2013年07月01日至2013年09月30日,,                 44480,,                 87014,                -42534,                -42534,,,                  5803,,                 39223,,                 11711,                 56737,                -99271,,,                  3576,,               -103805,,                    778,               -101007,               -200278,,                -22094,               -178184,               -178184,,,,,,,,,,,,,,,,,                 -5517,               -183701,,               -178184,,               -183701,,                             -1.58,,                             -1.58,,                              0,,                              0,,,,,,,                 -6647,,                  1130
3593,2013年04月01日至2013年06月30日,,                 62792,,                 82243,                -19451,                -19451,,,                  7126,,                 30486,,                 17033,                 54645,                -74096,,,                  3886,,                -77025,,                    927,                -74066,               -148162,,                 -6629,               -141533,               -141533,,,,,,,,,,,,,,,,,                 11558,               -129975,,               -141533,,               -129975,,                             -1.26,,                             -1.26,,                              0,,                              0,,,,,,,                 13925,,                 -2367
3593,2013年01月01日至2013年12月31日,,                223653,,                305954,                -82301,                -82301,,,                 32043,,                134270,,                 46644,                212957,               -295258,,,                 24307,,               -183420,,                  3391,               -162504,               -457762,,                  7018,               -464780,               -464780,,,,,,,,,,,,,,,,,                 36521,               -428259,,               -464780,,               -428259,,                             -4.12,,                             -4.12,,                              0,,                              0,,,,,,,                 44060,                    -49,                 -7490
3593,2013年01月01日至2013年09月30日,,                207990,,                442173,               -234183,               -234183,,,                 25696,,                 97960,,                 45971,                169627,               -403810,,,                 18874,,                -32185,,                  2899,                -16210,               -420020,,                -21767,               -398253,               -398253,,,,,,,,,,,,,,,,,                 28083,               -370170,,               -398253,,               -370170,,                             -3.53,,                             -3.53,,,,,,,,,,,                 33834,,                 -5751
3593,2013年01月01日至2013年06月30日,,                163510,,                280232,               -116722,               -116722,,,                 19893,,                 58737,,                 34260,                112890,               -229612,,,                 15298,,                 -3307,,                  2121,                  9870,               -219742,,                    327,               -220069,               -220069,,,,,,,,,,,,,,,,,                 33600,               -186469,,               -220069,,               -186469,,                             -1.95,,                             -1.95,,                              0,,                              0,,,,,,,                 40481,,                 -6881
3593,2013年01月01日至2013年03月31日,,                100718,,                121720,                -21002,                -21002,,,                 12767,,                 28251,,                 17227,                 58245,                -79247,,,                  9995,,                 -1134,,                  1194,                  7667,                -71580,,                  6956,                -78536,                -78536,,,,,,,,,,,,,,,,,                 22042,                -56494,,                -78536,,                -56494,,                             -0.70,,                             -0.70,,                              0,,                              0,,,,,,,                 26556,,                 -4514
3593,2012年07月01日至2012年09月30日,,                372504,,                366587,                  5917,                  5917,,,                 20548,,                 30901,,                 19877,                 71326,                -65409,,,                  4030,,                  1447,,                  1067,                  4410,                -60999,,                 -2546,                -58453,                -58453,,,,,,,,,,,,,,,,,                 -7271,                -65724,,                -58453,,                -65724,,                             -0.52,,                             -0.52,,                              0,,                              0,,,,,,,                 -8761,,                  1490
3593,2012年04月01日至2012年06月30日,,                405563,,                378954,                 26609,                 26609,,,                 21839,,                 32661,,                 21825,                 76325,                -49716,,,                  3734,,                   -925,,                    538,                  2271,                -47445,,                 -4706,                -42739,                -42739,,,,,,,,,,,,,,,,,                  3296,                -39443,,                -42739,,                -39443,,                             -0.38,,                             -0.38,,                              0,,                              0,,,,,,,                  3971,,                   -675
3593,2012年01月01日至2012年12月31日,,              1475787,,              1422806,                 52981,                 52981,,,                 94591,,                127301,,                 84018,                305910,               -252929,,,                 18340,,                -12739,,                  2922,                  2679,               -250250,,                -17646,               -232604,               -232604,,,,,,,,,,,,,,,,,                -23135,               -255739,,               -232604,,               -255739,,                             -2.06,,                             -2.06,,                              0,,                              0,,,,,,,                -27820,                    -44,                  4729
3593,2012年01月01日至2012年09月30日,,              1291087,,              1211164,                 79923,                 79923,,,                 62444,,                 98036,,                 64542,                225022,               -145099,,,                 13298,,                   -771,,                  1700,                 10827,               -134272,,                 -9018,               -125254,               -125254,,,,,,,,,,,,,,,,,                -24937,               -150191,,               -125254,,               -150191,,                             -1.11,,                             -1.11,,                              0,,                              0,,,,,,,                -30045,,                  5108
3593,2012年01月01日至2012年06月30日,,                918583,,                844577,                 74006,                 74006,,,                 41896,,                 67135,,                 44665,                153696,                -79690,,,                  9268,,                 -2218,,                    633,                  6417,                -73273,,                 -6472,                -66801,                -66801,,,,,,,,,,,,,,,,,                -17666,                -84467,,                -66801,,                -84467,,                             -0.59,,                             -0.59,,                              0,,                              0,,,,,,,                -21284,,                  3618
3593,2012年01月01日至2012年03月31日,,                513020,,                465623,                 47397,                 47397,,,                 20057,,                 34474,,                 22840,                 77371,                -29974,,,                  5525,,                 -1284,,                     95,                  4146,                -25828,,                 -1766,                -24062,                -24062,,,,,,,,,,,,,,,,,                -20962,                -45024,,                -24062,,                -45024,,                             -0.21,,                             -0.21,,                              0,,                              0,,,,,,,                -25255,,                  4293
