證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　　 銷貨收入,　　 銷貨成本,　　　 銷貨成本合計,　　　 可能重分類至損益之其他項目,　　 當期所得稅費用（利益）,　 停業單位損益,　　 停業單位損益合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 銷貨成本
8103,2013年07月01日至2013年09月30日,,,,                711597,                  6905,                  5921,                698771,                698771,,                480360,                218411,                218411,,,                 47306,,                 60693,,                  5117,                113116,                105295,,,                  3486,,                 -4891,,                  1469,,,                   -181,                 -3055,                102240,,,                 24763,                 77477,                 77477,,,,,,                -17781,                 59696,,                 77549,                    -72,,                 59133,                    563,,                              1.03,,                              0.99,                711597,,                480360,,,,,                -18869,                  1088,,                              0,
8103,2013年04月01日至2013年06月30日,,,,                655126,                  4662,                  4662,                645802,                645802,,                449546,                196256,                196256,,,                 46871,,                 58343,,                  8038,                113252,                 83004,,,                  3062,,                 -1530,,                  1185,,,,                    347,                 83351,,,                 20323,                 63028,                 63028,,,,,,                 29165,                 92193,,                 62635,                    393,,                 91534,                    659,,                              0.84,,                              0.80,,,                449546,,,,,                 27737,                  1428,,                              0,
8103,2013年01月01日至2013年12月31日,,,,              2560077,                 16872,                 21909,              2521296,              2521296,,              1747301,                773995,                773995,,,                187254,,                249413,,                 20933,                457600,                316395,,,                 13403,,                 29991,,                  6822,,                 -2979,                 -2979,                 33593,                349988,,,                 74671,                275317,                275317,,,,,,                 95631,                370948,,                274711,                    606,,                368684,                  2264,,                              3.67,,                              3.50,              2560077,,              1747301,,,,,                 86338,                  8619,                   -772,                 -1446,
8103,2013年01月01日至2013年09月30日,,,,,,,              1859165,              1859165,,              1284094,                575071,                575071,,,                137816,,                182718,,                 15232,                335766,                239305,,,                  8789,,                 11926,,                  4255,,                 -2752,                 -2752,                 13708,                253013,,,                 56874,                196139,                196139,,,,,,                 61436,                257575,,                195864,                    275,,                255938,                  1637,,                              2.62,,                              2.50,,,              1284094,,                 56874,,,                 55721,                  5715,,                              0,
8103,2013年01月01日至2013年06月30日,,,,              1175869,                  6603,                  8872,              1160394,              1160394,,                803734,                356660,                356660,,,                 90510,,                119163,,                 12977,                222650,                134010,,,                  5375,,                 16745,,                  2786,,,                 -2571,                 16763,                150773,,,                 32111,                118662,                118662,,,,,,                 79217,                197879,,                118315,                    347,,                196805,                  1074,,                              1.59,,                              1.51,,,                803734,,,,,                 74590,                  4627,,,
8103,2013年01月01日至2013年03月31日,,,,                520743,                  1941,                  4210,                514592,                514592,,                354188,                160404,                160404,,,                 43639,,                 60820,,                  4939,                109398,                 51006,,,                  2244,,                 15762,,                  1590,,                              0,                              0,                 16416,                 67422,,,                 11788,                 55634,                 55634,,,,,,                 50052,                105686,,                 55680,                    -46,,                105271,                    415,,                              0.75,,                              0.72,                520743,,                354188,,,,,                 46853,                  3199,,,
8103,2012年07月01日至2012年09月30日,,,,                658832,                 11181,                  6057,                641594,                641594,,                394296,                247298,                247298,,,                 46263,,                 61395,,                  4068,                111726,                135572,,,                  3887,,                -17350,,                  1453,,,                              0,                -14916,                120656,,,                 29023,                 91633,                 91633,,,,,,                 -3852,                 87781,,                 90839,                    794,,                 86987,                    794,,                              1.24,,                              1.17,                658832,,                394296,,,,,                -13300,                  9448,,                              0,
8103,2012年04月01日至2012年06月30日,,,,                629283,                  4267,                  5423,                619593,                619593,,                408255,                211338,                211338,,,                 42326,,                 54399,,                  5620,                102345,                108993,,,                  3475,,                 10236,,                  1550,,,,                 12161,                121154,,,                 29045,                 92109,                 92109,,,,,,                  2728,                 94837,,                 92109,                              0,,                 94837,                              0,,                              1.27,,                              1.24,,,                408255,,,,,                  5119,                 -2391,,                              0,
8103,2012年01月01日至2012年12月31日,,,,              2384555,                 21523,                 27048,              2335984,              2335984,,              1471080,                864904,                864904,,,                169063,,                230933,,                 18902,                418898,                446006,,,                 12369,,                -24102,,                  6723,,                              0,                              0,                -18456,                427550,,,                103462,                324088,                324088,,,,,,                -34669,                289419,,                323310,                    778,,                288768,                    651,,                              4.47,,                              4.16,              2384555,,              1471080,,,,,                -37346,                 10409,                 -7732,                              0,
8103,2012年01月01日至2012年09月30日,,,,              1871904,                 17731,                 13491,              1840682,              1840682,,              1150095,                690587,                690587,,,                127233,,                171512,,                 14083,                312828,                377759,,,                  9033,,                -20063,,                  4979,,,                              0,                -16009,                361750,,,                 83808,                277942,                277942,,,,,,                -26462,                251480,,                277148,                    794,,                250686,                    794,,                              3.86,,                              3.57,              1871904,,              1150095,,,,,                -37323,                 10861,,                              0,
8103,2012年01月01日至2012年06月30日,,,,              1213072,                  6550,                  7434,              1199088,              1199088,,                755799,                443289,                443289,,,                 80970,,                110117,,                 10015,                201102,                242187,,,                  5178,,                 -2745,,                  3526,,,,                 -1093,                241094,,,                 54785,                186309,                186309,,,,,,                -22610,                163699,,                186309,                              0,,                163699,                              0,,                              2.62,,                              2.49,,,                755799,,,,,                -24023,                  1413,,                              0,
8103,2012年01月01日至2012年03月31日,,,,                583789,                  2283,                  2011,                579495,                579495,,                347544,                231951,                231951,,,                 38644,,                 55718,,                  4395,                 98757,                133194,,,                  1703,,                -12981,,                  1976,,,,                -13254,                119940,,,                 25740,                 94200,                 94200,,,,,,                -25338,                 68862,,                 94200,                              0,,                 68862,                              0,,                              1.35,,                              1.23,                583789,,                347544,,                 25740,,,                -29142,                  3804,,                              0,                347544
