證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 利息費用,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
3591,2014年01月01日至2014年03月31日,,                670396,,                589042,                 81354,                 81354,,,                 32644,,                 48046,,                 30412,                111102,                -29748,,,                 13348,,                 28613,,                  5523,,                   -299,                 36139,                  6391,,                  2777,                  3614,                  3614,,,                  9522,                              0,,,                              0,                  9522,                  9522,                 13136,,                  6390,                 -2776,,                 15781,                 -2645,,                              0.06,,                              0.05,,,,,
3591,2013年第3季,,                826927,,                661809,                165118,                165118,,,                 28771,,                 76077,,                 28892,                133740,                 31378,,,                 18479,,                -27154,,                  3167,,                    201,                -11641,                 19737,,                  4010,                 15727,                 15727,,,,,,,,,                -18330,                 -2603,,                 26460,                -10733,,                  8218,                -10821,,                              0.23,,                              0.23,,                -18330,                              0,,                              0
3591,2013年第2季,,                813875,,                714059,                 99816,                 99816,,,                 27796,,                 50344,,                 25030,                103170,                 -3354,,,                 20411,,                 15997,,                  3180,,                 -5489,                 27739,                 24385,,                  1285,                 23100,                 23100,,,,,,,,,                 27988,                 51088,,                 25539,                 -2439,,                 53489,                 -2401,,                              0.22,,                              0.22,,                 27988,                              0,,                              0
3591,2013年度,,              2735952,,              2364010,                371942,                371942,,,                110436,,                221435,,                108892,                440763,                -68821,,,                 53370,,               -195339,,                 13975,,                 -6417,               -162361,               -231182,,                 19582,               -250764,               -250764,,,,,,,,,                112110,               -138654,,               -162271,                -88493,,                -50302,                -88352,,                             -1.42,,,                 13975,                 84903,                 23497,                  3710,                              0
3591,2013年07月01日至2013年09月30日,,                826927,,                661809,                165118,                165118,,,                 28771,,                 76077,,                 28892,                133740,                 31378,,,                 18479,,                -27154,,                  3167,,                    201,                -11641,                 19737,,                  4010,                 15727,                 15727,,,,,,,,,                -18330,                 -2603,,                 26460,                -10733,,                  8218,                -10821,,                              0.23,,                              0.23,,                -18330,                              0,,                              0
3591,2013年04月01日至2013年06月30日,,                813875,,                714059,                 99816,                 99816,,,                 27796,,                 50344,,                 25030,                103170,                 -3354,,,                 20411,,                 15997,,                  3180,,                 -5489,                 27739,                 24385,,                  1285,                 23100,                 23100,,,,,,,,,                 27988,                 51088,,                 25539,                 -2439,,                 53489,                 -2401,,                              0.22,,                              0.22,,                 27988,                              0,,                              0
3591,2013年01月01日至2013年12月31日,,              2735952,,              2364010,                371942,                371942,,,                110436,,                221435,,                108892,                440763,                -68821,,,                 53370,,               -195339,,                 13975,,                 -6417,               -162361,               -231182,,                 19582,               -250764,               -250764,,,,,,,,,                112110,               -138654,,               -162271,                -88493,,                -50302,                -88352,,                             -1.42,,                             -1.42,,                 84903,                 23497,                  3710,                              0
3591,2013年01月01日至2013年09月30日,,              2095433,,              1794353,                301080,                301080,,,                 76081,,                165901,,                 73262,                315244,                -14164,,,                 50542,,                -17331,,                  9614,,                 -6151,                 17446,                  3282,,                  5329,                 -2047,                 -2047,,,,,,,,,                 76920,                 74873,,                 11137,                -13184,,                 87968,                -13095,,                              0.10,,                              0.10,,                 53423,                 23497,,                              0
3591,2013年01月01日至2013年06月30日,,              1268506,,              1132544,                135962,                135962,,,                 47310,,                 89824,,                 44370,                181504,                -45542,,,                 32063,,                  9823,,                  6447,,                 -6352,                 29087,                -16455,,                  1319,                -17774,                -17774,,,,,,,,,                 95250,                 77476,,                -15323,                 -2451,,                 79750,                 -2274,,                             -0.13,,                             -0.13,,                 71753,                 23497,,                              0
3591,2013年01月01日至2013年03月31日,,                454631,,                418485,                 36146,                 36146,,,                 19514,,                 39480,,                 19340,                 78334,                -42188,,,                 11652,,                 -6174,,                  3267,,                   -863,                  1348,                -40840,,                     34,                -40874,                -40874,,,,,,,,,                 67262,                 26388,,                -40862,                    -12,,                 26261,                    127,,                             -0.35,,                             -0.35,,                 43765,                 23497,,                              0
3591,2012年07月01日至2012年09月30日,,                570740,,                488130,                 82610,                 82610,,,                 23029,,                 35262,,                 19473,                 77764,                  4846,,,                  8302,,                 -2455,,                  3200,,                              0,                  2647,                  7493,,                  5502,                  1991,                  1991,,,,,,,,,                -30992,                -29001,,                  1991,                              0,,                -29001,                              0,,                              0.02,,                              0.02,,                -12629,                -18363,,                              0
3591,2012年04月01日至2012年06月30日,,                624194,,                517434,                106760,                106760,,,                 24495,,                 35159,,                 23395,                 83049,                 23711,,,                  6744,,                  3595,,                  1445,,                              0,                  8894,                 32605,,                  1129,                 31476,                 31476,,,,,,,,,                  1393,                 32869,,                 31476,                              0,,                 32869,                              0,,                              0.27,,                              0.27,,                  4208,                 -2815,,                              0
3591,2012年01月01日至2012年12月31日,,              2262865,,              1931468,                331397,                331397,,,                 92327,,                135718,,                 82193,                310238,                 21159,,,                 40182,,                 -1235,,                 11356,,                              0,                 27591,                 48750,,                 14768,                 33982,                 33982,,,,,,,,,                -64721,                -30739,,                 34048,                    -66,,                -30671,                    -68,,                              0.30,,                              0.29,,                -40164,                -23497,                 -1060,                              0
3591,2012年01月01日至2012年09月30日,,              1800535,,              1503799,                296736,                296736,,,                 70207,,                102176,,                 60018,                232401,                 64335,,,                 29470,,                  3179,,                  8607,,                              0,                 24042,                 88377,,                 13164,                 75213,                 75213,,,,,,,,,                -54482,                 20731,,                 75213,                              0,,                 20731,                              0,,                              0.65,,                              0.64,,                -40191,                -14291,,                              0
3591,2012年01月01日至2012年06月30日,,              1229795,,              1015669,                214126,                214126,,,                 47178,,                 66914,,                 40545,                154637,                 59489,,,                 21168,,                  5634,,                  5407,,                              0,                 21395,                 80884,,                  7662,                 73222,                 73222,,,,,,,,,                -23490,                 49732,,                 73222,                              0,,                 49732,                              0,,                              0.64,,                              0.62,,                -27562,                  4072,,                              0
3591,2012年01月01日至2012年03月31日,,                605601,,                498235,                107366,                107366,,,                 22683,,                 31755,,                 17150,                 71588,                 35778,,,                 14424,,                  2039,,                  3962,,                              0,                 12501,                 48279,,                  6533,                 41746,                 41746,,,,,,,,,                -24883,                 16863,,                 41746,                              0,,                 16863,                              0,,                              0.37,,                              0.35,,                -31770,                  6887,,                              0
