證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資性不動產利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 減損損失,　　　　 金融資產減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 其他收入－其他,　　　 與可能重分類之項目相關之所得稅,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 財務成本,　　　 財務成本淨額,　　　 利息收入,　　　　 利息收入合計
2483,2014年01月01日至2014年03月31日,,                376698,,                297699,                 78999,                 78999,,,                 19956,,                 29402,,                 17638,                 66996,                 12003,,,                  5025,,,                  3989,                  9809,                  7456,                  1119,,,,                 20135,,                  3789,                  3789,                 28949,                 40952,,                  2400,                 38552,                 38552,,,                 11594,                  1575,                 11193,                 11193,                 49745,,                 37635,                    917,,                 48856,                    889,,                              0.34,,                              0.34,                  5025,                  1976,,                              0,,,,,,,,
2483,2013年第3季,,                428839,,                330316,                 98523,                 98523,,,                 21372,,                 29088,,                 18665,                 69125,                 29398,,,                  7313,,                              0,                    439,                 -3200,                    336,                  1145,,,,                 -3570,,,                              0,                  3743,                 33141,,                  3466,                 29675,                 29675,,,,,,                  2108,                 31783,,                 28804,                    871,,                 30912,                    871,,                              0.26,,                              0.26,,,,,                 -1593,                  3701,,,,,,
2483,2013年第2季,,                429154,,                336240,                 92914,                 92914,,,                 22959,,                 29475,,                 18936,                 71370,                 21544,,,                  5246,,                              0,                  1108,                  6396,                 -2777,                    575,,,,                  4152,,                  5150,                  5150,                 14548,                 36092,,                 11695,                 24397,                 24397,,,,,,                  6094,                 30491,,                 24383,                     14,,                 30477,                     14,,                              0.22,,                              0.22,                  5246,,,,                  7282,                 -1188,,                              0,,,,
2483,2013年度,,              1592380,,              1259400,                332980,                332980,,,                 81133,,                124738,,                 74385,                280256,                 52724,,,                 24072,,                              0,                 38718,                 21165,                  8497,                  2999,,,,                 65381,,,                 10867,                100320,                153044,,                 28021,                125023,                125023,,,,,,                 38470,                163493,,                122282,                  2741,,                160752,                  2741,,                              1.10,,                              1.10,,,,,                 21651,                 16670,                    191,                     42,,,,
2483,2013年07月01日至2013年09月30日,,                428839,,                330316,                 98523,                 98523,,,                 21372,,                 29088,,                 18665,                 69125,                 29398,,,                  7313,,,,,,,,,,                 -3396,,,                              0,                  3743,                 33141,,                  3466,                 29675,                 29675,,,,,,                  2108,                 31783,,                 28804,                    871,,                 30912,                    871,,                              0.26,,                              0.26,,,,,                 -1593,                  3701,,,,                    174,,
2483,2013年04月01日至2013年06月30日,,                429154,,                336240,                 92914,                 92914,,,                 22959,,                 29475,,                 18936,                 71370,                 21544,,,                  5246,,,,,,,,,,                  4154,,,                  5150,                 14548,                 36092,,                 11695,                 24397,                 24397,,,,,,                  6094,                 30491,,                 24383,                     14,,                 30477,                     14,,                              0.21,,                              0.21,,,,,                  7282,                 -1188,,,,                      2,,
2483,2013年01月01日至2013年12月31日,,              1592380,,              1259400,                332980,                332980,,,                 81133,,                124738,,                 74385,                280256,                 52724,,,                 24072,,,,,,,,,,                 65621,,,                 10867,                100320,                153044,,                 28021,                125023,                125023,,,,,,                 38470,                163493,,                122282,                  2741,,                160752,                  2741,,                              1.10,,                              1.10,,,,,                 21651,                 16670,                    149,,,                    240,,
2483,2013年01月01日至2013年09月30日,,              1213698,,                951256,                262442,                262442,,,                 63527,,                 86513,,                 54119,                204159,                 58283,,,                 14469,,                              0,                  3271,                 15572,                   -282,                  2632,,,,                 15929,,,                  5150,                 35548,                 93831,,                 17297,                 76534,                 76534,,,,,,                 24893,                101427,,                 75011,                  1523,,                 99904,                  1523,,                              0.67,,                              0.67,,,,,                 17263,                  7630,,,,,,
2483,2013年01月01日至2013年06月30日,,                784859,,                620940,                163919,                163919,,,                 42155,,                 57425,,                 35454,                135034,                 28885,,,                  7156,,                              0,                  2832,                 18772,                   -618,                  1487,,,,                 19499,,                  5150,                  5150,                 31805,                 60690,,                 13831,                 46859,                 46859,,,,,,                 22785,                 69644,,                 46207,                    652,,                 68992,                    652,,                              0.41,,                              0.41,                  7156,,,,                 18856,                  3929,,                              0,,,,
2483,2013年01月01日至2013年03月31日,,                355705,,                284700,                 71005,                 71005,,,                 19196,,                 27950,,                 16518,                 63664,                  7341,,,                  1868,,,                  1724,                 12376,                  2159,                    870,,,,                 15389,,                              0,                              0,                 17257,                 24598,,                  2136,                 22462,                 22462,,,,,,                 16691,                 39153,,                 21824,                    638,,                 38515,                    638,,                              0.20,,                              0.20,                  1868,,,                              0,                 11574,                  5117,,                              0,,,,
2483,2012年07月01日至2012年09月30日,,                381338,,                301218,                 80120,                 80120,,,                 21744,,                 27456,,                 17446,                 66646,                 13474,,,                  6886,,,,,,,,,,                 -3339,,,                              0,                  3547,                 17021,,                  4028,                 12993,                 12993,,,,,,                 -6352,                  6641,,                 12543,                    450,,                  6191,                    450,,                              0.11,,                              0.11,,,,,                 -7997,                  1645,,,,                              0,,
2483,2012年04月01日至2012年06月30日,,                431545,,                364756,                 66789,                 66789,,,                 22616,,                 28295,,                 17256,                 68167,                 -1378,,,                  5886,,,,,,,,,,                  2210,,,                  4824,                 12906,                 11528,,                  1442,                 10086,                 10086,,,,,,                 -3501,                  6585,,                 10195,                   -109,,                  6694,                   -109,,                              0.09,,                              0.09,,,,,                  2621,                 -6122,,,,                     14,,
2483,2012年01月01日至2012年12月31日,,              1511678,,              1256390,                255288,                255288,,,                 84714,,                110041,,                 67597,                262352,                 -7064,,,                 23780,,,,,,,,,,                -21872,,,                  9336,                 11211,                  4147,,                 19025,                -14878,                -14878,,,,,,                -21819,                -36697,,                -15645,                    767,,                -37448,                    751,,                             -0.14,,                             -0.14,,,,,                -18366,                 -1462,                 -1991,,,                     33,,
2483,2012年01月01日至2012年09月30日,,              1174975,,                979587,                195388,                195388,,,                 64819,,                 83523,,                 51070,                199412,                 -4024,,,                 16341,,,,,,,,,,                 -8907,,,                  4824,                 12235,                  8211,,                 13801,                 -5590,                 -5590,,,,,,                -18515,                -24105,,                 -6194,                    604,,                -24709,                    604,,                             -0.05,,                             -0.05,,,,,                -17967,                   -548,,,,                     23,,
2483,2012年01月01日至2012年06月30日,,                793637,,                678369,                115268,                115268,,,                 43075,,                 56067,,                 33624,                132766,                -17498,,,                  9455,,,,,,,,,,                 -5568,,,                  4824,                  8688,                 -8810,,                  9773,                -18583,                -18583,,,,,,                -12163,                -30746,,                -18737,                    154,,                -30900,                    154,,                             -0.17,,                             -0.17,,,,,                 -9970,                 -2193,,,,                     23,,
2483,2012年01月01日至2012年03月31日,,                362092,,                313613,                 48479,                 48479,,,                 20459,,                 27772,,                 16368,                 64599,                -16120,,,                  3569,,,,,,,,,,                 -7778,,,,                 -4218,                -20338,,                  8331,                -28669,                -28669,,,,,,                 -8662,                -37331,,                -28932,                    263,,                -37594,                    263,,                             -0.26,,                             -0.26,                  3065,,,                              0,                -12591,                  3929,,,,                      9,,                    504
