證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位稅後損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 與其他綜合損益組成部分相關之所得稅,　　 停業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）,　　 銷貨收入淨額,　　　 銷貨收入淨額,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　　 其他收入－其他
2428,2014年01月01日至2014年06月30日,,              2138386,,              1567281,                571105,                571105,,,                 72666,,                129336,,                 40508,                242510,                328595,,,                 31123,,                  8025,,                  2989,                 36159,                364754,,                101024,                263730,,                    397,                    397,                264127,,,                -30620,                  1048,                 -5208,                -24364,                -24364,                239763,,                258427,                  5700,,                234455,                  5308,,                              2.04,                              2.04,,                              2.00,                              2.00,,,,,,,,,,,,
2428,2014年01月01日至2014年03月31日,,              1005005,,                725444,                279561,                279561,,,                 32524,,                 61693,,                 19294,                113511,                166050,,,                 17772,,                 16593,,                  1757,                 32608,                198658,,                 45632,                153026,,                    607,                    607,                153633,,,,,,,                 21415,                175048,,                151975,                  1658,,                173048,                  2000,,                              1.20,                              1.20,,                              1.17,                              1.17,                 25324,                    394,                  4303,,,,,,,,,
2428,2013年第3季,,              1124743,,                832190,                292553,                292553,,,                 36222,,                 66257,,                 10662,                113141,                169875,,,                 12494,,                 -6572,,                  1272,                  4650,                174525,,                 44046,                130479,,                              0,                              0,                130479,,,,,,,                -16049,                114430,,                146963,                -16484,,                131059,                -16629,,                              1.16,                              1.16,,                              1.14,                              1.14,                -20701,                  1133,                 -3519,,,,              1124743,,                 -9537,,,
2428,2013年第2季,,              1124387,,                859043,                265344,                265344,,,                 31395,,                 62462,,                 15409,                109266,                156078,,,                  5701,,                  6367,,                  1223,                 10845,                166923,,                 54538,                112385,,                              0,                              0,                112385,,,,,,,                 39609,                151994,,                118886,                 -6501,,                157487,                 -5493,,                              0.94,                              0.94,,                              0.92,                              0.92,                 46595,                  1431,                  8417,,,,,,,,,
2428,2013年度,,              4270222,,              3180989,              1089233,              1089233,,,                134038,,                244574,,                 54153,                432765,                656468,,,                 36370,,                 17238,,                  5803,                 47805,                704273,,                178878,                525395,,                -41706,                -41706,                483689,,,,,,,                124878,                608567,,                509155,                -25466,,                631056,                -22489,,                              4.18,                              4.01,,                              4.12,                              3.95,                146983,                  3909,                 26014,                             -0.17,                             -0.17,,,,,,,
2428,2013年07月01日至2013年09月30日,,              1124743,,                832190,                292553,                292553,,,                 36222,,                 66257,,                 10662,                113141,                169875,,,                 12494,,                 -6572,,                  1272,                  4650,                174525,,                 44046,                130479,,,,                130479,,,,,,,                -16049,                114430,,                146963,                -16484,,                131059,                -16629,,                              1.16,                              1.16,,                              1.14,                              1.14,                -20701,                  1133,                 -3519,,,,,,                 -9537,                              0,                              0,
2428,2013年04月01日至2013年06月30日,,              1124387,,                859043,                265344,                265344,,,                 31395,,                 62462,,                 15409,                109266,                156078,,,                  5701,,                  6367,,                  1223,                 10845,                166923,,                 54538,                112385,,,,                112385,,,,,,,                 39609,                151994,,                118886,                 -6501,,                157487,                 -5493,,,                              0.94,,,                              0.92,                 45997,                  1431,                  7819,,,,,,,,,
2428,2013年01月01日至2013年12月31日,,              4270222,,              3180989,              1089233,              1089233,,,                134038,,                244574,,                 54153,                432765,                656468,,,                 36370,,                 17238,,                  5803,                 47805,                704273,,                178878,                525395,,                -41706,                -41706,                483689,,,,,,,                124878,                608567,,                509155,                -25466,,                631056,                -22489,,                              4.18,                              4.01,,                              4.12,                              3.95,                146983,                  3909,                 26014,                             -0.17,                             -0.17,,,,,                              0,                              0,
2428,2013年01月01日至2013年09月30日,,              3140932,,              2382223,                758709,                758709,,,                 95753,,                181309,,                 39689,                316751,                432421,,,                 26727,,                 -1630,,                  5052,                 20045,                452466,,                129055,                323411,,                              0,                              0,                323411,,,,,,,                 80314,                403725,,                349773,                -26362,,                427821,                -24096,,                              2.76,                              2.76,,                              2.71,                              2.71,                 94279,                  3087,                 17052,,,,              3140932,,                 -9537,,,
2428,2013年01月01日至2013年06月30日,,              2016189,,              1550033,                466156,                466156,,,                 59531,,                115052,,                 29027,                203610,                262546,,,                 14233,,                  4942,,                  3780,                 15395,                277941,,                 85009,                192932,,                              0,                              0,                192932,,,,,,,                 96363,                289295,,                202810,                 -9878,,                296762,                 -7467,,                              1.60,                              1.60,,                              1.57,                              1.57,                114980,                  1954,                 20571,,,,,,,,,
2428,2013年01月01日至2013年03月31日,,                891802,,                690990,                200812,                200812,,,                 28136,,                 52590,,                 13618,                 94344,                106468,,,                  6798,,                    309,,                  2557,                  4550,                111018,,                 30471,                 80547,,                              0,                              0,                 80547,,,,,,,                 56754,                137301,,                 83924,                 -3377,,                139275,                 -1974,,                              0.66,                              0.66,,                              0.65,                              0.65,                 68385,                    523,                 12154,,,,,,,,,
2428,2012年07月01日至2012年09月30日,,              1052857,,                788655,                264202,                264202,,,                 33375,,                 55892,,                 15861,                105128,                159074,,,                  9398,,                 -4266,,                  2276,                  2856,                161930,,                 32874,                129056,,,,                129056,,,,,,,                -46048,                 83008,,                132956,                 -3900,,                 87950,                 -4942,,                              1.05,                              1.05,,                              1.01,                              1.01,                -55770,                    510,                 -9212,,,,,,                              0,                              0,                              0,
2428,2012年04月01日至2012年06月30日,,              1104388,,                825991,                278397,                278397,,,                 38705,,                 70612,,                 20324,                129641,                148756,,,                 14928,,                 12830,,                  2273,                 25485,                174241,,                 57585,                116656,,,,                116656,,,,,,,                 18930,                135586,,                112638,                  4018,,                131137,                  4449,,,                              0.89,,,                              0.86,                 22692,                   -120,                  3642,,,,,,,,,
2428,2012年01月01日至2012年12月31日,,              4122610,,              3163575,                959035,                959035,,,                132053,,                225368,,                 72175,                429596,                529439,,,                 47180,,                -12344,,                  9660,                 25176,                554615,,                143356,                411259,,                              0,                              0,                411259,,,,,,,                -75597,                335662,,                427598,                -16339,,                353779,                -18117,,                              3.37,                              3.37,,                              3.26,                              3.26,                -90860,                  1059,                -14204,                              0.00,                              0.00,,,,,                              0,                              0,
2428,2012年01月01日至2012年09月30日,,              3115914,,              2366998,                748916,                748916,,,                 97583,,                176483,,                 52580,                326646,                422270,,,                 33554,,                 -6489,,                  6688,                 20377,                442647,,                118339,                324308,,,,                324308,,,,,,,                -74431,                249877,,                332291,                 -7983,,                259628,                 -9751,,                              2.62,                              2.62,,                              2.52,                              2.52,                -90122,                    964,                -14727,,,,,,                              0,                              0,                              0,
2428,2012年01月01日至2012年06月30日,,              2063057,,              1578343,                484714,                484714,,,                 64208,,                120591,,                 36719,                221518,                263196,,,                 24156,,                 -2223,,                  4412,                 17521,                280717,,                 85465,                195252,,,,                195252,,,,,,,                -28383,                166869,,                199335,                 -4083,,                171678,                 -4809,,,                              1.57,,,                              1.52,                -34352,                    454,                 -5515,,,,,,,,,
2428,2012年01月01日至2012年03月31日,,                958669,,                752352,                206317,                206317,,,                 25503,,                 49979,,                 16395,                 91877,                114440,,,                  9228,,                -15053,,                  2139,                 -7964,                106476,,                 27880,                 78596,,,,                 78596,,,,,,,                -47266,                 31330,,                 86697,                 -8101,,                 40588,                 -9258,,,                              0.68,,,                              0.66,                -57044,                    621,                 -9157,,,,,,,,,                  9228
