證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 本期綜合損益總額,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計
3686,2014年01月01日至2014年03月31日,,                433691,,                496884,                -63193,                -63193,,,                  1096,,                 19852,,                  5431,                 26379,                -89572,,,                  1312,,                      1,,                  8259,,                 -7053,                -13999,               -103571,,                 -8065,                -95506,                -95506,                -92909,,                             -0.28,                             -0.28,,                             -0.28,                             -0.28,,,,                  2597,                  2597,                  2597,,
3686,2013年第3季,,                300911,,                434532,               -133621,               -133621,,,                    930,,                 14018,,                  4640,                 19588,               -153209,,,                    609,,                 -2483,,                 10858,,                   -181,                -12913,               -166122,,                -25311,               -140811,               -140811,               -142791,,                             -0.55,                             -0.55,,                             -0.55,                             -0.55,,,,,,                 -1980,,                 -1980
3686,2013年第2季,,                223772,,                376760,               -152988,               -152988,,,                  1416,,                 15019,,                  3836,                 20271,               -173259,,,                  2132,,                    349,,                 10098,,                  2738,                 -4879,               -178138,,                -27850,               -150288,               -150288,               -149636,,                             -0.59,                             -0.59,,                             -0.59,                             -0.59,,,,,,                    652,,                    652
3686,2013年度,,              1011473,,              1595734,               -584261,               -584261,,,                  4093,,                 61403,,                 17368,                 82864,               -667125,,,                  7193,,                -45367,,                 44788,,                  9883,                -73079,               -740204,,               -115936,               -624268,               -624268,               -624479,,                             -2.41,                             -2.41,,                             -2.41,                             -2.41,,,,,,                   -211,,                   -211
3686,2013年07月01日至2013年09月30日,,                300911,,                434532,               -133621,               -133621,,,                    930,,                 14018,,                  4640,                 19588,               -153209,,,                    609,,                 -2483,,                 10858,,                   -181,                -12913,               -166122,,                -25311,               -140811,               -140811,               -142791,,                             -0.55,                             -0.55,,                             -0.55,                             -0.55,,,,,,                 -1980,,                 -1980
3686,2013年04月01日至2013年06月30日,,                223772,,                376760,               -152988,               -152988,,,                  1416,,                 15019,,                  3836,                 20271,               -173259,,,                  2132,,                    349,,                 10098,,                  2738,                 -4879,               -178138,,                -27850,               -150288,               -150288,               -149636,,                             -0.59,                             -0.59,,,,,,,,,                    652,,                    652
3686,2013年01月01日至2013年12月31日,,              1011473,,              1595734,               -584261,               -584261,,,                  4093,,                 61403,,                 17368,                 82864,               -667125,,,                  7193,,                -45367,,                 44788,,                  9883,                -73079,               -740204,,               -115936,               -624268,               -624268,               -624479,,                             -2.41,                             -2.41,,                             -2.41,                             -2.41,,,,,,                   -211,,                   -211
3686,2013年01月01日至2013年09月30日,,                674169,,              1128086,               -453917,               -453917,,,                  3663,,                 47752,,                 12693,                 64108,               -518025,,,                  4851,,                   -634,,                 32831,,                 -2621,                -31235,               -549260,,                -84271,               -464989,               -464989,               -464805,,                             -1.81,                             -1.81,,                             -1.81,                             -1.81,,,,,,                    184,,                    184
3686,2013年01月01日至2013年06月30日,,                373258,,                693554,               -320296,               -320296,,,                  2733,,                 33734,,                  8053,                 44520,               -364816,,,                  4242,,                  1849,,                 21973,,                 -2440,                -18322,               -383138,,                -58960,               -324178,               -324178,               -322014,,                             -1.28,                             -1.28,,                             -1.28,                             -1.28,,,,,,                  2164,,                  2164
3686,2013年01月01日至2013年03月31日,,                149486,,                316794,               -167308,               -167308,,,                  1317,,                 18715,,                  4217,                 24249,               -191557,,,                  2110,,                  1500,,                 11875,,                 -5178,                -13443,               -205000,,                -31110,               -173890,               -173890,               -172378,,                             -0.71,                             -0.71,,                             -0.71,                             -0.71,,,,,,                  1512,,                  1512
3686,2012年07月01日至2012年09月30日,,                187318,,                388376,               -201058,               -201058,,,                    930,,                 15443,,                  4105,                 20478,               -221536,,,                  3910,,                  2254,,                 18145,,                  4164,                 -7817,               -229353,,                -30977,               -198376,               -198376,               -198512,,                             -0.97,                             -0.97,,                             -0.97,                             -0.97,,,,,,                   -136,,                   -136
3686,2012年04月01日至2012年06月30日,,                307974,,                496660,               -188686,               -188686,,,                  1589,,                 16651,,                  4986,                 23226,               -211912,,,                  4716,,                     18,,                 20143,,                   -547,                -15956,               -227868,,                -38644,               -189224,               -189224,               -189224,,                             -0.93,                             -0.93,,,,,,,,,                              0,,                              0
3686,2012年01月01日至2012年12月31日,,                902783,,              1635394,               -732611,               -732611,,,                  5006,,                 62939,,                 19079,                 87024,               -819635,,,                 17300,,                  5839,,                 71511,,                -14519,                -62891,               -882526,,               -127244,               -755282,               -755282,               -755483,,                             -3.71,                             -3.71,,                             -3.71,                             -3.71,,,,,,                   -201,,                   -201
3686,2012年01月01日至2012年09月30日,,                790303,,              1310761,               -520458,               -520458,,,                  4046,,                 48361,,                 15612,                 68019,               -588477,,,                 14136,,                  5342,,                 54527,,                  4459,                -30590,               -619067,,                -97278,               -521789,               -521789,               -521925,,                             -2.56,                             -2.56,,                             -2.56,                             -2.56,,,,,,                   -136,,                   -136
3686,2012年01月01日至2012年06月30日,,                602985,,                922385,               -319400,               -319400,,,                  3116,,                 32918,,                 11507,                 47541,               -366941,,,                 10226,,                  3088,,                 36382,,                    295,                -22773,               -389714,,                -66301,               -323413,               -323413,               -323413,,                             -1.59,                             -1.59,,,,,,,,,                              0,,                              0
3686,2012年01月01日至2012年03月31日,,                295011,,                425725,               -130714,               -130714,,,                  1527,,                 16267,,                  6521,                 24315,               -155029,,,                  5510,,                  3070,,                 16239,,                    842,                 -6817,               -161846,,                -27657,               -134189,               -134189,               -134189,,                             -0.66,                             -0.66,,,,,,,,,                              0,,                              0
