證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　　 銷貨收入,　　　 銷貨成本,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　 與待出售非流動資產直接相關之權益-後續可能,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 可能重分類至損益之其他項目,　　　 與可能重分類之項目相關之所得稅,　　　 其他收入－其他,　 停業單位損益,　　 停業單位損益合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）
2443,2014年01月01日至2014年03月31日,,,,                 94818,,,                 94818,                 94818,,,                 69959,                 69959,                 24859,,,                 24859,,,                  4950,,                 32316,,                  3082,                 40348,                -15489,,,                  8872,,                 -1614,,                              0,                  7258,                 -8231,,                 -1347,                 -6884,                 -6884,,,,,,,,,,,,,,                 25306,                    521,                 25827,                 25827,                 18943,,                -10139,                  3255,,                 15688,                  3255,,                             -0.07,                             -0.07,,                             -0.07,,                             -0.07,                 94818,                 69959,,,,,,,,,,,,,,,
2443,2013年第3季,,,,                143896,,,                143896,                143896,,,                131007,                131007,                 12889,,,                 12889,,,                  2999,,                 40444,,                  9033,                 52476,                -39587,,,                  3729,,                 48067,,                  1252,                 50544,                 10957,,                    997,                  9960,                  9960,,,,,,,,,,,,,,,,,                  4441,                 14401,,                  4846,                  5114,,                  9287,                  5114,,                              0.03,                              0.03,,                              0.03,,                              0.03,                143896,                131007,,,,,,,,,,                  3729,,,                  2444,                  1997,
2443,2013年第2季,,,,                140065,,,                140065,                140065,,,                106662,                106662,                 33403,,,                 33403,,,                  2334,,                 40255,,                  8475,                 51064,                -17661,,,                  2702,,                 10898,,                  1966,                 11634,                 -6027,,                     68,                 -6095,                 -6095,,,,,,,,,,,,,,,,,                 12777,                  6682,,                 -8739,                  2644,,                  4038,                  2644,,                             -0.06,                             -0.06,,                             -0.06,,                             -0.06,,                106662,,,,,,,,,,                  2702,,,                 11971,                    806,
2443,2013年度,,,,                516235,,,                516235,                516235,,,                452810,                452810,                 63425,,,                 63425,,,                 10854,,                192282,,                 33793,                236929,                -86384,,,                 16124,,                857656,,                  5378,                868402,                782018,,                 14011,                768007,                768007,,,,,,,,,,,,,,,,,                 63578,                831585,,                641650,                126357,,                705228,                126357,,                              4.40,                              4.40,,                              4.40,,                              4.40,                516235,                452810,,                 87120,,,,,,,,                 16124,,                              0,                 59531,                  4439,                   -392
2443,2013年07月01日至2013年09月30日,,,,                143896,,,                143896,                143896,,,                131007,                131007,                 12889,,,                 12889,,,                  2999,,                 40444,,                  9033,                 52476,                -39587,,,                  3729,,                 48067,,                  1252,                 50544,                 10957,,                    997,                  9960,                  9960,,,,,,,,,,,,,,,,,                  4441,                 14401,,                  4846,                  5114,,                  9287,                  5114,,                              0.03,                              0.03,,                              0.03,,                              0.03,,                131007,,,,,,,,,,                  3729,,,                  2444,                  1997,
2443,2013年04月01日至2013年06月30日,,,,                140065,,,                140065,                140065,,,                106662,                106662,                 33403,,,                 33403,,,                  2334,,                 40255,,                  8475,                 51064,                -17661,,,                  2702,,                 10898,,                  1966,                 11634,                 -6027,,                     68,                 -6095,                 -6095,,,,,,,,,,,,,,,,,                 12777,                  6682,,                 -8739,                  2644,,                  4038,                  2644,,                             -0.02,                             -0.02,,                             -0.02,,                             -0.02,,                106662,,,,,,,,,,                  2702,,,                 11971,                    806,
2443,2013年01月01日至2013年12月31日,,,,                516235,,,                516235,                516235,,,                452810,                452810,                 63425,,,                 63425,,,                 10854,,                192282,,                 33793,                236929,                -86384,,,                 16124,,                857656,,                  5378,                868402,                782018,,                 14011,                768007,                768007,,,,,,,,,,,,,,,,,                 63578,                831585,,                641650,                126357,,                705228,                126357,,                              4.40,                              4.40,,                              4.40,,                              4.40,                516235,                452810,,                 87120,,,,,,,,                 16124,,                              0,                 59531,                  4439,                   -392
2443,2013年01月01日至2013年09月30日,,,,                397106,,,                397106,                397106,,,                336405,                336405,                 60701,,,                 60701,,,                  7364,,                125044,,                 26598,                159006,                -98305,,,                  8916,,                 51925,,                  3634,                 57207,                -41098,,                  1088,                -42186,                -42186,,,,,,,,,,,,,,,,,                 32488,                 -9698,,                -44716,                  2530,,                -12228,                  2530,,                             -0.31,                             -0.31,,                             -0.31,,                             -0.31,                397106,                336405,,,,,,,,,,                  8916,,,                 29453,                  3035,
2443,2013年01月01日至2013年06月30日,,,,                253210,,,                253210,                253210,,,                205398,                205398,                 47812,,,                 47812,,,                  4365,,                 84600,,                 17565,                106530,                -58718,,,                  5187,,                  3858,,                  2382,                  6663,                -52055,,                     91,                -52146,                -52146,,,,,,,,,,,,,,,,,                 28047,                -24099,,                -49562,                 -2584,,                -21515,                 -2584,,                             -0.34,                             -0.34,,                             -0.34,,                             -0.34,,                205398,,,,,,,,,,                  5187,,,                 27009,                  1038,
2443,2013年01月01日至2013年03月31日,,,,                113145,,,                113145,                113145,,,                 98736,                 98736,                 14409,,,                 14409,,,                  2031,,                 44345,,                  9090,                 55466,                -41057,,,                  2485,,                 -7040,,                    416,                 -4971,                -46028,,                     23,                -46051,                -46051,,,,,,,,,,,,,,,,,                 15270,                -30781,,                -40823,                 -5228,,                -25553,                 -5228,,                             -0.28,                             -0.28,,                             -0.28,,                             -0.28,,                 98736,,,,,,,,,,                  2485,,,                 15038,                    232,
2443,2012年07月01日至2012年09月30日,,,,                159474,,,                159474,                159474,,,                153206,                153206,                  6268,,,                  6268,,,                  4322,,                 51524,,                 14126,                 69972,                -63704,,,                  2020,,                 32186,,                    500,                 33706,                -29998,,                              0,                -29998,                -29998,,,,,,,,,,,,,,,,,                -46512,                -76510,,                -23758,                 -6240,,                -70270,                 -6240,,                             -0.16,                             -0.16,,                             -0.16,,                             -0.16,,                153206,,,,,,,,,,                  2020,,,                -46831,                    319,
2443,2012年04月01日至2012年06月30日,,,,                268766,,,                268766,                268766,,,                227045,                227045,                 41721,,,                 41721,,,                    757,,                 55893,,                 15304,                 71954,                -30233,,,                  1029,,                 -1669,,                  1011,                 -1651,                -31884,,                   -912,                -30972,                -30972,,,,,,,,,,,,,,,,,                -21255,                -52227,,                -28824,                 -2148,,                -50079,                 -2148,,                             -0.08,                             -0.08,,                             -0.08,,                             -0.08,,                227045,,,,,,,,,,                  1029,,,                -21938,                    683,
2443,2012年01月01日至2012年12月31日,,,,                834231,,,                834231,                834231,,,                735329,                735329,                 98902,,,                 98902,,,                 27877,,                232227,,                 61915,                322019,               -571597,,,                 22690,,               -620316,,                  6749,               -604375,             -1175972,,                 -3349,             -1172623,             -1172623,,,,,,,,,,,,,,,,,                 12613,             -1160010,,             -1053134,               -119489,,             -1040521,               -119489,,                             -7.23,                             -7.23,,                             -7.23,,                             -7.23,                834231,                735329,,               -348480,,,,,,,,                 22690,,                              0,                 11014,                  2222,                   -623
2443,2012年01月01日至2012年09月30日,,,,                690513,,,                690513,                690513,,,                610547,                610547,                 79966,,,                 79966,,,                  7954,,                170036,,                 45677,                223667,               -143701,,,                  7416,,                 55127,,                  4508,                 58035,                -85666,,                   -912,                -84754,                -84754,,,,,,,,,,,,,,,,,                  4288,                -80466,,                -73681,                -11073,,                -69393,                -11073,,                             -0.51,                             -0.51,,                             -0.51,,                             -0.51,,                610547,,,,,,,,,,                  7416,,,                  2400,                  1888,
2443,2012年01月01日至2012年06月30日,,,,                531039,,,                531039,                531039,,,                457341,                457341,                 73698,,,                 73698,,,                  3632,,                118512,,                 31551,                153695,                -79997,,,                  5396,,                 22941,,                  4008,                 24329,                -55668,,                   -912,                -54756,                -54756,,,,,,,,,,,,,,,,,                 50800,                 -3956,,                -49923,                 -4833,,                    877,                 -4833,,                             -0.14,                             -0.14,,                             -0.14,,                             -0.14,,                457341,,,,,,,,,,                  5396,,,                 49231,                  1569,
2443,2012年01月01日至2012年03月31日,,,,                262273,,,                262273,                262273,,,                230296,                230296,                 31977,,,                 31977,,,                  2875,,                 62619,,                 16247,                 81741,                -49764,,,                  4644,,                 24333,,                  2997,                 25980,                -23784,,                              0,                -23784,                -23784,,,,,,,,,,,,,,,,,                 72055,                 48271,,                -21099,                 -2685,,                 50956,                 -2685,,                             -0.06,                             -0.06,,                             -0.06,,                             -0.06,,                230296,,,,,,,,,,                  4644,,,                 71169,                    886,
