證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　　 其他收入－其他
3622,2014年01月01日至2014年03月31日,,              1399941,,              1375528,                 24413,                 24413,,,                 38670,,                125382,,                 55964,                220016,               -195603,,,                 13079,,                -16046,,                     66,,                -17771,                -20804,               -216407,,                 -1553,               -214854,,                    772,               -214082,,,                              0,                              0,                              0,,                 49945,                 -1950,,                              0,                 47995,                 47995,               -166087,,               -211984,                 -2098,,               -163989,                 -2098,,                             -1.41,                              0.01,                             -1.40,,                              0.00,                              0.00,                              0.00,,,,,
3622,2013年第3季,,              2139833,,              2123346,                 16487,                 16487,,,                 59959,,                115446,,                 91538,                266943,               -250456,,,                 35597,,                -56061,,                    321,,                -35536,                -56321,               -306777,,                  5848,               -312625,,                 13342,               -299283,,,,,,,,,,,,                -55143,               -354426,,               -297388,                 -1895,,               -352531,                 -1895,,                             -2.06,                              0.09,                             -1.97,,,,,                -58773,                  4861,,                 -1231,                 35597
3622,2013年第2季,,              1963841,,              1734543,                229298,                229298,,,                 49821,,                 96976,,                202583,                349380,               -120082,,,                 20709,,                 27119,,                    159,,                -11672,                 35997,                -84085,,                -63404,                -20681,,               -180959,               -201640,,,,,,,,,,,,                 53331,               -148309,,               -199448,                 -2192,,               -146117,                 -2192,,                             -0.12,                             -1.20,                             -1.32,,,,,                 48495,                   -675,,                  5511,
3622,2013年度,,              8269675,,              7706723,                562952,                562952,,,                210762,,                478264,,                521426,              1210452,               -647500,,,                 82624,,               -817682,,                    770,,                -68140,               -803968,             -1451468,,                -89239,             -1362229,,               -273647,             -1635876,,,,,,,,,,,,                183117,             -1452759,,             -1627463,                 -8413,,             -1444346,                 -8413,,                             -8.95,                             -1.81,                            -10.76,,,,,                170557,                  4935,,                  7625,
3622,2013年07月01日至2013年09月30日,,              2139833,,              2123346,                 16487,                 16487,,,                 59959,,                115446,,                 91538,                266943,               -250456,,,                 35597,,                -56061,,                    321,,                -35536,                -56321,               -306777,,                  5848,               -312625,,                 13342,               -299283,,,,,,,,,,,,                -55143,               -354426,,               -297388,                 -1895,,               -352531,                 -1895,,                             -2.06,                              0.09,                             -1.97,,,,,                -58773,                  4861,,                 -1231,                 35597
3622,2013年04月01日至2013年06月30日,,              1963841,,              1734543,                229298,                229298,,,                 49821,,                 96976,,                202583,                349380,               -120082,,,                 20709,,                 27119,,                    159,,                -11672,                 35997,                -84085,,                -63404,                -20681,,               -180959,               -201640,,,,,,,,,,,,                 53331,               -148309,,               -199448,                 -2192,,               -146117,                 -2192,,                             -0.12,                             -1.20,                             -1.32,,,,,                 48495,                   -675,,                  5511,
3622,2013年01月01日至2013年12月31日,,              8269675,,              7706723,                562952,                562952,,,                210762,,                478264,,                521426,              1210452,               -647500,,,                 82624,,               -817682,,                    770,,                -68140,               -803968,             -1451468,,                -89239,             -1362229,,               -273647,             -1635876,,,,,,,,,,,,                183117,             -1452759,,             -1627463,                 -8413,,             -1444346,                 -8413,,                             -8.95,                             -1.81,                            -10.76,,,,,                170557,                  4935,,                  7625,
3622,2013年01月01日至2013年09月30日,,              6951645,,              6325155,                626490,                626490,,,                168943,,                295731,,                385770,                850444,               -223954,,,                 66483,,                 82745,,                    621,,                -47712,                100895,               -123059,,                -11690,               -111369,,               -214355,               -325724,,,,,,,,,,,,                128624,               -197100,,               -319412,                 -6312,,               -190788,                 -6312,,                             -0.69,                             -1.42,                             -2.11,,,,,                119096,                  3343,,                  6185,                 66483
3622,2013年01月01日至2013年06月30日,,              4811812,,              4201809,                610003,                610003,,,                108984,,                180285,,                294232,                583501,                 26502,,,                 30886,,                138806,,                    300,,                -12176,                157216,                183718,,                -17538,                201256,,               -227697,                -26441,,,,,,,,,,,,                183767,                157326,,                -22024,                 -4417,,                161743,                 -4417,,                              1.36,                             -1.51,                             -0.15,,,,,                177869,                 -1518,,                  7416,
3622,2013年01月01日至2013年03月31日,,              2847971,,              2467266,                380705,                380705,,,                 59163,,                 83309,,                 91649,                234121,                146584,,,                 10177,,                111687,,                    141,,                   -504,                121219,                267803,,                 45866,                221937,,                -46738,                175199,,,,,,,,,,,,                130436,                305635,,                177424,                 -2225,,                307860,                 -2225,,                              1.48,                             -0.31,                              1.17,,                              1.48,                             -0.31,                              1.17,                129374,                   -843,,                  1905,
3622,2012年07月01日至2012年09月30日,,              3953396,,              3551987,                401409,                401409,,,                 74495,,                139335,,                 52797,                266627,                134782,,,                 15371,,                -15064,,                    163,,                -15478,                -15334,                119448,,                 22811,                 96637,,                -66065,                 30572,,,,,,,,,,,,                -57699,                -27127,,                 31757,                 -1185,,                -25942,                 -1185,,                              0.65,                             -0.44,                              0.21,,,,,                -57690,                  3491,,                 -3500,                 15371
3622,2012年04月01日至2012年06月30日,,              2284935,,              2390819,               -105884,               -105884,,,                 56531,,                125804,,                214815,                397150,               -503034,,,                 58710,,                 -2454,,                    121,,                -17786,                 38349,               -464685,,                -74703,               -389982,,                              0,               -389982,,,,,,,,,,,,                 32997,               -356985,,               -389286,                   -696,,               -356289,                   -696,,                             -2.58,                              0.00,                             -2.58,,,,,                 34169,                   -203,,                   -969,
3622,2012年01月01日至2012年12月31日,,             13100704,,             11930318,              1170386,              1170386,,,                272480,,                459203,,                532630,              1264313,                -93927,,,                130023,,               -227096,,                  1535,,                -45153,               -143761,               -237688,,                -39791,               -197897,,               -158014,               -355911,,,,,,,,,,,,               -157458,               -513369,,               -353899,                 -2012,,               -511357,                 -2012,,                             -1.30,                             -1.05,                             -2.35,,,,,               -163507,                  8432,,                 -2383,
3622,2012年01月01日至2012年09月30日,,              8777940,,              8296412,                481528,                481528,,,                191688,,                376277,,                397948,                965913,               -484385,,,                112304,,               -139864,,                    392,,                -34826,                -62778,               -547163,,                -85428,               -461735,,                -66065,               -527800,,,,,,,,,,,,               -138329,               -666129,,               -526760,                 -1040,,               -665089,                 -1040,,                             -3.06,                             -0.44,                             -3.50,,,,,               -138498,                  4638,,                 -4469,                112304
3622,2012年01月01日至2012年06月30日,,              4824544,,              4744425,                 80119,                 80119,,,                117193,,                236942,,                345151,                699286,               -619167,,,                 96933,,               -124800,,                    229,,                -19348,                -47444,               -666611,,               -108239,               -558372,,                              0,               -558372,,,,,,,,,,,,                -80630,               -639002,,               -558517,                    145,,               -639147,                    145,,                             -3.71,                              0.00,                             -3.71,,,,,                -80808,                  1147,,                   -969,
3622,2012年01月01日至2012年03月31日,,              2539609,,              2353606,                186003,                186003,,,                 60662,,                111138,,                130336,                302136,               -116133,,,                 38223,,               -122346,,                    108,,                 -1562,                -85793,               -201926,,                -33536,               -168390,,,               -168390,,,,,,,,,,,,               -113627,               -282017,,               -169231,                    841,,               -282858,                    841,,                             -1.13,,                             -1.13,,                              0.00,,                              0.00,               -114977,                  1350,,                              0,
