證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－備供出售金融商品未實現損益,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－確定福利計畫精算利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　　 利息收入,　　　　 銀行存款利息,　　　　 其他利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 股利收入,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 當期所得稅費用（利益）,　　 遞延所得稅費用（利益）
1609,2014年01月01日至2014年03月31日,,              3741337,,              3579435,                161902,                161902,,,                 54966,,                160413,,                  9666,                225045,                -63143,,,                 21922,,                 13639,,                 33723,,                  8413,                 10251,                -52892,,                 -1504,                -51388,                -51388,,,,,,,,,,,,,                 63051,,                 97307,                 12879,                147479,                147479,                 96091,,                -49120,                 -2268,,                 92117,                  3974,,                             -0.09,,                             -0.09,,,,,,,,,,,,,,,,,,,,,,,,,,
1609,2013年第3季,,              4305067,,              4139607,                165460,                165460,,,                 62860,,                141157,,                 16806,                220823,                -55363,,,                 59829,,                 94350,,                 29556,,                  5672,                130295,                 74932,,                 11155,                 63777,                 63777,,,,,,,,,,,,,,,,,,                   -913,                 62864,,                 46628,                 17149,,                 50544,                 12320,,                              0.08,,,                -22476,                 19560,,,,,,,                 -2003,,,,,,,,,,,,,,,,,
1609,2013年第2季,,              4065455,,              4009049,                 56406,                 56406,,,                 69025,,                146437,,                  9189,                224651,               -168245,,,                 43200,,                -37099,,                 25449,,                  5820,                -13528,               -181773,,                -23065,               -158708,               -158708,,,,,,,,,,,,,,,,,,                -13030,               -171738,,               -122909,                -35799,,               -134769,                -36969,,                             -0.22,,,                 28097,                -35597,,,,,,,                  5530,,,,,,,,,,,,,,,,,
1609,2013年度,,             16904845,,             16136289,                768556,                768556,,,                295756,,                620117,,                 43194,                959067,               -190511,,,                130376,,                315953,,                113825,,                  8182,                340686,                150175,,                 18080,                132095,                132095,,,,,,,,,,,,,,,,,,                 92692,                224787,,                142613,                -10518,,                230398,                 -5611,,                              0.25,,                              0.25,                 24365,                              0,                -21144,,                 68950,                 37918,                  1290,                108158,                 18687,,,,,,,,,,,,,,,,,
1609,2013年07月01日至2013年09月30日,,              4305067,,              4139607,                165460,                165460,,,                 62860,,                141157,,                 16806,                220823,                -55363,,,                 59829,,                 94350,,                 29556,,                  5672,                130295,                 74932,,                 11155,                 63777,                 63777,,,,,,,,,,,,,,,,,,                   -913,                 62864,,                 46628,                 17149,,                 50544,                 12320,,                              0.08,,,                -22476,                 19560,                              0,,,,,,                 -2003,,,,,,,,,,,,,,,,,
1609,2013年04月01日至2013年06月30日,,              4065455,,              4009049,                 56406,                 56406,,,                 69025,,                146437,,                  9189,                224651,               -168245,,,                 43200,,                -37099,,                 25449,,                  5820,                -13528,               -181773,,                -23065,               -158708,               -158708,,,,,,,,,,,,,,,,,,                -13030,               -171738,,               -122909,                -35799,,               -134769,                -36969,,                             -0.22,,                             -0.22,                 28097,                -35597,                              0,,,,,,                  5530,,,,,,,,,,,,,,,,,
1609,2013年01月01日至2013年12月31日,,             16904845,,             16136289,                768556,                768556,,,                295756,,                620117,,                 43194,                959067,               -190511,,,                130376,,                315953,,                113825,,                  8182,                340686,                150175,,                 18080,                132095,                132095,,,,,,,,,,,,,,,,,,                 92692,                224787,,                142613,                -10518,,                230398,                 -5611,,                              0.25,,,                 93315,                 37918,                -19854,,,,,,                 18687,,,,,,,,,,,,,,,,,
1609,2013年01月01日至2013年09月30日,,             12729032,,             12276553,                452479,                452479,,,                187279,,                427449,,                 35043,                649771,               -197292,,,                116595,,                 86529,,                 79881,,                  8056,                131299,                -65993,,                  1208,                -67201,                -67201,,,,,,,,,,,,,,,,,,                 67799,                    598,,                -42433,                -24768,,                 25289,                -24691,,                             -0.07,,,                 67845,                 12074,,,,,,,                 12120,,,,,,,,,,,,,,,,,
1609,2013年01月01日至2013年06月30日,,              8423965,,              8136946,                287019,                287019,,,                124419,,                286292,,                 18237,                428948,               -141929,,,                 56766,,                 -7821,,                 50325,,                  2384,                  1004,               -140925,,                 -9947,               -130978,               -130978,,,,,,,,,,,,,,,,,,                 68712,                -62266,,                -89061,                -41917,,                -25255,                -37011,,                             -0.16,,,                 90321,                 -7486,,,,,,,                 14123,,,,,,,,,,,,,,,,,
1609,2013年01月01日至2013年03月31日,,              4358510,,              4127897,                230613,                230613,,,                 55394,,                139855,,                  9048,                204297,                 26316,,,                 13566,,                 29278,,                 24876,,                 -3436,                 14532,                 40848,,                 13118,                 27730,                 27730,,,,,,,,,,,,,,,,,,                 81742,                109472,,                 33848,                 -6118,,                109514,                    -42,,                              0.06,,,                 62224,                 28111,,,,,,,                  8593,,,,,,,,,,,,,,,,,
1609,2012年07月01日至2012年09月30日,,              4209306,,              3916123,                293183,                293183,,,                 76172,,                116368,,                 14487,                207027,                 86156,,,                101693,,                 37942,,                 29729,,                  7439,                117345,                203501,,                 16166,                187335,                187335,,,,,,,,,,,,,,,,,,                -14460,                172875,,                163396,                 23939,,                159674,                 13201,,                              0.29,,,                -53814,                 27125,                 -3309,,,,,,                -15538,,,,,,,,,,,,,,,,,
1609,2012年04月01日至2012年06月30日,,              4718778,,              4453691,                265087,                265087,,,                 99659,,                111577,,                  8172,                219408,                 45679,,,                 12979,,                -84372,,                 39600,,                    535,               -110458,                -64779,,                 22042,                -86821,                -86821,,,,,,,,,,,,,,,,,,                   -839,                -87660,,               -100339,                 13518,,               -104556,                 16896,,                             -0.18,,                             -0.18,                 46762,                -27987,                 -4312,,,,,,                 15302,,,,,,,,,,,,,,,,,
1609,2012年01月01日至2012年12月31日,,             18472445,,             17339870,              1132575,              1132575,,,                240595,,                597322,,                 47126,                885043,                247532,,,                140606,,                 17477,,                116271,,                   -834,                 40978,                288510,,                 66591,                221919,                221919,,,,,,,,,,,,,,,,,,                -31850,                190069,,                138294,                 83625,,                116196,                 73873,,                              0.24,,,                -68739,                 40976,                -16263,,,,,,                -12176,,,,,,,,,,,,,,,,,
1609,2012年01月01日至2012年09月30日,,             13312774,,             12379674,                933100,                933100,,,                230544,,                365898,,                 31028,                627470,                305630,,,                125219,,                -25915,,                 92756,,                   -201,                  6347,                311977,,                 63035,                248942,                248942,,,,,,,,,,,,,,,,,,                -36248,                212694,,                182164,                 66778,,                157041,                 55653,,                              0.32,,,                -70680,                 34789,                -11932,,,,,,                -11575,,,,,,,,,,,,,,,,,
1609,2012年01月01日至2012年06月30日,,              9103468,,              8463551,                639917,                639917,,,                154372,,                249530,,                 16541,                420443,                219474,,,                 23526,,                -63857,,                 63027,,                 -7640,               -110998,                108476,,                 46869,                 61607,                 61607,,,,,,,,,,,,,,,,,,                -21788,                 39819,,                 18768,                 42839,,                 -2633,                 42452,,                              0.03,,                              0.03,                -16866,                  7664,                 -8623,,,,,,                  3963,,,,,,,,,,,,,,,,,
1609,2012年01月01日至2012年03月31日,,              4384690,,              4009860,                374830,                374830,,,                 54713,,                137953,,                  8369,                201035,                173795,,,                 10547,,                 20515,,                 23427,,                 -8175,                   -540,                173255,,                 24827,                148428,                148428,,,,,,,,,,,,,,,,,,                -20949,                127479,,                119107,                 29321,,                101923,                 25556,,                              0.21,,                              0.21,                -63628,                 35651,                 -4311,,,,,,                -11339,,              4384690,,              4009860,              4009860,,                  3825,                    871,                  4696,                  5851,                              0,,                              0,,                              0,                 17234,                  7593
