證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 其他綜合損益(淨額),　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 其他綜合損益（淨額）,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）
6112,2014年01月01日至2014年03月31日,,              1990157,,              1825412,                164745,                164745,,,                 70492,,                 30841,,                  2509,                103842,                 60903,,,                  1780,,                  7340,,                  4036,,                     68,                  5152,                 66055,,                 11138,                 54917,                 54917,                 54917,,                 54284,                    633,,                 54284,                    633,,                              0.59,,                              0.59,,,,,,,
6112,2013年第3季,,              1848484,,              1684260,                164224,                164224,,,                 72181,,                 25929,,                  3038,                101148,                 63076,,,                  1834,,                  2865,,                  3750,,                     -5,                    944,                 64020,,                 11436,                 52584,                 52584,                 52584,,                 51654,                    930,,                 51654,                    930,,                              0.56,,                              0.56,,,                              0,                              0,                              0,,
6112,2013年第2季,,              1874986,,              1720169,                154817,                154817,,,                 64978,,                 33863,,                  2961,                101802,                 53015,,,                  5207,,                 12377,,                  3241,,                  2066,                 16409,                 69424,,                 12511,                 56913,                 56913,                 56790,,                 56743,                    170,,                 56620,                    170,,                              0.62,,                              0.62,,,                   -123,                              0,                   -123,                              0,
6112,2013年度,,              7515719,,              6869454,                646265,                646265,,,                275438,,                120336,,                 11693,                407467,                238798,,,                 10747,,                 12184,,                 13039,,                  4025,                 13917,                252715,,                 39717,                212998,                212998,                213031,,                210190,                  2808,,                210223,                  2808,,                              2.29,,                              2.27,,,                     33,                              0,                     33,,
6112,2013年07月01日至2013年09月30日,,              1848484,,              1684260,                164224,                164224,,,                 72181,,                 25929,,                  3038,                101148,                 63076,,,                  1834,,                  2865,,                  3750,,                     -5,                    944,                 64020,,                 11436,                 52584,                 52584,                 52584,,                 51654,                    930,,                 51654,                    930,,                              0.62,,                              0.62,,,                              0,                              0,                              0,                              0,
6112,2013年04月01日至2013年06月30日,,              1874986,,              1720169,                154817,                154817,,,                 64978,,                 33863,,                  2961,                101802,                 53015,,,                  5207,,                 12377,,                  3241,,                  2066,                 16409,                 69424,,                 12511,                 56913,                 56913,                 56790,,                 56743,                    170,,                 56620,                    170,,                              0.68,,                              0.68,,,                   -123,                              0,                   -123,                              0,
6112,2013年01月01日至2013年12月31日,,              7515719,,              6869454,                646265,                646265,,,                275438,,                120336,,                 11693,                407467,                238798,,,                 10747,,                 12184,,                 13039,,                  4025,                 13917,                252715,,                 39717,                212998,                212998,                213031,,                210190,                  2808,,                210223,                  2808,,                              2.52,,                              2.50,,,                     33,                              0,                     33,                              0,                              0
6112,2013年01月01日至2013年09月30日,,              5594473,,              5113340,                481133,                481133,,,                200444,,                 89854,,                  9902,                300200,                180933,,,                  8850,,                 12713,,                  9737,,                  3964,                 15790,                196723,,                 34040,                162683,                162683,                162716,,                161064,                  1619,,                161097,                  1619,,                              1.76,,                              1.74,,,                     33,                              0,                     33,,
6112,2013年01月01日至2013年06月30日,,              3745989,,              3429080,                316909,                316909,,,                128263,,                 63925,,                  6864,                199052,                117857,,,                  7016,,                  9848,,                  5987,,                  3969,                 14846,                132703,,                 22604,                110099,                110099,                110132,,                109410,                    689,,                109443,                    689,,                              1.19,,                              1.19,,,                     33,                              0,                     33,                              0,
6112,2013年01月01日至2013年03月31日,,              1871003,,              1708911,                162092,                162092,,,                 63285,,                 30062,,                  3903,                 97250,                 64842,,,                  1809,,                 -2529,,                  2746,,                  1903,                 -1563,                 63279,,                 10093,                 53186,                 53186,                 53342,,                 52667,                    519,,                 52823,                    519,,                              0.63,,                              0.63,,,                    156,                              0,                    156,,
6112,2012年07月01日至2012年09月30日,,              1576642,,              1428975,                147667,                147667,,,                 71016,,                 22094,,                  2725,                 95835,                 51832,,,                  1913,,                 -1259,,                  5160,,                    993,                 -3513,                 48319,,                  8640,                 39679,                 39679,                 39611,,                 40670,                   -991,,                 40602,                   -991,,                              0.49,,                              0.49,,,                    -68,                              0,                    -68,                              0,
6112,2012年04月01日至2012年06月30日,,              1740035,,              1568917,                171118,                171118,,,                 68858,,                 31301,,                  3502,                103661,                 67457,,,                  1974,,                  4006,,                  5044,,                    -97,                    839,                 68296,,                 13095,                 55201,                 55201,                 55238,,                 55250,                    -49,,                 55287,                    -49,,                              0.66,,                              0.66,,,                     37,                              0,                     37,                              0,
6112,2012年01月01日至2012年12月31日,,              6785557,,              6136735,                648822,                648822,,,                271772,,                128649,,                 13620,                414041,                234781,,,                  7623,,                 14446,,                 15292,,                  5046,                 11823,                246604,,                 42200,                204404,                204404,                213820,,                204027,                    377,,                213443,                    377,,                              2.45,,                              2.43,,,                    -33,                              0,                  9416,                  5056,                  4393
6112,2012年01月01日至2012年09月30日,,              4984441,,              4492391,                492050,                492050,,,                211153,,                 87404,,                  9723,                308280,                183770,,,                  5688,,                 11170,,                 11783,,                  3643,                  8718,                192488,,                 33547,                158941,                158941,                163988,,                160096,                 -1155,,                165143,                 -1155,,                              1.92,,                              1.90,,,                     -9,                              0,                  5047,                  5056,
6112,2012年01月01日至2012年06月30日,,              3407799,,              3063416,                344383,                344383,,,                140137,,                 65310,,                  6998,                212445,                131938,,,                  3775,,                 12429,,                  6623,,                  2650,                 12231,                144169,,                 24907,                119262,                119262,                124377,,                119426,                   -164,,                124541,                   -164,,                              1.43,,                              1.42,,,                     59,                              0,                  5115,                  5056,
6112,2012年01月01日至2012年03月31日,,              1667764,,              1494499,                173265,                173265,,,                 71279,,                 34009,,                  3496,                108784,                 64481,,,                  1801,,                  8423,,                  1579,,                  2747,                 11392,                 75873,,                 11812,                 64061,                 64061,                 69139,,                 64176,                   -115,,                 69254,                   -115,,                              0.81,,                              0.81,,,                     22,,                  5078,                  5056,
