證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 減損迴轉利益,　　　　 減損迴轉利益合計,　　　 什項支出,　　　 減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　　　 外幣兌換損失,　　　 處分不動產、廠房及設備損失,　　　 廉價購買利益,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　　 處分投資損失,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 權益工具投資之利益（損失）,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 國外營運機構淨投資避險,　　 重估價之利益（損失）,　　 與待出售非流動資產直接相關之權益,　　 其他綜合損益,　　 與其他綜合損益組成部分相關之所得稅
3536,2014年01月01日至2014年03月31日,,,                251866,                251866,,,                250006,                250006,                  1860,                  1860,,,                 14761,,                 30318,,                  3183,                 48262,                -46402,,,,                    232,,                  2390,                  2622,,                     38,                  2587,,,,                     60,,,                  2565,,                  4523,                  4523,                    664,                -45738,,                   -342,                -45396,                -45396,,,                 14152,                 14152,                 14152,                -31244,,                -44741,                   -655,,                -32372,                  1128,,                             -0.52,                             -0.52,,                              0,,,,,,,,,,,,,,,,,,,,,,,,
3536,2013年第3季,,,                283145,                283145,,,                265666,                265666,                 17479,                 17479,,,                  9639,,                 32640,,                  3751,                 46030,                -28551,,,,                    282,,                     81,                    363,,                              0,                  1301,,,,                    936,,                              0,                    329,,                  4019,                  4019,                 -3327,                -31878,,                  1115,                -32993,                -32993,,,,,                -17682,                -50675,,                -35982,                  2989,,                -52071,                  1396,,                             -0.20,                             -0.20,,                     36,                              0,                -17682,,,,,,,,,,,,,,,,,,,,,,
3536,2013年第2季,,,                276851,                276851,,,                254674,                254674,                 22177,                 22177,,,                 20171,,                 35605,,                  4214,                 59990,                -37813,,,,                    105,,                  3436,                  3541,,                    387,                  6828,,,,                              0,,                              0,                  7215,,                  3915,                  3915,                  6841,                -30972,,                  3067,                -34039,                -34039,,,,,                 14523,                -19516,,                -35710,                  1671,,                -24124,                  4608,,                             -0.20,                             -0.20,                              0,,                              0,                 14523,,,,,,,,,,,,,,,,,,,,,,
3536,2013年度,,,              1059719,              1059719,,,              1007673,              1007673,                 52046,                 52046,,,                 63799,,                139751,,                 13350,                216900,               -164854,,,,                    972,,                 21627,                 47522,,                              0,                  8698,,,,                  1860,,                  1462,                  4676,,                 17997,                 17997,                 34201,               -130653,,                  4712,               -135365,               -135365,,,,,                 38928,                -96437,,               -142096,                  6731,,               -108964,                 12527,,                             -1.64,                             -1.64,,                    700,                 24923,                 38498,                    430,,,,,,,,,,,,,,,,,,,,,
3536,2013年07月01日至2013年09月30日,,,,                283145,,,,                265666,                 17479,                 17479,,,                  9639,,                 32640,,                  3751,                 46030,                -28551,,,,,,,                    363,,,,,,,,,,                  1229,,,                  4919,                 -3327,                -31878,,                  1115,                -32993,                -32993,,,,,                -17682,                -50675,,                -35982,                  2989,,                -52071,                  1396,,,                             -0.20,,,,                -17682,                              0,,,                              0,,                              0,                              0,                              0,,                              0,,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0
3536,2013年04月01日至2013年06月30日,,,,                276851,,,,                254674,                 22177,                 22177,,,                 20171,,                 35605,,                  4214,                 59990,                -37813,,,,,,,                  3339,,,,,,,,,,                  7513,,,                  4011,                  6841,                -30972,,                  3067,                -34039,                -34039,,,,,                 14523,                -19516,,                -35710,                  1671,,                -24124,                  4608,,,                             -0.20,,,,                 14523,,,,,,,,,,,,,,,,,,,,,,
3536,2013年01月01日至2013年12月31日,,,              1059719,              1059719,,,              1007673,              1007673,                 52046,                 52046,,,                 63799,,                139751,,                 13350,                216900,               -164854,,,,                    972,,                 21627,                 47522,,,                  8698,,,,                  1860,,                  1462,                  4676,,                 17997,                 17997,                 34201,               -130653,,                  4712,               -135365,               -135365,,,,,                 38928,                -96437,,               -142096,                  6731,,               -108964,                 12527,,                             -0.81,                             -0.81,                              0,                    700,                 24923,                 38498,                    430,                              0,,                              0,,                              0,,,,,,,,,,,,,,,,
3536,2013年01月01日至2013年09月30日,,,                768888,                768888,,,                732020,                732020,                 36868,                 36868,,,                 31442,,                102109,,                 11554,                145105,               -108237,,,,                    688,,                    969,                 26618,,                    351,                  7471,,,,                  1471,,                              0,                  6351,,                 13188,                 13188,                 19781,                -88456,,                  4483,                -92939,                -92939,,,,,                 28504,                -64435,,                -96669,                  3730,,                -72293,                  7858,,                             -0.55,                             -0.55,,                              0,                 24961,                 28504,,,,,,,,,,,,,,,,,,,,,,
3536,2013年01月01日至2013年06月30日,,,                485743,                485743,,,                466354,                466354,                 19389,                 19389,,,                 30347,,                 69469,,                  7803,                107619,                -88230,,,,                    406,,                  9431,                 34741,,                    387,                  6227,,,,                    535,,                              0,                  6079,,                  9169,                  9169,                 31651,                -56579,,                  3368,                -59947,                -59947,,,,,                 46186,                -13761,,                -60688,                    741,,                -20223,                  6462,,                             -0.35,                             -0.35,                              0,,                 24904,                 46186,,,,,,,,,,,,,,,,,,,,,,
3536,2013年01月01日至2013年03月31日,,,                208892,                208892,,,                211680,                211680,                 -2788,                 -2788,,,                 10176,,                 33864,,                  3589,                 47629,                -50417,,,,                              0,,                  6498,                 31246,,                              0,                              0,,,,                    677,,,                 -1278,,                  5158,                  5158,                 24810,                -25607,,                    301,                -25908,                -25908,,,,,                 31663,                  5755,,                -24978,                   -930,,                  3901,                  1854,,                             -0.14,                             -0.14,                    601,,                 24748,                 31663,,,,,,,,,,,,,,,,,,,,,,
3536,2012年07月01日至2012年09月30日,,,,                130265,,,,                156093,                -25828,                -25828,,,                  2008,,                 21021,,                  5316,                 28345,                -54173,,,,,,,                  2983,,,,,,,,,,                 -4316,,,                  1235,                 -2568,                -56741,,                     19,                -56760,                -56760,,,,,                -10231,                -66991,,                -56218,                   -542,,                -66449,                   -542,,,                             -0.32,,,,                -10231,                              0,,,                              0,,                              0,                              0,                              0,,                              0,,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0
3536,2012年04月01日至2012年06月30日,,,,                113776,,,,                134932,                -21156,                -21156,,,                  1423,,                 19794,,                  5397,                 26614,                -47770,,,,,,,                    958,,,,,,,,,,                -35637,,,                  9528,                -44207,                -91977,,                              0,                -91977,                -91977,,,,,                 13950,                -78027,,                -91977,                              0,,                -78027,                              0,,,                             -0.59,,,,                 13950,,,,,,,,,,,,,,,,,,,,,,
3536,2012年01月01日至2012年12月31日,,,                370355,                370355,,,                477317,                477317,               -106962,               -106962,,,                  5848,,                 83704,,                 15794,                105346,               -212308,,,,                  1663,,                 10315,                 11978,,,                              0,,,,                 24487,,                 32882,                -82141,,                 21439,                 21439,                -90849,               -303157,,                   -707,               -302450,               -302450,,,,,                -16128,               -318578,,               -303336,                    886,,               -319464,                    886,,                             -1.93,                             -1.93,                 17061,                  6710,                              0,                -13503,                   -338,                  1001,,                    753,,                 -2287,,,,,,,,,,,,,,,,
3536,2012年01月01日至2012年09月30日,,,,                267097,,,,                342822,                -75725,                -75725,,,                  4239,,                 59961,,                 10713,                 74913,               -150638,,,,,,,                  4950,,,,,,,,,,                -72395,,,                 19816,                -87261,               -237899,,                 -1378,               -236521,               -236521,,,,,                -13855,               -250376,,               -235979,                   -542,,               -249834,                   -542,,,                             -1.61,,,,                -13855,                              0,,,                              0,,                              0,                              0,                              0,,                              0,,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0
3536,2012年01月01日至2012年06月30日,,,,                136832,,,,                186729,                -49897,                -49897,,,                  2231,,                 38940,,                  5397,                 46568,                -96465,,,,,,,                  1967,,,,,,,,,,                -68079,,,                 18581,                -84693,               -181158,,                 -1397,               -179761,               -179761,,,,,                 -3624,               -183385,,               -179761,                              0,,               -183385,                              0,,,                             -1.32,,,,                 -3624,,,,,,,,,,,,,,,,,,,,,,
3536,2012年01月01日至2012年03月31日,,,,                 23056,,,,                 51797,                -28741,                -28741,,,                    808,,                 19146,,                              0,                 19954,                -48695,,,,,,,                  1009,,,,,,,,,,                -32442,,,                  9053,                -40486,                -89181,,                 -1397,                -87784,                -87784,,,,,                -17574,               -105358,,                -87784,                              0,,               -105358,                              0,,,                             -0.76,,,,                -17574,,,,,,,,,,,,,,,,,,,,,,                              0
