證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
2347,2014年01月01日至2014年03月31日,,             78150572,,             75544802,              2605770,              2605770,,,              1200833,,                516656,              1717489,                888281,,,                513272,,               -328178,,                161269,,                269115,                292940,              1181221,,                135846,              1045375,              1045375,,,              1350096,                -45788,,                 28540,              1332848,              1332848,              2378223,,                994192,                 51183,,              2373979,                  4244,,                              0.63,                              0.63,,                              0.63,                              0.63,,,,,,
2347,2013年第3季,,             85751917,,             82904930,              2846987,              2846987,,,              1179570,,                564666,              1744236,              1102751,,,                387144,,                 61210,,                165233,,                257014,                540135,              1642886,,                229039,              1413847,              1413847,,,,,,,,               -794195,                619652,,              1394541,                 19306,,                686298,                -66646,,                              0.88,                              0.88,,                              0.87,                              0.87,               -724221,                -61876,,,                 -8028,                     70
2347,2013年第2季,,             78779789,,             75890454,              2889335,              2889335,,,              1245725,,                587399,              1833124,              1056211,,,                431151,,                365862,,                131957,,                219825,                884881,              1941092,,                368804,              1572288,              1572288,,,,,,,,               -954690,                617598,,              1544592,                 27696,,                616640,                    958,,                              0.97,                              0.97,,                              0.94,                              0.94,               -873745,                -63440,,,                -17505,                              0
2347,2013年度,,            330259753,,            319200976,             11058777,             11058777,,,              4980530,,              2198967,              7179497,              3879280,,,              1442670,,                663434,,                578421,,                984861,              2512544,              6391824,,                959316,              5432508,              5432508,,,,,,,,               -589885,              4842623,,              5273995,                158513,,              4684110,                158513,,                              3.32,                              3.32,,                              3.23,                              3.23,               -544570,                  9219,                 11478,,                -61162,                  4850
2347,2013年07月01日至2013年09月30日,,             85751917,,             82904930,              2846987,              2846987,,,              1183214,,                606550,              1789764,              1057223,,,                387144,,                106738,,                165233,,                257014,                585663,              1642886,,                229039,              1413847,              1413847,,,,,,,,               -794195,                619652,,              1394540,                 19307,,                686297,                -66645,,                              0.88,                              0.88,,                              0.87,                              0.87,               -724221,                -61876,,,                 -8028,                     70
2347,2013年04月01日至2013年06月30日,,             78779789,,             75890454,              2889335,              2889335,,,              1249213,,                626014,              1875227,              1014108,,,                431151,,                407965,,                131957,,                219825,                926984,              1941092,,                368804,              1572288,              1572288,,,,,,,,               -954690,                617598,,              1544592,                 27696,,                616640,                    958,,                              0.97,                              0.97,,                              0.94,                              0.94,               -873745,                -63440,,,                -17505,                              0
2347,2013年01月01日至2013年12月31日,,            330259753,,            319200976,             11058777,             11058777,,,              4980530,,              2198967,              7179497,              3879280,,,              1442670,,                663434,,                578421,,                984861,              2512544,              6391824,,                959316,              5432508,              5432508,,,,,,,,               -589885,              4842623,,              5273995,                158513,,              4684110,                158513,,                              3.32,                              3.32,,                              3.23,                              3.23,               -544570,                  9219,                 11478,,                -61162,                  4850
2347,2013年01月01日至2013年09月30日,,            238168513,,            230051228,              8117285,              8117285,,,              3624998,,              1716704,              5341702,              2775583,,,              1097693,,                484075,,                409206,,                788073,              1960635,              4736218,,                706978,              4029240,              4029240,,,,,,,,               -531064,              3498176,,              3931806,                 97434,,              3560325,                -62149,,                              2.48,                              2.48,,                              2.42,                              2.42,               -415516,                -63528,,,                -52033,                    -13
2347,2013年01月01日至2013年06月30日,,            152416596,,            147146298,              5270298,              5270298,,,              2445428,,              1152038,              3597466,              1672832,,,                710549,,                422865,,                243973,,                531059,              1420500,              3093332,,                477939,              2615393,              2615393,,,,,,,,                263131,              2878524,,              2537266,                 78127,,              2874028,                  4496,,                              1.60,                              1.60,,                              1.55,                              1.55,                308705,                 -1652,,,                -44005,                    -83
2347,2013年01月01日至2013年03月31日,,             73636807,,             71255844,              2380963,              2380963,,,              1199703,,                564639,              1764342,                616621,,,                279398,,                 57003,,                112016,,                311234,                535619,              1152240,,                109135,              1043105,              1043105,,,,,,,,              1217821,              2260926,,                992674,                 50431,,              2257388,                  3538,,                              0.63,                              0.63,,                              0.61,                              0.61,              1182450,                 61788,,,                -26500,                    -83
2347,2012年07月01日至2012年09月30日,,             82481454,,             79519817,              2961637,              2961637,,,              1463859,,                361324,              1825183,              1136454,,,                245801,,                 55817,,                116258,,                307375,                492735,              1629189,,                229970,              1399219,              1399219,,,,,,,,               -360569,              1038650,,              1399219,                              0,,              1038650,                              0,,                              0.89,                              0.89,,                              0.86,                              0.86,               -500770,                104589,,,                 36632,                  1020
2347,2012年04月01日至2012年06月30日,,             74314046,,             71375512,              2938534,              2938534,,,              1188243,,                619474,              1807717,              1130817,,,                381751,,               -160877,,                 89123,,                359083,                490834,              1621651,,                323514,              1298137,              1298137,,,,,,,,                105366,              1403503,,              1298137,                              0,,              1403503,                              0,,                              0.82,                              0.82,,                              0.80,                              0.80,                217941,                -71855,,,                -40819,                    -99
2347,2012年01月01日至2012年12月31日,,            312585403,,            301053331,             11532072,             11532072,,,              4981253,,              1992453,              6973706,              4558366,,,              1339344,,                127002,,                433756,,              1261708,              2294298,              6852664,,              1085602,              5767062,              5767062,,,,,,,,             -1473714,              4293348,,              5767062,                              0,,              4293348,                              0,,                              3.66,                              3.66,,                              3.54,                              3.54,             -1639465,                177014,                -40716,,                 22531,                 -6922
2347,2012年01月01日至2012年09月30日,,            229583590,,            220661872,              8921718,              8921718,,,              3856125,,              1348509,              5204634,              3717084,,,                928985,,                   -321,,                310554,,                918488,              1536598,              5253682,,                877318,              4376364,              4376364,,,,,,,,             -1003807,              3372557,,              4376364,                              0,,              3372557,                              0,,                              2.78,                              2.78,,                              2.68,                              2.68,             -1214186,                198434,,,                 12908,                    963
2347,2012年01月01日至2012年06月30日,,            147102136,,            141142055,              5960081,              5960081,,,              2392266,,                987185,              3379451,              2580630,,,                683184,,                -56138,,                194296,,                611113,              1043863,              3624493,,                647348,              2977145,              2977145,,,,,,,,               -643238,              2333907,,              2977145,                              0,,              2333907,                              0,,                              1.89,                              1.89,,                              1.83,                              1.83,               -713416,                 93845,,,                -23724,                    -57
2347,2012年01月01日至2012年03月31日,,             72788090,,             69766543,              3021547,              3021547,,,              1204023,,                367711,              1571734,              1449813,,,                301433,,                104739,,                105173,,                252030,                553029,              2002842,,                323834,              1679008,              1679008,,,,,,,,               -748604,                930404,,              1679008,                              0,,                930404,                              0,,                              1.07,                              1.07,,                              1.03,                              1.03,               -931357,                165700,,,                 17095,                     42
