證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 本期所得稅費用（利益）,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）,　　 國外營運機構財務報表換算之兌換差額,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本合計,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 處分不動產、廠房及設備利益,　　　 外幣兌換利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 外幣兌換損失,　　 當期所得稅費用（利益）,　　 非控制權益（淨利／損）,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨成本,　　 其他綜合損益
3661,2014年01月01日至2014年03月31日,,                839949,,                634976,                204973,                204973,,,                 21898,,                 32467,,                 87028,                141393,                 63580,,,,                  1200,,                 -2453,,                    118,                 -1371,                 62209,,                  9111,                 53098,                 53098,,,                 37300,                 37300,,                  1308,                              0,                  1308,                 38608,                 91706,,                 53098,,                 91706,,                              0.98,                              0.98,,                              0.97,                              0.97,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,
3661,2013年第3季,,                711462,,                443249,                268213,                268213,,,                 22155,,                 35482,,                 80688,                138325,                129888,,,                  2194,                  2194,,                -34791,,                     91,                -32688,                 97200,,                  6807,                 90393,                 90393,,,,,,,,,                -21343,                 69050,,                 90393,,                 69050,,,                              1.67,,,                              1.67,,,,                -21343,,                711462,,                443249,,,,,,,,,,,,,,,,,
3661,2013年第2季,,                585822,,                437780,                148042,                148042,,,                 18369,,                 37220,,                 77386,                132975,                 15067,,,                    149,                  1069,,                 -1339,,                      1,                   -271,                 14796,,                 11645,                  3151,                  3151,,,,,,,,,                 13009,                 16160,,                  3151,,                 16160,,,                              0.27,,,                              0.27,,,,                 13009,,,,                437780,,                    920,                              0,                              0,                              0,                              0,                      3,                  1336,                 11645,                              0,,,,,,,
3661,2013年度,,              2583563,,              1825700,                757863,                757863,,,                 89612,,                144169,,                338024,                571805,                186058,,,,                  6846,,                -40554,,                    175,                -33883,                152175,,                 39051,                113124,                113124,,,,,,,,,                 36517,                149641,,                113124,,                149641,,,                              2.10,,,                              2.08,,,,                 36517,,,,,,,,,,,,,,,,,,,,,
3661,2013年01月01日至2013年12月31日,,              2583563,,              1825700,                757863,                757863,,,                 89612,,                159992,,                322201,                571805,                186058,,,,                  6846,,                -40554,,                    175,                -33883,                152175,,                 39051,                113124,                113124,,,,,,,,,                 36517,                149641,,                113124,,                149641,,                              2.10,                              2.10,,                              2.08,                              2.08,,,,                 36517,,              2583563,,              1825700,,,,,,,,,,,,              2587242,              2587242,                  3616,                     63,              1825700,
3661,2013年01月01日至2013年09月30日,,              1833852,,              1367141,                466711,                466711,,,                 62378,,                 97050,,                254082,                413510,                 53201,,,                  4693,                  4693,,                -34360,,                     91,                -29758,                 23443,,                  8264,                 15179,                 15179,,,,,,,,,                 28112,                 43291,,                 15179,,                 43291,,,                              0.28,,,                              0.28,,,,                 28112,,              1833852,,              1367141,,,,,,,,,,,,,,,,,
3661,2013年01月01日至2013年06月30日,,              1122390,,                923892,                198498,                198498,,,                 39530,,                 70230,,                165422,                275182,                -76684,,,                    185,                  2499,,                    431,,                      3,                  2927,                -73757,,                  1457,                -75214,                -75214,,,,,,,,,                 49455,                -25759,,                -75214,,                -25759,,,                             -1.40,,,                              0.00,,,,                 49455,,,,                923892,,                  2314,                              0,                              0,                  1266,                              0,                    835,                              0,                  1457,                              0,,,,,,,
3661,2013年01月01日至2013年03月31日,,                536568,,                486112,                 50456,                 50456,,,                 21161,,                 33010,,                 88036,                142207,                -91751,,,,                  1430,,                  1770,,                      2,                  3198,                -88553,,                -10188,                -78365,                -78365,,,,,,,,,                 36446,                -41919,,                -78365,,                -41919,,                             -1.45,                             -1.45,,                              0.00,                              0.00,,,,                 36446,,,,,,,,,,,,,,,,,,,,,
3661,2012年01月01日至2012年12月31日,,              2671121,,              2060974,                610147,                610147,,,                 92158,,                140270,,                318492,                550920,                 59227,,,,                 12227,,                -35692,,                  1065,                -24530,                 34697,,                 12842,                 21855,                 21855,,,,,,,,,                -65888,                -44033,,                 21855,,                -44033,,                              0.41,                              0.41,,                              0.40,                              0.40,,,,                -65888,,              2671121,,              2060974,,,,,,,,,,,,              2672911,              2672911,                     14,                  1776,              2060974,
3661,2012年01月01日至2012年06月30日,,              1309032,,              1009120,                299912,                299912,,,                 45671,,                 79959,,                155909,                281539,                 18373,,,                  2023,                  4096,,                    739,,                    959,                  3876,                 22249,,                  5883,                 16366,                 16366,,,,,,,,,                -21623,                 -5257,,                 16366,,                 -5257,,,                              0.30,,,                              0.30,,                              0,                              0,                -21623,,              1309032,,              1009120,,                  2073,,,                  1316,                    166,                    411,,                  5883,                              0,,              1309032,              1309032,                              0,                              0,              1009120,                              0
