證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 銷貨成本,　　　 銷貨成本合計,　　 其他綜合損益
1539,2014年01月01日至2014年03月31日,,                525034,,                476106,                 48928,                 48928,,,                  9571,,                 13446,,                  4931,                 27948,                 20980,,,                  1954,,                 13936,,                  4082,                 11808,                 32788,,                  6862,                 25926,                 25926,,,                    -80,                    -14,                    -66,                    -66,                 25860,,                 25926,,                 25860,,                              0.40,,                              0.40,,,,,,
1539,2013年第3季,,                541277,,                475718,                 65559,                 65559,,,                 10887,,                 12232,,                  6010,                 29129,                 36430,,,                  2147,,                 -8626,,                  4663,                -11142,                 25288,,                  6591,                 18697,                 18697,,,,,,                    -52,                 18645,,                 18697,,                 18645,,                              0.29,,                              0.29,                    -62,,                    -10,,,
1539,2013年第2季,,                466720,,                409262,                 57458,                 57458,,,                 11894,,                 13548,,                  4530,                 29972,                 27486,,,                  2043,,                 10431,,                  3903,                  8571,                 36057,,                  4900,                 31157,                 31157,,,,,,                    166,                 31323,,                 31157,,                 31323,,                              0.48,,                              0.48,                    199,,                     33,,,
1539,2013年度,,              1953524,,              1751572,                201952,                201952,,,                 45012,,                 48790,,                 21878,                115680,                 86272,,,                  9656,,                 33721,,                 18319,                 25058,                111330,,                 20950,                 90380,                 90380,,,,,,                    520,                 90900,,                 90380,,                 90900,,                              1.38,,,                   -178,                    800,                    102,,,
1539,2013年07月01日至2013年09月30日,,                541277,,                475718,                 65559,                 65559,,,                 10887,,                 12232,,                  6010,                 29129,                 36430,,,                  2147,,                 -8626,,                  4663,                -11142,                 25288,,                  6591,                 18697,                 18697,,,,,,                    -52,                 18645,,                 18697,,                 18645,,                              0.29,,,                    -62,,,,                475718,                     10
1539,2013年04月01日至2013年06月30日,,                466720,,                409262,                 57458,                 57458,,,                 11894,,                 13548,,                  4530,                 29972,                 27486,,,                  2043,,                 10431,,                  3903,                  8571,                 36057,,                  4900,                 31157,                 31157,,,,,,                    166,                 31323,,                 31157,,                 31323,,                              0.48,,,                    199,,,,                409262,                    -33
1539,2013年01月01日至2013年12月31日,,              1953524,,              1751572,                201952,                201952,,,                 45012,,                 48790,,                 21878,                115680,                 86272,,,                  9656,,                 33721,,                 18319,                 25058,                111330,,                 20950,                 90380,                 90380,,,,,,                    520,                 90900,,                 90380,,                 90900,,                              1.38,,,                   -178,                    800,                    102,,,
1539,2013年01月01日至2013年09月30日,,              1446778,,              1276575,                170203,                170203,,,                 32693,,                 37233,,                 17253,                 87179,                 83024,,,                  5677,,                 22219,,                 13276,                 14620,                 97644,,                 18330,                 79314,                 79314,,,,,,                     11,                 79325,,                 79314,,                 79325,,                              1.21,,                              1.21,                      8,,                     -3,,              1276575,                      3
1539,2013年01月01日至2013年06月30日,,                905501,,                800857,                104644,                104644,,,                 21806,,                 25001,,                 11243,                 58050,                 46594,,,                  3530,,                 30845,,                  8613,                 25762,                 72356,,                 11739,                 60617,                 60617,,,,,,                     63,                 60680,,                 60617,,                 60680,,                              0.93,,                              0.93,                     70,,                      7,,,
1539,2013年01月01日至2013年03月31日,,                438781,,                391595,                 47186,                 47186,,,                  9912,,                 11453,,                  6713,                 28078,                 19108,,,                  1487,,                 20414,,                  4710,                 17191,                 36299,,                  6839,                 29460,                 29460,,,,,,                   -103,                 29357,,                 29460,,                 29357,,                              0.45,,,                   -129,,                    -26,,,
1539,2012年07月01日至2012年09月30日,,                357545,,                326642,                 30903,                 30903,,,                  8418,,                 12457,,                  5782,                 26657,                  4246,,,                    832,,                 -1066,,                  4052,                 -4286,                    -40,,                    -78,                     38,                     38,,,,,,                     97,                    135,,                     38,,                    135,,                              0.00,,,                    115,,,,                326642,                    -18
1539,2012年04月01日至2012年06月30日,,                366033,,                332882,                 33151,                 33151,,,                 10221,,                 13635,,                  5732,                 29588,                  3563,,,                    993,,                  5142,,                  3624,                  2511,                  6074,,                  3660,                  2414,                  2414,,,,,,                    -94,                  2320,,                  2414,,                  2320,,                              0.04,,,                   -117,,,,                332882,                     23
1539,2012年01月01日至2012年12月31日,,              1479547,,              1357339,                122208,                122208,,,                 38089,,                 49841,,                 24383,                112313,                  9895,,,                  6025,,                -10860,,                 15861,                -20696,                -10801,,                  4094,                -14895,                -14895,,,,,,                 -1973,                -16868,,                -14895,,                -16868,,                             -0.23,,,                   -585,                 -1796,                   -408,,,
1539,2012年01月01日至2012年09月30日,,              1088394,,                998665,                 89729,                 89729,,,                 27659,,                 38150,,                 18154,                 83963,                  5766,,,                  2616,,                 -7705,,                 11283,                -16372,                -10606,,                  3213,                -13819,                -13819,,,,,,                   -556,                -14375,,                -13819,,                -14375,,                             -0.21,,,                   -675,,,,                998665,                    119
1539,2012年01月01日至2012年06月30日,,                730849,,                672023,                 58826,                 58826,,,                 19241,,                 25693,,                 12372,                 57306,                  1520,,,                  1784,,                 -6639,,                  7231,                -12086,                -10566,,                  3291,                -13857,                -13857,,,,,,                   -653,                -14510,,                -13857,,                -14510,,                             -0.21,,,                   -790,,,,                672023,                    137
1539,2012年01月01日至2012年03月31日,,                364816,,                339141,                 25675,                 25675,,,                  9020,,                 12058,,                  6640,                 27718,                 -2043,,,                    791,,                -11781,,                  3607,                -14597,                -16640,,                   -369,                -16271,                -16271,,,,,,                   -559,                -16830,,                -16271,,                -16830,,                             -0.25,,,                   -673,,,,                339141,                    114
