證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 其他費用,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 其他綜合損益,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 股利收入,　　　 處分投資損失,　　　 減損損失,　　　　 金融資產減損損失,　　　　 減損損失合計,　　 現金流量避險,　　 銷貨成本,　　　 銷貨成本合計
3607,2014年01月01日至2014年03月31日,,,,              1650339,                 32808,                 24166,              1593365,              1593365,,              1479212,                114153,                114153,,,                 49533,,                112062,,                  8794,,                170389,,,                  9867,                -46369,,,                  2687,,                 49122,,                  8703,,                 12201,                 55307,                  8938,,                  6152,                  2786,                  2786,,,,,,,,,,                121100,                 -3614,                 18923,                 98563,                 98563,                101349,,                  2093,                    693,,                 90872,                 10477,,                              0.02,                              0.02,,                              0.02,                              0.02,,,,,,,,,,,,,,,,,,,,,
3607,2013年第3季,,,,              2174089,                 53639,                 13119,              2107331,              2107331,,              1810277,                297054,                297054,,,                 38994,,                121306,,                 13234,,                173534,,,                 -1988,                121532,,,                  3751,,                -84916,,                  9676,,                 15581,                -75260,                 46272,,                  7243,                 39029,                 39029,,,,,,,,,,,,,,                -28957,                 10072,,                 29050,                  9979,,                  3617,                  6455,,                              0.25,                              0.25,,                              0.24,                              0.24,                -32961,                 -1000,,,                  5004,,,,,,,,,,,,,,,,
3607,2013年第2季,,,,              1721896,                 34280,                 15930,              1671686,              1671686,,              1457883,                213803,                213803,,,                 28943,,                122239,,                 14944,,                166126,,,                  3459,                 51136,,,                  1367,,                 18764,,                  9354,,                   -178,                 10599,                 61735,,                 15638,                 46097,                 46097,,,,,,,,,,,,,,                 78736,                124833,,                 45596,                    501,,                112296,                 12537,,                              0.39,                              0.39,,                              0.38,                              0.38,                 99807,                 -6150,,,                -14921,,                  1367,,,,,,,,,,,,,,
3607,2013年度,,,,              8261683,                144552,                 60185,              8056946,              8056946,,              6827969,              1228977,              1228977,,,                159222,,                462491,,                 51041,,                672754,,,                 22657,                578880,,,                 14138,,                -12504,,                 44549,,                 45405,                  2490,                581370,,                125528,                455842,                455842,,,,,,,,,,,,,,                271103,                726945,,                417100,                 38742,,                656961,                 69984,,                              3.57,                              3.57,,                              3.40,                              3.40,                349840,                -22250,                 -2801,                 53686,,,,,,,,,,,,,,,,,
3607,2013年07月01日至2013年09月30日,,,,              2174089,                 53639,                 13119,              2107331,              2107331,,              1811990,                295341,                295341,,,                 38994,,                121306,,                 13234,,                173534,,,                 -1988,                119819,,,                  8250,,                -87702,,                  9676,,                 15581,                -73547,                 46272,,                  7243,                 39029,                 39029,,,,,,,,,,,,,,                -28957,                 10072,,                 29050,                  9979,,                  3617,                  6455,,                              0.25,                              0.25,,                              0.24,                              0.24,                -27957,                 -1000,,,,,                  1933,                  4499,                              0,                 -3550,                  1823,                  1688,,                  1818,                 84287,,,,                              0,,
3607,2013年04月01日至2013年06月30日,,,,,,,              1671686,              1671686,,              1457883,                213803,                213803,,,                 28943,,                122239,,                 14944,,                166126,,,                  3459,                 51136,,,                 11845,,                  8286,,                  9354,,                   -178,                 10599,                 61735,,                 15638,                 46097,                 46097,,,,,,,,,,,,,,                 78736,                124833,,                 45596,                    501,,                112296,                 12537,,                              0.39,                              0.39,,                              0.38,                              0.38,                 84886,                 -6150,,,,,,,,,,,,,,,,,                              0,,              1457883
3607,2013年01月01日至2013年12月31日,,,,              8261683,                144552,                 60185,              8056946,              8056946,,              6834789,              1222157,              1222157,,,                159222,,                462491,,                 51041,,                672754,,,                 22657,                572060,,,                 49618,,                -41164,,                 44549,,                 45405,                  9310,                581370,,                125528,                455842,                455842,,,,,,,,,,,,,,                271103,                726945,,                417100,                 38742,,                656961,                 69984,,                              3.57,                              3.57,,                              3.40,                              3.40,                349840,                -22250,                 -2801,,                -53686,,                 11788,                 35480,,                 37598,                              0,                  8362,                  4655,                  2350,                 65745,,                              0,                              0,                              0,,
3607,2013年01月01日至2013年09月30日,,,,              5785144,                111525,                 39381,              5634238,              5634238,,              4863158,                771080,                771080,,,                107353,,                347377,,                 39843,,                494573,,,                 14212,                290719,,,                  5662,,                -10381,,                 30838,,                 20843,                -14714,                276005,,                 56244,                219761,                219761,,,,,,,,,,,,,,                200704,                420465,,                199865,                 19896,,                379452,                 41013,,                              1.72,                              1.72,,                              1.64,                              1.64,                258270,                -17250,,,                -40316,,,,,,,,,,,,,,,,
3607,2013年01月01日至2013年06月30日,,,,              3611055,                 57886,                 26262,              3526907,              3526907,,              3056631,                470276,                470276,,,                 68359,,                226071,,                 26609,,                321039,,,                 16200,                165437,,,                  1911,,                 78285,,                 21162,,                  5262,                 64296,                229733,,                 49001,                180732,                180732,,,,,,,,,,,,,,                229661,                410393,,                170815,                  9917,,                375835,                 34558,,                              1.48,                              1.48,,                              1.40,                              1.40,                291231,                -16250,,,                -45320,,                  1911,,,,,,,,,,,,,,
3607,2013年01月01日至2013年03月31日,,,,              1889159,                 23606,                 10332,              1855221,              1855221,,              1598748,                256473,                256473,,,                 39416,,                103832,,                 11665,,                154913,,,                 12741,                114301,,,                 10180,,                 49885,,                 11808,,                  5440,                 53697,                167998,,                 33363,                134635,                134635,,,,,,,,,,,,,,                150925,                285560,,                125219,                  9416,,                263539,                 22021,,                              1.10,                              1.10,,                              1.03,                              1.03,                191424,                -10100,,,                -30399,,                    544,                  9636,                 18434,                 34580,                              0,                  2977,                    152,,,,,,,,
3607,2012年07月01日至2012年09月30日,,,,              2505141,                 46761,                 14972,              2443408,              2443408,,              2178545,                264863,                264863,,,                 42662,,                100538,,                 19288,,                162488,,,                 11905,                114280,,,                  9327,,                 -5045,,                  9440,,                  2305,                 -2853,                111427,,                  7355,                104072,                104072,,,,,,,,,,,,,,                -92470,                 11602,,                113034,                 -8962,,                 27248,                -15646,,                              1.01,                              1.01,,                              1.01,                              1.01,                -91762,                   -870,,,,,                  2199,                  5160,                              0,                 -5752,                  1726,                  1019,,                  1968,                              0,,,,                    162,,
3607,2012年04月01日至2012年06月30日,,,,,,,              1967800,              1967800,,              1836519,                131281,                131281,,,                 31759,,                 79218,,                 11392,,                122369,,,                 15231,                 24143,,,                 12702,,                  6307,,                  9516,,                  7121,                 16614,                 40757,,                 28849,                 11908,                 11908,,,,,,,,,,,,,,                 50713,                 62621,,                 18705,                 -6797,,                 66049,                 -3428,,                              0.17,                              0.17,,                              0.17,                              0.17,                 49439,                  1020,,,,,,,,,,,,,,,,,                    254,,              1836519
3607,2012年01月01日至2012年12月31日,,,,              8753900,                171530,                 47577,              8534793,              8534793,,              7465335,              1069458,              1069458,,,                186951,,                438677,,                 69296,,                694924,,,                 26265,                400799,,,                 60828,,                 29215,,                 44421,,                 26379,                 72001,                472800,,                153905,                318895,                318895,,,,,,,,,,,,,,               -243890,                 75005,,                344491,                -25596,,                117466,                -42461,,                              3.08,                              3.08,,                              3.04,                              3.04,               -289712,                  3285,                 -5407,,                 47303,,                  4869,                 54009,,                 44374,                  2417,                  7599,                              0,                  1950,                              0,,                  9977,                  9977,                    641,,
3607,2012年01月01日至2012年09月30日,,,,              6111163,                103551,                 33799,              5973813,              5973813,,              5521346,                452467,                452467,,,                124128,,                290023,,                 51189,,                465340,,,                 29001,                 16128,,,                 34203,,                 27679,,                 28366,,                 18504,                 52020,                 68148,,                 32648,                 35500,                 35500,,,,,,,,,,,,,,               -179945,               -144445,,                 52121,                -16621,,               -114941,                -29504,,                              0.47,                              0.47,,                              0.46,                              0.46,               -184306,                  3720,,,,,                  3253,                 28982,                              0,                 28743,                  2018,                  3082,,                  1968,                              0,,,,                    641,,
3607,2012年01月01日至2012年06月30日,,,,,,,              3530405,              3530405,,              3342801,                187604,                187604,,,                 81466,,                189485,,                 31901,,                302852,,,                 17096,                -98152,,,                 24876,,                 32724,,                 18926,,                 16199,                 54873,                -43279,,                 25293,                -68572,                -68572,,,,,,,,,,,,,,                -87475,               -156047,,                -60913,                 -7659,,               -142189,                -13858,,                             -0.55,                             -0.55,,                             -0.55,                             -0.55,                -92544,                  4590,,,,,,,,,,,,,,,,,                    479,,              3342801
3607,2012年01月01日至2012年03月31日,,,,,,,              1562605,              1562605,,              1506282,                 56323,                 56323,,,                 49707,,                110267,,                 20509,,                180483,,,                  1865,               -122295,,,                 12253,,                 26338,,                  9410,,                  9078,                 38259,                -84036,,                 -3556,                -80480,                -80480,,,,,,,,,,,,,,               -138188,               -218668,,                -79618,                   -862,,               -208238,                -10430,,                             -0.71,                             -0.71,,                             -0.71,                             -0.71,               -141983,                  3570,,,,,,,,,,,,,,,,,                    225,,              1506282
