證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 本期綜合損益總額,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之權益工具投資利益(損失),　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之國外營運機構財務報表換算之兌換差額,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 合併前非屬共同控制股權綜合損益淨額,　　 停業單位淨利（淨損）,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益
2441,2014年01月01日至2014年03月31日,,,              2434245,              2434245,,,              1782823,              1782823,                651422,                651422,,,                  9491,,                 40770,,                 36927,                 87188,                564234,,,                 10741,,                 12131,                 22872,                587106,,                 69496,                517610,                517610,                517610,,                              0.91,                              0.91,,                              0.89,                              0.89,,,,,,,,,,,,,,,,,,,,,,,,,
2441,2013年第3季,,,              2380724,              2380724,,,              1793580,              1793580,                587144,                587144,,,                 35291,,                 41385,,                 28271,                104947,                482197,,,                  9902,,                 -4226,                  5676,                487873,,                 58194,                429679,                429679,                429679,,                              0.78,                              0.78,,                              0.76,                              0.76,,,,,,,,,,,,,,,,,,,,,,,,,
2441,2013年第2季,,,              2308674,              2308674,,,              1763137,              1763137,                545537,                545537,,,                 33576,,                 40894,,                 26808,                101278,                444259,,,                  8872,,                  2896,                 11768,                456027,,                 50601,                405426,                405426,                405426,,                              0.73,                              0.73,,                              0.72,                              0.72,,,,,,,,,,,,,,,,,,,,,,,,,
2441,2013年度,,,              9192401,              9192401,,,              7011011,              7011011,              2181390,              2181390,,,                139216,,                161882,,                111736,                412834,              1768556,,,                 34957,,                 30796,                 65753,              1834309,,                218859,              1615450,              1615450,              1618684,,                              2.91,                              2.91,,                              2.84,                              2.84,,,,,,,,,,,,,,,,,,,,,                  3234,,,                  3234,
2441,2013年07月01日至2013年09月30日,,,              2380724,              2380724,,,              1793580,              1793580,                587144,                587144,,,                 35291,,                 41385,,                 28271,                104947,                482197,,,                  9902,,                 -4226,                  5676,                487873,,                 58194,                429679,                429679,                429679,,                              0.78,                              0.78,,                              0.76,                              0.76,,,,,,,,,,,,,,,,,,,,,,,,,
2441,2013年04月01日至2013年06月30日,,,              2308674,              2308674,,,              1763137,              1763137,                545537,                545537,,,                 33576,,                 40894,,                 26808,                101278,                444259,,,                  5872,,                  5896,                 11768,                456027,,                 50601,                405426,                405426,                405426,,                              0.73,                              0.73,,                              0.72,                              0.72,,,,,,,,,,,,,,,,,,,,,,,,,
2441,2013年01月01日至2013年12月31日,,,              9192401,              9192401,,,              7011011,              7011011,              2181390,              2181390,,,                139216,,                161882,,                111736,                412834,              1768556,,,                 34957,,                 30796,                 65753,              1834309,,                218859,              1615450,              1615450,              1618684,,                              2.91,                              2.91,,                              2.84,                              2.84,,,,,,,,,,,,,,,,,,,,,                  3234,,,,                  3234
2441,2013年01月01日至2013年09月30日,,,              6778681,              6778681,,,              5260953,              5260953,              1517728,              1517728,,,                 95702,,                116047,,                 78755,                290504,              1227224,,,                 28867,,                 16735,                 45602,              1272826,,                151382,              1121444,              1121444,              1121444,,                              2.02,                              2.02,,                              1.98,                              1.98,,,,,,,,,,,,,,,,,,,,,,,,,
2441,2013年01月01日至2013年06月30日,,,              4397957,              4397957,,,              3467373,              3467373,                930584,                930584,,,                 60411,,                 74662,,                 50484,                185557,                745027,,,                 18965,,                 20961,                 39926,                784953,,                 93188,                691765,                691765,                691765,,                              1.25,                              1.25,,                              1.22,                              1.22,,,,,,,,,,,,,,,,,,,,,,,,,
2441,2013年01月01日至2013年03月31日,,,              2089283,              2089283,,,              1704236,              1704236,                385047,                385047,,,                 26835,,                 33768,,                 23676,                 84279,                300768,,,                  9395,,                 18763,                 28158,                328926,,                 42587,                286339,                286339,                286339,,                              0.52,                              0.52,,                              0.51,                              0.51,,,,,,,,,,,,,,,,,,,,,,,,,
2441,2012年07月01日至2012年09月30日,,,              2417915,              2417915,,,              1919460,              1919460,                498455,                498455,,,                 30923,,                 36796,,                 27459,                 95178,                403277,,,                  8343,,                -13650,                 -5307,                397970,,                 37546,                360424,                360424,                360424,,                              0.65,                              0.65,,                              0.64,                              0.64,,,,,,,,,,,,,,,,,,,,,,,,,
2441,2012年04月01日至2012年06月30日,,,              2599594,              2599594,,,              2002524,              2002524,                597070,                597070,,,                 29894,,                 37681,,                 26072,                 93647,                503423,,,                 17696,,                 15785,                 33481,                536904,,                 51991,                484913,                484913,                484913,,                              0.88,                              0.88,,                              0.86,                              0.86,,,,,,,,,,,,,,,,,,,,,,,,,
2441,2012年01月01日至2012年12月31日,,,              9074658,              9074658,,,              7364825,              7364825,              1709833,              1709833,,,                115175,,                141862,,                 97770,                354807,              1355026,,,                 38432,,                -12067,                 26365,              1381391,,                134999,              1246392,              1246392,              1234247,,                              2.25,                              2.25,,                              2.21,                              2.21,,,,,,,,,,,,,,,,,,,,,                -12145,,,,                -12145
2441,2012年01月01日至2012年09月30日,,,              7051461,              7051461,,,              5696441,              5696441,              1355020,              1355020,,,                 83930,,                103759,,                 74459,                262148,              1092872,,,                 33709,,                -15359,                 18350,              1111222,,                106535,              1004687,              1004687,              1004687,,                              1.81,                              1.81,,                              1.78,                              1.78,,,,,,,,,,,,,,,,,,,,,,,,,
2441,2012年01月01日至2012年06月30日,,,              4633546,              4633546,,,              3776981,              3776981,                856565,                856565,,,                 53007,,                 66963,,                 47000,                166970,                689595,,,                 25347,,                 -1690,                 23657,                713252,,                 68989,                644263,                644263,                644263,,                              1.16,                              1.16,,                              1.14,                              1.14,,,,,,,,,,,,,,,,,,,,,,,,,
2441,2012年01月01日至2012年03月31日,,,              2033952,              2033952,,,              1774457,              1774457,                259495,                259495,,,                 23113,,                 29282,,                 20928,                 73323,                186172,,,                  5277,,                -15101,                 -9824,                176348,,                 16998,                159350,                159350,                159350,,                              0.29,                              0.29,,                              0.28,                              0.28,,,,,,,,,,,,,,,,,,,,,,,,,
