證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）,　　 其他費用,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 停業單位損益,　　 停業單位損益合計,　　 共同控制下前手權益（淨利／損）,　　 共同控制下前手權益（綜合損益）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 其他綜合損益,　　 與其他綜合損益組成部分相關之所得稅,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨成本
4934,2013年04月01日至2013年06月30日,,,,              1460658,,,,              1269080,                191578,                191578,,,                 26358,,                 -3364,,                 14804,                 37798,                153780,,,                  1774,,                 14000,,                 20784,                 -5010,                148770,,                   -759,                149529,                149529,,,,,,,,,,,                  4449,                153978,,                149529,,                153978,,                              0.72,                              0.72,,                              0.72,                              0.72,                              0,                              0,,,,,,,,                  5361,                              0,,,,,                    912,,,,
4934,2013年01月01日至2013年12月31日,,,              5147861,              5147861,,,              4716670,              4716670,                431191,                431191,,,                 89851,,                 34394,,                 63042,                187287,                243904,,,                 15182,,                 28947,,                 78174,                -34045,                209859,,                 -8675,                218534,                218534,,,,,,,,,,,                 17043,                235577,,                218534,,                235577,,                              1.04,                              1.04,,                              1.04,                              1.04,                              0,                              0,                              0,,                              0,,                              0,,,                 20535,,,,                              0,                              0,                  3492,,,,
4934,2013年01月01日至2013年09月30日,,,              3668649,              3668649,,,              3399631,              3399631,                269018,                269018,,,                 68552,,                 -4776,,                 45263,                109039,                159979,,,                  9023,,                 16850,,                 59726,                -33853,                126126,,                -13255,                139381,                139381,,,,,,,,,,,                 12283,                151664,,                139381,,                151664,,                              0.68,                              0.68,,                              0.67,                              0.67,                              0,                              0,,,,,,,,                 14799,                              0,,,,,                  2516,,              3668649,              3668649,              3399631
4934,2013年01月01日至2013年06月30日,,,              2436739,              2436739,,,              2306762,              2306762,                129977,                129977,,,                 42084,,                -33043,,                 27203,                 36244,                 93733,,,                  6189,,                 12465,,                 39559,                -20905,                 72828,,                 -6008,                 78836,                 78836,,,,,,,,,,,                 15266,                 94102,,                 78836,,                 94102,,                              0.38,                              0.38,,                              0.38,                              0.38,                              0,                              0,,,,,,,,                 18393,                              0,,,,,                  3127,,,,
4934,2013年01月01日至2013年03月31日,,,                976081,                976081,,,              1037682,              1037682,                -61601,                -61601,,,                 15726,,                -29679,,                 12399,                 -1554,                -60047,,,                  2861,,                     19,,                 18775,                -15895,                -75942,,                 -5249,                -70693,                -70693,,,,,,,,,,,                 10817,                -59876,,                -70693,,                -59876,,                             -0.34,                             -0.34,,                             -0.34,                             -0.34,,,                              0,,                              0,,,,,                 13032,,,,,,                  2215,,,,
4934,2012年07月01日至2012年09月30日,,,,              1005517,,,,                996021,                  9496,                  9496,,,                 20074,,                 33746,,                 14203,                 68023,                -58527,,,                  6381,,                -15269,,                 19966,                -28854,                -87381,,                  3494,                -90875,                -90875,,,,,,,,,,,                 -8054,                -98929,,                -90875,,                -98929,,                             -0.44,                             -0.44,,                             -0.44,                             -0.44,,                              0,,,,,,,,                 -9703,,,,,,                 -1649,,,,
4934,2012年04月01日至2012年06月30日,,,,              1171662,,,,              1212680,                -41018,                -41018,,,                 33407,,                 23136,,                 16986,                 73529,               -114547,,,                 21810,,                  9566,,                 14147,                 17229,                -97318,,                  3809,               -101127,               -101127,,,,,,,,,,,                  2947,                -98180,,               -101127,,                -98180,,                             -0.49,                             -0.49,,                             -0.49,                             -0.49,                              0,                              0,,,,,,,,                  3560,                     -8,,,,,                    605,,,,
4934,2012年01月01日至2012年12月31日,,,              3740880,              3740880,,,              4740148,              4740148,               -999268,               -999268,,,                107882,,                120509,,                 65054,                293445,             -1292713,,,                 37559,,                -98591,,                 66293,               -127325,             -1420038,,                 33278,             -1453316,             -1453316,,,,,,,,,,,                -15284,             -1468600,,             -1453316,,             -1468600,,                             -7.41,                             -7.41,,                             -7.41,                             -7.41,                              0,                              0,                              0,,                              0,,                              0,,,                -18415,,,,                              0,                              0,                 -3131,,,,
4934,2012年01月01日至2012年09月30日,,,,              3133259,,,,              3178954,                -45695,                -45695,,,                 79131,,                 94104,,                 50646,                223881,               -269576,,,                 32535,,                 -9736,,                 53017,                -30218,               -299794,,                 14477,               -314271,               -314271,,,,,,,,,,,                -15844,               -330115,,               -314271,,               -330115,,                             -1.63,                             -1.63,,                             -1.63,                             -1.63,,                              0,,,,,,,,                -19089,,,,,,                 -3245,,,,
4934,2012年01月01日至2012年06月30日,,,,              2127742,,,,              2182933,                -55191,                -55191,,,                 59057,,                 60358,,                 36443,                155858,               -211049,,,                 26154,,                  5533,,                 33051,                 -1364,               -212413,,                 10983,               -223396,               -223396,,,,,,,,,,,                 -7790,               -231186,,               -223396,,               -231186,,                             -1.20,                             -1.20,,                             -1.20,                             -1.20,                              0,                              0,,,,,,,,                 -9386,                              0,,,,,                 -1596,,,,
4934,2012年01月01日至2012年03月31日,,,,                956080,,,,                970253,                -14173,                -14173,,,                 25650,,                 37222,,                 19457,                 82329,                -96502,,,                  1243,,                   -932,,                 18904,                -18593,               -115095,,                  7174,               -122269,               -122269,,,,,,,,,,,                -10737,               -133006,,               -122269,,               -133006,,                             -0.69,                             -0.69,,                             -0.69,                             -0.69,                              0,                              0,,,,,,,,                -12946,                      8,,,,,                 -2201,,,,
