證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
2311,2014年01月01日至2014年06月30日,,            113314835,,             90345213,             22969622,             22969622,,,              1637884,,              4660850,,              4970720,             11269454,             11700168,,,                256520,,               -320790,,              1176359,,                -94827,             -1335456,             10364712,,              1551419,              8813293,              8813293,,,               -128561,                  3411,                  3279,,                251448,                129577,                129577,              8942870,,              8556079,                257214,,              8702539,                240331,,                              1.12,,                              1.08,,,,,,,
2311,2014年01月01日至2014年03月31日,,             54699586,,             44350522,             10349064,             10349064,,,                793635,,              2192085,,              2293666,              5279386,              5069678,,,                116713,,               -240489,,                598359,,                -64226,               -786361,              4283317,,                726839,              3556478,              3556478,,,,,,,,,              1787899,              5344377,,              3437872,                118606,,              5176219,                168158,,                              0.45,,                              0.44,              1588607,                 58173,                  2869,,,                138250,                              0
2311,2013年第3季,,             56748403,,             45161170,             11587233,             11587233,,,                755666,,              2311662,,              2421399,              5488727,              6098506,,,                138396,,               -299889,,                575636,,                  6751,               -730378,              5368128,,                821884,              4546244,              4546244,,,,,,,,,             -1024396,              3521848,,              4430433,                115811,,              3437778,                 84070,,                              0.59,,                              0.57,             -1103586,                  6412,                 -2326,,,                 75104,                              0
2311,2013年第2季,,             50759768,,             40324066,             10435702,             10435702,,,                728281,,              2044094,,              2260063,              5032438,              5403264,,,                 89926,,                 93589,,                531962,,                -16893,               -365340,              5037924,,              1126786,              3911138,              3911138,,,,,,,,,                954086,              4865224,,              3820412,                 90726,,              4728744,                136480,,                              0.51,,                              0.50,                962622,                -25208,                  1940,,,                 14732,                              0
2311,2013年度,,            219862446,,            177048702,             42813744,             42813744,,,              2983874,,              8716529,,              9069018,             20769421,             22044323,,,                557014,,               -963490,,              2307455,,                 26300,             -2687631,             19356692,,              3201652,             16155040,             16155040,,,,,,,,,              3238026,             19393066,,             15689074,                465966,,             18798923,                594143,,                              2.09,,                              2.03,              2817268,                 14839,                  1245,                418843,,                 55183,                 69352
2311,2013年07月01日至2013年09月30日,,             56748403,,             45161170,             11587233,             11587233,,,                755666,,              2311662,,              2421399,              5488727,              6098506,,,                138396,,               -299889,,                575636,,                  6751,               -730378,              5368128,,                821884,              4546244,              4546244,,,,,,,,,             -1024396,              3521848,,              4430433,                115811,,              3437778,                 84070,,                              0.59,,                              0.57,             -1103586,                  6412,                 -2326,,,                 75104,                              0
2311,2013年04月01日至2013年06月30日,,             50759768,,             40327872,             10431896,             10431896,,,                728281,,              2043750,,              2260063,              5032094,              5399802,,,                 89926,,                 97051,,                531962,,                -16893,               -361878,              5037924,,              1126786,              3911138,              3911138,,,,,,,,,                954086,              4865224,,              3820412,                 90726,,              4728744,                136480,,                              0.51,,                              0.50,                962622,                -25208,                  1940,,,                 14732,                              0
2311,2013年01月01日至2013年09月30日,,            155698044,,            125394537,             30303507,             30303507,,,              2172851,,              6360363,,              6665782,             15198996,             15104511,,,                304419,,               -173268,,              1646835,,                -24030,             -1539714,             13564797,,              2751427,             10813370,             10813370,,,,,,,,,              2128146,             12941516,,             10481477,                331893,,             12518522,                422994,,                              1.40,,                              1.36,              1917468,                132991,                  4138,,,                 74318,                    769
2311,2013年01月01日至2013年06月30日,,             98949641,,             80233367,             18716274,             18716274,,,              1417185,,              4048701,,              4244383,              9710269,              9006005,,,                166023,,                126621,,              1071199,,                -30781,               -809336,              8196669,,              1929543,              6267126,              6267126,,,,,,,,,              3152542,              9419668,,              6051044,                216082,,              9080744,                338924,,                              0.81,,                              0.79,              3021054,                126579,                  6464,,,                   -786,                    769
2311,2013年01月01日至2013年03月31日,,             48189873,,             39909301,              8280572,              8280572,,,                688904,,              2004607,,              1984320,              4677831,              3602741,,,                 76097,,                 33032,,                539237,,                -13888,               -443996,              3158745,,                802757,              2355988,              2355988,,,,,,,,,              2198456,              4554444,,              2230632,                125356,,              4352000,                202444,,                              0.30,,                              0.29,              2058432,                151787,                  4524,,,                -15518,                    769
2311,2012年07月01日至2012年09月30日,,             48991374,,             39379301,              9612073,              9612073,,,                670467,,              2116506,,              2029782,              4816755,              4795318,,,                101021,,                 52256,,                490916,,                  6170,               -331469,              4463849,,                865479,              3598370,              3598370,,,,,,,,,             -1469917,              2128453,,              3451024,                147346,,              2032801,                 95652,,                              0.46,,                              0.46,             -1512464,                  6782,                 12202,,,                 25637,                  2074
2311,2012年04月01日至2012年06月30日,,             45872457,,             37020026,              8852431,              8852431,,,                672707,,              2086186,,              1950075,              4708968,              4143463,,,                125978,,                -25181,,                501903,,                 -9821,               -410927,              3732536,,                442281,              3290255,              3290255,,,,,,,,,                570066,              3860321,,              3196581,                 93674,,              3744451,                115870,,                              0.43,,                              0.42,                690639,                -28525,                 13567,,,               -103309,                  2306
2311,2012年01月01日至2012年09月30日,,            137964461,,            112319855,             25644606,             25644606,,,              2010221,,              6140403,,              5740241,             13890865,             11753741,,,                364021,,                156346,,              1491526,,                -13437,               -984596,             10769145,,              1772483,              8996662,              8996662,,,,,,,,,             -2564913,              6431749,,              8693368,                303294,,              6180551,                251198,,                              1.17,,                              1.14,             -2647070,                 45895,                 47286,,,                 -2986,                  8038
2311,2012年01月01日至2012年06月30日,,             88973087,,             72940554,             16032533,             16032533,,,              1339754,,              4023897,,              3710459,              9074110,              6958423,,,                263000,,                104090,,              1000610,,                -19607,               -653127,              6305296,,                907004,              5398292,              5398292,,,,,,,,,             -1094996,              4303296,,              5242344,                155948,,              4147750,                155546,,                              0.70,,                              0.69,             -1134606,                 39113,                 35084,,,                -28623,                  5964
2311,2012年01月01日至2012年03月31日,,             43100630,,             35920528,              7180102,              7180102,,,                667047,,              1937711,,              1760384,              4365142,              2814960,,,                196811,,                 69482,,                498707,,                 -9786,               -242200,              2572760,,                464723,              2108037,              2108037,,,,,,,,,             -1665062,                442975,,              2045763,                 62274,,                403299,                 39676,,                              0.28,,                              0.27,             -1825245,                 67638,                 21517,,,                 74686,                  3658
