證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 其他營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 基本每股盈餘,　　 基本每股盈餘合計,　　　 銷貨收入,　　　　 銷貨收入合計,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
1423,2014年01月01日至2014年03月31日,,,                148872,,                  4209,                153081,,,                172767,                  1955,                174722,                -21641,                -21641,,,                  1965,,                  6330,                  8295,                -29936,,,                  5600,,                    100,,                      8,,                 -6861,                 -1169,                -31105,,                 10361,                -41466,                -41466,,,                   -395,,                  4253,                  3858,                  3858,                -37608,,                             -0.24,,                148872,,,,,
1423,2013年第3季,,,                214976,,                  9500,                224476,,,                218187,                  4357,                222544,                  1932,                  1932,,,                  4608,,                  6007,                 10615,                 -8683,,,                 11097,,                 -3142,,                      8,,                 -8623,                   -676,                 -9359,,                   -105,                 -9254,                 -9254,,,,,,,                 -4077,                -13331,,                             -0.05,,,                   -132,,,                 -3945,                              0
1423,2013年第2季,,,                206037,,                  7427,                213464,,,                241377,                  4251,                245628,                -32164,                -32164,,,                  2609,,                  6260,                  8869,                -41033,,,                  4792,,                   -506,,                      7,,                 -4316,                    -37,                -41070,,                 -3382,                -37688,                -37688,,,,,,,                  7696,                -29992,,                             -0.21,,,                    232,,,                  7464,                              0
1423,2013年度,,,                785206,,                 36684,                821890,,,                774460,                 18300,                792760,                 29130,                 29130,,,                 11881,,                 24527,                 36408,                 -7278,,,                 25896,,                 -4185,,                     31,,                -36793,                -15113,                -22391,,                -18664,                 -3727,                 -3727,,,,,,,                 48350,                 44623,,                             -0.02,,,                 28938,                 -3515,,                 22927,                              0
1423,2013年07月01日至2013年09月30日,,,                214976,,                  9500,                224476,,,                218187,                  4357,                222544,                  1932,                  1932,,,                  4608,,                  6007,                 10615,                 -8683,,,                 11097,,                 -3142,,                      8,,                 -8623,                   -676,                 -9359,,                   -105,                 -9254,                 -9254,,,,,,,                 -4077,                -13331,,                             -0.05,,,                   -132,,,                 -3945,                              0
1423,2013年04月01日至2013年06月30日,,,                206037,,                  7427,                213464,,,                241377,                  4251,                245628,                -32164,                -32164,,,                  2609,,                  6260,                  8869,                -41033,,,                  4792,,                   -506,,                      7,,                 -4316,                    -37,                -41070,,                 -3382,                -37688,                -37688,,,,,,,                  7696,                -29992,,                             -0.21,,,                    232,,,                  7464,                              0
1423,2013年01月01日至2013年12月31日,,,                785206,,                 36684,                821890,,,                774460,                 18300,                792760,                 29130,                 29130,,,                 11881,,                 24527,                 36408,                 -7278,,,                 25896,,                 -4185,,                     31,,                -36793,                -15113,                -22391,,                -18664,                 -3727,                 -3727,,,,,,,                 48350,                 44623,,                             -0.02,,,                 28938,                 -3515,,                 22927,                              0
1423,2013年01月01日至2013年09月30日,,,                649064,,                 21530,                670594,,,                661384,                 12152,                673536,                 -2942,                 -2942,,,                 10007,,                 18516,                 28523,                -31465,,,                 20477,,                 -3444,,                     24,,                -19634,                 -2625,                -34090,,                 -8308,                -25782,                -25782,,,,,,,                 16311,                 -9471,,                             -0.15,,,                    298,,,                 16013,                              0
1423,2013年01月01日至2013年06月30日,,,                434088,,                 12030,                446118,,,                443197,                  7795,                450992,                 -4874,                 -4874,,,                  5399,,                 12509,                 17908,                -22782,,,                  9380,,                   -302,,                     16,,                -11011,                 -1949,                -24731,,                 -8203,                -16528,                -16528,,,,,,,                 20388,                  3860,,                             -0.09,,,                    430,,,                 19958,                              0
1423,2013年01月01日至2013年03月31日,,,                228051,,                  4603,                232654,,,                201820,                  3544,                205364,                 27290,                 27290,,,                  2790,,                  6249,                  9039,                 18251,,,                  4588,,                    204,,                      9,,                 -6695,                 -1912,                 16339,,                 -4821,                 21160,                 21160,,,,,,,                 12692,                 33852,,                              0.12,,,                    198,,,                 12494,
1423,2012年07月01日至2012年09月30日,,,                183908,,                 11919,                195827,,,                260117,                  5753,                265870,                -70043,                -70043,,,                  3337,,                  7346,                 10683,                -80726,,,                 12588,,                 -3301,,                      7,,                 -9424,                   -144,                -80870,,                 -7104,                -73766,                -73766,,,,,,,                 -9568,                -83334,,                             -0.42,,,                    450,,,                -10018,                              0
1423,2012年04月01日至2012年06月30日,,,                338041,,                  8974,                347015,,,                372334,                  4348,                376682,                -29667,                -29667,,,                  4558,,                  7242,                 11800,                -41467,,,                  4431,,                   -921,,                     20,,                 -9561,                 -6071,                -47538,,                 -2422,                -45116,                -45116,,,,,,,                  3495,                -41621,,                             -0.26,,,                   -187,,,                  3682,                              0
1423,2012年01月01日至2012年12月31日,,,                993963,,                 47962,              1041925,,,              1042761,                 22353,              1065114,                -23189,                -23189,,,                 13056,,                 28853,                 41909,                -65098,,,                 26793,,                 -9589,,                    112,,                -58873,                -41781,               -106879,,                 -4920,               -101959,               -101959,,,,,,,                 -1222,               -103181,,                             -0.58,,,                 12715,                  2838,,                -16775,                              0
1423,2012年01月01日至2012年09月30日,,,                799938,,                 38900,                838838,,,                884796,                 18359,                903155,                -64317,                -64317,,,                 10502,,                 22079,                 32581,                -96898,,,                 21630,,                 -6843,,                    105,,                -27921,                -13239,               -110137,,                 -7210,               -102927,               -102927,,,,,,,                -16904,               -119831,,                             -0.59,,,                    551,,,                -17455,                              0
1423,2012年01月01日至2012年06月30日,,,                616030,,                 26981,                643011,,,                624679,                 12606,                637285,                  5726,                  5726,,,                  7165,,                 14733,                 21898,                -16172,,,                  9042,,                 -3542,,                     98,,                -18497,                -13095,                -29267,,                   -106,                -29161,                -29161,,,,,,,                 -7336,                -36497,,                             -0.17,,,                    101,,,                 -7437,                              0
1423,2012年01月01日至2012年03月31日,,,                277989,,                 18007,                295996,,,                252345,                  8258,                260603,                 35393,                 35393,,,                  2607,,                  7491,                 10098,                 25295,,,                  4611,,                 -2621,,                     78,,                 -8936,                 -7024,                 18271,,                  2316,                 15955,                 15955,,,,,,,                -10831,                  5124,,                              0.09,,,                    288,,,                -11119,
