證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 租賃收入,　　　 租賃收入合計,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 租賃成本,　　　 租賃成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 租賃收入,　　　 銷貨成本,　　　 租賃成本,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　 本期所得稅費用（利益）,　 停業單位損益,　　 停業單位損益合計,　　　　 銷貨收入,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　　 其他營業收入,　　 其他綜合損益
1419,2014年01月01日至2014年03月31日,,,,                215640,                215640,,                 57603,,                    126,                273369,,,                174957,,                 29917,                204874,                 68495,                 68495,,                 77406,                 -8911,,,                    544,                    544,,                  3157,,                  6194,,                   -285,                 -2778,                -11689,,                     62,                -11751,                -11751,,,                    110,                  5335,,                 -5437,                     18,                    -10,                    -10,                -11761,,                -11751,                              0,,                -11761,                              0,,                             -0.04,                             -0.04,,                             -0.04,                             -0.04,                 57603,                174957,                 29917,                              0,                              0,                     62,,                              0,,,,,,,,,,,,,
1419,2013年第3季,,,,                192507,                192507,,                 54760,,                    214,                247481,,,                158140,,                 31448,                189588,                 57893,                 57893,,                 66160,                 -8267,,,                 82441,                 82441,,                 -9913,,                  5408,,                  3997,                 71117,                 62850,,                  1279,                 61571,                 61571,,,,,,,,,                 16722,                 78293,,                 61571,,,                 78293,,,                              0.21,                              0.21,,                              0.21,                              0.21,                 54760,                158140,                 31448,                              0,                              0,,,                              0,                192507,                    216,                 30894,,,                -14352,                     36,,,,,,
1419,2013年第2季,,,,                193829,                193829,,                 52154,,                    511,                246494,,,                151770,,                 27890,                179660,                 66834,                 66834,,                 66769,                     65,,,                 90388,                 90388,,                 42897,,                  5248,,                   -568,                127469,                127534,,                  1150,                126384,                126384,,,,,,,,,                120794,                247178,,                126384,,,                247178,,,                              0.42,                              0.42,,                              0.42,                              0.42,                 52154,                151770,                 27890,                              0,                              0,,,                              0,                193829,                   -144,                102990,,,                 17924,                    -24,,                              0,,                              0,,
1419,2013年度,,,,                787594,                787594,,                216984,,                  1068,              1005646,,,                642043,,                116672,                758715,                246931,                246931,,                280070,                -33139,,,                192000,                192000,,                 39091,,                 32732,,                  2775,                201134,                167995,,                  3599,                164396,                164396,,,,,,,,,                632265,                796661,,                164396,,,                796661,,,                              0.55,                              0.55,,                              0.55,                              0.55,                216984,                642043,                116672,                              0,                              0,,,                              0,                787594,                    365,                628908,                  1363,,                  1691,                     62,,,,,,
1419,2013年07月01日至2013年09月30日,,,,                192507,                192507,,                 54760,,                    214,                247481,,,                158140,,                 31448,                189588,                 57893,                 57893,,                 66160,                 -8267,,,                 82441,                 82441,,                 -9913,,                  5408,,                  3997,                 71117,                 62850,,                  1279,                 61571,                 61571,,,,,,,,,                 16722,                 78293,,                 61571,,,                 78293,,,,                              0.21,,,,                 54760,                158140,                 31448,,,,,,                192507,                    216,                 30894,,,                -14352,                     36,,,,,                    214,
1419,2013年04月01日至2013年06月30日,,,,                193829,                193829,,                 52154,,                    511,                246494,,,                151770,,                 27890,                179660,                 66834,                 66834,,                 66769,                     65,,,                 90388,                 90388,,                 42897,,                  5248,,                   -568,                127469,                127534,,                  1150,                126384,                126384,,,,,,,,,                120794,                247178,,                126384,,,                247178,,,,                              0.42,,,,                 52154,                151770,                 27890,,,,,,                193829,                   -144,                102990,,,                 17924,                    -24,,,,,                    511,
1419,2013年01月01日至2013年12月31日,,,,                787594,                787594,,                216984,,                  1068,              1005646,,,                642043,,                116672,                758715,                246931,                246931,,                280070,                -33139,,,                192000,                192000,,                 39091,,                 32732,,                  2775,                201134,                167995,,                  3599,                164396,                164396,,,,,,,,,                632265,                796661,,                164396,,,                796661,,,,                              0.55,,,,                216984,                642043,                116672,,,,,,                787594,                    365,                628908,                  1363,,                  1691,                     62,,,,,                  1068,
1419,2013年01月01日至2013年09月30日,,,,                556871,                556871,,                159434,,                    830,                717135,,,                453343,,                 87021,                540364,                176771,                176771,,                195173,                -18402,,,                173238,                173238,,                 36678,,                 16010,,                  3179,                197085,                178683,,                  3659,                175024,                175024,,,,,,,,,                448963,                623987,,                175024,,,                623987,,,                              0.58,                              0.58,,                              0.58,                              0.58,                159434,                453343,                 87021,                              0,                              0,,,                              0,                556871,                    238,                458177,,,                 -9412,                     40,,,,,,
1419,2013年01月01日至2013年06月30日,,,,                364364,                364364,,                104674,,                    616,                469654,,,                295203,,                 55573,                350776,                118878,                118878,,                129013,                -10135,,,                 90797,                 90797,,                 46591,,                 10602,,                   -818,                125968,                115833,,                  2380,                113453,                113453,,,,,,,,,                432241,                545694,,                113453,,,                545694,,,                              0.38,                              0.38,,                              0.38,                              0.38,                104674,                295203,                 55573,                              0,                              0,,,                              0,                364364,                     22,                427283,,,                  4940,                      4,,                              0,,                              0,,
1419,2013年01月01日至2013年03月31日,,,,                170535,                170535,,                 52520,,                    105,                223160,,,                143433,,                 27683,                171116,                 52044,                 52044,,                 62244,                -10200,,,                    409,                    409,,                  3694,,                  5354,,                   -250,                 -1501,                -11701,,                  1230,                -12931,                -12931,,,,,,,,,                311447,                298516,,                -12931,,,                298516,,,                             -0.04,                             -0.04,,                             -0.04,                             -0.04,                 52520,                143433,                 27683,,,,,,                170535,                    166,                324293,,,                -12984,                     28,,,,,                    105,                    -28
1419,2012年07月01日至2012年09月30日,,,,                142325,                142325,,                 54358,,                    262,                196945,,,                126180,,                 27718,                153898,                 43047,                 43047,,                 66858,                -23811,,,                174106,                174106,,                 -1600,,                  5406,,                  4393,                171493,                147682,,                    507,                147175,                147175,,,,,,,,,                116922,                264097,,                147175,,,                264097,,,,                              0.49,,,,                 54358,                126180,                 27718,,,,,,                142325,                              0,                112458,,,                  4464,                              0,,,,,                    262,
1419,2012年04月01日至2012年06月30日,,,,                134568,                134568,,                 56697,,                    141,                191406,,,                105769,,                 26060,                131829,                 59577,                 59577,,                 59985,                   -408,,,                 16820,                 16820,,                   -173,,                  5471,,                   -631,                 10545,                 10137,,                 -1143,                 11280,                 11280,,,,,,,,,                -62103,                -50823,,                 11280,,,                -50823,,,,                              0.04,,,,                 56697,                105769,                 26060,,,,,,                134568,                              0,                -57745,,,                 -4358,                              0,,,,,                    141,
1419,2012年01月01日至2012年12月31日,,,,                706300,                706300,,                221189,,                  9119,                936608,,,                562647,,                108649,                671296,                265312,                265312,,                253854,                 11458,,,                193059,                193059,,                 -7941,,                 22144,,                  3356,                166330,                177788,,                  1441,                176347,                176347,,,,,,,,,                475987,                652334,,                176347,,,                652334,,,,                              0.59,,,,                221189,                562647,                108649,,,,,,                706300,                    -41,                425111,                 -2442,,                 53352,                     -7,,,,,                  9119,
1419,2012年01月01日至2012年09月30日,,,,                465377,                465377,,                168466,,                  8831,                642674,,,                379780,,                 79961,                459741,                182933,                182933,,                188513,                 -5580,,,                192300,                192300,,                 -5279,,                 16368,,                  3653,                174306,                168726,,                  1105,                167621,                167621,,,,,,,,,                491593,                659214,,                167621,,,                659214,,,,                              0.56,,,,                168466,                379780,                 79961,,,,,,                465377,                              0,                435479,,,                 56114,                              0,,,,,                  8831,
1419,2012年01月01日至2012年06月30日,,,,                323052,                323052,,                114108,,                  8569,                445729,,,                253600,,                 52243,                305843,                139886,                139886,,                121655,                 18231,,,                 18194,                 18194,,                 -3679,,                 10962,,                   -740,                  2813,                 21044,,                    598,                 20446,                 20446,,,,,,,,,                374671,                395117,,                 20446,,,                395117,,,,                              0.07,,,,                114108,                253600,                 52243,,,,,,                323052,                              0,                323021,,,                 51650,                              0,,,,,                  8569,
1419,2012年01月01日至2012年03月31日,,,,                188484,                188484,,                 57411,,                  8428,                254323,,,                147831,,                 26183,                174014,                 80309,                 80309,,                 61670,                 18639,,,                  1374,                  1374,,                 -3506,,                  5491,,                   -109,                 -7732,                 10907,,                  1741,                  9166,                  9166,,,,,,,,,                436774,                445940,,                  9166,,,                445940,,,,                              0.03,,,,                 57411,                147831,                 26183,,,,,,,                              0,                380766,,,                 56008,,,,,,,                              0
