證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2702,2013年01月01日至2013年12月31日,,                646667,,                149925,                496742,                496742,,,                407113,                407113,                 89629,,,                  4108,,                 -9387,,                 20414,                -25693,                 63936,,                 25868,                 38068,                 38068,,,,,,,                  5017,                 43085,,                 38068,,                 43085,,                              0.44,                              0.44,                 21173,                -12672,                    138,                  3622
2702,2013年01月01日至2013年09月30日,,                489567,,                112120,                377447,                377447,,,                300026,                300026,                 77421,,,                  2691,,                -10607,,                 15089,                -23005,                 54416,,                 19840,                 34576,                 34576,,,,,,,                 -2915,                 31661,,                 34576,,                 31661,,                              0.38,                              0.38,                 14069,                -14592,,                  2392
2702,2013年01月01日至2013年06月30日,,                320788,,                 74883,                245905,                245905,,,                191252,                191252,                 54653,,,                  1885,,                 -9296,,                  9985,                -17396,                 37257,,                 16088,                 21169,                 21169,,,,,,,                  6424,                 27593,,                 21169,,                 27593,,                              0.24,                              0.24,                 26577,                -15635,,                  4518
2702,2013年01月01日至2013年03月31日,,                156752,,                 38107,                118645,                118645,,,                 93993,                 93993,                 24652,,,                  1158,,                    395,,                  4931,                 -3378,                 21274,,                  6402,                 14872,                 14872,,,,,,,                 17333,                 32205,,                 14872,,                 32205,,                              0.17,                              0.17,                 21496,                   -509,,                  3654
2702,2012年07月01日至2012年09月30日,,                134804,,                 32340,                102464,                102464,,,                 77333,                 77333,                 25131,,,                  1937,,                      2,,                  4329,                 -2390,                 22741,,                  7687,                 15054,                 15054,,,,,,,                 -6993,                  8061,,                 15054,,                  8061,,                              0.17,                              0.17,                -12640,                  3498,,                 -2149
2702,2012年04月01日至2012年06月30日,,                134058,,                 31756,                102302,                102302,,,                 74768,                 74768,                 27534,,,                    809,,                     -2,,                  2524,                 -1717,                 25817,,                -10598,                 36415,                 36415,,,,,,,                  8862,                 45277,,                 36415,,                 45277,,                              0.44,                              0.44,                  7866,                  2333,,                  1337
2702,2012年01月01日至2012年12月31日,,                550584,,                137518,                413066,                413066,,,                328510,                328510,                 84556,,,                  5368,,                 -1373,,                 14512,                -10517,                 74039,,                  3791,                 70248,                 70248,,,,,,,                 -2041,                 68207,,                 70248,,                 68207,,                              0.80,                              0.80,                -21071,                 13335,                  2546,                 -3149
2702,2012年01月01日至2012年09月30日,,                396213,,                 99268,                296945,                296945,,,                234532,                234532,                 62413,,,                  3823,,                     -1,,                  9454,                 -5632,                 56781,,                 -2455,                 59236,                 59236,,,,,,,                   -533,                 58703,,                 59236,,                 58703,,                              0.68,                              0.68,                -14116,                 11183,,                 -2400
2702,2012年01月01日至2012年06月30日,,                261409,,                 66928,                194481,                194481,,,                157199,                157199,                 37282,,,                  1886,,                     -3,,                  5125,                 -3242,                 34040,,                -10142,                 44182,                 44182,,,,,,,                  6460,                 50642,,                 44182,,                 50642,,                              0.54,                              0.54,                 -1476,                  7685,,                   -251
2702,2012年01月01日至2012年03月31日,,                127351,,                 35172,                 92179,                 92179,,,                 82431,                 82431,                  9748,,,                  1077,,                     -1,,                  2601,                 -1525,                  8223,,                    456,                  7767,                  7767,,,,,,,                 -2402,                  5365,,                  7767,,                  5365,,                              0.09,                              0.09,                 -9342,                  5352,,                 -1588
