證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 其他收入－其他,　　　 利息費用,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
1104,2014年01月01日至2014年03月31日,,              1379161,,              1243559,                135602,                135602,,,                 25477,,                 55876,,                  6895,                 88248,                 47354,,,                 12547,,                  1110,,                  2320,,                193276,                204613,                251967,,                 11138,                240829,                240829,,,                    188,                  5341,,                125322,                    174,                130677,                130677,                371506,,                239661,                  1168,,                370338,                  1168,,                              0.39,                              0.39,,                              0.39,                              0.39,,,,,,,,
1104,2013年第3季,,              1295292,,              1168191,                127101,                127101,,,                 15880,,                 83702,,                  4684,                104266,                 22835,,,                 15283,,                 -4581,,                  1950,,                206073,                214825,                237660,,                   -872,                238532,                238532,,,,,,,,,                -57688,                180844,,                238239,                    293,,                180551,                    293,,                              0.39,                              0.39,,                              0.39,                              0.39,                 15283,                  1950,                   -122,                 21040,,,                -73354,                  5252
1104,2013年第2季,,              1217277,,              1130158,                 87119,                 87119,,,                 22769,,                 42710,,                  8565,                 74044,                 13075,,,                154890,,                  1587,,                  1759,,                187316,                342034,                355109,,                 18085,                337024,                337024,,,,,,,,,                -17539,                319485,,                335438,                  1586,,                317900,                  1585,,                              0.55,                              0.55,,                              0.54,                              0.54,                154890,                  1759,                     49,                -59348,,,                 37490,                 -4270
1104,2013年度,,              5276157,,              4805965,                470192,                470192,,,                 79853,,                231999,,                 35029,                346881,                123311,,,                202419,,                -14343,,                  6823,,                843929,              1025182,              1148493,,                 29514,              1118979,              1118979,,,,,,,,,                628425,              1747404,,              1113121,                  5858,,              1741546,                  5858,,                              1.81,                              1.81,,                              1.80,                              1.80,                202419,                  6823,                  1500,                326743,                 25982,,                278534,                  4334
1104,2013年07月01日至2013年09月30日,,              1295292,,              1179544,                115748,                115748,,,                 27423,,                 59095,,                  6395,                 92913,                 22835,,,                 15283,,                 -4581,,                  1950,,                206073,                214825,                237660,,                   -872,                238532,                238532,,,,,,,,,                -57688,                180844,,                238239,                    293,,                180551,                    293,,                              0.39,                              0.39,,                              0.39,                              0.39,                 15283,                  1950,                   -122,                 21040,,,                -73354,                  5252
1104,2013年04月01日至2013年06月30日,,              1217277,,              1100883,                116394,                116394,,,                 29148,,                 67317,,                  6854,                103319,                 13075,,,                154890,,                  1587,,                  1759,,                187316,                342034,                355109,,                 18085,                337024,                337024,,,,,,,,,                -17539,                319485,,                335438,                  1586,,                317900,                  1585,,                              0.56,                              0.56,,                              0.55,                              0.55,                154890,                  1759,                     49,                -59348,,,                 37490,                 -4270
1104,2013年01月01日至2013年12月31日,,              5276157,,              4814387,                461770,                461770,,,                 79853,,                231999,,                 35029,                346881,                114889,,,                202419,,                 -5921,,                  6823,,                843929,              1033604,              1148493,,                 29514,              1118979,              1118979,,,,,,,,,                628425,              1747404,,              1113121,                  5858,,              1741546,                  5858,,                              1.84,                              1.84,,                              1.84,                              1.84,                202419,                  6823,                  1500,                326743,                 25982,,                278534,                  4334
1104,2013年01月01日至2013年09月30日,,              3760641,,              3433591,                327050,                327050,,,                 56375,,                179939,,                 24579,                260893,                 66157,,,                192537,,                -18123,,                  4888,,                543345,                712871,                779028,,                 20031,                758997,                758997,,,,,,,,,                220307,                979304,,                754850,                  4147,,                975157,                  4147,,                              1.22,                              1.22,,                              1.22,                              1.22,                192537,                  4888,                  2209,                139340,,,                 80153,                  1395
1104,2013年01月01日至2013年06月30日,,              2465349,,              2265400,                199949,                199949,,,                 40495,,                 96237,,                 19895,                156627,                 43322,,,                177254,,                -13542,,                  2938,,                337272,                498046,                541368,,                 20903,                520465,                520465,,,,,,,,,                277995,                798460,,                516611,                  3854,,                794606,                  3854,,                              0.84,                              0.84,,                              0.84,                              0.84,                177254,                  2938,                  2331,                118300,,,                153507,                 -3857
1104,2013年01月01日至2013年03月31日,,              1248072,,              1135242,                112830,                112830,,,                 17726,,                 53527,,                 11330,                 82583,                 30247,,,                 22364,,                -15129,,                  1179,,                149956,                156012,                186259,,                  2818,                183441,                183441,,,,,,,,,                295534,                478975,,                181173,                  2268,,                476706,                  2269,,                              0.30,                              0.30,,                              0.30,                              0.30,                 22364,                  1179,                  2282,                177648,,,                116017,                    413
1104,2012年07月01日至2012年09月30日,,              1192114,,              1089353,                102761,                102761,,,                 27629,,                 53749,,                 10301,                 91679,                 11082,,,                 17377,,                 -2381,,                    741,,                160868,                175123,                186205,,                  2173,                184032,                184032,,,,,,,,,                 30569,                214601,,                182779,                  1253,,                213348,                  1253,,                              0.30,                              0.30,,                              0.30,                              0.30,                 17377,                    741,                   -338,                 30933,,,                     61,                     87
1104,2012年04月01日至2012年06月30日,,              1134356,,              1047927,                 86429,                 86429,,,                 34758,,                 58855,,                 10785,                104398,                -17969,,,                128278,,                  8499,,                    651,,                143364,                279490,                261521,,                  1488,                260033,                260033,,,,,,,,,                -49003,                211030,,                258510,                  1523,,                209506,                  1524,,                              0.43,                              0.43,,                              0.43,                              0.43,                128278,                    651,                  1444,                 21220,,,                -69989,                  1678
1104,2012年01月01日至2012年12月31日,,              4826334,,              4495919,                330415,                330415,,,                 79472,,                220133,,                 42838,                342443,                -12028,,,                174501,,               -119346,,                  2568,,                678710,                731297,                719269,,                 18652,                700617,                700617,,,,,,,,,                  5641,                706258,,                697738,                  2879,,                703379,                  2879,,                              1.16,                              1.16,,                              1.15,                              1.15,                174501,                  2568,                 -3951,                168169,                -13462,,               -147933,                 -2818
1104,2012年01月01日至2012年09月30日,,              3478931,,              3190835,                288096,                288096,,,                 85670,,                166449,,                 30271,                282390,                  5706,,,                157467,,                 -2691,,                  1848,,                439631,                592559,                598265,,                  5618,                592647,                592647,,,,,,,,,                 71400,                664047,,                588235,                  4412,,                659635,                  4412,,                              0.97,                              0.97,,                              0.97,                              0.97,                157467,                  1848,                  1485,                141702,,,                -69958,                  1829
1104,2012年01月01日至2012年06月30日,,              2286817,,              2101482,                185335,                185335,,,                 58041,,                112700,,                 19970,                190711,                 -5376,,,                140090,,                   -310,,                  1107,,                278763,                417436,                412060,,                  3445,                408615,                408615,,,,,,,,,                 40831,                449446,,                405456,                  3159,,                446287,                  3159,,                              0.67,                              0.67,,                              0.67,                              0.67,                140090,                  1107,                  1823,                110769,,,                -70019,                  1742
1104,2012年01月01日至2012年03月31日,,              1152461,,              1053555,                 98906,                 98906,,,                 23283,,                 53845,,                  9185,                 86313,                 12593,,,                 11812,,                 -8809,,                    456,,                135399,                137946,                150539,,                  1957,                148582,                148582,,,,,,,,,                 89834,                238416,,                146946,                  1636,,                236781,                  1635,,                              0.24,                              0.24,,                              0.24,                              0.24,                 11812,                    456,                    379,                 89549,,,                    -30,                     64
