證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 勞務收入,　　　 勞務收入,　　　　 佣金收入,　　　　 勞務收入淨額,　　　 勞務收入合計,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 其他營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 不重分類至損益之項目總額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 其他綜合損益
3010,2014年01月01日至2014年06月30日,,,             18922136,,,                 36706,                 36706,                 36706,,                 42193,             19001035,,,             17315561,                 15275,             17330836,              1670199,              1670199,,,                887280,,                183044,              1070324,                599875,,,                 75995,,                 24684,,                 50529,,                154635,                204785,                804660,,                186079,                618581,                618581,,,,                -77312,,                -23657,                -18825,                -82144,               -177794,                440787,,                582565,                 36016,,                417543,                 23244,,                              2.52,                              2.52,,                              2.47,                              2.47,,                -95650,                -95650,,,,,,,
3010,2014年01月01日至2014年03月31日,,,              8843556,,,                 17392,                 17392,                 17392,,                  9972,              8870920,,,              8071471,                  6937,              8078408,                792512,                792512,,,                416444,,                 90013,                506457,                286055,,,                 37712,,                -17456,,                 22910,,                 81652,                 78998,                365053,,                 62550,                302503,                302503,,,,,,,,,                -25982,                276521,,                289435,                 13068,,                264155,                 12366,,                              1.25,                              1.25,,                              1.23,                              1.23,,,,                 -9698,                -38801,,,                 21374,,                  1143
3010,2013年第3季,,,              9081228,,,                 31180,                 31180,                 31180,,                 14857,              9127265,,,              8272209,                  4279,              8276488,                850777,                850777,,,                455224,,                106530,                561754,                289023,,,                 74812,,                 -9437,,                 19693,,                106585,                152267,                441290,,                101414,                339876,                339876,,,,,,,,,                -46221,                293655,,                312975,                 26901,,                273887,                 19768,,                              1.35,                              1.35,,                              1.33,                              1.33,,,,                -75281,                 37431,,,                 -8371,                              0,
3010,2013年第2季,,,              8706231,,,                 24609,                 24609,                 24609,,                  6998,              8737838,,,              7962345,                  1757,              7964102,                773736,                773736,,,                402691,,                 99849,                502540,                271196,,,                 40858,,                 41784,,                 19631,,                 75386,                138397,                409593,,                129002,                280591,                280591,,,,,,,,,                 -6886,                273705,,                260033,                 20558,,                245098,                 28607,,                              1.12,                              1.12,,                              1.10,                              1.10,,,,                 65128,                -74655,,,                  8692,                  6051,
3010,2013年度,,,             34240455,,,                118940,                118940,                118940,,                 39003,             34398398,,,             31268906,                 25347,             31294253,              3104145,              3104145,,,              1660589,,                424768,              2085357,              1018788,,,                196429,,                199385,,                 80565,,                304762,                620011,              1638799,,                399776,              1239023,              1239023,,,,,,,,,                204174,              1443197,,              1159458,                 79565,,              1338100,                105097,,                              5.01,                              5.01,,                              4.90,                              4.90,,,,                204327,                -35573,                 15347,,                 60366,                 40293,
3010,2013年07月01日至2013年09月30日,,,              9081228,,,                 31180,                 31180,                 31180,,                 14857,              9127265,,,              8272209,                  4279,              8276488,                850777,                850777,,,                455224,,                106530,                561754,                289023,,,                 74812,,                 -9437,,                 19693,,                106585,                152267,                441290,,                101414,                339876,                339876,,,,,,,,,                -46221,                293655,,                312975,                 26901,,                273887,                 19768,,                              1.35,                              1.35,,                              1.33,                              1.33,,,,                -75281,                 37431,,,                 -8371,                              0,
3010,2013年04月01日至2013年06月30日,,,              8706231,,,                 24609,                 24609,                 24609,,                  6998,              8737838,,,              7962345,                  1757,              7964102,                773736,                773736,,,                402691,,                 99849,                502540,                271196,,,                 40858,,                 41784,,                 19631,,                 75386,                138397,                409593,,                129002,                280591,                280591,,,,,,,,,                 -6886,                273705,,                260033,                 20558,,                245098,                 28607,,                              1.12,                              1.12,,                              1.10,                              1.10,,,,                 65128,                -74655,,,                  8692,                  6051,
3010,2013年01月01日至2013年12月31日,,,             34240455,,,                118940,                118940,                118940,,                 39003,             34398398,,,             31268906,                 25347,             31294253,              3104145,              3104145,,,              1660589,,                424768,              2085357,              1018788,,,                196429,,                199385,,                 80565,,                304762,                620011,              1638799,,                399776,              1239023,              1239023,,,,,,,,,                204174,              1443197,,              1159458,                 79565,,              1338100,                105097,,                              5.01,                              5.01,,                              4.90,                              4.90,,,,                204327,                -35573,                 15347,,                 60366,                 40293,
3010,2013年01月01日至2013年09月30日,,,             25361945,,,                 97186,                 97186,                 97186,,                 31439,             25490570,,,             23184748,                  9905,             23194653,              2295917,              2295917,,,              1229587,,                300271,              1529858,                766059,,,                149237,,                 87615,,                 58793,,                268993,                447052,              1213111,,                293502,                919609,                919609,,,,,,,,,                171878,              1091487,,                859510,                 60099,,              1014134,                 77353,,                              3.71,                              3.71,,                              3.63,                              3.63,,,,                134081,                 18569,,,                 40724,                 21496,
3010,2013年01月01日至2013年06月30日,,,             16280717,,,                 66006,                 66006,                 66006,,                 16582,             16363305,,,             14912539,                  5626,             14918165,              1445140,              1445140,,,                774363,,                193741,                968104,                477036,,,                 74425,,                 97052,,                 39100,,                162408,                294785,                771821,,                192088,                579733,                579733,,,,,,,,,                218099,                797832,,                546535,                 33198,,                740247,                 57585,,                              2.36,                              2.36,,                              2.31,                              2.31,,,,                209362,                -18862,,,                 49095,                 21496,
3010,2013年01月01日至2013年03月31日,,,              7574486,,,                 41397,                 41397,                 41397,,                  9584,              7625467,,,              6950194,                  3869,              6954063,                671404,                671404,,,                371672,,                 93892,                465564,                205840,,,                 33567,,                 55268,,                 19469,,                 87022,                156388,                362228,,                 63086,                299142,                299142,,,,,,,,,                224985,                524127,,                286502,                 12640,,                495149,                 28978,,                              1.24,                              1.24,,                              1.21,                              1.21,,,,                144234,                 55793,,,                 40403,,                -15445
3010,2012年07月01日至2012年09月30日,,,              7643086,,,                 51881,                 51881,                 51881,,                 14453,              7709420,,,              6925025,                  4817,              6929842,                779578,                779578,,,                447290,,                 91158,                538448,                241130,,,                 61641,,                -15142,,                 21150,,                120927,                146276,                387406,,                 66389,                321017,                321017,,,,,,,,,                -72531,                248486,,                295663,                 25354,,                237824,                 10662,,                              1.28,                              1.28,,                              1.26,                              1.26,,,,                -84947,                  8235,,,                 -2714,                 -6895,
3010,2012年04月01日至2012年06月30日,,,              8237179,,,                 33836,                 33836,                 33836,,                  8270,              8279285,,,              7519793,                  4591,              7524384,                754901,                754901,,,                432979,,                 96506,                529485,                225416,,,                 28545,,                 -9968,,                 19178,,                 93556,                 92955,                318371,,                 90193,                228178,                228178,,,,,,,,,                  8412,                236590,,                218759,                  9419,,                223276,                 13314,,                              0.95,                              0.95,,                              0.92,                              0.92,,,,                 34253,                -33793,,,                 10941,                  2989,
3010,2012年01月01日至2012年12月31日,,,             31329267,,,                176352,                176352,                176352,,                 39655,             31545274,,,             28667865,                 19524,             28687389,              2857885,              2857885,,,              1643999,,                370275,              2014274,                843611,,,                155704,,                -12260,,                 79521,,                415701,                479624,              1323235,,                276427,              1046808,              1046808,,,,,,,,,                155117,              1201925,,                987772,                 59036,,              1127267,                 74658,,                              4.27,                              4.27,,                              4.16,                              4.16,,,,               -102905,                234385,                -11972,,                 12838,                -22771,
3010,2012年01月01日至2012年09月30日,,,             23558916,,,                132035,                132035,                132035,,                 31853,             23722804,,,             21492641,                 11459,             21504100,              2218704,              2218704,,,              1248031,,                262169,              1510200,                708504,,,                112542,,                -33899,,                 60210,,                295386,                313819,              1022323,,                218159,                804164,                804164,,,,,,,,,               -111699,                692465,,                762426,                 41738,,                673546,                 18919,,                              3.29,                              3.29,,                              3.22,                              3.22,,,,               -139398,                 16375,,,                 -8865,                -20189,
3010,2012年01月01日至2012年06月30日,,,             15915830,,,                 80154,                 80154,                 80154,,                 17400,             16013384,,,             14567616,                  6642,             14574258,              1439126,              1439126,,,                800741,,                171011,                971752,                467374,,,                 50901,,                -18757,,                 39060,,                174459,                167543,                634917,,                151770,                483147,                483147,,,,,,,,,                -39168,                443979,,                466763,                 16384,,                435722,                  8257,,                              2.02,                              2.02,,                              1.97,                              1.97,,,,                -54451,                  8140,,,                 -6151,                -13294,
3010,2012年01月01日至2012年03月31日,,,              7678651,,,                 46318,                 46318,                 46318,,                  9130,              7734099,,,              7047823,                  2051,              7049874,                684225,                684225,,,                367762,,                 74505,                442267,                241958,,,                 22356,,                 -8789,,                 19882,,                 80903,                 74588,                316546,,                 61577,                254969,                254969,,,,,,,,,                -47580,                207389,,                248004,                  6965,,                212446,                 -5057,,                              1.07,                              1.07,,                              1.05,                              1.05,,,,                -88704,                 41933,,,                -17092,,                 16283
