證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
8210,2014年01月01日至2014年03月31日,,                967984,,                649708,                318276,                318276,,,                 65626,,                 62738,,                 33177,                161541,                156735,,,                 12602,,                  3598,,                  2019,                 14181,                170916,,                 34546,                136370,                136370,,,                 -5538,                 -1808,                 -3730,                 -3730,                132640,,                136370,,                132640,,                              1.14,                              1.14,,                              1.12,                              1.12,,,
8210,2013年第3季,,                972326,,                710796,                261530,                261530,,,                 59745,,                 74173,,                 34172,                168090,                 93440,,,                 17701,,                 -9014,,                  1085,                  7602,                101042,,                 20025,                 81017,                 81017,,,,,,                -17241,                 63776,,                 81017,,                 63776,,                              0.67,                              0.67,,                              0.67,                              0.67,                -20550,,                 -3309
8210,2013年第2季,,                950948,,                681177,                269771,                269771,,,                 50833,,                 72231,,                 29573,                152637,                117134,,,                  9206,,                 -6618,,                    779,                  1809,                118943,,                 26451,                 92492,                 92492,,,,,,                 25937,                118429,,                 92492,,                118429,,                              0.77,                              0.77,,                              0.76,                              0.76,                 30803,                              0,                  4866
8210,2013年度,,              3723563,,              2675089,              1048474,              1048474,,,                232352,,                273863,,                121329,                627544,                420930,,,                 52283,,                -13503,,                  4774,                 34006,                454936,,                113104,                341832,                341832,,,,,,                 76740,                418572,,                341832,,                418572,,                              2.85,                              2.85,,                              2.81,                              2.81,                 93373,                 -2344,                 14289
8210,2013年07月01日至2013年09月30日,,                972326,,                710796,                261530,                261530,,,                 59745,,                 74173,,                 34172,                168090,                 93440,,,                 17701,,                 -9014,,                  1085,                  7602,                101042,,                 20025,                 81017,                 81017,,,,,,                -17241,                 63776,,                 81017,,                 63776,,                              0.67,                              0.67,,                              0.67,                              0.67,                -20550,,                 -3309
8210,2013年04月01日至2013年06月30日,,                950948,,                681177,                269771,                269771,,,                 50833,,                 72231,,                 29573,                152637,                117134,,,                  9206,,                 -6618,,                    779,                  1809,                118943,,                 26451,                 92492,                 92492,,,,,,                 25937,                118429,,                 92492,,                118429,,                              0.77,                              0.77,,                              0.76,                              0.76,                 30803,,                  4866
8210,2013年01月01日至2013年12月31日,,              3723563,,              2675089,              1048474,              1048474,,,                232352,,                273863,,                121329,                627544,                420930,,,                 52283,,                -13503,,                  4774,                 34006,                454936,,                113104,                341832,                341832,,,,,,                 76740,                418572,,                341832,,                418572,,                              2.85,                              2.85,,                              2.81,                              2.81,                 93373,                 -2344,                 14289
8210,2013年01月01日至2013年09月30日,,              2775268,,              1994445,                780823,                780823,,,                164084,,                207340,,                 90426,                461850,                318973,,,                 39713,,                -13978,,                  2566,                 23169,                342142,,                 89506,                252636,                252636,,,,,,                 47397,                300033,,                252636,,                300033,,                              2.10,                              2.10,,                              2.07,                              2.07,                 56334,,                  8937
8210,2013年01月01日至2013年06月30日,,              1802942,,              1283649,                519293,                519293,,,                104339,,                133167,,                 56254,                293760,                225533,,,                 22012,,                 -4964,,                  1481,                 15567,                241100,,                 69481,                171619,                171619,,,,,,                 64638,                236257,,                171619,,                236257,,                              1.43,                              1.43,,                              1.41,                              1.41,                 76884,                              0,                 12246
8210,2013年01月01日至2013年03月31日,,                851994,,                602472,                249522,                249522,,,                 53506,,                 60936,,                 26681,                141123,                108399,,,                 12806,,                  1654,,                    702,                 13758,                122157,,                 43030,                 79127,                 79127,,,,,,                 38701,                117828,,                 79127,,                117828,,                              0.66,                              0.66,,                              0.65,                              0.65,                 46081,,                  7380
8210,2012年07月01日至2012年09月30日,,                971529,,                698535,                272994,                272994,,,                 47115,,                 61368,,                 28207,                136690,                136304,,,                 11664,,                 -5128,,                  1922,                  4614,                140918,,                 24119,                116799,                116799,,,,,,                -28683,                 88116,,                116799,,                 88116,,                              0.97,                              0.97,,                              0.96,                              0.96,                -34245,,                 -5562
8210,2012年04月01日至2012年06月30日,,                971985,,                704417,                267568,                267568,,,                 49941,,                 62613,,                 23451,                136005,                131563,,,                  7635,,                  7438,,                  1229,                 13844,                145407,,                 25957,                119450,                119450,,,,,,                 10263,                129713,,                119450,,                129713,,                              0.99,                              0.99,,                              0.97,                              0.97,                 12710,,                  2447
8210,2012年01月01日至2012年12月31日,,              3965809,,              2825709,              1140100,              1140100,,,                201393,,                256662,,                107223,                565278,                574822,,,                 39207,,                -14805,,                  5400,                 19002,                593824,,                115554,                478270,                478270,,,,,,                -39889,                438381,,                478270,,                438381,,                              3.98,                              3.98,,                              3.92,                              3.92,                -46408,                   -519,                 -7038
8210,2012年01月01日至2012年09月30日,,              2913556,,              2112367,                801189,                801189,,,                143478,,                182155,,                 75486,                401119,                400070,,,                 29238,,                 -4942,,                  4695,                 19601,                419671,,                 83098,                336573,                336573,,,,,,                -49198,                287375,,                336573,,                287375,,                              2.80,                              2.80,,                              2.76,                              2.76,                -58174,,                 -8976
8210,2012年01月01日至2012年06月30日,,              1942027,,              1413832,                528195,                528195,,,                 96363,,                120787,,                 47279,                264429,                263766,,,                 17574,,                    186,,                  2773,                 14987,                278753,,                 58979,                219774,                219774,,,,,,                -20515,                199259,,                219774,,                199259,,                              1.83,                              1.83,,                              1.80,                              1.80,                -23929,,                 -3414
8210,2012年01月01日至2012年03月31日,,                970042,,                709415,                260627,                260627,,,                 46422,,                 58174,,                 23828,                128424,                132203,,,                  9939,,                 -7252,,                  1544,                  1143,                133346,,                 33022,                100324,                100324,,,,,,                -30778,                 69546,,                100324,,                 69546,,                              0.84,                              0.84,,                              0.83,                              0.83,                -36639,,                 -5861
