證券代號,年季,　 淨收益,　　 利息淨收益,　　　 利息收入,　　　　 利息收入合計,　　　 利息費用,　　　　 利息費用合計,　　　 利息淨收益,　　 利息以外淨損益,　　　 手續費淨收益,　　　　 手續費淨收益,　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　 備供出售金融資產之已實現損益,　　　　 備供出售金融資產之已實現損益,　　　 兌換損益,　　　　 兌換損益,　　　 採用權益法認列之關聯企業及合資損益之份額,　　　　 採用權益法認列之關聯企業及合資利益之份額,　　　　　 採用權益法認列之關聯企業及合資利益之份額,　　　　　 採用權益法認列之關聯企業及合資利益之份額合計,　　　　 採用權益法認列之關聯企業及合資損失之份額,　　　　　 採用權益法之投資處分損失,　　　　　 採用權益法認列之關聯企業及合資損失之份額合計,　　　　 採用權益法認列之關聯企業及合資損益之份額,　　　 其他利息以外淨損益,　　　　 出售不良債權淨損益,　　　　　 出售不良債權淨損益,　　　　 其他什項損益,　　　　　 其他什項損益,　　　　 其他利息以外淨損益,　　　 利息以外淨損益,　　 淨收益,　 呆帳費用及保證責任準備提存（各項提存）,　　 呆帳費用及保證責任準備提存（各項提存）合計,　 營業費用,　　 員工福利費用,　　　 員工福利費用合計,　　 折舊及攤銷費用,　　　 折舊及攤銷費用合計,　　 其他業務及管理費用,　　　 其他業務及管理費用合計,　　 營業費用合計,　 繼續營業單位本期稅後淨利（淨損）損益,　　 繼續營業單位稅前淨利（淨損）,　　 所得稅（費用）利益,　　 繼續營業單位本期稅後淨利（淨損）,　 本期稅後淨利（淨損）,　　 本期稅前淨利（淨損）,　　 與本期損益組成部分相關之所得稅(費用)利益 ,　　 本期稅後淨利（淨損）,　 其他綜合損益（稅後）,　　 後續可能重分類至損益之項目(稅後),　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列之關聯企業及合資其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額(稅後),　　 本期其他綜合損益,　 本期綜合損益總額（稅後）,　　 本期綜合損益總額（稅前）,　　 與本期綜合損益組成部分相關之所得稅,　　 本期綜合損益總額（稅後）,　 本期稅後淨利（淨損）歸屬,　　 本期稅後淨利（損）歸屬於母公司業主,　 本期稅後綜合損益歸屬,　　 本期稅後綜合損益總額歸屬於母公司業主,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 採用權益法認列之關聯企業及合資其他綜合損益之份額,　　 其他綜合損益（稅後）淨額,　　 綜合損益總額,　　　　　 採用權益法認列之關聯企業及合資損失之份額,　　　 資產減損（損失）迴轉利益淨額,　　　　 資產減損（損失）迴轉利益淨額,　　　　 顧問服務收入,　　　　　 顧問服務收入合計
2845,2014年01月01日至2014年03月31日,,,,              2960171,,              1710691,              1249480,,,                718669,,                694997,,                  9674,,                -11494,,,,                 21913,,                 78587,                 78587,                -56674,,,                 53098,,                 92243,                145341,              1500513,              2749993,,                 72173,,,                943750,,                 55779,,                522576,              1522105,,              1155715,               -149911,              1005804,,              1155715,               -149911,              1005804,,,                  1027,                 63513,                  7238,                 71778,                 71778,,              1227493,               -149911,              1077582,,              1005804,,              1077582,,                              0.37,,                              0.29,,,,,,,,,,
2845,2013年第3季,,,,              2919342,,              1638368,              1280974,,,                737351,,                261461,,                 74017,,                 13739,,,,                              0,,                              0,                  3349,                 -3349,,,                 53686,,                 20183,                 73869,              1157088,              2438062,,                 16330,,,                852587,,                 57735,,                518975,              1429297,,                992435,               -119269,                873166,,                992435,               -119269,                873166,,,,,,,,,                659442,,,,                873166,,                659442,,                              0.34,,                              0.33,                 -2218,               -203449,                 -8057,               -213724,                659442,                  3349,,,,
2845,2013年第2季,,,,              2760707,,              1528671,              1232036,,,                746054,,                280115,,                   -605,,                 28120,,,,                  8842,,                              0,                              0,                  8842,,,                 51141,,                 16478,                 67619,              1130145,              2362181,,               -159680,,,                878651,,                 58277,,                509686,              1446614,,              1075247,               -131044,                944203,,              1075247,               -131044,                944203,,,,,,,,,              1032142,               -131044,,,                944203,,                901098,,                              0.38,,                              0.35,                  2663,                -33732,                -12036,                -43105,                901098,,,,,
2845,2013年度,,,,             11263921,,              6379554,              4884367,,,              2971308,,              1097798,,                 47402,,                199908,,,,                 61148,,                              0,                              0,                 61148,,,                217824,,                 58307,                276131,              4653695,              9538062,,                -18171,,,              3544628,,                230519,,              2217979,              5993126,,              3563107,               -501837,              3061270,,              3563107,               -501837,              3061270,,,,,,,,,              3430259,               -501837,,,              3061270,,              2928422,,                              1.24,,                              1.14,                  7133,               -125353,                -14628,               -132848,              2928422,,,,,
2845,2013年07月01日至2013年09月30日,,,,              2919374,,              1638368,              1281006,,,                717922,,                261461,,                 74017,,                 13739,,,,,,,,                 -3349,,,                 60202,,                 19945,                 80147,              1143937,              2424943,,                  3153,,,                852587,,                 57735,,                519033,              1429355,,                992435,               -119269,                873166,,                992435,               -119269,                873166,,,,,,,,,                659442,,,,                873166,,                659442,,                              0.37,,                              0.36,                 -2218,               -203449,                 -8057,               -213724,                659442,,,                              0,,
2845,2013年04月01日至2013年06月30日,,,,              2760707,,              1528671,              1232036,,,                728106,,                280115,,                   -605,,                 28120,,,,,,,,                  8842,,,,,                 72600,                 72600,              1117958,              2349994,,               -171867,,,                878651,,                 58277,,                509686,              1446614,,              1075247,               -131044,                944203,,,               -131044,                944203,,,,,,,,,                901098,,,,                944203,,                901098,,                              0.42,,                              0.38,                  2663,                -33732,                -12036,                -43105,                901098,,,                    780,,
2845,2013年01月01日至2013年12月31日,,,,             11263921,,              6379554,              4884367,,,              2896139,,              1097798,,                 47402,,                199908,,,,,,,,                 61148,,,                242560,,                 57527,                300087,              4603262,              9487629,,                -68604,,,              3544628,,                230519,,              2217979,              5993126,,              3563107,               -501837,              3061270,,              3563107,               -501837,              3061270,,,,,,,,,              3430259,               -501837,,,              3061270,,              2928422,,                              1.30,,                              1.20,                  7133,               -125353,                -14628,               -132848,              2928422,,,                    780,,
2845,2013年01月01日至2013年09月30日,,,,              8326266,,              4663513,              3662753,,,              2188005,,                866851,,                 79066,,                 98884,,,,                 27554,,                              0,                              0,                 27554,,,                167895,,                 50228,                218123,              3478483,              7141236,,               -282637,,,              2603074,,                174179,,              1539685,              4316938,,              3106935,               -379189,              2727746,,              3106935,               -379189,              2727746,,,,,,,,,              2467348,,,,              2727746,,              2467348,,                              1.11,,                              1.02,                  2070,               -247381,                -15087,               -260398,              2467348,                              0,,,,
2845,2013年01月01日至2013年06月30日,,,,              5406924,,              3025145,              2381779,,,              1450654,,                605390,,                  5049,,                 85145,,,,                 30903,,                              0,                              0,                 30903,,,                114209,,                 30045,                144254,              2321395,              4703174,,               -298967,,,              1750487,,                116444,,              1020710,              2887641,,              2114500,               -259920,              1854580,,              2114500,               -259920,              1854580,,,,,,,,,              2067826,               -259920,,,              1854580,,              1807906,,                              0.75,,                              0.68,                  4288,                -43932,                 -7030,                -46674,              1807906,,,,,
2845,2013年01月01日至2013年03月31日,,,,              2646217,,              1496474,              1149743,,,                704600,,                325275,,                  5654,,                 57025,,,,                 22061,,                              0,                              0,                 22061,,,                 63068,,                 13567,                 76635,              1191250,              2340993,,               -139287,,,                871836,,                 58167,,                511024,              1441027,,              1039253,               -128876,                910377,,              1039253,               -128876,                910377,,,,,,,,,              1035684,               -128876,,,                910377,,                906808,,                              0.39,,                              0.34,                  1625,                -10200,                  5006,                 -3569,                906808,,,,,
2845,2012年07月01日至2012年09月30日,,,,              2438938,,              1397541,              1041397,,,                655442,,                361266,,                 71269,,                -34287,,,,,,,,                -32812,,,                 60470,,                  9987,                 70457,              1091335,              2132732,,               -156476,,,                857656,,                 63816,,                532001,              1453473,,                835735,               -129947,                705788,,                835735,               -129947,                705788,,,,,,,,,                752594,,,,                705788,,                752594,,                              0.30,,                              0.30,                 -3980,                 53397,                 -2611,                 46806,                752594,,,                              0,,
2845,2012年04月01日至2012年06月30日,,,,              2387008,,              1361245,              1025763,,,                607332,,                143296,,                 39110,,                 30143,,,,,,,,                -15219,,,,,                 96130,                 96130,                900830,              1926593,,               -224032,,,                832107,,                 62871,,                537037,              1432015,,                718610,                -26233,                692377,,,                -26233,                692377,,,,,,,,,                592182,,,,                692377,,                592182,,                              0.31,,                              0.31,                  3504,                -99929,                 -3770,               -100195,                592182,,,                     38,,
2845,2012年01月01日至2012年12月31日,,,,              9644265,,              5499120,              4145145,,,              2571922,,              1070616,,                303111,,                 21830,,,,,,,,                -89375,,,                289342,,                150513,                439855,              4362762,              8507907,,               -257746,,,              3415377,,                253351,,              2181968,              5850696,,              2914957,               -364192,              2550765,,              2914957,               -364192,              2550765,,,,,,,,,              2726823,               -364192,,,              2550765,,              2362631,,                              1.09,,                              1.08,                 -3631,               -172637,                -11866,               -188134,              2362631,,,                 44803,,
2845,2012年01月01日至2012年09月30日,,,,              7145378,,              4071982,              3073396,,,              1912168,,                785078,,                207391,,                 -5587,,,,,,,,                -69186,,,                188491,,                114649,                303140,              3189251,              6262647,,               -587131,,,              2543469,,                191824,,              1586537,              4321830,,              2527948,               -272431,              2255517,,              2527948,               -272431,              2255517,,,,,,,,,              2218269,,,,              2255517,,              2218269,,                              0.96,,                              0.96,                 -1280,                -27411,                 -8557,                -37248,              2218269,,,                 56247,,
2845,2012年01月01日至2012年06月30日,,,,              4706505,,              2674441,              2032064,,,              1253773,,                423812,,                136122,,                 28700,,,,,,,,                -36374,,,,,                235654,                235654,              2097934,              4129998,,               -430655,,,              1685813,,                128008,,              1054619,              2868440,,              1692213,               -142484,              1549729,,,               -142484,              1549729,,,,,,,,,              1465675,,,,              1549729,,              1465675,,                              0.69,,                              0.69,                  2700,                -80808,                 -5946,                -84054,              1465675,,,                 56247,,
2845,2012年01月01日至2012年03月31日,,,,              2319497,,              1312332,              1007165,,,                529656,,                280516,,                 97012,,                 -1443,,,,,,,,                -21155,,,                 68899,,                 70625,                274417,              1215212,              2222377,,               -206623,,,                853706,,                 65137,,                536554,              1455397,,                973603,               -116251,                857352,,,               -116251,                857352,,,,,,,,,                873493,,,,                857352,,                873493,,                              0.38,,                              0.38,                   -804,                 19121,                 -2176,                 16141,                873493,,,                 56209,,                134893
