證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 當期所得稅費用（利益）
3645,2014年01月01日至2014年03月31日,,                280855,,                232311,                 48544,                 48544,,,                  7813,,                 13380,,                 16158,                 37351,                 11193,,,                  1090,,                 -1365,,                  2985,,                    -44,                 -3304,                  7889,,                  2443,                  5446,                  5446,,,                    -21,                    -21,                    -21,                  5425,,                  8020,                 -2574,,                  7999,                 -2574,,                              0.07,,                              0.07,,,                284328,                  1933,                  1540,                280855,,,
3645,2013年第3季,,                283777,,                194275,                 89502,                 89502,,,                  7106,,                 20752,,                  6098,                 33956,                 55546,,,                  1318,,                 -1775,,                  2862,,                    -15,                 -3334,                 52212,,                 10035,                 42177,                 42177,,,,,                    -69,                 42108,,                 44090,                 -1913,,                 44021,                 -1913,,                              0.38,,                              0.37,,,,,,,                    -69,,
3645,2013年第2季,,                237512,,                182804,                 54708,                 54708,,,                  6049,,                 18147,,                  6649,                 30845,                 23863,,,                  1164,,                  3862,,                  2646,,                    -36,                  2344,                 26207,,                  5433,                 20774,                 20774,,,,,                    172,                 20946,,                 22128,                 -1354,,                 22300,                 -1354,,                              0.19,,                              0.19,,,,,,,                    172,,
3645,2013年度,,                967341,,                738792,                228549,                228549,,,                 25396,,                 70293,,                 29195,                124884,                103665,,,                  5465,,                 20261,,                 11099,,                   -482,                 14145,                117810,,                 24755,                 93055,                 93055,,,,,                   -363,                 92692,,                 99357,                 -6302,,                 98994,                 -6302,,                              0.85,,                              0.84,,,                972502,                  2192,                  2969,                967341,                    404,                   -767,
3645,2013年07月01日至2013年09月30日,,                283777,,                194275,                 89502,                 89502,,,                  7106,,                 20752,,                  6098,                 33956,                 55546,,,                  1318,,                 -1775,,                  2862,,                    -15,                 -3334,                 52212,,                 10035,                 42177,                 42177,,,,,                    -69,                 42108,,                 44090,                 -1913,,                 44021,                 -1913,,                              0.38,,                              0.37,,,,,,,                    -69,,
3645,2013年04月01日至2013年06月30日,,                237512,,                182804,                 54708,                 54708,,,                  6049,,                 18147,,                  6649,                 30845,                 23863,,,                  1164,,                  3862,,                  2646,,                    -36,                  2344,                 26207,,                  5433,                 20774,                 20774,,,,,                    172,                 20946,,                 22128,                 -1354,,                 22300,                 -1354,,                              0.19,,                              0.19,,,,,,,                    172,,
3645,2013年01月01日至2013年12月31日,,                967341,,                738792,                228549,                228549,,,                 25396,,                 70293,,                 29195,                124884,                103665,,,                  5465,,                 20261,,                 11099,,                   -482,                 14145,                117810,,                 24755,                 93055,                 93055,,,,,                   -363,                 92692,,                 99357,                 -6302,,                 98994,                 -6302,,                              0.85,,                              0.84,,,                972502,                  2192,                  2969,                967341,                    404,                   -767,
3645,2013年01月01日至2013年09月30日,,                697854,,                514601,                183253,                183253,,,                 18780,,                 52723,,                 22141,                 93644,                 89609,,,                  3849,,                  7213,,                  8286,,                   -220,                  2556,                 92165,,                 18125,                 74040,                 74040,,,,,                    273,                 74313,,                 77879,                 -3839,,                 78152,                 -3839,,                              0.66,,                              0.66,,,,,,,                    273,,
3645,2013年01月01日至2013年06月30日,,                414077,,                320326,                 93751,                 93751,,,                 11674,,                 31971,,                 16043,                 59688,                 34063,,,                  2531,,                  8988,,                  5424,,                   -205,                  5890,                 39953,,                  8090,                 31863,                 31863,,,,,                    342,                 32205,,                 33789,                 -1926,,                 34131,                 -1926,,                              0.29,,                              0.29,,,,,,,                    342,,
3645,2013年01月01日至2013年03月31日,,                176565,,                137522,                 39043,                 39043,,,                  5625,,                 13824,,                  9394,                 28843,                 10200,,,                  1367,,                  5126,,                  2778,,                   -169,                  3546,                 13746,,                  2657,                 11089,                 11089,,,,,                    170,                 11259,,                 11661,                   -572,,                 11831,                   -572,,                              0.10,,                              0.10,,,                177091,                    177,                    349,                176565,                    170,,                  2657
3645,2012年07月01日至2012年09月30日,,                246374,,                180062,                 66312,                 66312,,,                  6274,,                 13179,,                  6626,                 26079,                 40233,,,                  1123,,                    629,,                  1660,,                    -16,                     76,                 40309,,                  9263,                 31046,                 31046,,,,,                    -83,                 30963,,                 31277,                   -231,,                 31194,                   -231,,                              0.27,,                              0.27,,,,,,,                    -83,,
3645,2012年04月01日至2012年06月30日,,                249902,,                165709,                 84193,                 84193,,,                  9920,,                 24708,,                  5612,                 40240,                 43953,,,                 11644,,                  3536,,                    761,,                    -27,                 14392,                 58345,,                  8309,                 50036,                 50036,,,,,                              0,                 50036,,                 50057,                    -21,,                 50057,                    -21,,                              0.43,,                              0.42,,,,,,,                              0,,
3645,2012年01月01日至2012年12月31日,,              1011029,,                720313,                290716,                290716,,,                 26418,,                 63227,,                 25273,                114918,                175798,,,                 16098,,                 16695,,                  4652,,                    716,                 28857,                204655,,                 29221,                175434,                175434,,,,,                   -969,                174465,,                176077,                   -643,,                175108,                   -643,,                              1.50,,                              1.49,,,              1016559,                  4355,                  1175,              1011029,                   -129,                   -840,
3645,2012年01月01日至2012年09月30日,,                805231,,                539875,                265356,                265356,,,                 21748,,                 51927,,                 17916,                 91591,                173765,,,                 14669,,                 10142,,                  2721,,                    -75,                 22015,                195780,,                 25997,                169783,                169783,,,,,                    -83,                169700,,                170035,                   -252,,                169952,                   -252,,                              1.45,,                              1.44,,,,,,,                    -83,,
3645,2012年01月01日至2012年06月30日,,                558857,,                359813,                199044,                199044,,,                 15474,,                 38748,,                 11290,                 65512,                133532,,,                 13546,,                  9513,,                  1061,,                    -59,                 21939,                155471,,                 16734,                138737,                138737,,,,,                              0,                138737,,                138758,                    -21,,                138758,                    -21,,                              1.18,,                              1.18,,,,,,,                              0,,
3645,2012年01月01日至2012年03月31日,,                308955,,                194104,                114851,                114851,,,                  5554,,                 14040,,                  5678,                 25272,                 89579,,,                  1902,,                  5977,,                    300,,                    -32,                  7547,                 97126,,                  8425,                 88701,                 88701,,,,,                              0,                 88701,,                 88701,                              0,,                 88701,                              0,,                              0.76,,                              0.75,,,,,,,                              0,,                  8425
