證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　　 處分投資性不動產利益,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益,　 未實現銷貨（損）益,　 已實現銷貨（損）益
8940,2014年01月01日至2014年09月30日,,              1127431,,                685616,                441815,                441815,,,                428422,,                114214,                542636,               -100821,,,,                  6931,                  9689,                 16620,,                  5994,                 20259,                -26253,,                  8766,                  8766,                -18399,               -119220,,                  3157,               -122377,               -122377,,,,,,,                    179,                  1706,                  1885,                  1885,               -120492,,               -103169,                -19208,,               -101255,                -19237,,                             -1.53,,                             -1.53,,,,,,,,,,,,,,,,,,,
8940,2014年01月01日至2014年06月30日,,                863884,,                489093,                374791,                374791,,,                299322,,                 90834,                390156,                -15365,,,,                  2649,                  8412,                 11061,,                  1870,                 16053,                -17923,,                  3688,                  3688,                -10550,                -25915,,                  8017,                -33932,                -33932,,,,,,,                 -8136,                  3317,                 -4819,                 -4819,                -38751,,                -17578,                -16354,,                -21742,                -17009,,                             -0.26,,,,                863884,,                489093,,                              0,,                              0,,                              0,,                              0,,,,,,,
8940,2014年01月01日至2014年03月31日,,                495682,,                267541,                228141,                228141,,,                155451,,                 52302,                207753,                 20388,,,,                  1906,                  2337,                  4243,,                    972,                     36,                 -1008,,                  1948,                  1948,                  1287,                 21675,,                  7961,                 13714,                 13714,,,,,,,,,,                   -417,                 13297,,                 16528,                 -2814,,                 16256,                 -2959,,                              0.24,,,,                495682,,                267541,,,,,,,,,                              0,                 -1509,                  1092,,,,
8940,2013年第3季,,                249704,,                155296,                 94408,                 94408,,,                133085,,                 20255,                153340,                -58932,,,,                  1015,                  7704,                  8719,,                    762,                     42,                   -804,,                  1181,                  1181,                  6734,                -52198,,                  9548,                -61746,                -61746,,,,,,,,,,                 -5665,                -67411,,                -60718,                 -1028,,                -68085,                    674,,                             -0.90,,                             -0.90,,,,,,,,,,,,,                              0,                 -4882,                   -783,,,,
8940,2013年第2季,,                255015,,                147462,                107553,                107553,,,                 99595,,                 57083,                156678,                -49125,,,,                  2106,                    695,                  2801,,                    200,                     25,                   -225,,                  1130,                  1130,                  1446,                -47679,,                 -9907,                -37772,                -37772,,,,,,,,,,                  5472,                -32300,,                -34764,                 -3008,,                -27635,                 -4665,,                             -0.52,,                             -0.51,,                255015,,                147462,,,,,,,,,                              0,                  5779,                   -307,,,,
8940,2013年度,,              1296755,,                693776,                602979,                602979,,,                479071,,                174500,                653571,                -50592,,,,                  6123,                 13753,                 19876,,                  3765,                    120,                  6949,,                  5382,                  5382,                 21443,                -29149,,                 13755,                -42904,                -42904,,,,,,,,,,                  9714,                -33190,,                -36539,                 -6365,,                -29403,                 -3787,,                             -0.54,,                             -0.54,,,,,,,,,,,,,                 10834,                 17537,                 -1214,                 -6609,                              0,,
8940,2013年07月01日至2013年09月30日,,                249704,,                155296,                 94408,                 94408,,,                133085,,                 20255,                153340,                -58932,,,,                  1015,                  7704,                  8719,,                    804,,                   -804,,                  1181,                  1181,                  6734,                -52198,,                  9548,                -61746,                -61746,,,,,,,,,,                 -5665,                -67411,,                -60718,                 -1028,,                -68085,                    674,,                             -0.90,,                             -0.90,,,,,,,,,,,,,                              0,                 -4882,                   -783,,,,
8940,2013年04月01日至2013年06月30日,,                255015,,                147462,                107553,                107553,,,                 99595,,                 57083,                156678,                -49125,,,,                  2106,                    695,                  2801,,                    225,,                   -225,,                  1130,                  1130,                  1446,                -47679,,                 -9907,                -37772,                -37772,,,,,,,,,,                  5472,                -32300,,                -34764,                 -3008,,                -27635,                 -4665,,                              0.52,,                              0.51,,                255015,,                147462,,,,,,,,,                              0,                  5779,                   -307,,,,
8940,2013年01月01日至2013年12月31日,,              1296755,,                693776,                602979,                602979,,,                479071,,                174500,                653571,                -50592,,,,                  6123,                 13753,                 19876,,                  3885,,                  6949,,                  5382,                  5382,                 21443,                -29149,,                 13755,                -42904,                -42904,,,,,,,,,,                  9714,                -33190,,                -36539,                 -6365,,                -29403,                 -3787,,                             -0.54,,                             -0.54,,,,,,,,,,,,,                 10834,                 17537,                 -1214,                 -6609,,,
8940,2013年01月01日至2013年09月30日,,                902581,,                497503,                405078,                405078,,,                343331,,                113352,                456683,                -51605,,,,                  5262,                  9517,                 14779,,                  1410,                    112,                  9312,,                  2968,                  2968,                 21123,                -30482,,                 10925,                -41407,                -41407,,,,,,,,,,                  8167,                -33240,,                -38576,                 -2831,,                -32125,                 -1115,,                             -0.57,,                             -0.57,,,,,,,,,,,,,                 10834,                  8640,                   -473,,,,
8940,2013年01月01日至2013年06月30日,,                652877,,                342207,                310670,                310670,,,                210246,,                 93097,                303343,                  7327,,,,                  4247,                  1813,                  6060,,                    648,                     70,                 10116,,                  1787,                  1787,                 14389,                 21716,,                  1377,                 20339,                 20339,,,,,,,,,,                 13832,                 34171,,                 22142,                 -1803,,                 35960,                 -1789,,                              0.33,,                              0.33,,                652877,,                342207,,,,,,,,,                 10834,                 13522,                    310,,,,
8940,2013年01月01日至2013年03月31日,,                397862,,                194745,                203117,                203117,,,                110651,,                 36034,                146685,                 56432,,,,                  2140,                  1118,                  3258,,                    430,                     45,                 10362,,                    657,                    657,                 12963,                 69395,,                 11284,                 58111,                 58111,,,,,,,,,,                  8360,                 66471,,                 56906,                  1205,,                 63595,                  2876,,                              0.84,,,,                397862,,                194745,,,,,,,,,                 10837,                  7743,                    617,,,                              0,                              0
8940,2012年07月01日至2012年09月30日,,                273724,,                163588,                110136,                110136,,,                 96420,,                 41543,                137963,                -27827,,,,                  1304,                 11797,                 13101,,                    166,,                   -166,,                    397,                    397,                 12538,                -15289,,                 -1032,                -14257,                -14257,,,,,,,,,,                  2908,                -11349,,                 -9869,                 -4388,,                -10763,                   -586,,                             -0.15,,                             -0.15,,,,,,,,,,,,,                              0,                  3455,                   -547,,,,
8940,2012年04月01日至2012年06月30日,,                290189,,                157279,                132910,                132910,,,                 95960,,                 44214,                140174,                 -7264,,,,                  1286,                  2252,                  3538,,                    609,,                   -609,,                     55,                     55,                  2874,                 -4390,,                    468,                 -4858,                 -4858,,,,,,,,,,                 -6095,                -10953,,                 -3738,                 -1120,,                 -5671,                 -5282,,                              0.06,,                              0.06,,                290189,,                157279,,,,,,,,,                              0,                 -4046,                 -2049,,,,
8940,2012年01月01日至2012年12月31日,,              1405754,,                719480,                686274,                686274,,,                405651,,                190116,                595767,                 90507,,,,                  5924,                 29714,                 35638,,                  7502,,                 -7502,,                    972,                    972,                 27164,                117671,,                 24429,                 93242,                 93242,,,,,,,,,,                -10010,                 83232,,                105314,                -12072,,                 96658,                -13426,,                              1.56,,                              1.56,,,,,,,,,,,,,                              0,                 -2168,                    461,                 -8303,,,
8940,2012年01月01日至2012年09月30日,,              1027457,,                547425,                480032,                480032,,,                309543,,                137975,                447518,                 32514,,,,                  4949,                 17547,                 22496,,                  1755,,                 -1755,,                    653,                    653,                 20088,                 52602,,                 14270,                 38332,                 38332,,,,,,,,,,                 -3712,                 34620,,                 51101,                -12769,,                 49600,                -14980,,                              0.76,,                              0.76,,,,,,,,,,,,,                              0,                 -3677,                    -35,,,,
8940,2012年01月01日至2012年06月30日,,                753733,,                383837,                369896,                369896,,,                213123,,                 96432,                309555,                 60341,,,,                  3645,                  5750,                  9395,,                  1589,,                 -1589,,                    256,                    256,                  7550,                 67891,,                 15302,                 52589,                 52589,,,,,,,,,,                 -6620,                 45969,,                 60970,                 -8381,,                 60363,                -14394,,                              0.90,,                              0.90,,                753733,,                383837,,,,,,,,,                              0,                 -7132,                    512,,,,
8940,2012年01月01日至2012年03月31日,,                463544,,                226558,                236986,                236986,,,                117163,,                 52219,                169382,                 67604,,,,                  2359,                  3498,                  5857,,                    914,                     66,                   -980,,                    201,                    201,                  4676,                 72280,,                 14834,                 57446,                 57446,,,,,,,,,,                   -524,                 56922,,                 64707,                 -7261,,                 66034,                 -9112,,                              0.96,,,,                463544,,                226558,,,,,,,,,                              0,                 -3085,                  2561,,,                              0,                              0
