證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）
5285,2014年01月01日至2014年03月31日,,                614731,,                505028,                109703,                109703,,,                 14868,,                 36636,,                  5364,                 56868,                 52835,,,                  2262,,                  4063,,                  3348,                  2977,                 55812,,                 13414,                 42398,,,                 42398,,,                 -3994,                   -679,                 -3315,                 -3315,                 39083,,                 42398,,                 39083,,                              0.66,,                              0.66,,,,,
5285,2013年第3季,,                629989,,                550724,                 79265,                 79265,,,                 14150,,                 23771,,                  4199,                 42120,                 37145,,,                    683,,                    289,,                  3427,                 -2455,                 34690,,                  8974,                 25716,,,                 25716,,,,,,                 -8778,                 16938,,                 25716,,                 16938,,                              0.42,,                              0.42,                -10575,,                 -1797,,
5285,2013年第2季,,                678931,,                607757,                 71174,                 71174,,,                 12375,,                 24729,,                  2963,                 40067,                 31107,,,                    500,,                  2589,,                  3482,                   -393,                 30714,,                  7166,                 23548,,,                 23548,,,,,,                 13048,                 36596,,                 23548,,                 36596,,                              0.39,,                              0.39,                 15721,,                  2673,,
5285,2013年度,,              2506600,,              2200579,                306021,                306021,,,                 50735,,                 98819,,                 15163,                164717,                141304,,,                  7345,,                 10458,,                 13612,                  4191,                145495,,                 34214,                111281,,                              0,                111281,,,,,,                 44269,                155550,,                111281,,                155550,,                              1.83,,                              1.82,                 52290,                  1588,                  9609,,
5285,2013年07月01日至2013年09月30日,,                629989,,                550724,                 79265,                 79265,,,                 14150,,                 23771,,                  4199,                 42120,                 37145,,,                    683,,                    289,,                  3427,                 -2455,                 34690,,                  8974,                 25716,,,                 25716,,,,,,                 -8778,                 16938,,                 25716,,                 16938,,                              0.42,,,                -10575,,                 -1797,                              0,                              0
5285,2013年01月01日至2013年12月31日,,              2506600,,              2200579,                306021,                306021,,,                 50735,,                 98819,,                 15163,                164717,                141304,,,                  7345,,                 10458,,                 13612,                  4191,                145495,,                 34214,                111281,,,                111281,,,,,,                 44269,                155550,,                111281,,                155550,,                              1.83,,                              1.82,                 52290,                  1588,                  9609,                              0,                              0
5285,2013年01月01日至2013年09月30日,,              1904293,,              1686961,                217332,                217332,,,                 39542,,                 68660,,                 10854,                119056,                 98276,,,                  4024,,                  9952,,                 10251,                  3725,                102001,,                 24003,                 77998,,,                 77998,,,,,,                 28435,                106433,,                 77998,,                106433,,                              1.28,,                              1.28,                 35127,,                  6692,,
5285,2013年01月01日至2013年06月30日,,              1274304,,              1136237,                138067,                138067,,,                 25392,,                 44889,,                  6655,                 76936,                 61131,,,                  3341,,                  9663,,                  6824,                  6180,                 67311,,                 15029,                 52282,,,                 52282,,,,,,                 37213,                 89495,,                 52282,,                 89495,,                              0.86,,                              0.86,                 45702,,                  8489,,
5285,2013年01月01日至2013年03月31日,,                595373,,                528480,                 66893,                 66893,,,                 13017,,                 20160,,                  3692,                 36869,                 30024,,,                  2841,,                  7074,,                  3342,                  6573,                 36597,,                  7863,                 28734,,,                 28734,,,,,,                 24165,                 52899,,                 28734,,                 52899,,                              0.47,,                              0.47,                 29981,,                  5816,,
5285,2012年07月01日至2012年09月30日,,                549653,,                478483,                 71170,                 71170,,,                 11022,,                 22028,,                  4304,                 37354,                 33816,,,                  1669,,                   -541,,                  3078,                 -1950,                 31866,,                  5864,                 26002,,,                 26002,,,,,,                  3029,                 29031,,                 22841,,                 25870,,                              0.38,,,                  3029,,                              0,                  3161,                  3161
5285,2012年01月01日至2012年12月31日,,              2052040,,              1815687,                236353,                236353,,,                 40810,,                 89100,,                 15527,                145437,                 90916,,,                 15971,,                 11465,,                 10879,                 16557,                107473,,                 21454,                 86019,,,                 86019,,,,,,                  4325,                 90344,,                 76288,,                 80613,,                              1.25,,                              1.25,                  4233,                     92,                              0,                  9731,                  9731
5285,2012年01月01日至2012年09月30日,,              1539888,,              1367680,                172208,                172208,,,                 27429,,                 59948,,                 11644,                 99021,                 73187,,,                  5366,,                 12048,,                  6891,                 10523,                 83710,,                 16262,                 67448,,,                 67448,,,,,,                  4182,                 71630,,                 57847,,                 62029,,                              0.95,,,                  4182,,                              0,                  9601,                  9601
5285,2012年01月01日至2012年06月30日,,                990235,,                889197,                101038,                101038,,,                 16407,,                 37920,,                  7340,                 61667,                 39371,,,                  3697,,                 12589,,                  3813,                 12473,                 51844,,                 10398,                 41446,,,                 41446,,,,,,                  1153,                 42599,,                 35006,,                 36159,,                              0.57,,,                  1153,,                              0,                  6440,                  6440
