證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 繼續營業單位淨利（淨損）
4737,2014年01月01日至2014年03月31日,,                328256,,                203912,                124344,                124344,,,                 41698,,                 46926,,                 23360,                111984,                 12360,,,                  5185,,                  3180,,                 15584,                 -7219,                  5141,,                  2470,                  2671,                  2671,,,                   -546,                    -93,                   -453,                   -453,                  2218,,                  2671,,                  2218,,                              0.06,,                              0.06,,,                329528,                  1006,                    266,                328256,,,,
4737,2013年第3季,,                397919,,                238882,                159037,                159037,,,                 52416,,                 42385,,                 24348,                119149,                 39888,,,                  5966,,                 -1170,,                  5074,                   -278,                 39610,,                  8389,                 31221,                 31221,,,,,,                 -1068,                 30153,,                 31221,,                 30153,,                              0.71,,                              0.71,,,                402330,                  3812,                    599,                397919,                 -1288,,                   -220,
4737,2013年第2季,,                423619,,                249762,                173857,                173857,,,                 73070,,                 39795,,                 19354,                132219,                 41638,,,                  4761,,                 -3304,,                  1536,                    -79,                 41559,,                  9617,                 31942,                 31942,,,,,,                  1496,                 33438,,                 31942,,                 33438,,                              0.73,,                              0.73,,,                430865,                  4327,                  2919,                423619,                  1802,,                    306,
4737,2013年度,,              1560897,,                933106,                627791,                627791,,,                216864,,                164856,,                101196,                482916,                144875,,,                  3079,,                 -1083,,                 22793,                -20797,                124078,,                 34149,                 89929,                 89929,,,,,,                  5656,                 95585,,                 89929,,                 95585,,                              2.05,,                              2.04,,,              1576996,                 10739,                  5360,              1560897,                  6848,                    -28,                  1164,
4737,2013年07月01日至2013年09月30日,,                397919,,                238882,                159037,                159037,,,                 52416,,                 42385,,                 24348,                119149,                 39888,,,                  5966,,                 -1170,,                  5074,                   -278,                 39610,,                  8389,                 31221,                 31221,,,,,,                 -1068,                 30153,,                 31221,,                 30153,,                              0.71,,                              0.71,,,                402330,                  3812,                    599,                397919,                 -1288,,                   -220,
4737,2013年04月01日至2013年06月30日,,                423619,,                249762,                173857,                173857,,,                 73070,,                 39795,,                 19354,                132219,                 41638,,,                  4761,,                 -3304,,                  1536,                    -79,                 41559,,                  9617,                 31942,                 31942,,,,,,                  1496,                 33438,,                 31942,,                 33438,,                              0.73,,                              0.73,,,                430865,                  4327,                  2919,                423619,                  1802,,                    306,
4737,2013年01月01日至2013年12月31日,,              1560897,,                933106,                627791,                627791,,,                216864,,                164856,,                101196,                482916,                144875,,,                  3079,,                 -1083,,                 22793,                -20797,                124078,,                 34149,                 89929,                 89929,,,,,,                  5656,                 95585,,                 89929,,                 95585,,                              2.05,,                              2.04,,,              1576996,                 10739,                  5360,              1560897,                  6848,                    -28,                  1164,
4737,2013年01月01日至2013年09月30日,,              1174339,,                706086,                468253,                468253,,,                178466,,                123076,,                 65941,                367483,                100770,,,                 16457,,                 -1070,,                  7854,                  7533,                108303,,                 24762,                 83541,                 83541,,,,,,                  3273,                 86814,,                 83541,,                 86814,,                              1.90,,                              1.90,,,              1189126,                  9651,                  5136,              1174339,                  3943,,                    670,
4737,2013年01月01日至2013年06月30日,,                776420,,                467204,                309216,                309216,,,                126050,,                 80691,,                 41593,                248334,                 60882,,,                 10491,,                    100,,                  2780,                  7811,                 68693,,                 16373,                 52320,                 52320,,,,,,                  4341,                 56661,,                 52320,,                 56661,,                              1.19,,                              1.19,,,                786796,                  5839,                  4537,                776420,                  5231,,                    890,
4737,2013年01月01日至2013年03月31日,,                352801,,                217442,                135359,                135359,,,                 52980,,                 40896,,                 22239,                116115,                 19244,,,                  5730,,                  3404,,                  1244,                  7890,                 27134,,                  6756,                 20378,                 20378,,,,,,                  2845,                 23223,,                 20378,,                 23223,,                              0.46,,                              0.46,,,                355931,                  1512,                  1618,                352801,                  3429,,                    584,                              0.46
4737,2012年07月01日至2012年09月30日,,                390086,,                205854,                184232,                184232,,,                 63250,,                 56149,,                 26000,                145399,                 38833,,,                  5678,,                 -3614,,                  5366,                 -3302,                 35531,,                 11461,                 24070,                 24070,,,,,,                 -1917,                 22153,,                 24070,,                 22153,,                              0.55,,                              0.55,,,                394135,                  3290,                    759,                390086,                 -2309,,                   -392,
4737,2012年04月01日至2012年06月30日,,                380744,,                231607,                149137,                149137,,,                 59762,,                 53311,,                 22554,                135627,                 13510,,,                  5778,,                 -4307,,                  5696,                 -4225,                  9285,,                  7882,                  1403,                  1403,,,,,,                   -108,                  1295,,                  1403,,                  1295,,                              0.03,,                              0.03,,,                386619,                  4360,                  1515,                380744,                   -131,,                    -23,
4737,2012年01月01日至2012年12月31日,,              1435022,,                810161,                624861,                624861,,,                241606,,                213275,,                100040,                554921,                 69940,,,                 17334,,                 -9072,,                 13730,                 -5468,                 64472,,                 31250,                 33222,                 33222,,,,,,                 -3907,                 29315,,                 33222,,                 29315,,                              0.76,,                              0.75,,,              1459985,                 18223,                  6740,              1435022,                 -6023,                  1091,                 -1025,
4737,2012年01月01日至2012年09月30日,,              1096232,,                618659,                477573,                477573,,,                185561,,                154626,,                 75008,                415195,                 62378,,,                 13374,,                -11646,,                 15508,                -13780,                 48598,,                 23002,                 25596,                 25596,,,,,,                 -4986,                 20610,,                 25596,,                 20610,,                              0.58,,                              0.58,,,              1117448,                 15253,                  5963,              1096232,                 -6007,,                 -1021,
4737,2012年01月01日至2012年06月30日,,                706146,,                412805,                293341,                293341,,,                122311,,                 98477,,                 49008,                269796,                 23545,,,                  7696,,                 -8032,,                 10142,                -10478,                 13067,,                 11541,                  1526,                  1526,,,,,,                 -3069,                 -1543,,                  1526,,                 -1543,,                              0.03,,                              0.03,,,                723313,                 11963,                  5204,                706146,                 -3698,,                   -629,
4737,2012年01月01日至2012年03月31日,,                325402,,                181198,                144204,                144204,,,                 62549,,                 45166,,                 26454,                134169,                 10035,,,                  1918,,                 -3725,,                  4446,                 -6253,                  3782,,                  3659,                    123,                    123,,,,,,                 -2961,                 -2838,,                    123,,                 -2838,,                              0.00,,                              0.00,,,                336694,                  7603,                  3689,                325402,                 -3567,,                   -606,                              0.00
