證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
3315,2013年度,,              8751706,,              8174820,                576886,,,                576886,,,                378645,,                109200,,                 40921,                528766,                 48120,,,                 25976,,                 27517,,                 21857,                 31636,                 79756,,                 19140,                 60616,                 60616,,,,,,,                 46822,                107438,,                 60616,,                107438,,                              0.86,,                              0.86,                 14405,                 38372,                  1687,                  7642
3315,2013年07月01日至2013年09月30日,,              2292391,,              2139006,                153385,,,                153385,,,                 99605,,                 29873,,                  9937,                139415,                 13970,,,                  2088,,                 -1342,,                  5909,                 -5163,                  8807,,                  8531,                    276,                    276,,,,,,,                -23196,                -22920,,                    276,,                -22920,,                              0.00,,                              0.00,                 -9604,                -13689,,                    -97
3315,2013年04月01日至2013年06月30日,,              2234335,,              2090929,                143406,,,                143406,,,                103381,,                 27976,,                 10581,                141938,                  1468,,,                  5927,,                  5583,,                  5031,                  6479,                  7947,,                  1491,                  6456,                  6456,,,,,,,                 47455,                 53911,,                  6456,,                 53911,,                              0.09,,                              0.09,                  4193,                 48070,,                  4808
3315,2013年01月01日至2013年12月31日,,              8751706,,              8174820,                576886,,,                576886,,,                378645,,                109200,,                 40921,                528766,                 48120,,,                 25976,,                 27517,,                 21857,                 31636,                 79756,,                 19140,                 60616,                 60616,,,,,,,                 46822,                107438,,                 60616,,                107438,,                              0.86,,                              0.86,                 14405,                 38372,                  1687,                  7642
3315,2013年01月01日至2013年09月30日,,              6389473,,              5983003,                406470,,,                406470,,,                288014,,                 81100,,                 30079,                399193,                  7277,,,                 11213,,                 22546,,                 15612,                 18147,                 25424,,                 14555,                 10869,                 10869,,,,,,,                 39559,                 50428,,                 10869,,                 50428,,                              0.15,,                              0.15,                 10091,                 34156,,                  4688
3315,2013年01月01日至2013年06月30日,,              4097082,,              3843997,                253085,,,                253085,,,                188409,,                 51227,,                 20142,                259778,                 -6693,,,                  9125,,                 23888,,                  9703,                 23310,                 16617,,                  6024,                 10593,                 10593,,,,,,,                 62755,                 73348,,                 10593,,                 73348,,                              0.15,,                              0.15,                 19695,                 47845,,                  4785
3315,2013年01月01日至2013年03月31日,,              1862747,,              1753068,                109679,,,                109679,,,                 85028,,                 23251,,                  9561,                117840,                 -8161,,,                  3198,,                 18305,,                  4672,                 16831,                  8670,,                  4533,                  4137,                  4137,,,,,,,                 15300,                 19437,,                  4137,,                 19437,,                              0.06,,                              0.06,                 15502,                   -225,,                    -23
3315,2012年07月01日至2012年09月30日,,              2755917,,              2579257,                176660,,,                176660,,,                107954,,                 30860,,                 11992,                150806,                 25854,,,                  8342,,                 -8527,,                  7690,                 -7875,                 17979,,                 -4802,                 22781,                 22781,,,,,,,                -12854,                  9927,,                 22781,,                  9927,,                              0.32,,                              0.32,                -13680,                 -1668,,                 -2494
3315,2012年04月01日至2012年06月30日,,              2471692,,              2309180,                162512,,,                162512,,,                100120,,                 29686,,                 11926,                141732,                 20780,,,                 -1214,,                 19012,,                  6482,                 11316,                 32096,,                 17289,                 14807,                 14807,,,,,,,                  6857,                 21664,,                 14807,,                 21664,,                              0.21,,                              0.21,                  8988,                   -667,,                  1464
3315,2012年01月01日至2012年12月31日,,              9843520,,              9208862,                634658,,,                634658,,,                405719,,                113889,,                 48566,                568174,                 66484,,,                 44201,,                -12404,,                 27361,                  4436,                 70920,,                 18365,                 52555,                 52555,,,,,,,                -32899,                 19656,,                 52555,,                 19656,,                              0.75,,                              0.74,                -28007,                 -5445,                 -4753,                 -5306
3315,2012年01月01日至2012年09月30日,,              7765395,,              7243573,                521822,,,                521822,,,                317566,,                 91771,,                 35995,                445332,                 76490,,,                 11224,,                 -8693,,                 20819,                -18288,                 58202,,                 13899,                 44303,                 44303,,,,,,,                -21846,                 22457,,                 44303,,                 22457,,                              0.63,,                              0.63,                -22541,                 -3487,,                 -4182
3315,2012年01月01日至2012年06月30日,,              5009478,,              4664316,                345162,,,                345162,,,                209612,,                 60911,,                 24003,                294526,                 50636,,,                  2882,,                   -166,,                 13129,                -10413,                 40223,,                 18701,                 21522,                 21522,,,,,,,                 -8992,                 12530,,                 21522,,                 12530,,                              0.31,,                              0.30,                 -8861,                 -1819,,                 -1688
3315,2012年01月01日至2012年03月31日,,              2537786,,              2355136,                182650,,,                182650,,,                109492,,                 31225,,                 12077,                152794,                 29856,,,                  4096,,                -19178,,                  6647,                -21729,                  8127,,                  1412,                  6715,                  6715,,,,,,,                -15849,                 -9134,,                  6715,,                 -9134,,                              0.10,,                              0.10,                -17849,                 -1151,,                 -3151
