證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營建工程成本,　　　 營建工程成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 處分投資利益,　　　 外幣兌換損失,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　　　 採用權益法認列關聯企業及合資之權益工具投資利益(損失),　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　 與待出售非流動資產直接相關之權益-後續可能,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 可能重分類至損益之其他項目,　　　 與可能重分類之項目相關之所得稅,　　　 處分投資損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 減損損失,　　　　 減損損失合計,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　 共同控制下前手權益（綜合損益）
3056,2014年01月01日至2014年03月31日,,                158380,,,,                 90785,                 67595,                 67595,,,                 27888,,                 18257,                 46145,                 21450,,,,                    134,                    506,                    640,,                     15,                   -968,,                   -953,,                      1,                      1,,,                   -314,                 21136,,                  5579,                 15557,                 15557,,,                  2274,                    -62,                  2212,                  2212,                 17769,,                 15557,,,                 17769,,,                              0.10,,                              0.10,,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,,,,,,,,,,,
3056,2013年第3季,,              2153403,,,              1337426,              1337426,                815977,                815977,,,                 76502,,                 67313,                143815,                672162,,,,                    168,                  3691,                  3859,,                   -222,                  3709,                    -48,                  3535,,                              0,                              0,,                              0,                  7394,                679556,,                 57148,                622408,                622408,,,,,,                 -1083,                621325,,                622654,                   -246,,                621571,                   -246,,                              4.41,,                              3.68,                              0,,,,,,,,,,,,,,,,,,,,,,,                 -1471,                    388,,,,,,,
3056,2013年第2季,,                683348,,,,                364576,                318772,                318772,,,                 35364,,                 34490,                 69854,                248918,,,,                    916,                 74370,                 75286,,                     34,,                    231,                   -197,,,,,,                 75089,                324007,,                 56831,                267176,                267176,,,,,,                  1203,                268379,,                267237,                    -61,,                268440,                    -61,,                              1.91,,                              1.71,,,,,,,,,,,,,,,,,,,,,,,                              0,                  1402,                   -199,,,,,,,
3056,2013年度,,              3879195,,,,              2235092,              1644103,              1644103,,,                173743,,                122559,                296302,              1347801,,,,                  2633,                 76234,                 78867,,                  2610,                  4351,                    267,                 -1241,,,,,,                 77626,              1425427,,                105900,              1319527,              1319527,,,,,,                  1002,              1320529,,              1319527,,,              1320529,,,                              9.27,,                              8.37,,,,,,,,,,,,,,,,,,,,,,                  7935,                              0,                    774,                    131,                    117,                     20,,,,,
3056,2013年07月01日至2013年09月30日,,              2153403,,,,              1337426,                815977,                815977,,,                 76502,,                 67313,                143815,                672162,,,,                    168,                  3664,                  3832,,                   -222,                  3709,                    -48,                  3562,,                              0,                              0,,                              0,                  7394,                679556,,                 57148,                622408,                622408,,,,,,                 -1083,                621325,,                622654,                   -246,,                621571,                   -246,,                              4.41,,                              3.68,                     27,,,,,,,,,,,,,,,,,,,,,,,                 -1471,                    388,,,,,,,
3056,2013年04月01日至2013年06月30日,,                683348,,,,                364576,                318772,                318772,,,                 35364,,                 34490,                 69854,                248918,,,,                    916,                 74250,                 75166,,                     34,                    104,                    231,                    -77,,                              0,                              0,,                              0,                 75089,                324007,,                 56831,                267176,                267176,,,,,,                  1203,                268379,,                267237,                    -61,,                268440,                    -61,,                              1.91,,                              1.71,                     16,,,,,,,,,,,,,,,,,,,,,,,                  1402,                   -199,,,,                              0,                              0,                              0,                              0
3056,2013年01月01日至2013年12月31日,,              3879195,,,,              2235092,              1644103,              1644103,,,                173743,,                122559,                296302,              1347801,,,,                  2633,                 76234,                 78867,,                  2610,                  4351,                    267,                 -1241,,,,,,                 77626,              1425427,,                105900,              1319527,              1319527,,,,,,                  1002,              1320529,,              1319527,,,              1320529,,,                              9.27,,                              8.34,,,,,,,,,,,,,,,,,,,,,,                  7935,,                    774,                    131,                    117,                     20,,,,,
3056,2013年01月01日至2013年09月30日,,              3854355,,,              2251786,              2251786,              1602569,              1602569,,,                175789,,                144287,                320076,              1282493,,,,                  1091,                 80978,                 82069,,                  1961,                  3813,                    269,                  5505,,                              0,                              0,,                              0,                 87574,              1370067,,                115990,              1254077,              1254077,,,,,,                    238,              1254315,,              1254384,                   -307,,              1254622,                   -307,,                              8.92,,                              8.06,                              0,,,,,,,,,,,,,,,,,,,,,,,                    -30,                    268,,,,,,,
3056,2013年01月01日至2013年06月30日,,              1700952,,,,                914360,                786592,                786592,,,                 99287,,                 76974,                176261,                610331,,,,                    923,                 77418,                 78341,,                  2183,,                    344,                  1839,,,,,,                 80180,                690511,,                 58842,                631669,                631669,,,,,,                  1321,                632990,,                631730,                    -61,,                633051,                    -61,,                              4.51,,                              4.24,,,,,,,,,,,,,,,,,,,,,,,                              0,                  1441,                   -120,,,,,,,
3056,2013年01月01日至2013年03月31日,,              1017604,,,,                549784,                467820,                467820,,,                 63923,,                 42484,                106407,                361413,,,,                      7,                  3062,                  3069,,                  2149,,,                  2022,,,,,,                  5091,                366504,,                  2011,                364493,                364493,,,,,,                    118,                364611,,                364493,,,                364611,,,                              2.60,,                              2.58,,,,,,,,,,,,,,,,,,,,,,,,                     39,                     79,,,,                    127,,,
3056,2012年07月01日至2012年09月30日,,                 28446,,,,                 25064,                  3382,                  3382,,,                     -1,,                 13363,                 13362,                 -9980,,,,                    178,                    789,                    967,,                   -556,                              0,                     17,                   -573,,                    169,                    169,,                              0,                    225,                 -9755,,                 14686,                -24441,                -24441,,,,,,                    153,                -24288,,                -24441,                              0,,                -24288,                              0,,                             -0.18,,                             -0.18,                              0,,,,,,,,,,,,,,,,,,,,,,,                     45,                    108,,,,,,,
3056,2012年04月01日至2012年06月30日,,                 76155,,,,                 72594,                  3561,                  3561,,,                      2,,                  5905,                  5907,                 -2346,,,,                    397,                    396,                    793,,                    119,                              0,                     42,                      5,,                    288,                    288,,                    111,                    621,                 -1725,,                 33924,                -35649,                -35649,,,,,,                   -167,                -35816,,                -35649,                              0,,                -35816,                              0,,                             -0.26,,                             -0.26,                    -72,,,,,,,,,,,,,,,,,,,,,,,                     12,                   -179,,,,                              0,                              0,                              0,                              0
3056,2012年01月01日至2012年12月31日,,                826606,,,,                689462,                137144,                137144,,,                 24755,,                 48703,                 73458,                 63686,,,,                  1266,                  3409,                  4675,,                 -1012,                              0,                  3322,                 -4406,,,,,,                    269,                 63955,,                 80035,                -16080,                -16080,,,,,,                     65,                -16015,,                -16080,,,                -16015,,,                             -0.11,,                             -0.11,,,,,,,,,,,,,,,,,,,,,,                     72,,                    -39,                    585,                   -481,                              0,,,,,
3056,2012年01月01日至2012年09月30日,,                232945,,,,                221443,                 11502,                 11502,,,                      1,,                 36255,                 36256,                -24754,,,,                    607,                  1573,                  2180,,                   -638,                              0,                     59,                   -769,,                    768,                    768,,                     71,                    714,                -24040,,                 59322,                -83362,                -83362,,,,,,                    379,                -82983,,                -83362,                              0,,                -82983,                              0,,                             -0.60,,                             -0.60,                    -72,,,,,,,,,,,,,,,,,,,,,,,                    -32,                    411,,,,,,,
3056,2012年01月01日至2012年06月30日,,                204499,,,,                196379,                  8120,                  8120,,,                      2,,                 22892,                 22894,                -14774,,,,                    429,                    784,                  1213,,                    -82,                              0,                     42,                   -196,,                    599,                    599,,                     71,                    489,                -14285,,                 44636,                -58921,                -58921,,,,,,                    290,                -58631,,                -58921,                              0,,                -58631,                              0,,                             -0.42,,                             -0.42,                    -72,,,,,,,,,,,,,,,,,,,,,,,                    -13,                    303,,,,                              0,                              0,                              0,                              0
3056,2012年01月01日至2012年03月31日,,                128344,,,,                123785,                  4559,                  4559,,,                              0,,                 16987,                 16987,                -12428,,,,                     32,                    388,                    420,,                              0,,,                   -201,,                    311,                    311,,                    -40,                   -132,                -12560,,                 10712,                -23272,                -23272,,,,,,                    457,                -22815,,                -23272,,,                -22815,,,                             -0.21,,                             -0.21,,                    201,,,,,,,,,,,,,,,,,,,,                              0,,                    -25,                    482,,,,,,,
