證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 採用權益法認列之關聯企業及合資損失之份額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 其他綜合損益
4532,2013年第3季,,              3717526,,              3114021,                603505,                603505,,,                 76392,,                128840,,                 74287,                279519,                323986,,,                 64245,,                -15948,,                 23518,,                 -1013,                 23766,                347752,,                103741,                244011,                244011,,,,,,,                -49507,                194504,,                212863,                 31148,,                174199,                 20305,,                              0.45,                              0.45,,                              0.45,                              0.45,,                -59790,                  1963,,,                  8320
4532,2013年第2季,,              4627436,,              3798788,                828648,                828648,,,                148273,,                137890,,                 67514,                353677,                474971,,,                 49059,,                -34345,,                 20750,,                 -2155,                 -8191,                466780,,                143538,                323242,                323242,,,,,,,                124676,                447918,,                281521,                 41721,,                414711,                 33207,,                              0.60,                              0.60,,                              0.60,                              0.60,,                154092,                 -1774,,,                -27642
4532,2013年度,,             16473387,,             13757595,              2715792,              2715792,,,                388300,,                527532,,                292680,              1208512,              1507280,,,                189769,,                -45179,,                 88144,,                 -4985,                 51461,              1558741,,                501251,              1057490,              1057490,,,,,,,                373663,              1431153,,                916351,                141139,,              1252377,                178776,,                              1.96,                              1.96,,                              1.95,                              1.95,                  4985,                460074,                    -95,                -17471,                 68845,
4532,2013年07月01日至2013年09月30日,,              3717526,,              3114021,                603505,                603505,,,                 76392,,                128840,,                 74287,                279519,                323986,,,                 64245,,                -15948,,                 23518,,                 -1013,                 23766,                347752,,                103741,                244011,                244011,,,,,,,                -49507,                194504,,                212863,                 31148,,                174199,                 20305,,                              0.47,                              0.47,,                              0.47,                              0.47,,                -59790,                  1963,,                 -8320,
4532,2013年04月01日至2013年06月30日,,              4627436,,              3798788,                828648,                828648,,,                148273,,                137890,,                 67514,                353677,                474971,,,                 49059,,                -34345,,                 20750,,                 -2155,                 -8191,                466780,,                143538,                323242,                323242,,,,,,,                124676,                447918,,                281521,                 41721,,                414711,                 33207,,                              0.62,                              0.62,,                              0.61,                              0.61,,                154092,                 -1774,,                 27642,
4532,2013年01月01日至2013年12月31日,,             16473387,,             13757595,              2715792,              2715792,,,                388300,,                527532,,                292680,              1208512,              1507280,,,                189769,,                -45179,,                 88144,,                 -4985,                 51461,              1558741,,                501251,              1057490,              1057490,,,,,,,                373663,              1431153,,                916351,                141139,,              1252377,                178776,,                              2.02,                              2.02,,                              2.01,                              2.01,                  4985,                460074,                    -95,                -17471,                 68845,
4532,2013年01月01日至2013年09月30日,,             12305070,,             10228495,              2076575,              2076575,,,                329586,,                417246,,                200405,                947237,              1129338,,,                154718,,                -64935,,                 62176,,                 -3855,                 23752,              1153090,,                363329,                789761,                789761,,,,,,,                263945,              1053706,,                673866,                115895,,                922741,                130965,,                              1.44,                              1.44,,                              1.43,                              1.43,,                316545,                 -1349,,,                -51251
4532,2013年01月01日至2013年06月30日,,              8587544,,              7114474,              1473070,              1473070,,,                253194,,                288406,,                126118,                667718,                805352,,,                 90473,,                -48987,,                 38658,,                 -2842,                    -14,                805338,,                259588,                545750,                545750,,,,,,,                313452,                859202,,                461003,                 84747,,                748542,                110660,,                              0.98,                              0.98,,                              0.98,                              0.98,,                376335,                 -3312,,,                -59571
4532,2013年01月01日至2013年03月31日,,              3960108,,              3315686,                644422,                644422,,,                104921,,                150516,,                 58604,                314041,                330381,,,                 41414,,                -14642,,                 17908,,                   -687,                  8177,                338558,,                116050,                222508,                222508,,,,,,,                188776,                411284,,                179482,                 43026,,                333831,                 77453,,                              0.39,                              0.39,,                              0.39,                              0.39,,                222243,                 -1538,,                 31929,
4532,2012年07月01日至2012年09月30日,,              2903738,,              2413019,                490719,                490719,,,                 25991,,                 79868,,                 45404,                151263,                339456,,,                 32008,,                  2988,,                 23264,,                              0,                 11732,                351188,,                 95884,                255304,                255304,,,,,,,               -134023,                121281,,                219336,                 35968,,                109307,                 11974,,                              0.48,                              0.48,,                              0.48,                              0.48,,               -155367,                   -989,,                -22333,
4532,2012年04月01日至2012年06月30日,,              4613370,,              3809265,                804105,                804105,,,                209316,,                116954,,                 47346,                373616,                430489,,,                 13556,,                 12899,,                 22167,,                              0,                  4288,                434777,,                121884,                312893,                312893,,,,,,,                 32804,                345697,,                273426,                 39467,,                298923,                 46774,,                              0.60,                              0.60,,                              0.60,                              0.60,,                 41044,                 -2505,,                  5735,
4532,2012年01月01日至2012年12月31日,,             15285474,,             12693681,              2591793,              2591793,,,                433255,,                387704,,                200854,              1021813,              1569980,,,                115468,,                -34584,,                 90544,,                              0,                 -9660,              1560320,,                435430,              1124890,              1124890,,,,,,,               -222038,                902852,,                972485,                152405,,                792527,                110325,,                              2.14,                              2.14,,                              2.12,                              2.12,                              0,               -258351,                 -1212,                    759,                -36766,
4532,2012年01月01日至2012年09月30日,,             11761362,,              9733932,              2027430,              2027430,,,                363835,,                361884,,                130019,                855738,              1171692,,,                 78078,,                  9113,,                 73226,,                              0,                 13965,              1185657,,                321550,                864107,                864107,,,,,,,               -232286,                631821,,                756228,                107879,,                565987,                 65834,,                              1.66,                              1.66,,                              1.65,                              1.65,,               -268936,                 -1921,,                -38571,
4532,2012年01月01日至2012年06月30日,,              8857624,,              7320913,              1536711,              1536711,,,                337844,,                282016,,                 84615,                704475,                832236,,,                 46070,,                  6125,,                 49962,,                              0,                  2233,                834469,,                225666,                608803,                608803,,,,,,,                -98263,                510540,,                536892,                 71911,,                456680,                 53860,,                              1.18,                              1.18,,                              1.17,                              1.17,,               -113569,                   -932,,                -16238,
4532,2012年01月01日至2012年03月31日,,              4244254,,              3511648,                732606,                732606,,,                128528,,                165062,,                 37269,                330859,                401747,,,                 32514,,                 -6774,,                 27795,,                              0,                 -2055,                399692,,                103782,                295910,                295910,,,,,,,               -131067,                164843,,                263466,                 32444,,                157757,                  7086,,                              0.60,                              0.60,,                              0.59,                              0.59,,               -154613,                  1573,,                -21973,
