證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2399,2013年07月01日至2013年09月30日,,              1110716,,              1001209,                109507,                109507,,,                 45675,,                 22681,,                 29277,                 97633,                 11874,,,                 19533,,                -23958,,                      6,                 -4431,                  7443,,                  2762,                  4681,                  4681,,,,,,,                 -1614,                  3067,,                  4681,,                  3067,,                              0.03,                              0.03,,                              0.03,                              0.03,                 -5723,                  3136,,                   -973
2399,2013年04月01日至2013年06月30日,,              1151908,,              1040600,                111308,                111308,,,                 43441,,                 17993,,                 28172,                 89606,                 21702,,,                 14366,,                 11347,,                     11,                 25702,                 47404,,                 19024,                 28380,                 28380,,,,,,,                -11723,                 16657,,                 28380,,                 16657,,                              0.16,                              0.16,,                              0.16,                              0.16,                  2310,                -13640,,                    393
2399,2013年01月01日至2013年12月31日,,              4608578,,              4173559,                435019,                435019,,,                178948,,                 83711,,                117769,                380428,                 54591,,,                 68370,,                 34989,,                     30,                103329,                157920,,                 35300,                122620,                122620,,,,,,,                  3307,                125927,,                122620,,                125927,,                              0.69,                              0.69,,                              0.68,                              0.68,                 10263,                 -7317,                  2536,                  2175
2399,2013年01月01日至2013年09月30日,,              3421958,,              3079101,                342857,                342857,,,                133987,,                 62025,,                 86077,                282089,                 60768,,,                 43951,,                 17711,,                     26,                 61636,                122404,,                 32786,                 89618,                 89618,,,,,,,                 -4654,                 84964,,                 89618,,                 84964,,                              0.50,                              0.50,,                              0.50,                              0.50,                  6930,                -10406,,                  1178
2399,2013年01月01日至2013年06月30日,,              2311242,,              2077892,                233350,                233350,,,                 88312,,                 39344,,                 56800,                184456,                 48894,,,                 24418,,                 41669,,                     20,                 66067,                114961,,                 30024,                 84937,                 84937,,,,,,,                 -3040,                 81897,,                 84937,,                 81897,,                              0.48,                              0.48,,                              0.47,                              0.47,                 12653,                -13542,,                  2151
2399,2013年01月01日至2013年03月31日,,              1159334,,              1037292,                122042,                122042,,,                 44871,,                 21351,,                 28628,                 94850,                 27192,,,                 10052,,                 30322,,                      9,                 40365,                 67557,,                 11000,                 56557,                 56557,,,,,,,                  8683,                 65240,,                 56557,,                 65240,,,                              0.32,,,                              0.31,                 10343,                     98,,                  1758
2399,2012年07月01日至2012年09月30日,,              1339807,,              1163472,                176335,                176335,,,                 88731,,                 32940,,                 35510,                157181,                 19154,,,                 12194,,                -20447,,                    679,                 -8932,                 10222,,                  3918,                  6304,                  6304,,,,,,,                  2716,                  9020,,                  6304,,                  9020,,                              0.04,                              0.04,,                              0.04,                              0.04,                 -7773,                  9167,,                 -1322
2399,2012年04月01日至2012年06月30日,,              1335079,,              1212850,                122229,                122229,,,                 20733,,                 28450,,                 31443,                 80626,                 41603,,,                 11121,,                 15576,,                      4,                 26693,                 68296,,                 15052,                 53244,                 53244,,,,,,,                  2537,                 55781,,                 53244,,                 55781,,                              0.30,                              0.30,,                              0.29,                              0.29,                  4948,                 -1570,,                    841
2399,2012年01月01日至2012年12月31日,,              5357683,,              4792703,                564980,                564980,,,                195089,,                 99232,,                130428,                424749,                140231,,,                 39657,,                -35772,,                    745,                  3140,                143371,,                 26461,                116910,                116910,,,,,,,                -17059,                 99851,,                116910,,                 99851,,                              0.66,                              0.66,,                              0.65,                              0.65,                -16057,                 -1217,                 -3030,                 -3245
2399,2012年01月01日至2012年09月30日,,              4140639,,              3683052,                457587,                457587,,,                159162,,                 76999,,                 96059,                332220,                125367,,,                 34878,,                -32543,,                    686,                  1649,                127016,,                 29045,                 97971,                 97971,,,,,,,                  5060,                103031,,                 97971,,                103031,,                              0.55,                              0.55,,                              0.54,                              0.54,                -12733,                 15628,,                 -2165
2399,2012年01月01日至2012年06月30日,,              2800832,,              2519580,                281252,                281252,,,                 70431,,                 44059,,                 60549,                175039,                106213,,,                 22684,,                -12096,,                      7,                 10581,                116794,,                 25127,                 91667,                 91667,,,,,,,                  2344,                 94011,,                 91667,,                 94011,,                              0.51,                              0.51,,                              0.51,                              0.51,                 -4960,                  6461,,                   -843
2399,2012年01月01日至2012年03月31日,,              1465753,,              1306730,                159023,                159023,,,                 49698,,                 15609,,                 29106,                 94413,                 64610,,,                 11563,,                -27672,,                      3,                -16112,                 48498,,                 10075,                 38423,                 38423,,,,,,,                   -193,                 38230,,                 38423,,                 38230,,                              0.21,                              0.21,,                              0.21,                              0.21,                 -9908,                  8031,,                 -1684
