證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　　 利息費用,　　 當期所得稅費用（利益）,　　 遞延所得稅費用（利益）
2382,2013年第2季,,            191003771,,            182066132,              8937639,                    394,                    174,              8937419,,,              1846158,,              1792073,,              2525723,              6163954,              2773465,,,              1857317,,              1809726,,                787642,,                -28312,              2851089,              5624554,,              1539628,              4084926,              4084926,,,,,,,,,             -1312699,              2772227,,              4023097,                 61829,,              2946794,               -174567,,                              1.05,,                              1.03,                -63660,             -1249767,,,                    728,                              0,,,
2382,2013年度,,            880401954,,            843097495,             37304459,                    525,                    490,             37304424,,,              6227104,,              7505682,,             10511964,             24244750,             13059674,,,              6472982,,              6643241,,              1913705,,                -44795,             11157723,             24217397,,              5107850,             19109547,             19109547,,,,,,,,,               -670444,             18439103,,             18618002,                491545,,             18029864,                409239,,                              4.84,,                              4.78,                887468,             -1488952,                -71660,,                 -7921,                -10621,,,
2382,2013年07月01日至2013年09月30日,,            220317939,,            210438929,              9879010,                    502,                    394,              9878902,,,              1215269,,              1791637,,              2483068,              5489974,              4388928,,,              1260787,,                642577,,                133676,,                 -6227,              1763461,              6152389,,              1350561,              4801828,              4801828,,,,,,,,,               -292239,              4509589,,              4653310,                148518,,              4401371,                108218,,                              1.21,,                              1.20,               -448546,                156307,,,,                              0,,,
2382,2013年04月01日至2013年06月30日,,            191003771,,            182071230,              8932541,                    394,                    174,              8932321,,,              1846158,,              1792073,,              2525723,              6163954,              2768367,,,              1850881,,              1821260,,                787642,,                -28312,              2856187,              5624554,,              1539628,              4084926,              4084926,,,,,,,,,             -1312696,              2772230,,              4023097,                 61829,,              2946794,               -174564,,                              1.05,,                              1.03,                -62929,             -1249767,,,,                              0,,,
2382,2013年01月01日至2013年12月31日,,            880401954,,            843097495,             37304459,                    525,                    490,             37304424,,,              6227104,,              7505682,,             10511964,             24244750,             13059674,,,              6472982,,              6643241,,              1913705,,                -44795,             11157723,             24217397,,              5107850,             19109547,             19109547,,,,,,,,,               -670444,             18439103,,             18618002,                491545,,             18029864,                409239,,                              4.84,,                              4.78,                887468,             -1488952,                -71660,,                 -7921,                -10621,,,
2382,2013年01月01日至2013年09月30日,,            608837488,,            582026889,             26810599,                    502,                    490,             26810587,,,              4163188,,              5431385,,              7487571,             17082144,              9728443,,,              4510670,,              5044940,,              1455863,,                -44597,              8055150,             17783593,,              4254877,             13528716,             13528716,,,,,,,,,               -327282,             13201434,,             13130562,                398154,,             12944542,                256892,,                              3.42,,                              3.37,                500134,               -827416,,,                              0,                              0,,,
2382,2013年01月01日至2013年06月30日,,            388519549,,            371574910,             16944639,                    394,                    490,             16944735,,,              2947919,,              3639748,,              5004503,             11592170,              5352565,,,              3249883,,              4389313,,              1322187,,                -38370,              6278639,             11631204,,              2904316,              8726888,              8726888,,,,,,,,,                -35046,              8691842,,              8477252,                249636,,              8543171,                148671,,                              2.21,,                              2.18,                947949,               -983723,,,                    728,                              0,,,
2382,2013年01月01日至2013年03月31日,,            197515778,,            189508778,              8007000,                    174,                    490,              8007316,,,              1101761,,              1847675,,              2478780,              5428216,              2579100,,,              1392566,,              2579587,,                534545,,                -10058,              3427550,              6006650,,              1364688,              4641962,              4641962,,,,,,,,,              1277653,              5919615,,              4454155,                187807,,              5596377,                323238,,                              1.16,,                              1.15,              1011609,                266044,,,                              0,                              0,,,
2382,2012年07月01日至2012年09月30日,,            274107929,,            262937296,             11170633,                    593,                    282,             11170322,,,                999622,,              1969090,,              2408259,              5376971,              5793351,,,              3962302,,                324722,,              2751553,,                -12392,              1523079,              7316430,,                739185,              6577245,              6577245,,,,,,,,,             -1072729,              5504516,,              6472409,                104836,,              5483093,                 21423,,                              1.69,,                              1.67,               -611915,               -460814,,,,                              0,,,
2382,2012年04月01日至2012年06月30日,,            240687672,,            229192342,             11495330,                    282,                    281,             11495329,,,              2042584,,              1989298,,              2477951,              6509833,              4985496,,,              5575154,,                915168,,              3229719,,                -31067,              3229536,              8215032,,              2208716,              6006316,              6006316,,,,,,,,,             -1305136,              4701180,,              5994042,                 12274,,              4963221,               -262041,,                              1.56,,                              1.55,                 -5662,             -1299474,,,,                              0,,,
2382,2012年01月01日至2012年12月31日,,          1024985385,,            980627071,             44358314,                    490,                  1215,             44359039,,,              6539202,,              7541937,,              9844642,             23925781,             20433258,,,             15349928,,              3252799,,              9843592,,               -142360,              8616775,             29050033,,              5612679,             23437354,             23437354,,,,,,,,,             -1390576,             22046778,,             23056541,                380813,,             22055081,                 -8303,,                              6.01,,                              5.93,             -1502123,               -371665,                -50351,,                  9143,               -524420,,,
2382,2012年01月01日至2012年09月30日,,            752172857,,            718466860,             33705997,                    593,                  1215,             33706619,,,              4778300,,              5730529,,              7331681,             17840510,             15866109,,,             12723038,,              2129721,,              8053257,,                -53052,              6746450,             22612559,,              4793669,             17818890,             17818890,,,,,,,,,             -1943400,             15875490,,             17598239,                220651,,             16028008,               -152518,,                              4.59,,                              4.53,               -826105,             -1117295,,,,                              0,,,
2382,2012年01月01日至2012年06月30日,,            478064928,,            455529564,             22535364,                    282,                  1215,             22536297,,,              3778678,,              3761439,,              4923422,             12463539,             10072758,,,              8760736,,              1804999,,              5301704,,                -40660,              5223371,             15296129,,              4054484,             11241645,             11241645,,,,,,,,,               -870671,             10370974,,             11125830,                115815,,             10544915,               -173941,,                              2.90,,                              2.87,               -214190,               -656481,,,,                              0,,,
2382,2012年01月01日至2012年03月31日,,            237377256,,            226337222,             11040034,                    281,                  1215,             11040968,,,              1736094,,              1772141,,              2445471,              5953706,              5087262,,,              3177722,,                897691,,              2071985,,                 -9593,              1993835,              7081097,,              1845768,              5235329,              5235329,,,,,,,,,                434465,              5669794,,              5131788,                103541,,              5581694,                 88100,,                              1.34,,                              1.33,               -208528,                642993,,,,                              0,              2071985,              1870269,                -24501
