證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）,　　 銷貨收入淨額,　　　 銷貨收入淨額
3047,2014年01月01日至2014年03月31日,,              1538945,,              1137356,                401589,                401589,,,                193237,,                 86212,,                105720,                385169,                 16420,,,                 16298,,                 50163,,                  3128,                 63333,                 79753,,                 18832,                 60921,,                    -38,                 60883,,,                  9659,                              0,                  9659,                  9659,                 70542,,                 52657,                  8226,,                 58456,                 12086,,                              0.28,,                              0.24,,,,,,,,
3047,2013年第3季,,              1460798,,              1096503,                364295,                364295,,,                154552,,                 81628,,                106456,                342636,                 21659,,,                 13803,,                    602,,                  3591,                 10814,                 32473,,                 12659,                 19814,,                   -139,                 19675,,,,,,                -55962,                -36287,,                 21167,                 -1492,,                 10111,                -46398,,                              0.11,,                              0.11,                -55962,,,,,,,
3047,2013年第2季,,              1492901,,              1075311,                417590,                417590,,,                179910,,                 84821,,                 99257,                363988,                 53602,,,                 12486,,                  7832,,                  5102,                 15216,                 68818,,                 21190,                 47628,,                -12498,                 35130,,,,,,                 10766,                 45896,,                 36022,                   -892,,                 44324,                  1572,,                              0.19,,                              0.17,                 10766,,,,,,,
3047,2013年度,,              5857793,,              4266605,              1591188,              1591188,,,                719332,,                304540,,                414471,              1438343,                152845,,,                 69028,,                 52389,,                 15894,                105523,                258368,,                109230,                149138,,                -13471,                135667,,,,,,                 11072,                146739,,                141878,                 -6211,,                158145,                -11406,,                              0.75,,                              0.68,                 14210,                              0,                 -3224,                     86,,,,
3047,2013年07月01日至2013年09月30日,,              1460798,,              1096503,                364295,                364295,,,                154552,,                 81628,,                106456,                342636,                 21659,,,                 13803,,                    602,,                  3591,                 10814,                 32473,,                 12659,                 19814,,                   -139,                 19675,,,,,,                -55962,                -36287,,                 21167,                 -1492,,                 10111,                -46398,,                              0.11,,                              0.11,                -55962,,,,                              0.11,                              0.11,,
3047,2013年04月01日至2013年06月30日,,              1492901,,              1075311,                417590,                417590,,,                179910,,                 84821,,                 99257,                363988,                 53602,,,                 12486,,                  7832,,                  5102,                 15216,                 68818,,                 21190,                 47628,,                -12498,                 35130,,,,,,                 42766,                 77896,,                 36022,                   -892,,                 44324,                 33572,,                              0.21,,                              0.19,                 42766,,,,                              0.21,                              0.19,,
3047,2013年01月01日至2013年12月31日,,              5857793,,              4266605,              1591188,              1591188,,,                719332,,                304540,,                414471,              1438343,                152845,,,                 69028,,                 52389,,                 15894,                105523,                258368,,                109230,                149138,,                -13471,                135667,,,,,,                 11072,                146739,,                141878,                 -6211,,                158145,                -11406,,                              0.75,,                              0.68,                 14210,,                 -3224,                     86,,,,
3047,2013年01月01日至2013年09月30日,,              4428816,,              3265003,              1163813,              1163813,,,                506200,,                251813,,                300869,              1058882,                104931,,,                 45832,,                 41522,,                 12477,                 74877,                179808,,                 44934,                134874,,                -12701,                122173,,,,,,                  8906,                131079,,                121756,                    417,,                134802,                 -3723,,                              0.64,,                              0.58,                  8906,,,,                              0.64,                              0.58,,
3047,2013年01月01日至2013年06月30日,,              2968018,,              2164773,                803245,                803245,,,                351648,,                172917,,                195408,                719973,                 83272,,,                 32029,,                 40920,,                  8886,                 64063,                147335,,                 32275,                115060,,                -12562,                102498,,,,,,                 32868,                135366,,                100589,                  1909,,                124691,                 10675,,                              0.53,,                              0.48,                 32868,,,,,,,
3047,2013年01月01日至2013年03月31日,,              1475117,,              1089462,                385655,                385655,,,                171738,,                 88096,,                 96151,                355985,                 29670,,,                 14714,,                 37917,,                  3784,                 48847,                 78517,,                 11085,                 67432,,                    -64,                 67368,,,,,,                 22102,                 89470,,                 64567,                  2801,,                 80367,                  9103,,                              0.34,,                              0.31,                 22102,,,,,,,
3047,2012年07月01日至2012年09月30日,,              1656571,,              1286188,                370383,                370383,,,                164421,,                113097,,                103604,                381122,                -10739,,,                 20554,,                 46176,,                  4474,                 62256,                 51517,,                  2793,                 48724,,                    945,                 49669,,,,,,                -15730,                 33939,,                 37269,                 12400,,                 33744,                    195,,                              0.20,,                              0.19,                -15730,,,,                              0.20,                              0.19,,
3047,2012年04月01日至2012年06月30日,,              1705538,,              1193256,                512282,                512282,,,                148950,,                138027,,                 99904,                386881,                125401,,,                 31587,,                -26928,,                  5039,                   -380,                125021,,                 24707,                100314,,                -17588,                 82726,,,,,,                 10714,                 93440,,                 74995,                  7731,,                 74532,                 18908,,                              0.44,,                              0.42,                 10714,,,,                              0.44,                              0.42,,
3047,2012年01月01日至2012年12月31日,,              6456591,,              4760283,              1696308,              1696308,,,                733395,,                313513,,                394882,              1441790,                254518,,,                 70133,,                 -4986,,                 23505,                 41642,                296160,,                 44915,                251245,,                   -883,                250362,,,,,,                -13249,                237113,,                189085,                 61277,,                176283,                 60830,,                              1.13,,                              1.06,                -12554,,                   -889,                    194,,,,
3047,2012年01月01日至2012年09月30日,,              4953749,,              3689705,              1264044,              1264044,,,                473979,,                320695,,                298114,              1092788,                171256,,,                 65506,,                 10767,,                 16454,                 59819,                231075,,                 39435,                191640,,                 -5708,                185932,,,,,,                -15874,                170058,,                158045,                 27887,,                143736,                 26322,,                              0.87,,                              0.82,                -15874,,,,                              0.87,                              0.82,,
3047,2012年01月01日至2012年06月30日,,              3297178,,              2403517,                893661,                893661,,,                309558,,                207598,,                194510,                711666,                181995,,,                 44952,,                -35409,,                 11980,                 -2437,                179558,,                 36642,                142916,,                 -6653,                136263,,,,,,                   -144,                136119,,                120776,                 15487,,                109992,                 26127,,                              0.74,,                              0.70,                   -144,,,,                              0.74,                              0.70,,
3047,2012年01月01日至2012年03月31日,,              1591640,,              1210261,                381379,                381379,,,                160608,,                 69571,,                 94606,                324785,                 56594,,,                 13365,,                 -8481,,                  6941,                 -2057,                 54537,,                 11935,                 42602,,                 10935,                 53537,,,,,,                -10858,                 42679,,                 45781,                  7756,,                 35460,                  7219,,                              0.29,,                              0.29,                -10858,,,,,,,              1591640
