證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2451,2014年01月01日至2014年03月31日,,              6794611,,              5467852,              1326759,              1326759,,,                281855,,                 91112,,                 45938,                418905,                907854,,,                 42665,,                 74539,,                  2666,,                   -163,                114375,              1022229,,                121418,                900811,                900811,,,                 15934,                 35202,                  2709,                 48427,                 48427,                949238,,                900811,,                949238,,                              2.09,                              2.09,,                              2.09,                              2.09,,,,
2451,2013年第3季,,              6389192,,              5309842,              1079350,              1079350,,,                261620,,                 94659,,                 35822,                392101,                687249,,,                 24414,,                 26055,,                    124,,                 -7975,                 42370,                729619,,                109879,                619740,                619740,,,,,,,                -46436,                573304,,                619740,,                573304,,                              1.44,                              1.44,,                              1.44,                              1.44,                -30762,                -20904,,                 -5230
2451,2013年第2季,,              5967805,,              4589080,              1378725,              1378725,,,                266261,,                110191,,                 43784,                420236,                958489,,,                 34576,,                162114,,                     60,,                 -1253,                195377,              1153866,,                150534,              1003332,              1003332,,,,,,,               -106983,                896349,,              1003332,,                896349,,                              2.33,                              2.33,,                              2.32,                              2.32,                 50900,               -149230,,                  8653
2451,2013年度,,             26122390,,             21201143,              4921247,              4921247,,,              1020315,,                392338,,                157028,              1569681,              3351566,,,                130645,,                292236,,                  5900,,                -30403,                386578,              3738144,,                539187,              3198957,              3198957,,,,,,,                130785,              3329742,,              3198957,,              3329742,,                              7.43,                              7.43,,                              7.41,                              7.41,                148571,                  2085,                  5387,                 25258
2451,2013年07月01日至2013年09月30日,,              6389192,,              5309842,              1079350,              1079350,,,                261620,,                 94659,,                 35822,                392101,                687249,,,                 24414,,                 17956,,,,,                 42370,                729619,,                109879,                619740,                619740,,,,,,,                -46436,                573304,,                619740,,                573304,,                              1.44,                              1.44,,                              1.44,                              1.44,                -30762,                -20904,,                 -5230
2451,2013年04月01日至2013年06月30日,,              5967805,,              4589080,              1378725,              1378725,,,                266261,,                110191,,                 43784,                420236,                958489,,,                 34576,,                160801,,,,,                195377,              1153866,,                150534,              1003332,              1003332,,,,,,,               -106983,                896349,,              1003332,,                896349,,                              2.33,                              2.33,,                              2.32,                              2.32,                 50900,               -149230,,                  8653
2451,2013年01月01日至2013年12月31日,,             26122390,,             21201143,              4921247,              4921247,,,              1020315,,                392338,,                157028,              1569681,              3351566,,,                130645,,                292236,,                  5900,,                -30403,                386578,              3738144,,                539187,              3198957,              3198957,,,,,,,                130785,              3329742,,              3198957,,              3329742,,                              7.43,                              7.43,,                              7.41,                              7.41,                148571,                  2085,                  5387,                 25258
2451,2013年01月01日至2013年09月30日,,             19408126,,             15646035,              3762091,              3762091,,,                772884,,                299373,,                122424,              1194681,              2567410,,,                 84957,,                242507,,                    189,,                 -9228,                318047,              2885457,,                392740,              2492717,              2492717,,,,,,,                 39685,              2532402,,              2492717,,              2532402,,                              5.79,                              5.79,,                              5.78,                              5.78,                 97418,                -41172,,                 16561
2451,2013年01月01日至2013年06月30日,,             13018934,,             10336193,              2682741,              2682741,,,                511264,,                204714,,                 86602,                802580,              1880161,,,                 60543,,                216452,,                     65,,                 -1253,                275677,              2155838,,                282861,              1872977,              1872977,,,,,,,                 86121,              1959098,,              1872977,,              1959098,,                              4.35,                              4.35,,                              4.34,                              4.34,                128180,                -20268,,                 21791
2451,2013年01月01日至2013年03月31日,,              7051129,,              5747113,              1304016,              1304016,,,                245003,,                 94523,,                 42818,                382344,                921672,,,                 25967,,                 54338,,                      5,,                              0,                 80300,              1001972,,                132327,                869645,                869645,,,,,,,                193104,              1062749,,                869645,,              1062749,,                              2.02,                              2.02,,                              2.01,                              2.01,                 77280,                128962,,                 13138
2451,2012年07月01日至2012年09月30日,,              7166751,,              5693819,              1472932,              1472932,,,                258588,,                 98666,,                 38679,                395933,              1076999,,,                 20562,,                 27257,,,,,                 47819,              1124818,,                150008,                974810,                974810,,,,,,,                -13746,                961064,,                974810,,                961064,,                              2.26,                              2.26,,                              2.26,                              2.26,                -22626,                  5018,,                 -3862
2451,2012年04月01日至2012年06月30日,,              6063607,,              4898153,              1165454,              1165454,,,                245213,,                 83515,,                 32491,                361219,                804235,,,                 32016,,                 63925,,,,,                 95941,                900176,,                152845,                747331,                747331,,,,,,,                -38141,                709190,,                747331,,                709190,,                              1.73,                              1.73,,                              1.73,                              1.73,                  8757,                -45358,,                  1540
2451,2012年01月01日至2012年12月31日,,             26215961,,             21268979,              4946982,              4946982,,,                982033,,                399418,,                145155,              1526606,              3420376,,,                109938,,                -78559,,                  1581,,                              0,                 29798,              3450174,,                501839,              2948335,              2948335,,,,,,,                -86663,              2861672,,              2948335,,              2861672,,                              6.84,                              6.84,,                              6.83,                              6.83,               -115143,                -10431,                 19317,                -19594
2451,2012年01月01日至2012年09月30日,,             19428611,,             15675871,              3752740,              3752740,,,                732016,,                282386,,                105360,              1119762,              2632978,,,                 76992,,                 -1920,,,,,                 75072,              2708050,,                372845,              2335205,              2335205,,,,,,,                  1495,              2336700,,              2335205,,              2336700,,                              5.42,                              5.42,,                              5.41,                              5.41,                -98149,                 82943,,                -16701
2451,2012年01月01日至2012年06月30日,,             12261860,,              9982052,              2279808,              2279808,,,                473428,,                183720,,                 66681,                723829,              1555979,,,                 56430,,                -29177,,,,,                 27253,              1583232,,                222837,              1360395,              1360395,,,,,,,                 15241,              1375636,,              1360395,,              1375636,,                              3.16,                              3.16,,                              3.16,                              3.16,                -75523,                 77925,,                -12839
2451,2012年01月01日至2012年03月31日,,              6198253,,              5083899,              1114354,              1114354,,,                228215,,                100205,,                 34190,                362610,                751744,,,                 24414,,                -93102,,,,,                -68688,                683056,,                 69992,                613064,                613064,,,,,,,                 53382,                666446,,                613064,,                666446,,                              1.42,                              1.42,,                              1.42,                              1.42,                -84280,                123283,,                -14379
