證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資利益,　　　 外幣兌換利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 處分投資損失,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 處分不動產、廠房及設備利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計,　　　 其他收入－其他,　　　 減損損失,　　　　 金融資產減損損失,　　　　 減損損失合計,　　 當期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2478,2014年01月01日至2014年03月31日,,,,                906678,                906678,                906678,                906678,,,                792180,                792180,                792180,                114498,                114498,,,                 32525,,                 61465,,                  6396,                100386,                 14112,,,                  8000,,,                 29546,                     12,                              0,,                              0,,                 36608,,                  3161,                 41447,                 55559,,                 12015,                 12015,                 43544,                 43544,,,                 -2094,                   -612,                 -1482,                 -1482,                 42062,,                 42224,                  1320,,                 39237,                  2825,,                              0.17,,                              0.13,                    175,                  6899,,                  2166,                  2166,                  5834,,,,,,,
2478,2013年第3季,,,,              1033291,              1033291,              1033291,              1033291,,,                883281,                883281,                883281,                150010,                150010,,,                 36540,,                 60758,,                  6437,                103735,                 46275,,,                  4726,,                    339,                              0,                    195,                    -10,,                  6671,                   -626,                 -5891,,                  4281,                 -5446,                 40829,,,                  8822,                 32007,                 32007,,,,,,                -32683,                   -676,,                 29224,                  2783,,                   -471,                   -205,,                              0.12,,                              0.11,,,,,,,,                              0,                              0,                  8822,                -41098,,                 -8415
2478,2013年第2季,,,,                958307,                958307,                958307,                958307,,,                806332,                806332,                806332,                151975,                151975,,,                 35970,,                 61421,,                  6455,                103846,                 48129,,,                  4130,,,                              0,                  1244,                              0,,                  3237,                  1520,                -12813,,                  4503,                -13186,                 34943,,,                    989,                 33954,                 33954,,,,,,                 34091,                 68045,,                 30518,                  3436,,                 65793,                  2252,,                              0.12,,                              0.12,                      4,                              0,,,,,,                  6816,                  6816,                    989,                 43649,,                  9558
2478,2013年度,,,,              3829349,              3829349,              3829349,              3829349,,,              3314417,              3314417,              3314417,                514932,                514932,,,                142245,,                242436,,                 26121,                410802,                104130,,,                 17483,,                              0,                  9120,                  1792,                    113,,,                  3328,                 -6053,,                 16517,                 -5087,                 99043,,,                 13966,                 85077,                 85077,,,,,,                110046,                195123,,                 76009,                  9068,,                188799,                  6324,,                              0.30,,                              0.30,                              0,,,,,,,                  9940,                  9940,                 13966,                133738,                   -590,                 23102
2478,2013年07月01日至2013年09月30日,,,,              1033291,              1033291,              1033291,              1033291,,,                883281,                883281,                883281,                150010,                150010,,,                 36540,,                 60758,,                  6437,                103735,                 46275,,,                  4726,,                    339,                              0,                    195,                    -10,,                  6671,                   -626,                 -5891,,                  4281,                 -5446,                 40829,,,                  8822,                 32007,                 32007,,,,,,                -32683,                   -676,,                 29224,                  2783,,                   -471,                   -205,,                              0.12,,                              0.11,,,,,,,,                              0,                              0,                  8822,                -41098,,                 -8415
2478,2013年04月01日至2013年06月30日,,,,                958307,                958307,                958307,                958307,,,                806332,                806332,                806332,                151975,                151975,,,                 35970,,                 61421,,                  6455,                103846,                 48129,,,                  4130,,,                              0,                  1244,                              0,,                  3237,                  1520,                -12813,,                  4503,                -13186,                 34943,,,                    989,                 33954,                 33954,,,,,,                 34091,                 68045,,                 30518,                  3436,,                 65793,                  2252,,                              0.13,,                              0.13,                      4,                              0,,,,,,                  6816,                  6816,                    989,                 43649,,                  9558
2478,2013年01月01日至2013年12月31日,,,,              3829349,              3829349,              3829349,              3829349,,,              3314417,              3314417,              3314417,                514932,                514932,,,                142245,,                242436,,                 26121,                410802,                104130,,,                 17483,,,                  9120,                  1792,                    113,,,                  3328,                 -6053,,                 16517,                 -5087,                 99043,,,                 13966,                 85077,                 85077,,,,,,                110046,                195123,,                 76009,                  9068,,                188799,                  6324,,                              0.31,,                              0.31,                              0,,,,,,,                  9940,                  9940,                 13966,                133738,                   -590,                 23102
2478,2013年01月01日至2013年09月30日,,,,              2841729,              2841729,              2841729,              2841729,,,              2440051,              2440051,              2440051,                401678,                401678,,,                103942,,                172985,,                 19370,                296297,                105381,,,                 13595,,                    339,                  8480,                  1676,                    -31,,                              0,                  2145,                 -1787,,                 13397,                 -1589,                103792,,,                 16023,                 87769,                 87769,,,,,,                 71209,                158978,,                 79794,                  7975,,                154130,                  4848,,                              0.32,,                              0.32,,,,,,,,                  6816,                  6816,                 16023,                 86435,,                 15226
2478,2013年01月01日至2013年06月30日,,,,              1808438,              1808438,              1808438,              1808438,,,              1556770,              1556770,              1556770,                251668,                251668,,,                 67402,,                112227,,                 12933,                192562,                 59106,,,                  8869,,,                 15151,                  1481,                              0,,                              0,                  2771,                  4104,,                  9116,                  3857,                 62963,,,                  7201,                 55762,                 55762,,,,,,                103892,                159654,,                 50570,                  5192,,                154601,                  5053,,                              0.20,,                              0.20,                     21,                              0,,,,,,                  6816,                  6816,                  7201,                127533,,                 23641
2478,2013年01月01日至2013年03月31日,,,,                850131,                850131,                850131,                850131,,,                750438,                750438,                750438,                 99693,                 99693,,,                 31432,,                 50806,,                  6478,                 88716,                 10977,,,                  4739,,,                 18388,                    237,                              0,,                              0,,                 16917,,                  4613,                 17043,                 28020,,,                  6212,                 21808,                 21808,,,,,,                 69801,                 91609,,                 20052,                  1756,,                 88808,                  2801,,                              0.08,,                              0.08,                     17,                 -1251,,                  1434,                  1434,                  3305,,,,                  6212,                 83884,,                 14083
2478,2012年07月01日至2012年09月30日,,,,                979105,                979105,                979105,                979105,,,                814733,                814733,                814733,                164372,                164372,,,                 36188,,                 63590,,                  5952,                105730,                 58642,,,                  7741,,                              0,                              0,                    725,                    329,,                 19556,                   -586,                -20024,,                  1699,                -13982,                 44660,,,                  5004,                 39656,                 39656,,,,,,                -17534,                 22122,,                 39907,                   -251,,                 21186,                    936,,                              0.16,,                              0.16,,,,,,,,                              0,                              0,                  5004,                -21368,,                 -3834
2478,2012年04月01日至2012年06月30日,,,,                966070,                966070,                966070,                966070,,,                811850,                811850,                811850,                154220,                154220,,,                 31051,,                 59406,,                  7695,                 98152,                 56068,,,                  4680,,,                 19138,                     16,                              0,,                              0,                    582,                 17518,,                  1724,                 20474,                 76542,,,                 24022,                 52520,                 52520,,,,,,                  3663,                 56183,,                 48513,                  4007,,                 53801,                  2382,,                              0.20,,                              0.20,                              0,                              0,,,,,,                  1022,                  1022,                 24022,                  4746,,                  1083
2478,2012年01月01日至2012年12月31日,,,,              3608054,              3608054,              3608054,              3608054,,,              3056524,              3056524,              3056524,                551530,                551530,,,                135827,,                227586,,                 30293,                393706,                157824,,,                 22071,,,                -26208,                  3982,                              0,,,                 -1882,                -28209,,                  7617,                -13755,                144069,,,                 33823,                110246,                110246,,,,,,                -65932,                 44314,,                102727,                  7519,,                 37021,                  7293,,                              0.41,,                              0.41,                  1121,,,,,,,                  1022,                  1022,                 33823,                -77476,                 -1913,                -13457
2478,2012年01月01日至2012年09月30日,,,,              2761975,              2761975,              2761975,              2761975,,,              2320627,              2320627,              2320627,                441348,                441348,,,                 99812,,                172442,,                 25255,                297509,                143839,,,                 17597,,                              0,                              0,                  1048,                    390,,                 21372,                   -704,                -23128,,                  5128,                -10659,                133180,,,                 28394,                104786,                104786,,,,,,                -63735,                 41051,,                 99028,                  5758,,                 35081,                  5970,,                              0.40,,                              0.39,,,,,,,,                  1022,                  1022,                 28394,                -76832,,                -13097
2478,2012年01月01日至2012年06月30日,,,,              1782870,              1782870,              1782870,              1782870,,,              1505894,              1505894,              1505894,                276976,                276976,,,                 63624,,                108852,,                 19303,                191779,                 85197,,,                  9856,,,                              0,                    323,                     61,,                  1816,                              0,                 -3104,,                  3429,                  3323,                 88520,,,                 23390,                 65130,                 65130,,,,,,                -46201,                 18929,,                 59121,                  6009,,                 13895,                  5034,,                              0.24,,                              0.24,                              0,                    118,,,,,,                  1022,                  1022,                 23390,                -55464,,                 -9263
2478,2012年01月01日至2012年03月31日,,,,                816800,                816800,                816800,                816800,,,                694044,                694044,                694044,                122756,                122756,,,                 32573,,                 49446,,                 11608,                 93627,                 29129,,,                  5176,,,                              0,                    307,                     61,,                 20954,,                -20622,,                  1705,                -17151,                 11978,,,                   -632,                 12610,                 12610,,,,,,                -49864,                -37254,,                 10608,                  2002,,                -39906,                  2652,,                              0.05,,                              0.04,                              0,                    700,,                    472,                    472,                  4704,,,,                   -632,                -60210,,                -10346
