證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
1608,2013年04月01日至2013年06月30日,,,              2931592,              2931592,,              3006140,                -74548,                -74548,,                 45891,               -120439,,,                 23102,,               -272744,,                  6276,,,               -255918,               -376357,,                -18491,               -357866,               -357866,,,,,,                153731,               -204135,,               -309944,                -47922,,               -153560,                -50575,,                             -0.71,,                             -0.71,                153731,,                              0
1608,2013年01月01日至2013年12月31日,,,             11043925,             11043925,,             11062840,                -18915,                -18915,,                227364,               -246279,,,                322398,,                385761,,                 23606,,                 16964,                701517,                455238,,                 10226,                445012,                445012,,,,,,                519090,                964102,,                415513,                 29499,,                929139,                 34963,,                              0.95,,                              0.95,                475470,                 43620,                              0
1608,2013年01月01日至2013年09月30日,,,              8286155,              8286155,,              8317565,                -31410,                -31410,,                155891,               -187301,,,                313524,,                 -9448,,                 17811,,                              0,                286265,                 98964,,                -15610,                114574,                114574,,,,,,                750361,                864935,,                 29448,                 85126,,                779431,                 85504,,                              0.07,,                              0.07,                750361,,                              0
1608,2013年01月01日至2013年06月30日,,,              5596901,              5596901,,              5638521,                -41620,                -41620,,                101439,               -143059,,,                 35684,,                -22983,,                 11835,,                              0,                    866,               -142193,,                -21740,               -120453,               -120453,,,,,,                238841,                118388,,                -86567,                -33886,,                151714,                -33326,,                             -0.20,,                             -0.20,                238841,,
1608,2013年01月01日至2013年03月31日,,,              2665309,              2665309,,              2632381,                 32928,                 32928,,                 55548,                -22620,,,                 12582,,                249761,,                  5559,,                              0,                256784,                234164,,                 -3249,                237413,                237413,,,,,,                 85110,                322523,,                223377,                 14036,,                305274,                 17249,,                              0.50,,                              0.50,                 85110,,
1608,2012年07月01日至2012年09月30日,,,              3653668,              3653668,,              3455920,                197748,                197748,,                 66845,                130903,,,                 92358,,                144916,,                  8770,,,                228504,                359407,,                 19652,                339755,                339755,,,,,,                371678,                711433,,                260562,                 79193,,                617196,                 94237,,                              0.54,,                              0.53,                371678,,                              0
1608,2012年04月01日至2012年06月30日,,,              3971411,              3971411,,              3913348,                 58063,                 58063,,                 61537,                 -3474,,,                 55492,,                -52148,,                 10071,,,                 -6727,                -10201,,                    539,                -10740,                -10740,,,,,,               -234095,               -244835,,                 25734,                -36474,,               -197188,                -47647,,                              0.05,,                              0.05,               -234095,,                              0
1608,2012年01月01日至2012年12月31日,,,             13885858,             13885858,,             13383554,                502304,                502304,,                256583,                245721,,,                170994,,                275170,,                 36568,,                              0,                409596,                655317,,                 39692,                615625,                615625,,,,,,                114703,                730328,,                565878,                 49747,,                699294,                 31034,,                              1.17,,                              1.17,                131901,                -17198,                              0
1608,2012年01月01日至2012年09月30日,,,             10917455,             10917455,,             10458550,                458905,                458905,,                195363,                263542,,,                157661,,                324189,,                 30023,,,                451827,                715369,,                 41627,                673742,                673742,,,,,,                809896,              1483638,,                560607,                113135,,              1353815,                129823,,                              1.14,,                              1.13,                809896,,                              0
1608,2012年01月01日至2012年06月30日,,,              7263787,              7263787,,              7002630,                261157,                261157,,                128518,                132639,,,                 65303,,                179273,,                 21253,,,                223323,                355962,,                 21975,                333987,                333987,,,,,,                438218,                772205,,                300045,                 33942,,                736619,                 35586,,                              0.60,,                              0.60,                438218,,                              0
1608,2012年01月01日至2012年03月31日,,,              3292376,              3292376,,              3089282,                203094,                203094,,                 66981,                136113,,,                  9811,,                231421,,                 11182,,,                230050,                366163,,                 21436,                344727,                344727,,,,,,                672313,              1017040,,                274311,                 70416,,                933807,                 83233,,                              0.55,,                              0.55,                672313,,
