證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
3059,2014年01月01日至2014年03月31日,,              3804257,,              3495524,                308733,                308733,,,                 23306,,                 50901,,                214314,                288521,                 20212,,,                 82412,,                 12958,,                  3383,,                -14217,                 77770,                 97982,,                 16188,                 81794,                 81794,,,                  7322,                  7322,,                167532,,                  5271,                 29376,                143427,                150749,                232543,,                 81696,                     98,,                232445,                     98,,                              0.22,                              0.22,,                              0.22,                              0.22,,,,,
3059,2013年第3季,,              6333611,,              5978809,                354802,                354802,,,                 25918,,                 49720,,                221458,                297096,                 57706,,,                 21618,,                  6584,,                  2779,,                -15648,                  9775,                 67481,,                  5778,                 61703,                 61703,,,,,,,,,,,                -96648,                -34945,,                 61262,                    441,,                -35386,                    441,,                              0.16,                              0.16,,                              0.16,                              0.16,               -119153,                              0,,                  2710,                -19795
3059,2013年第2季,,              4853531,,              4544228,                309303,                309303,,,                 31110,,                 54925,,                218701,                304736,                  4567,,,                 20575,,                  2692,,                  2612,,                 -8676,                 11979,                 16546,,                    513,                 16033,                 16033,,,,,,,,,,,                122403,                138436,,                 15765,                    268,,                138168,                    268,,                              0.04,                              0.04,,                              0.04,                              0.04,                145653,                              0,,                  1820,                 25070
3059,2013年度,,             19165825,,             18006989,              1158836,              1158836,,,                112037,,                202593,,                908046,              1222676,                -63840,,,                 85858,,               -336460,,                 10972,,                -42087,               -303661,               -367501,,                -36986,               -330515,               -330515,,,,,,,,,,,                368703,                 38188,,               -332012,                  1497,,                 36691,                  1497,,                             -0.88,                             -0.88,,                             -0.88,                             -0.88,                423312,                              0,,                 20908,                 75517
3059,2013年07月01日至2013年09月30日,,              6333611,,              5978809,                354802,                354802,,,                 25918,,                 49720,,                221458,                297096,                 57706,,,                 21618,,                  6584,,                  2779,,                -15648,                  9775,                 67481,,                  5778,                 61703,                 61703,,,,,,,,,,,                -96648,                -34945,,                 61262,                    441,,                -35386,                    441,,                              0.16,                              0.16,,                              0.16,                              0.16,               -119153,,,                  2710,                -19795
3059,2013年04月01日至2013年06月30日,,              4853531,,              4544228,                309303,                309303,,,                 31110,,                 54925,,                218701,                304736,                  4567,,,                 20575,,                  2692,,                  2612,,                 -8676,                 11979,                 16546,,                    513,                 16033,                 16033,,,,,,,,,,,                122403,                138436,,                 15765,                    268,,                138168,                    268,,                              0.04,                              0.04,,                              0.04,                              0.04,                145653,,,                  1820,                 25070
3059,2013年01月01日至2013年12月31日,,             19165825,,             18006989,              1158836,              1158836,,,                112037,,                202593,,                908046,              1222676,                -63840,,,                 85858,,               -336460,,                 10972,,                -42087,               -303661,               -367501,,                -36986,               -330515,               -330515,,,,,,,,,,,                368703,                 38188,,               -332012,                  1497,,                 36691,                  1497,,                             -0.88,                             -0.88,,                             -0.88,                             -0.88,                423312,                              0,,                 20908,                 75517
3059,2013年01月01日至2013年09月30日,,             15201446,,             14271291,                930155,                930155,,,                 86136,,                157077,,                685085,                928298,                  1857,,,                 64349,,                 12849,,                  7946,,                -32812,                 36440,                 38297,,                  6291,                 32006,                 32006,,,,,,,,,,,                261692,                293698,,                 30770,                  1236,,                292462,                  1236,,                              0.08,                              0.08,,                              0.08,                              0.08,                299707,                              0,,                 15584,                 53599
3059,2013年01月01日至2013年06月30日,,              8867835,,              8292482,                575353,                575353,,,                 60218,,                107357,,                463627,                631202,                -55849,,,                 42731,,                  6265,,                  5167,,                -17164,                 26665,                -29184,,                    513,                -29697,                -29697,,,,,,,,,,,                358340,                328643,,                -30492,                    795,,                327848,                    795,,                             -0.08,                             -0.08,,                             -0.08,                             -0.08,                418860,                              0,,                 12874,                 73394
3059,2013年01月01日至2013年03月31日,,              4014304,,              3748254,                266050,                266050,,,                 29108,,                 52432,,                244926,                326466,                -60416,,,                 22156,,                  3573,,                  2555,,                 -8488,                 14686,                -45730,,                              0,                -45730,                -45730,,,,,,,,,,,                235937,                190207,,                -46257,                    527,,                189680,                    527,,                             -0.12,                             -0.12,,                             -0.12,                             -0.12,                273207,                              0,,                 11054,                 48324
3059,2012年07月01日至2012年09月30日,,              6209543,,              5754939,                454604,                454604,,,                 27561,,                 69200,,                302189,                398950,                 55654,,,                 39290,,                  8335,,                    434,,                 -7082,                 40109,                 95763,,                 11685,                 84078,                 84078,,,,,,,,,,,               -179240,                -95162,,                 84078,                              0,,                -95162,                              0,,                              0.22,                              0.22,,                              0.22,                              0.22,               -207258,,,                 -8694,                -36712
3059,2012年04月01日至2012年06月30日,,              7092931,,              6580844,                512087,                512087,,,                 29556,,                 76086,,                313227,                418869,                 93218,,,                 44653,,                 11195,,                              0,,                 -7756,                 48092,                141310,,                 31134,                110176,                110176,,,,,,,,,,,                 81462,                191638,,                110176,                              0,,                191638,                              0,,                              0.29,                              0.29,,                              0.29,                              0.29,                 95380,,,                  2767,                 16685
3059,2012年01月01日至2012年12月31日,,             24575459,,             22808808,              1766651,              1766651,,,                115194,,                270693,,              1197213,              1583100,                183551,,,                154909,,                 28370,,                  1762,,                -35708,                145809,                329360,,                 49257,                280103,                280103,,,,,,,,,,,               -343283,                -63180,,                280103,                              0,,                -63180,                              0,,                              0.75,                              0.75,,                              0.74,                              0.74,               -393952,                 -2484,,                -16649,                -69802
3059,2012年01月01日至2012年09月30日,,             19630710,,             18220272,              1410438,              1410438,,,                 90174,,                215060,,                935411,              1240645,                169793,,,                125518,,                 26840,,                    434,,                -18128,                133796,                303589,,                 46703,                256886,                256886,,,,,,,,,,,               -310381,                -53495,,                256886,                              0,,                -53495,                              0,,                              0.68,                              0.68,,                              0.68,                              0.68,               -357115,,,                -16838,                -63572
3059,2012年01月01日至2012年06月30日,,             13421167,,             12465333,                955834,                955834,,,                 62613,,                145860,,                633222,                841695,                114139,,,                 86228,,                 18505,,                              0,,                -11046,                 93687,                207826,,                 35018,                172808,                172808,,,,,,,,,,,               -131141,                 41667,,                172808,                              0,,                 41667,                              0,,                              0.46,                              0.46,,                              0.46,                              0.46,               -149857,,,                 -8144,                -26860
3059,2012年01月01日至2012年03月31日,,              6328236,,              5884489,                443747,                443747,,,                 33057,,                 69774,,                319995,                422826,                 20921,,,                 41575,,                  7310,,                              0,,                 -3290,                 45595,                 66516,,                  3884,                 62632,                 62632,,,,,,,,,,,               -212603,               -149971,,                 62632,                              0,,               -149971,                              0,,                              0.17,                              0.17,,                              0.16,                              0.16,               -245237,,,                -10911,                -43545
