證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營建工程收入,　　　 工程收入,　　　　 工程收入淨額,　　　 營建工程收入合計,　　 勞務收入,　　　 技術服務收入,　　　　 技術服務收入淨額,　　　 勞務收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營建工程成本,　　　 工程成本,　　　 營建工程成本合計,　　 勞務成本,　　　 技術服務費用,　　　 勞務成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之現金流量避險中屬有效避險部分之避險工具利益(損失),　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－備供出售金融商品未實現損益,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　　 銷貨收入,　　　　 銷貨收入合計
1535,2013年07月01日至2013年09月30日,,,                 69000,,,              2492695,              2492695,,,                 49089,                 49089,              2610784,,,                 51894,,              2325819,              2325819,,                 33875,                 33875,              2411588,                199196,                199196,,,                      7,,                 94089,,                  3985,                 98081,                101115,,,                 23784,,                  2417,,                    668,,                 45734,                 71267,                172382,,                 30330,                142052,                142052,,,,,,,,,,,                 17242,                159294,,                142052,                              0,,                159294,                              0,,                              1.18,                              1.18,,                              1.18,                              1.18,                -10425,                 24446,                    154,,,                  3284,                  3284,                    217,,                 69000
1535,2013年04月01日至2013年06月30日,,,                 67708,,,              2292907,              2292907,,,                 48332,                 48332,              2408947,,,                 52481,,              2094976,              2094976,,                 38764,                 38764,              2186221,                222726,                222726,,,                 13259,,                 85957,,                  4478,                103694,                119032,,,                 13167,,                 -3571,,                  1304,,                 46232,                 54524,                173556,,                 29787,                143769,                143769,,,,,,,,,,,                -17826,                125943,,                143769,                              0,,                125943,                              0,,                              1.20,                              1.20,,                              1.19,                              1.19,                  1457,                 -7693,                -10058,,,                 -3240,                 -3240,                 -1708,,
1535,2013年01月01日至2013年12月31日,,,                251465,,,              9815851,              9815851,,,                193393,                193393,             10260709,,,                184098,,              8950510,              8950510,,                147206,                147206,              9281814,                978895,                978895,,,                 34260,,                390538,,                 18736,                443534,                535361,,,                 77455,,                 13740,,                  6352,,                128385,                213228,                748589,,                133786,                614803,                614803,,,,,,,,,,,                 17100,                631903,,                614803,                              0,,                631903,                              0,,,                              5.06,,,                              4.87,                 23314,                 27103,                -21447,                -15397,,                    171,                    171,                 -3356,,
1535,2013年01月01日至2013年09月30日,,,                234719,,,              7367666,              7367666,,,                143283,                143283,              7745668,,,                170897,,              6745269,              6745269,,                110395,                110395,              7026561,                719107,                719107,,,                 24410,,                285508,,                 13504,                323422,                395685,,,                 46853,,                 10617,,                  6335,,                118171,                169306,                564991,,                102092,                462899,                462899,,,,,,,,,,,                 17246,                480145,,                462899,                              0,,                480145,                              0,,                              3.87,                              3.87,,                              3.79,                              3.79,                  5923,                 29407,                -16612,,,                 -1888,                 -1888,                   -416,,                234719
1535,2013年01月01日至2013年06月30日,,,                165719,,,              4874971,              4874971,,,                 94194,                 94194,              5134884,,,                119003,,              4419450,              4419450,,                 76520,                 76520,              4614973,                519911,                519911,,,                 24403,,                191419,,                  9519,                225341,                294570,,,                 23069,,                  8200,,                  5667,,                 72437,                 98039,                392609,,                 71762,                320847,                320847,,,,,,,,,,,                      4,                320851,,                320847,                              0,,                320851,                              0,,                              2.72,                              2.72,,                              2.70,                              2.70,                 16348,                  4961,                -16766,,,                 -5172,                 -5172,                   -633,,
1535,2013年01月01日至2013年03月31日,,,                 98011,,,              2582064,              2582064,,,                 45862,                 45862,              2725937,,,                 66522,,              2324474,              2324474,,                 37756,                 37756,              2428752,                297185,                297185,,,                 11144,,                105462,,                  5041,                121647,                175538,,,                  9902,,                 11771,,                  4363,,                 26205,                 43515,                219053,,                 41975,                177078,                177078,,,,,,,,,,,                 17830,                194908,,                177078,                              0,,                194908,                              0,,                              1.52,                              1.52,,                              1.47,                              1.47,                 14891,                 12654,                 -6708,,,                 -1932,                 -1932,                  1075,,
1535,2012年07月01日至2012年09月30日,,,                 16580,,,              2536878,              2536878,,,                 45332,                 45332,              2598790,,,                 14397,,              2288249,              2288249,,                 41792,                 41792,              2344438,                254352,                254352,,,                 19969,,                 92355,,                  4365,                116689,                137663,,,                 12998,,                   -847,,                  6796,,                 36134,                 41489,                179152,,                 25524,                153628,                153628,,,,,,,,,,,                  1221,                154849,,                153628,                              0,,                154849,                              0,,                              1.35,                              1.35,,                              1.31,                              1.31,                 -6463,                  7687,                  2040,,,                 -1696,                 -1696,                    347,,                 16580
1535,2012年04月01日至2012年06月30日,,,                 14753,,,              2182724,              2182724,,,                 48093,                 48093,              2245570,,,                 12896,,              1973192,              1973192,,                 28042,                 28042,              2014130,                231440,                231440,,,                  9531,,                 79310,,                  3395,                 92236,                139204,,,                  8616,,                  5102,,                  3317,,                 38807,                 49208,                188412,,                 39011,                149401,                149401,,,,,,,,,,,                -13770,                135631,,                149401,                              0,,                135631,                              0,,                              1.32,                              1.32,,                              1.26,                              1.26,                    598,                 -9177,                   -163,,,                 -5056,                 -5056,                    -28,,
1535,2012年01月01日至2012年12月31日,,,                287302,,,              9408557,              9408557,,,                189721,                189721,              9885580,,,                235250,,              8576315,              8576315,,                151194,                151194,              8962759,                922821,                922821,,,                 48114,,                359368,,                 17799,                425281,                497540,,,                 38228,,                    659,,                 15378,,                152809,                176318,                673858,,                122229,                551629,                551629,,,,,,,,,,,                -50832,                500797,,                551629,                              0,,                500797,                              0,,,                              4.84,,,                              4.68,                -12033,                 -2401,                -11200,                -21847,,                 -5132,                 -5132,                 -1781,,
1535,2012年01月01日至2012年09月30日,,,                 42704,,,              6820675,              6820675,,,                140739,                140739,              7004118,,,                 37460,,              6145669,              6145669,,                110637,                110637,              6293766,                710352,                710352,,,                 36712,,                245485,,                 12764,                294961,                415391,,,                 25014,,                  5011,,                 11613,,                122292,                140704,                556095,,                 89255,                466840,                466840,,,,,,,,,,,                 -8438,                458402,,                466840,                              0,,                458402,                              0,,                              4.10,                              4.10,,                              3.94,                              3.94,                 -8926,                  3536,                   -405,,,                 -2712,                 -2712,                    -69,,                 42704
1535,2012年01月01日至2012年06月30日,,,                 26124,,,              4283797,              4283797,,,                 95407,                 95407,              4405328,,,                 23063,,              3857420,              3857420,,                 68845,                 68845,              3949328,                456000,                456000,,,                 16743,,                153130,,                  8399,                178272,                277728,,,                 12016,,                  5858,,                  4817,,                 86158,                 99215,                376943,,                 63731,                313212,                313212,,,,,,,,,,,                 -9659,                303553,,                313212,                              0,,                303553,                              0,,                              2.77,                              2.77,,                              2.63,                              2.63,                 -2463,                 -4151,                 -2445,,,                 -1016,                 -1016,                   -416,,
1535,2012年01月01日至2012年03月31日,,,                 11371,,,              2101073,              2101073,,,                 47314,                 47314,              2159758,,,                 10167,,              1884228,              1884228,,                 40803,                 40803,              1935198,                224560,                224560,,,                  7212,,                 73820,,                  5004,                 86036,                138524,,,                  3400,,                    756,,                  1500,,                 47351,                 50007,                188531,,                 24720,                163811,                163811,,,,,,,,,,,                  4111,                167922,,                163811,                              0,,                167922,                              0,,                              1.45,                              1.45,,                              1.40,                              1.40,                 -3061,                  5026,                 -2282,,,                  4040,                  4040,                   -388,,
