證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 其他營業收入,　　　 其他營業收入淨額,　　 銷貨成本,　　　 銷貨成本合計,　　 其他綜合損益,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）
1737,2014年01月01日至2014年03月31日,,                628615,,                410310,                218305,                218305,,,                124393,,                 39467,,                 12645,                176505,                 41800,,,                 15892,,                 29342,,                      3,,,                 45231,                 87031,,                 10282,                 76749,                 76749,,,                     30,                  1758,                  1788,                  1788,                 78537,,                 76749,,                 78537,,                              0.38,,                              0.38,,,,,,,,,,,,,,,
1737,2013年第3季,,                617681,,                411286,                206395,                206395,,,                126255,,                 37574,,                 13565,                177394,                 29001,,,                 15703,,                -16518,,                      3,,,                   -818,                 28183,,                  2969,                 25214,                 25214,,,,,,                   -573,                 24641,,                 25214,,                 24641,,                              0.09,,                              0.09,                    -85,                   -488,,,,,,,,,,,,,
1737,2013年第2季,,                613176,,                391558,                221618,                221618,,,                142052,,                 38375,,                 15638,                196065,                 25553,,,                 19536,,                -33048,,                      2,,,                -13514,                 12039,,                  1986,                 10053,                 10053,,,,,,                 -3173,                  6880,,                 10053,,                  6880,,                              0.04,,                              0.04,                     86,                 -3259,,,,,,,,,,,,,
1737,2013年度,,              2408819,,              1581837,                826982,                826982,,,                506695,,                152710,,                 64883,                724288,                102694,,,                 73712,,                -32859,,                     10,,,                 40843,                143537,,                 17583,                125954,                125954,,,,,,                -26152,                 99802,,                125954,,                 99802,,                              0.46,,                              0.46,                    469,                -27903,                  1544,                    262,,,,,,,,,,,
1737,2013年07月01日至2013年09月30日,,                617681,,                411286,                206395,                206395,,,                126255,,                 37574,,                 13565,                177394,                 28370,,,                 15703,,                -15357,,                    533,,,                   -187,                 28183,,                  2969,                 25214,                 25214,,,,,,                   -573,                 24641,,                 25214,,                 24641,,                              0.09,,                              0.09,                    -85,                   -488,,,,                   -631,,                616465,,                  1216,,                411286,,                              0.09,                              0.09
1737,2013年04月01日至2013年06月30日,,                613176,,                391558,                221618,                221618,,,                142052,,                 38375,,                 15638,                196065,                 24183,,,                 19536,,                -30971,,                    709,,,                -12144,                 12039,,                  1986,                 10053,                 10053,,,,,,                 -3173,                  6880,,                 10053,,                  6880,,                              0.04,,                              0.04,                     86,                 -3259,,,,                 -1370,,                611628,,                  1548,,                391558,,                              0.04,                              0.04
1737,2013年01月01日至2013年12月31日,,              2408819,,              1581837,                826982,                826982,,,                506695,,                152710,,                 64883,                724288,                 99291,,,                 73712,,                -25899,,                  3567,,,                 44246,                143537,,                 17583,                125954,                125954,,,,,,                -26152,                 99802,,                125954,,                 99802,,                              0.46,,                              0.46,                    469,                -27903,                  1544,,,                 -3403,,              2404782,,                  4037,,              1581837,                   -262,                              0.46,                              0.46
1737,2013年01月01日至2013年09月30日,,              1793426,,              1170284,                623142,                623142,,,                382489,,                113389,,                 45675,                541553,                 81589,,,                 52849,,                -43545,,                      8,,,                  9296,                 90885,,                 13507,                 77378,                 77378,,,,,,                 -5585,                 71793,,                 77378,,                 71793,,                              0.28,,                              0.28,                    315,                 -5900,,,,,,,,,,,,,
1737,2013年01月01日至2013年06月30日,,              1175745,,                758998,                416747,                416747,,,                256234,,                 75815,,                 32110,                364159,                 52588,,,                 37146,,                -27027,,                      5,,,                 10114,                 62702,,                 10538,                 52164,                 52164,,,,,,                 -5012,                 47152,,                 52164,,                 47152,,                              0.19,,                              0.19,                    400,                 -5412,,,,,,,,,,,,,
1737,2013年01月01日至2013年03月31日,,                562569,,                367440,                195129,                195129,,,                114182,,                 37440,,                 16472,                168094,                 26007,,,                 17610,,                  7049,,                      3,,,                 24656,                 50663,,                  8552,                 42111,                 42111,,,,,,                 -1839,                 40272,,                 42111,,                 40272,,                              0.15,,                              0.15,                    314,                 -2153,,,,                 -1028,,,,,,,,,
1737,2012年07月01日至2012年09月30日,,                558011,,                375553,                182458,                182458,,,                116760,,                 42110,,                 14345,                173215,                  8506,,,                 14193,,                 -9873,,                    654,,,                  3666,                 12172,,                  1457,                 10715,                 10715,,,,,,                 20537,                 31252,,                 10715,,                 31252,,                              0.04,,                              0.04,                   -167,                 20704,,,,                   -737,,                557925,,                     86,,                375553,,                              0.04,                              0.04
1737,2012年04月01日至2012年06月30日,,                616484,,                399736,                216748,                216748,,,                137235,,                 42564,,                 15791,                195590,                 18709,,,                 15055,,                -12771,,                  1041,,,                  1243,                 19952,,                 -5259,                 25211,                 25211,,,,,,                -11860,                 13351,,                 25211,,                 13351,,                              0.09,,                              0.09,                     64,                -11924,,,,                 -2449,,                616388,,                     96,,                399736,,                              0.09,                              0.09
1737,2012年01月01日至2012年12月31日,,              2296322,,              1524512,                771810,                771810,,,                502761,,                156165,,                 60662,                719588,                 44666,,,                 62368,,                -23767,,                  3668,,,                 34933,                 79599,,                    340,                 79259,                 79259,,,,,,                 -1280,                 77979,,                 79259,,                 77979,,                              0.29,,                              0.28,                   -357,                  8248,                -11049,,,                 -7556,,              2294853,,                  1469,,              1524512,                  1878,                              0.29,                              0.28
1737,2012年01月01日至2012年09月30日,,              1710258,,              1143108,                567150,                567150,,,                367831,,                120911,,                 43583,                532325,                 31694,,,                 44293,,                -22996,,                  3006,,,                 18291,                 49985,,                 -2115,                 52100,                 52100,,,,,,                 30899,                 82999,,                 52100,,                 82999,,                              0.19,,                              0.19,                   -357,                 31256,,,,                 -3131,,              1709560,,                    698,,              1143108,,                              0.19,                              0.19
1737,2012年01月01日至2012年06月30日,,              1152247,,                767555,                384692,                384692,,,                251071,,                 78801,,                 29238,                359110,                 23188,,,                 30100,,                -13123,,                  2352,,,                 14625,                 37813,,                 -3572,                 41385,                 41385,,,,,,                 10362,                 51747,,                 41385,,                 51747,,                              0.15,,                              0.15,                   -190,                 10552,,,,                 -2394,,              1151635,,                    612,,                767555,,                              0.15,                              0.15
1737,2012年01月01日至2012年03月31日,,                535763,,                367819,                167944,                167944,,,                113836,,                 36237,,                 13447,                163520,                  4479,,,                 15045,,                   -352,,                  1311,,,                 13382,                 17861,,                  1687,                 16174,                 16174,,,,,,                 22222,                 38396,,                 16174,,                 38396,,                              0.06,,                              0.06,                   -254,                 22476,,,,                     55,,                535247,,                    516,,                367819,,                              0.06,                              0.06
