證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 停業單位損益,　　 停業單位損益合計,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 銷貨成本
2302,2014年01月01日至2014年03月31日,,,,,                169528,                169528,,,                141270,                141270,                 28258,                 28258,,,                  3541,,                 41599,,                    458,                 45598,                -17340,,,                     48,,                 -1458,,                    695,                 -2105,                -19445,,                    -49,                -19396,                -19396,,,                 10187,,                              0,                 10187,                 10187,                 -9209,,                -19396,,                 -9209,,                             -0.12,,,,                              0,                              0,                              0,                              0,                              0,,,,,,,
2302,2013年第3季,,,,                169645,                169645,                169645,,,                145875,                145875,                 23770,                 23770,,,                  3955,,                 39850,,                    366,                 44171,                -20401,,,                  2751,,                    856,,                    649,                  2958,                -17443,,                   -486,                -16957,                -16957,,,,,,,                 -5722,                -22679,,                -16957,,                -22679,,                             -0.11,,,,                              0,,,                              0,                              0,,,                 -5722,,,                              0,                145875
2302,2013年第2季,,,,                163812,                163812,                163812,,,                129937,                129937,                 33875,                 33875,,,                  3793,,                 32489,,                    365,                 36647,                 -2772,,,                  7666,,                 13464,,                    630,                 20500,                 17728,,                    -91,                 17819,                 17819,,,,,,,                  8808,                 26627,,                 17819,,                 26627,,                              0.11,,,,,,,                              0,                              0,,,                  8808,,,,
2302,2013年度,,,,                624596,                624596,                624596,,,                536164,                536164,                 88432,                 88432,,,                 15469,,                161045,,                  1533,                178047,                -17099,,,                 16814,,                 30768,,                  2523,                 45059,                 27960,,                  2201,                 25759,                 25759,,,,,,,                 31415,                 57174,,                 25759,,                 57174,,                              0.16,,,,,,,                              0,                              0,,                 72516,                 30630,                              0,                    785,                              0,
2302,2013年07月01日至2013年09月30日,,,,,,                169645,,,,                145875,                 23770,                 23770,,,                  3955,,                 39850,,                    366,                 44171,                -20401,,,                  2751,,                    856,,                    649,                  2958,                -17443,,                   -486,                -16957,                -16957,,,,,,,                 -5722,                -22679,,                -16957,,                -22679,,                             -0.11,,,,,                              0,                              0,,,,                              0,                 -5722,,,                              0,
2302,2013年04月01日至2013年06月30日,,,,                163812,                163812,                163812,,,                129937,                129937,                 33875,                 33875,,,                  3793,,                 32489,,                    365,                 36647,                 -2772,,,                  7666,,                 13464,,                    630,                 20500,                 17728,,                    -91,                 17819,                 17819,,,,,,,                  8808,                 26627,,                 17819,,                 26627,,                              0.11,,,,,,,                              0,                              0,,,                  8808,,,,
2302,2013年01月01日至2013年12月31日,,,,                624596,                624596,                624596,,,                536164,                536164,                 88432,                 88432,,,                 15469,,                161045,,                  1533,                178047,                -17099,,,                 16814,,                 30768,,                  2523,                 45059,                 27960,,                  2201,                 25759,                 25759,,,,,,,                 31415,                 57174,,                 25759,,                 57174,,                              0.16,,,,,,,,,,                 72516,                 30630,,                    785,                              0,
2302,2013年01月01日至2013年09月30日,,,,                474172,                474172,                474172,,,                385290,                385290,                 88882,                 88882,,,                 11004,,                112583,,                  1150,                124737,                -35855,,,                 10900,,                 11672,,                  1838,                 20734,                -15121,,                    203,                -15324,                -15324,,,,,,,                 23739,                  8415,,                -15324,,                  8415,,                             -0.10,,,,                              0,,,                              0,                              0,,,                 23739,,,                              0,                385290
2302,2013年01月01日至2013年06月30日,,,,                304527,                304527,                304527,,,                239415,                239415,                 65112,                 65112,,,                  7049,,                 72733,,                    784,                 80566,                -15454,,,                  8149,,                 10816,,                  1189,                 17776,                  2322,,                    689,                  1633,                  1633,,,,,,,                 29461,                 31094,,                  1633,,                 31094,,                              0.01,,,,,,,                              0,                              0,,,                 29461,,,,
2302,2013年01月01日至2013年03月31日,,,,,                140715,                140715,,,                109478,                109478,                 31237,                 31237,,,                  3255,,                 40244,,                    419,                 43918,                -12681,,,                    483,,                 -2649,,                    559,                 -2725,                -15406,,                    780,                -16186,                -16186,,,,,,,                 20653,                  4467,,                -16186,,                  4467,,                             -0.10,,,,                              0,                              0,                              0,                              0,                              0,,,                 20653,,,,
2302,2012年07月01日至2012年09月30日,,,,,,                201374,,,,                188953,                 12421,                 12421,,,                  5860,,                 30437,,                    475,                 36772,                -24351,,,                 -3233,,                  8730,,                    160,                  5337,                -19014,,                    467,                -19481,                -19481,,,,,,,                -17161,                -36642,,                -19481,,                -36642,,                             -0.12,,,,,                              0,                              0,,,,                              0,                -17161,,,                              0,
2302,2012年04月01日至2012年06月30日,,,,                154281,                154281,                154281,,,                123871,                123871,                 30410,                 30410,,,                  4948,,                 41542,,                    462,                 46952,                -16542,,,                   -108,,                     40,,                    122,                   -190,                -16732,,                  3470,                -20202,                -20202,,,,,,,                 11426,                 -8776,,                -20202,,                 -8776,,                             -0.13,,,,,,,                              0,                              0,,,                 11426,,,,
2302,2012年01月01日至2012年12月31日,,,,                583020,                583020,                583020,,,                520687,                520687,                 62333,                 62333,,,                 14977,,                140989,,                  2107,                158073,                -95740,,,                -81725,,                 15770,,                    776,                -66731,               -162471,,                  9956,               -172427,               -172427,,,,,,,                -34426,               -206853,,               -172427,,               -206853,,                             -1.08,,,,,,,,,,                              0,                -32996,,                 -1430,                              0,
2302,2012年01月01日至2012年09月30日,,,,,,                494146,,,,                433845,                 60301,                 60301,,,                 15050,,                112920,,                  1686,                129656,                -69355,,,                   -367,,                 25341,,                    380,                 24594,                -44761,,                  4370,                -49131,                -49131,,,,,,,                -23902,                -73033,,                -49131,,                -73033,,                             -0.31,,,,,                              0,                              0,,,,                              0,                -23902,,,                              0,
2302,2012年01月01日至2012年06月30日,,,,                292772,                292772,                292772,,,                244892,                244892,                 47880,                 47880,,,                  9190,,                 82483,,                  1211,                 92884,                -45004,,,                  2866,,                 16611,,                    220,                 19257,                -25747,,                  3903,                -29650,                -29650,,,,,,,                 -6741,                -36391,,                -29650,,                -36391,,                             -0.19,,,,,,,                              0,                              0,,,                 -6741,,,,
2302,2012年01月01日至2012年03月31日,,,,                138491,                138491,                138491,,,                121021,                121021,                 17470,                 17470,,,                  4242,,                 40941,,                    749,                 45932,                -28462,,,                  2974,,                 16571,,                     98,                 19447,                 -9015,,                    433,                 -9448,                 -9448,,,,,,,                -18167,                -27615,,                 -9448,,                -27615,,                             -0.06,,,,,                              0,                              0,                              0,                              0,,,                -18167,,,,
