證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　 停業單位損益,　　 停業單位損益合計,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）
9911,2014年01月01日至2014年03月31日,,              1210838,,                859115,                351723,                351723,,,                155753,,                 57285,,                 16520,                229558,                122165,,,                  9137,,                  5497,,                    787,,                -10651,                  3196,                125361,,                 19791,                105570,                105570,,,                 -3797,                 -7476,,                 14876,                  1883,                  1720,                  1720,                107290,,                105570,,                107290,,                              0.39,,                              0.39,,,,,,,,,,
9911,2013年第3季,,              1028593,,                707962,                320631,                320631,,,                146002,,                 55738,,                 16809,                218549,                102082,,,                 15042,,                 -6083,,                    832,,                  7731,                 15858,                117940,,                 17993,                 99947,                 99947,,,,,,,,,                -14087,                 85860,,                 99947,,                 85860,,                              0.37,,                              0.36,                 -5485,                    373,,,                -11937,                 -2962,,,,
9911,2013年第2季,,                940929,,                659356,                281573,                281573,,,                167930,,                 49242,,                 15766,                232938,                 48635,,,                  8865,,                 42760,,                  1130,,                  9722,                 60217,                108852,,                 27626,                 81226,                 81226,,,,,,,,,                 21150,                102376,,                 81226,,                102376,,                              0.29,,                              0.29,                  8584,                  8021,,,                  7234,                  2689,,,,
9911,2013年度,,              4485422,,              3114390,              1371032,              1371032,,,                674969,,                258554,,                 66073,                999596,                371436,,,                 40843,,                 89768,,                  4412,,                 71958,                198157,                569593,,                 91851,                477742,                477742,,,,,,,,,                 87189,                564931,,                477742,,                564931,,                              1.75,,                              1.74,                 24141,                 26362,                    926,,                 48257,                 12497,,,,
9911,2013年07月01日至2013年09月30日,,              1028593,,                707962,                320631,                320631,,,                146002,,                 55738,,                 16809,                218549,                102082,,,                 15042,,                 -6083,,                    832,,                  7731,                 15858,                117940,,                 17993,                 99947,                 99947,,,,,,,,,                -14087,                 85860,,                 99947,,                 85860,,                              0.37,,                              0.36,                 -5485,                    373,,,                -11937,                 -2962,,,,
9911,2013年04月01日至2013年06月30日,,                940929,,                659356,                281573,                281573,,,                167930,,                 49242,,                 15766,                232938,                 48635,,,                  8865,,                 42760,,                  1130,,                  9722,                 60217,                108852,,                 27626,                 81226,                 81226,,,,,,,,,                 21150,                102376,,                 81226,,                102376,,                              0.29,,                              0.29,                  8584,                  8021,,,                  7234,                  2689,,                              0,                              0,                              0
9911,2013年01月01日至2013年12月31日,,              4485422,,              3114390,              1371032,              1371032,,,                674969,,                258554,,                 66073,                999596,                371436,,,                 40843,,                 89768,,                  4412,,                 71958,                198157,                569593,,                 91851,                477742,                477742,,,,,,,,,                 87189,                564931,,                477742,,                564931,,                              1.75,,                              1.74,                 24141,                 26362,                    926,,                 48257,                 12497,,,,
9911,2013年01月01日至2013年09月30日,,              3014743,,              2092356,                922387,                922387,,,                465365,,                167542,,                 48612,                681519,                240868,,,                 34505,,                 41803,,                  3039,,                 12603,                 85872,                326740,,                 61892,                264848,                264848,,,,,,,,,                 34575,                299423,,                264848,,                299423,,                              0.97,,                              0.97,                 14950,                  9664,,,                 15063,                  5102,,,,
9911,2013年01月01日至2013年06月30日,,              1986150,,              1384394,                601756,                601756,,,                319363,,                111804,,                 31803,                462970,                138786,,,                 19463,,                 47886,,                  2207,,                  4872,                 70014,                208800,,                 43899,                164901,                164901,,,,,,,,,                 48662,                213563,,                164901,,                213563,,                              0.60,,                              0.60,                 20435,                  9291,,,                 27000,                  8064,,                              0,                              0,                              0
9911,2013年01月01日至2013年03月31日,,              1045221,,                725038,                320183,                320183,,,                151433,,                 62562,,                 16037,                230032,                 90151,,,                 10598,,                  5126,,                  1077,,                 -4850,                  9797,                 99948,,                 16273,                 83675,                 83675,,,,,,,,,                 27512,                111187,,                 83675,,                111187,,                              0.31,,                              0.31,                 11851,                  1270,,,                 19766,                  5375,,,,
9911,2012年07月01日至2012年09月30日,,                885632,,                630145,                255487,                255487,,,                141351,,                 45650,,                 15852,                202853,                 52634,,,                 10972,,                 -7366,,                  2211,,                 17003,                 18398,                 71032,,                  7817,                 63215,                 63215,,,,,,,,,                 -5036,                 58179,,                 63215,,                 58179,,                              0.23,,                              0.23,                 -5253,                 10950,,,                -14007,                 -3274,,,,
9911,2012年04月01日至2012年06月30日,,                866617,,                623805,                242812,                242812,,,                143823,,                 50192,,                 15897,                209912,                 32900,,,                 12929,,                   -186,,                  1921,,                 42624,                 53446,                 86346,,                 17034,                 69312,                 69312,,,,,,,,,                    608,                 69920,,                 69312,,                 69920,,                              0.25,,                              0.25,                 -1983,                 -9090,,,                 13667,                  1986,,                              0,                              0,                              0
9911,2012年01月01日至2012年12月31日,,              4073604,,              2859524,              1214080,              1214080,,,                638660,,                223852,,                 65530,                928042,                286038,,,                 35082,,                    303,,                  7103,,                 22856,                 51138,                337176,,                 57985,                279191,                279191,,,,,,,,,                -66193,                212998,,                279191,,                212998,,                              1.02,,                              1.02,                -18216,                   -195,                -29936,,                -31364,                -13518,,,,
9911,2012年01月01日至2012年09月30日,,              2795027,,              1979429,                815598,                815598,,,                432396,,                154001,,                 47639,                634036,                181562,,,                 31417,,                 -3873,,                  5690,,                 12256,                 34110,                215672,,                 39127,                176545,                176545,,,,,,,,,                -37069,                139476,,                176545,,                139476,,                              0.65,,                              0.64,                -20961,                  1668,,,                -25710,                 -7934,,,,
9911,2012年01月01日至2012年06月30日,,              1909395,,              1349284,                560111,                560111,,,                291045,,                108351,,                 31787,                431183,                128928,,,                 20445,,                  3493,,                  3479,,                 -4747,                 15712,                144640,,                 31310,                113330,                113330,,,,,,,,,                -32033,                 81297,,                113330,,                 81297,,                              0.41,,                              0.41,                -15708,                 -9282,,,                -11703,                 -4660,,                              0,                              0,                              0
9911,2012年01月01日至2012年03月31日,,              1042778,,                725479,                317299,                317299,,,                147222,,                 58159,,                 15890,                221271,                 96028,,,                  7516,,                  3679,,                  1558,,                -47371,                -37734,                 58294,,                 14276,                 44018,                 44018,,,,,,,,,                -32641,                 11377,,                 44018,,                 11377,,                              0.16,,                              0.16,                -13725,                   -192,,,                -25370,                 -6646,,,                              0,                              0
