證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）,　　 銷貨成本,　　　 銷貨成本合計
2497,2014年01月01日至2014年03月31日,,                952351,,                636372,                315979,                315979,,,                 42984,,                 46596,,                 53209,                142789,                173190,,,                  8802,,                  5744,,                    714,,                   -864,                 12968,                186158,,                 44351,                141807,                141807,,,                    548,                              0,                     93,                    455,                    455,                142262,,                141807,,                142262,,                              1.19,,                              1.19,,                952351,,,,,,,,
2497,2013年第3季,,                973559,,                698697,                274862,                274862,,,                 37668,,                 45169,,                 48191,                131028,                143834,,,                 13478,,                  1882,,                    741,,                 -1631,                 12988,                156822,,                 32284,                124538,                124538,,,,,,,                 -5605,                118933,,                124538,,                118933,,                              1.05,,                              1.05,,,                 -6753,,,                 -1148,,,,
2497,2013年第2季,,                795146,,                567389,                227757,                227757,,,                 56186,,                 44276,,                 45919,                146381,                 81376,,,                  1548,,                  6053,,                    705,,                 -1209,                  5687,                 87063,,                 22429,                 64634,                 64634,,,,,,,                    187,                 64821,,                 64634,,                 64821,,                              0.54,,                              0.54,,,                    225,,,                     38,,,,
2497,2013年度,,              3286711,,              2326547,                960164,                960164,,,                196129,,                168669,,                187844,                552642,                407522,,,                 30958,,                 27660,,                  2929,,                 -4167,                 51522,                459044,,                102003,                357041,                357041,,,,,,,                  9007,                366048,,                357041,,                366048,,                              3.01,,                              3.01,,,                 19476,                              0,                 -8624,                  1845,,,,
2497,2013年07月01日至2013年09月30日,,                973559,,                698697,                274862,                274862,,,                 37668,,                 45169,,                 48191,                131028,                143834,,,                 13478,,                  1882,,                    741,,                 -1631,                 12988,                156822,,                 32284,                124538,                124538,,,,,,,                 -5605,                118933,,                124538,,                118933,,                              1.05,,                              1.05,,                973559,                 -6753,,,                 -1148,                              0,                              0,,
2497,2013年04月01日至2013年06月30日,,                795146,,                567389,                227757,                227757,,,                 56186,,                 44276,,                 45919,                146381,                 81376,,,                  1548,,                  6053,,                    705,,                 -1209,                  5687,                 87063,,                 22429,                 64634,                 64634,,,,,,,                    187,                 64821,,                 64634,,                 64821,,                              0.54,,                              0.54,,,                    225,,,                     38,                              0,                              0,,
2497,2013年01月01日至2013年12月31日,,              3286711,,              2326547,                960164,                960164,,,                196129,,                168669,,                187844,                552642,                407522,,,                 30958,,                 27660,,                  2929,,                 -4167,                 51522,                459044,,                102003,                357041,                357041,,,,,,,                  9007,                366048,,                357041,,                366048,,                              3.01,,                              3.01,,,                 19476,,                 -8624,                  1845,,,,
2497,2013年01月01日至2013年09月30日,,              2326325,,              1657011,                669314,                669314,,,                144614,,                126919,,                138135,                409668,                259646,,,                 17626,,                 20705,,                  2328,,                 -4109,                 31894,                291540,,                 63872,                227668,                227668,,,,,,,                 12728,                240396,,                227668,,                240396,,                              1.92,,                              1.92,,,                 15335,,,                  2607,,,,
2497,2013年01月01日至2013年06月30日,,              1352766,,                958314,                394452,                394452,,,                106946,,                 81750,,                 89944,                278640,                115812,,,                  4148,,                 18823,,                  1587,,                 -2478,                 18906,                134718,,                 31588,                103130,                103130,,,,,,,                 18333,                121463,,                103130,,                121463,,                              0.87,,                              0.87,,,                 22088,,,                  3755,,,,
2497,2013年01月01日至2013年03月31日,,                557620,,                390925,                166695,                166695,,,                 51854,,                 37474,,                 44025,                133353,                 33342,,,                  3694,,                 12770,,                    882,,                 -1269,                 14313,                 47655,,                  9159,                 38496,                 38496,,,,,,,                 18146,                 56642,,                 38496,,                 56642,,                              0.32,,                              0.32,,                557620,                 21863,,,                  3717,,,,
2497,2012年07月01日至2012年09月30日,,                800610,,                578462,                222148,                222148,,,                 57687,,                 49276,,                 39391,                146354,                 75794,,,                     67,,                 -2700,,                  1180,,                              0,                 -3813,                 71981,,                 11229,                 60752,                 60752,,,,,,,                 -1613,                 59139,,                 60838,,                 59209,,                              0.52,,                              0.52,,                800610,                 -1946,,,                   -333,                    -86,                    -70,,
2497,2012年04月01日至2012年06月30日,,                743176,,                518607,                224569,                224569,,,                 88639,,                 52145,,                 37670,                178454,                 46115,,,                 15731,,                 -1704,,                  1071,,                              0,                 12956,                 59071,,                 15149,                 43922,                 43922,,,,,,,                    723,                 44645,,                 44060,,                 44792,,                              0.38,,                              0.37,,,                    873,,,                    150,                   -138,                   -147,,
2497,2012年01月01日至2012年12月31日,,              2880707,,              2071117,                809590,                809590,,,                229643,,                185299,,                159741,                574683,                234907,,,                 18378,,                    176,,                  5252,,                   -865,                 12437,                247344,,                 55226,                192118,                192118,,,,,,,                -24143,                167975,,                192118,,                167975,,                              1.67,,                              1.63,,,                -10940,,                -18148,                 -4945,,,,
2497,2012年01月01日至2012年09月30日,,              2230830,,              1589930,                640900,                640900,,,                185031,,                144239,,                109907,                439177,                201723,,,                 13047,,                 -7455,,                  4853,,                              0,                    739,                202462,,                 54283,                148179,                148179,,,,,,,                 -8543,                139636,,                148514,,                139924,,                              1.30,,                              1.26,,              2230830,                -10302,,,                 -1759,                   -335,                   -288,,
2497,2012年01月01日至2012年06月30日,,              1430220,,              1011468,                418752,                418752,,,                127344,,                 94963,,                 70516,                292823,                125929,,,                 12980,,                 -4755,,                  3673,,                              0,                  4552,                130481,,                 43054,                 87427,                 87427,,,,,,,                 -6930,                 80497,,                 87676,,                 80715,,                              0.78,,                              0.75,,,                 -8356,,,                 -1426,                   -249,                   -218,,
2497,2012年01月01日至2012年03月31日,,                687044,,                492861,                194183,                194183,,,                 38705,,                 42818,,                 32846,                114369,                 79814,,,                  2434,,                 -8236,,                  2602,,                              0,                 -8404,                 71410,,                 27905,                 43505,                 43505,,,,,,,                 -7653,                 35852,,                 43616,,                 35923,,                              0.40,,                              0.37,,                687044,                 -9229,,,                 -1576,                   -111,                    -71,,                492861
