證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計
2323,2014年01月01日至2014年03月31日,,              3939122,,              3930648,                  8474,                  8474,,,                221712,,                176363,,                 80078,                478153,               -469679,,,                 24897,,                  9149,,                 71745,                -37699,               -507378,,                 13049,               -520427,               -520427,,,,,,                152191,                -13012,,                   -552,,                138627,                138627,               -381800,,               -517087,                 -3340,,               -374200,                 -7600,,                             -0.19,                             -0.19,,,,,,,,,
2323,2013年第3季,,              3528573,,              3657777,               -129204,               -129204,,,                208551,,                175741,,                 82810,                467102,               -596306,,,                 81062,,                -65476,,                 71460,                -55874,               -652180,,                  6698,               -658878,               -658878,,,,,,,,,,,,               -118293,               -777171,,               -640353,                -18525,,               -758646,                -18525,,                             -0.24,                             -0.24,               -118566,                    157,,,                    116,,,,
2323,2013年第2季,,              3978260,,              3940242,                 38018,                 38018,,,                312491,,                158356,,                 85299,                556146,               -518128,,,                 28947,,                  1937,,                 87775,                -56891,               -575019,,                  6273,               -581292,               -581292,,,,,,,,,,,,               -116275,               -697567,,               -560141,                -21151,,               -676416,                -21151,,                             -0.21,                             -0.21,               -119388,                  2779,,,                    334,,,,
2323,2013年度,,             15706084,,             16169449,               -463365,               -463365,,,              1035956,,                740960,,                327467,              2104383,             -2567748,,,                226648,,               -756090,,                339282,               -868724,             -3436472,,                226778,             -3663250,             -3663250,,,,,,,,,,,,                160939,             -3502311,,             -3535005,               -128245,,             -3399767,               -102544,,                             -1.31,                             -1.31,                130603,                 26716,                  3912,,                    920,                  1212,,,
2323,2013年07月01日至2013年09月30日,,              3528573,,              3657777,               -129204,               -129204,,,                208551,,                175741,,                 82810,                467102,               -596306,,,                 81062,,                -65476,,                 71460,                -55874,               -652180,,                  6698,               -658878,               -658878,,,,,,,,,,,,               -118293,               -777171,,               -640353,                -18525,,               -758646,                -18525,,                             -0.24,                             -0.24,               -118566,                    157,,,                    116,,,                             -0.24,                             -0.24
2323,2013年04月01日至2013年06月30日,,              3978260,,              3940242,                 38018,                 38018,,,                312491,,                158356,,                 85299,                556146,               -518128,,,                 28947,,                  1937,,                 87775,                -56891,               -575019,,                  6273,               -581292,               -581292,,,,,,,,,,,,               -116275,               -697567,,               -560141,                -21151,,               -676416,                -21151,,                             -0.21,                             -0.21,               -119388,                  2779,,,                    334,,,                             -0.21,                             -0.21
2323,2013年01月01日至2013年12月31日,,             15706084,,             16169449,               -463365,               -463365,,,              1035956,,                740960,,                327467,              2104383,             -2567748,,,                226648,,               -756090,,                339282,               -868724,             -3436472,,                226778,             -3663250,             -3663250,,,,,,,,,,,,                160939,             -3502311,,             -3535005,               -128245,,             -3399767,               -102544,,                             -1.31,                             -1.31,                130603,                 26716,                  3912,,                    920,                  1212,,                             -1.31,                             -1.31
2323,2013年01月01日至2013年09月30日,,             11689643,,             11759461,                -69818,                -69818,,,                789466,,                550799,,                246687,              1586952,             -1656770,,,                185392,,                -40982,,                255666,               -111256,             -1768026,,                 15410,             -1783436,             -1783436,,,,,,,,,,,,                163829,             -1619607,,             -1724621,                -58815,,             -1560792,                -58815,,                             -0.64,                             -0.64,                154184,                  8941,,,                    704,,,,
2323,2013年01月01日至2013年06月30日,,              8161070,,              8101684,                 59386,                 59386,,,                580915,,                375058,,                163877,              1119850,             -1060464,,,                104330,,                 24494,,                184206,                -55382,             -1115846,,                  8712,             -1124558,             -1124558,,,,,,,,,,,,                282122,               -842436,,             -1084268,                -40290,,               -802146,                -40290,,                             -0.40,                             -0.40,                272750,                  8784,,,                    588,,,,
2323,2013年01月01日至2013年03月31日,,              4182810,,              4161442,                 21368,                 21368,,,                268424,,                216702,,                 78578,                563704,               -542336,,,                 75383,,                 22557,,                 96431,                  1509,               -540827,,                  2439,               -543266,               -543266,,,,,,,,,,,,                398397,               -144869,,               -524127,                -19139,,               -125730,                -19139,,                             -0.19,                             -0.19,                392138,                  6005,,,                    254,,,,
2323,2012年07月01日至2012年09月30日,,              4787569,,              4233132,                554437,                554437,,,                298003,,                183181,,                 85212,                566396,                -11959,,,                 67926,,                143486,,                 95932,                115480,                103521,,                 63017,                 40504,                 40504,,,,,,,,,,,,               -135732,                -95228,,                 72431,                -31927,,                -63301,                -31927,,                              0.03,                              0.03,                -31760,               -103841,,,                   -131,,,                              0.03,                              0.03
2323,2012年04月01日至2012年06月30日,,              5402735,,              4561482,                841253,                841253,,,                360211,,                241775,,                 78915,                680901,                160352,,,                 58915,,               -116304,,                111847,               -169236,                 -8884,,                 -4397,                 -4487,                 -4487,,,,,,,,,,,,                -86835,                -91322,,                 38525,                -43012,,                -48310,                -43012,,                              0.01,                              0.01,                -39412,                -47559,,,                    136,,,                              0.01,                              0.01
2323,2012年01月01日至2012年12月31日,,             19729171,,             17551813,              2177358,              2177358,,,              1373950,,                866031,,                309815,              2549796,               -372438,,,                239859,,               -118985,,                420570,               -299696,               -672134,,                184122,               -856256,               -856256,,,,,,,,,,,,               -418553,             -1274809,,               -667582,               -188674,,             -1094662,               -180147,,                             -0.24,                             -0.24,               -264378,               -112520,                -51052,,                    273,                 -9124,,                             -0.24,                             -0.24
2323,2012年01月01日至2012年09月30日,,             15197947,,             13100003,              2097944,              2097944,,,              1030879,,                617054,,                236758,              1884691,                213253,,,                152962,,                 37346,,                319733,               -129425,                 83828,,                 60111,                 23717,                 23717,,,,,,,,,,,,               -342193,               -318476,,                140074,               -116357,,               -202119,               -116357,,                              0.05,                              0.05,               -236712,               -105529,,,                     48,,,                              0.05,                              0.05
2323,2012年01月01日至2012年06月30日,,             10410378,,              8866871,              1543507,              1543507,,,                732876,,                433873,,                151546,              1318295,                225212,,,                 85036,,               -106140,,                223801,               -244905,                -19693,,                 -2906,                -16787,                -16787,,,,,,,,,,,,               -206461,               -223248,,                 67643,                -84430,,               -138818,                -84430,,                              0.02,                              0.02,               -204952,                 -1688,,,                    179,,,                              0.02,                              0.02
2323,2012年01月01日至2012年03月31日,,              5007643,,              4305389,                702254,                702254,,,                341094,,                223669,,                 72631,                637394,                 64860,,,                 26121,,                 10164,,                111954,                -75669,                -10809,,                  1491,                -12300,                -12300,,,,,,,,,,,,               -120153,               -132453,,                 29118,                -41418,,                -91035,                -41418,,                              0.01,                              0.01,               -165540,                 45344,,,                     43,,,                              0.01,                              0.01
