證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓
6277,2014年01月01日至2014年03月31日,,              1128938,,                465811,                663127,                663127,,,                235114,,                115013,,                100660,                450787,                212340,,,                  3408,,                 10014,,                  3868,,                  4664,                 14218,                226558,,                 53603,                172955,                172955,,,                 13371,                    140,                              0,                 13511,                 13511,                186466,,                170748,                  2207,,                184033,                  2433,,                              1.43,,                              1.41,,              1128938,,,,,,,,
6277,2013年第3季,,              1140547,,                474140,                666407,                666407,,,                216913,,                122978,,                 92427,                432318,                234089,,,                    128,,                  1963,,                  3564,,                  3697,                  2224,                236313,,                 45427,                190886,                190886,,,,,,,                  2526,                193412,,                188918,                  1968,,                191092,                  2320,,                              1.58,,                              1.56,,,                  2617,                    -91,,                              0,,,,
6277,2013年第2季,,              1151596,,                488163,                663433,                663433,,,                227379,,                121229,,                 91074,                439682,                223751,,,                  8667,,                  3405,,                  3906,,                              0,                  8166,                231917,,                 35960,                195957,                195957,,,,,,,                  9309,                205266,,                191669,                  4288,,                200669,                  4597,,                              1.60,,                              1.57,,,                  9264,                     45,,                              0,,,,
6277,2013年度,,              4571012,,              1919202,              2651810,              2651810,,,                908746,,                455642,,                386893,              1751281,                900529,,,                 66911,,                -28986,,                 14499,,                 15477,                 38903,                939432,,                183227,                756205,                756205,,,,,,,                 13178,                769383,,                741273,                 14932,,                752102,                 17281,,                              6.20,,                              6.08,,,                 21915,                    914,                -11550,                 -1899,,,,
6277,2013年07月01日至2013年09月30日,,              1140547,,                474140,                666407,                666407,,,                216913,,                122978,,                 92427,                432318,                234089,,,                    128,,                  1963,,                  3564,,                  3697,                  2224,                236313,,                 45427,                190886,                190886,,,,,,,                  2526,                193412,,                188918,                  1968,,                191092,                  2320,,                              1.58,,                              1.56,,,                  2617,                    -91,,                              0,,,,
6277,2013年04月01日至2013年06月30日,,              1151596,,                488163,                663433,                663433,,,                227379,,                121229,,                 91074,                439682,                223751,,,                  8667,,                  3405,,                  3906,,                              0,                  8166,                231917,,                 35960,                195957,                195957,,,,,,,                  9309,                205266,,                191669,                  4288,,                200669,                  4597,,                              1.60,,                              1.57,,,                  9264,                     45,,,,,,
6277,2013年01月01日至2013年12月31日,,              4571012,,              1919202,              2651810,              2651810,,,                908746,,                455642,,                386893,              1751281,                900529,,,                 66911,,                -28986,,                 14499,,                 15477,                 38903,                939432,,                183227,                756205,                756205,,,,,,,                 13178,                769383,,                741273,                 14932,,                752102,                 17281,,                              6.20,,                              6.08,,,                 21915,                    914,                -11550,                 -1899,,,,
6277,2013年01月01日至2013年09月30日,,              3348889,,              1410203,              1938686,              1938686,,,                663523,,                345425,,                280561,              1289509,                649177,,,                 17488,,                  8819,,                 10953,,                  7650,                 23004,                672181,,                121819,                550362,                550362,,,,,,,                 12717,                563079,,                540908,                  9454,,                552151,                 10928,,                              4.53,,                              4.44,,,                 11849,                    868,,                              0,,,,
6277,2013年01月01日至2013年06月30日,,              2208342,,                936063,              1272279,              1272279,,,                446610,,                222447,,                188134,                857191,                415088,,,                 17360,,                  6856,,                  7389,,                  3953,                 20780,                435868,,                 76392,                359476,                359476,,,,,,,                 10191,                369667,,                351990,                  7486,,                361059,                  8608,,                              2.95,,                              2.88,,,                  9232,                    959,,                              0,,,,
6277,2013年01月01日至2013年03月31日,,              1056746,,                447900,                608846,                608846,,,                219231,,                101218,,                 97060,                417509,                191337,,,                  8693,,                  3451,,                  3483,,                  3953,                 12614,                203951,,                 40432,                163519,                163519,,,,,,,                    882,                164401,,                160321,                  3198,,                160390,                  4011,,                              1.34,,                              1.32,,              1056746,                    -32,                    914,,                              0,,              1104853,                 20612,                 27495
6277,2012年07月01日至2012年09月30日,,              1046679,,                457514,                589165,                589165,,,                384893,,                129114,,                 82989,                596996,                 -7831,,,                  8059,,                 75241,,                  3977,,                  6376,                 85699,                 77868,,                 -1754,                 79622,                 79622,,,,,,,                  2491,                 82113,,                 82419,                 -2797,,                 85037,                 -2924,,                              0.69,,                              0.68,,,                  2343,                    148,,                              0,,,,
6277,2012年04月01日至2012年06月30日,,              1131883,,                472256,                659627,                659627,,,                244143,,                171088,,                 91414,                506645,                152982,,,                  6617,,                  8534,,                  4071,,                  7753,                 18833,                171815,,                 30477,                141338,                141338,,,,,,,                 -1522,                139816,,                138309,                  3029,,                136679,                  3137,,                              1.16,,                              1.13,,,                   -960,                   -562,,,,,,
6277,2012年01月01日至2012年12月31日,,              4275862,,              1823146,              2452716,              2452716,,,              1057209,,                553757,,                357927,              1968893,                483823,,,                 32067,,                111631,,                 16266,,                 22610,                150042,                633865,,                149206,                484659,                484659,,,,,,,                -20556,                464103,,                478840,                  5819,,                459500,                  4603,,                              4.01,,                              3.92,,,                -15996,                  1744,                 -7218,                   -914,,,,
6277,2012年01月01日至2012年09月30日,,              3224888,,              1377891,              1846997,              1846997,,,                849825,,                414619,,                265800,              1530244,                316753,,,                 20236,,                 77196,,                 12004,,                 18132,                103560,                420313,,                 61451,                358862,                358862,,,,,,,                 -9142,                349720,,                357394,                  1468,,                349163,                    557,,                              2.99,,                              2.93,,,                -10945,                  1803,,                              0,,,,
6277,2012年01月01日至2012年06月30日,,              2178209,,                920377,              1257832,              1257832,,,                464932,,                285505,,                182811,                933248,                324584,,,                 12177,,                  1955,,                  8027,,                 11756,                 17861,                342445,,                 63205,                279240,                279240,,,,,,,                -11633,                267607,,                274975,                  4265,,                264126,                  3481,,                              2.30,,                              2.25,,,                -13288,                  1655,,,,,,
6277,2012年01月01日至2012年03月31日,,              1046326,,                448121,                598205,                598205,,,                220789,,                114417,,                 91397,                426603,                171602,,,                  5560,,                 -6579,,                  3956,,                  4003,                   -972,                170630,,                 32728,                137902,                137902,,,,,,,                -10111,                127791,,                136666,                  1236,,                127447,                    344,,                              1.14,,                              1.12,,              1046326,                -12328,                  2217,,                              0,,              1106326,                 25455,                 34545
