證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位稅後損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 其他收入－其他
1210,2013年04月01日至2013年06月30日,,             21257781,,             19646474,              1611307,              1611307,,,              1123805,,                561133,,                 27422,              1712360,               -101053,,,                  5097,,                101280,,                 39842,,                 28504,                 95039,                 -6014,,                 58157,                -64171,,,,                -64171,,,,,,                328277,                264106,,                 40483,               -104654,,                229246,                 34860,,                              0.08,,                              0.08,                225742,                102535,,,
1210,2013年01月01日至2013年12月31日,,             90478017,,             82822769,              7655248,              7655248,,,              4554544,,              2161233,,                 99166,              6814943,                840305,,,                 30433,,              1872996,,                202858,,                 52462,              1753033,              2593338,,                336698,              2256640,,,,              2256640,,,,,,                394395,              2651035,,              1795696,                460944,,              1948551,                702484,,                              3.42,,                              3.41,                496237,               -113931,                 12994,                    905,
1210,2013年01月01日至2013年09月30日,,             65599619,,             59973593,              5626026,              5626026,,,              3280458,,              1754574,,                 57520,              5092552,                533474,,,                 40316,,                373744,,                149125,,                 34758,                299693,                833167,,                183037,                650130,,,,                650130,,,,,,                473531,              1123661,,                610112,                 40018,,                912369,                211292,,                              1.16,,                              1.16,                329546,                143985,,,                 40316
1210,2013年01月01日至2013年06月30日,,             42614910,,             39064742,              3550168,              3550168,,,              2186330,,              1167799,,                 46219,              3400348,                149820,,,                 11668,,                217405,,                 83053,,                 36229,                182249,                332069,,                105025,                227044,,,,                227044,,,,,,                624126,                851170,,                278209,                -51165,,                669875,                181295,,                              0.53,,                              0.53,                493230,                130896,,,
1210,2013年01月01日至2013年03月31日,,             21357129,,             19418268,              1938861,              1938861,,,              1062525,,                606666,,                 18797,              1687988,                250873,,,                  6571,,                116125,,                 43211,,                  7725,                 87210,                338083,,                 46868,                291215,,,,                291215,,,,,,                295849,                587064,,                237726,                 53489,,                440629,                146435,,                              0.45,,,                267488,                 28361,,,
1210,2012年07月01日至2012年09月30日,,             22654464,,             20699633,              1954831,              1954831,,,              1067511,,                518966,,                 20968,              1607445,                347386,,,                  4478,,                116561,,                 37721,,                 10900,                 94218,                441604,,                 63739,                377865,,,,                377865,,,,,,               -214210,                163655,,                374272,                  3593,,                260793,                -97138,,                              0.73,,                              0.73,               -233844,                 19634,,,                  4478
1210,2012年04月01日至2012年06月30日,,             20806119,,             19106293,              1699826,              1699826,,,              1117113,,                305102,,                 21695,              1443910,                255916,,,                  4188,,                 84408,,                 53282,,                 -1194,                 34120,                290036,,                 72046,                217990,,,,                217990,,,,,,                 78693,                296683,,                102811,                115179,,                157282,                139401,,                              0.20,,                              0.20,                 67785,                 10908,,,
1210,2012年01月01日至2012年12月31日,,             86532609,,             79566535,              6966074,              6966074,,,              3513999,,              2238729,,                 57017,              5809745,              1156329,,,                 21639,,                405452,,                206380,,                 11500,                232211,              1388540,,                258943,              1129597,,,,              1129597,,,,,,               -436183,                693414,,                756030,                373567,,                600688,                 92726,,                              1.47,,                              1.47,               -524029,                 93808,                 -7077,                 -1115,
1210,2012年01月01日至2012年09月30日,,             64306608,,             58792319,              5514289,              5514289,,,              2924735,,              1518979,,                 60094,              4503808,              1010481,,,                 12978,,                331881,,                153279,,                  3193,                194773,              1205254,,                190021,              1015233,,,,              1015233,,,,,,               -330362,                684871,,                717160,                298073,,                592145,                 92726,,                              1.40,,                              1.40,               -430715,                100353,,,                 12978
1210,2012年01月01日至2012年06月30日,,             41652144,,             38092686,              3559458,              3559458,,,              1857224,,              1000013,,                 39126,              2896363,                663095,,,                  8500,,                215320,,                115558,,                 -7707,                100555,                763650,,                126282,                637368,,,,                637368,,,,,,               -116152,                521216,,                342888,                294480,,                331352,                189864,,                              0.67,,                              0.65,               -196871,                 80719,,,
1210,2012年01月01日至2012年03月31日,,             20846025,,             18986393,              1859632,              1859632,,,                740111,,                694911,,                 17431,              1452453,                407179,,,                  4312,,                130912,,                 62276,,                 -6513,                 66435,                473614,,                 54236,                419378,,,,                419378,,,,,,               -194845,                224533,,                240077,                179301,,                174070,                 50463,,                              0.47,,,               -264656,                 69811,,,
