證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　　 銀行存款利息
3046,2014年01月01日至2014年03月31日,,                281594,,                192931,                 88663,                 88663,,,                 67514,,                 47318,,                 32832,                147664,                -59001,,,,                  2666,                              0,                  2666,,                  8789,,                    975,                 10480,                -48521,,                    -69,                -48452,                -48452,,,                 -4729,                 -9953,                              0,                -14682,                -14682,                -63134,,                -48411,                    -41,,                -63156,                     22,,                             -0.42,,                             -0.42,,,,,
3046,2013年第3季,,                266673,,                190236,                 76437,                 76437,,,                 76802,,                 40999,,                 35301,                153102,                -76665,,,,                  3271,                  9400,                 12671,,                    790,,                    764,                 12697,                -63968,,                 -2805,                -61163,                -61163,,,,,,,                 49979,                -11184,,                -61163,                              0,,                -11184,                              0,,                             -0.54,,,                 -3187,                 53175,,                      9,
3046,2013年第2季,,                343150,,                243877,                 99273,                 99273,,,                 77615,,                 42750,,                 31279,                151644,                -52371,,,,                  3593,                  1781,                  5374,,                  1304,,                    825,                  5853,                -46518,,                  4233,                -50751,                -50751,,,,,,,                -22199,                -72950,,                -50751,                              0,,                -72950,                              0,,                             -0.31,,                             -0.31,                  4101,                -26733,,                   -433,
3046,2013年度,,              1248708,,                840761,                407947,                407947,,,                290870,,                189732,,                128600,                609202,               -201255,,,,                 12830,                 11181,                 24011,,                 14053,,                  3234,                 34830,               -166425,,                  7656,               -174081,               -174081,,,,,,,                 88455,                -85626,,               -174081,                              0,,                -85626,                              0,,                             -1.52,,                             -1.52,                  7822,                 77240,                  2750,                   -643,
3046,2013年07月01日至2013年09月30日,,                266673,,                190236,                 76437,                 76437,,,                 76802,,                 40999,,                 35301,                153102,                -76665,,,,                  3271,                  9400,                 12671,,                    790,,                    764,                 12697,                -63968,,                 -2805,                -61163,                -61163,,,,,,,                 49979,                -11184,,                -61163,,,                -11184,,,                             -0.38,,,                 -3187,                 53175,,                      9,
3046,2013年04月01日至2013年06月30日,,                343150,,                243877,                 99273,                 99273,,,                 77615,,                 42750,,                 31279,                151644,                -52371,,,,                  3593,                  1781,                  5374,,                  1304,,                    825,                  5853,                -46518,,                  4233,                -50751,                -50751,,,,,,,                -22199,                -72950,,                -50751,,,                -72950,,,                             -0.31,,,                  4101,                -26733,,                   -433,
3046,2013年01月01日至2013年12月31日,,              1248708,,                840761,                407947,                407947,,,                290870,,                189732,,                128600,                609202,               -201255,,,,                 12830,                 11181,                 24011,,                 14053,,                  3234,                 34830,               -166425,,                  7656,               -174081,               -174081,,,,,,,                 88455,                -85626,,               -174081,,,                -85626,,,                             -1.06,,                             -1.06,                  7822,                 77240,                  2750,                   -643,
3046,2013年01月01日至2013年09月30日,,                944788,,                637340,                307448,                307448,,,                233561,,                127423,,                 95843,                456827,               -149379,,,,                 10174,                 11181,                 21355,,                  2827,,                  2389,                 21793,               -127586,,                  2817,               -130403,               -130403,,,,,,,                117274,                -13129,,               -130403,                              0,,                -13129,                              0,,                             -1.16,,,                  5491,                112218,,                    435,
3046,2013年01月01日至2013年06月30日,,                678115,,                447104,                231011,                231011,,,                156759,,                 86424,,                 60542,                303725,                -72714,,,,                  6903,                  1781,                  8684,,                  2037,,                  1625,                  9096,                -63618,,                  5622,                -69240,                -69240,,,,,,,                 67295,                 -1945,,                -69240,                              0,,                 -1945,                              0,,                             -0.42,,                             -0.42,                  8678,                 59043,,                    426,
3046,2013年01月01日至2013年03月31日,,                334965,,                203227,                131738,                131738,,,                 79144,,                 43674,,                 29263,                152081,                -20343,,,,                  3310,,                  3310,,                    733,,                    800,                  3243,                -17100,,                  1389,                -18489,                -18489,,,,,,,                 89494,                 71005,,                -18489,                              0,,                 71005,                              0,,                             -0.11,,                             -0.11,                  4577,                 85776,,                    859,                  3310
3046,2012年07月01日至2012年09月30日,,                353521,,                240262,                113259,                113259,,,                 68417,,                 46915,,                 29147,                144479,                -31220,,,,                  3227,                 11461,                 14688,,                    172,,                    885,                 13975,                -17245,,                 10568,                -27813,                -27813,,,,,,,                  2331,                -25482,,                -27813,,,                -25482,,,                             -0.17,,,                 -1103,                  3784,,                    350,
3046,2012年04月01日至2012年06月30日,,                459045,,                311148,                147897,                147897,,,                 74036,,                 51852,,                 30480,                156368,                 -8471,,,,                  2722,                              0,                  2722,,                  1986,,                    981,                  3727,                 -4744,,                 -1166,                 -3578,                 -3578,,,,,,,               -111625,               -115203,,                 -3578,,,               -115203,,,                             -0.02,,,                  4672,               -116514,,                   -217,
3046,2012年01月01日至2012年12月31日,,              1660445,,              1092422,                568023,                568023,,,                284694,,                199180,,                120695,                604569,                -36546,,,,                 11864,                 11461,                 23325,,                 -1594,,                  4346,                 17385,                -19161,,                 11961,                -31122,                -31122,,,,,,,                -82925,               -114047,,                -31122,,,               -114047,,,                             -0.19,,                             -0.19,                -11473,                -62620,                -12744,                 -3912,
3046,2012年01月01日至2012年09月30日,,              1346030,,                884225,                461805,                461805,,,                222838,,                152969,,                 90448,                466255,                 -4450,,,,                  8608,                 11461,                 20069,,                 -1929,,                  2799,                 15341,                 10891,,                 13681,                 -2790,                 -2790,,,,,,,                -46856,                -49646,,                 -2790,,,                -49646,,,                             -0.02,,,                 -6801,                -39922,,                    133,
3046,2012年01月01日至2012年06月30日,,                992509,,                643963,                348546,                348546,,,                154421,,                106054,,                 61301,                321776,                 26770,,,,                  5381,                              0,                  5381,,                 -2101,,                  1914,                  1366,                 28136,,                  3113,                 25023,                 25023,,,,,,,                -49187,                -24164,,                 25023,,,                -24164,,,                              0.15,,,                 -5698,                -43706,,                   -217,
3046,2012年01月01日至2012年03月31日,,                533464,,                332815,                200649,                200649,,,                 80385,,                 54202,,                 30821,                165408,                 35241,,,,                  2659,,                  2659,,                 -4087,,                    933,                 -2361,                 32880,,                  4279,                 28601,                 28601,,,,,,,                 62438,                 91039,,                 28601,,,                 91039,,,                              0.17,,,                -10370,                 72808,,                              0,                  2659
