證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損失之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營建工程收入,　　　 工程收入,　　　　 工程收入淨額,　　　 營建工程收入合計,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 外幣兌換利益,　　　 什項支出,　　　 外幣兌換損失,　　　 減損損失,　　　　 減損損失合計,　　　 利息費用,　　　 租金收入
3031,2014年01月01日至2014年03月31日,,                561627,,,                471212,                471212,                 90415,                 90415,,,                 18278,,                 88694,,                  5770,                112742,                -22327,,,                 14449,,                  7569,,                    528,,,                   -336,                 21154,                 -1173,,                  2284,                 -3457,                 -3457,,,,,,,                   -743,                 20732,                 20475,                 20475,                 17018,,                 12028,                -15485,,                 32847,                -15829,,                              0.06,,                    486,,,,,,,,,,,,,,,,,,,,,,,,,,
3031,2013年第3季,,                700154,,,                596356,                596356,                103798,                103798,,,                 19250,,                 69037,,                  5480,                 93767,                 10031,,,                  5512,,                 -2162,,                    479,,,                  2952,                  5823,                 15854,,                  3866,                 11988,                 11988,,,,,,,,,,                 -5548,                  6440,,                 26615,                -14627,,                 21067,                -14627,,                              0.14,,,                 -1945,                 -3234,,,                   -369,                              0,,,                713845,                 23292,                  2554,                687999,,,                 12155,                 12155,,                    455,                  5057,                              0,                    771,                  1391,,                              0,,
3031,2013年第2季,,                764539,,,                693799,                693799,                 70740,                 70740,,,                 16611,,                 85443,,                  6853,                108907,                -38167,,,                  1997,,                  8100,,                    636,,,                  2900,                 12361,                -25806,,                    940,                -26746,                -26746,,,,,,,,,,                 14981,                -11765,,                -13125,                -13621,,                  1779,                -13544,,                             -0.07,,,                  1796,                 13922,,,                  1199,                  1936,,,                776552,                 18250,                  1388,                756914,,,                  7625,                  7625,,                    456,                  1541,                 22363,                  1068,                              0,,                 13195,                    636,
3031,2013年度,,              2762165,,,              2351443,              2351443,                410722,                410722,,,                 67238,,                334644,,                 24778,                426660,                -15938,,,                 25061,,                 20565,,                 10405,,                  1141,                 -1141,                 34080,                 18142,,                 36732,                -18590,                -18590,,,,,,,,,,                 50324,                 31734,,                 32336,                -50926,,                 83191,                -51457,,                              0.16,,,                  6741,                 41791,                  7432,,                  3202,                  8842,,,,,,,,,,,,,,,,,,,,
3031,2013年07月01日至2013年09月30日,,                700154,,,                596356,                596356,                103798,                103798,,,                 19250,,                 69037,,                  5480,                 93767,                 10031,,,                  5512,,                 -2162,,                    479,,,                  2952,                  5823,                 15854,,                  3866,                 11988,                 11988,,,,,,,,,,                 -5548,                  6440,,                 26615,                -14627,,                 21067,                -14627,,                              0.14,,,                 -1945,                 -3234,,,                   -369,                              0,,,                713845,                 23292,                  2554,                687999,,,                 12155,                 12155,,                    455,                  4083,                              0,                    771,                  1391,,                              0,,                    974
3031,2013年04月01日至2013年06月30日,,                764539,,,                693799,                693799,                 70740,                 70740,,,                 47867,,                 54187,,                  6853,                108907,                -38167,,,                  1997,,                  8100,,                    636,,,                  2900,                 12361,                -25806,,                    940,                -26746,                -26746,,,,,,,,,,                 14981,                -11765,,                -13125,                -13621,,                  1779,                -13544,,                             -0.07,,,                  1796,                 13922,,,                  1199,                  1936,,,                776552,                 18250,                  1388,                756914,,,                  7625,                  7625,,,,                 22363,                  1068,                              0,,                 13195,                    636,
3031,2013年01月01日至2013年12月31日,,              2762165,,,              2351443,              2351443,                410722,                410722,,,                 67238,,                334644,,                 24778,                426660,                -15938,,,                 25061,,                 20565,,                 10405,,,                 -1141,                 34080,                 18142,,                 36732,                -18590,                -18590,,,,,,,,,,                 50324,                 31734,,                 32336,                -50926,,                 83191,                -51457,,                              0.16,,,                  6741,                 41791,                  7432,,                  3202,                  8842,,,              2747087,                 72327,                  6825,              2667935,,,                 94230,                 94230,,                  3226,                 17826,                 96090,                  4330,                              0,,                 71195,,                  4009
3031,2013年01月01日至2013年09月30日,,              2082539,,,              1782174,              1782174,                300365,                300365,,,                 50264,,                252750,,                 19221,                322235,                -21870,,,                 15286,,                 -6279,,                  9202,,,                  1523,                  1328,                -20542,,                 17525,                -38067,                -38067,,,,,,,,,,                 41868,                  3801,,                    994,                -39061,,                 42199,                -38398,,                              0.01,,,                  4615,                 34972,,,                  2281,                              0,,,              2123509,                 57401,                  6753,              2059355,,,                 23184,                 23184,,                  2033,                 13253,                 68223,                  3307,                              0,,                 71195,,
3031,2013年01月01日至2013年06月30日,,              1382385,,,              1228434,              1228434,                153951,                153951,,,                 31014,,                141097,,                 13741,                185852,                -31901,,,                  9774,,                 -4117,,                  8723,,,                 -1429,                 -4495,                -36396,,                 13659,                -50055,                -50055,,,,,,,,,,                 47416,                 -2639,,                -25621,                -24434,,                 21132,                -23771,,                             -0.13,,,                  6560,                 38206,,,                  2650,                              0,,,              1409664,                 34109,                  4199,              1371356,,,                 11029,                 11029,,                  1578,                  8196,                 69614,                  2536,                              0,,                 71195,                  8723,
3031,2013年01月01日至2013年03月31日,,                617846,,,                534635,                534635,                 83211,                 83211,,,                 14403,,                 55654,,                  6888,                 76945,                  6266,,,                  7777,,                -12217,,                  8087,,,                 -4329,                -16856,                -10590,,                 12719,                -23309,                -23309,,,,,,,,,,                 32435,                  9126,,                -12496,                -10813,,                 19353,                -10227,,                             -0.06,,,                  4764,                 24284,,,                  1451,                 -1936,,,                633112,                 15859,                  2811,                614442,,,,                  3404,,                  1122,                  3765,                 47251,                  1468,,,                 58000,                  8087,                  2890
3031,2012年07月01日至2012年09月30日,,                839053,,,                761281,                761281,                 77772,                 77772,,,                 23890,,                163556,,                  6640,                194086,               -116314,,,                 17005,,                -29164,,                  7947,,,                    206,                -19900,               -136214,,                    928,               -137142,               -137142,,,,,,,,,,                -21169,               -158311,,               -125192,                -11950,,               -146139,                -12172,,                             -0.64,,,                 -2257,                -23344,,,                 -1114,                 -5546,,,                846736,                 18738,                  3426,                824572,,,                 14481,                 14481,,                  1572,                  9602,                              0,                  1451,                 27713,,                              0,,                  5831
3031,2012年04月01日至2012年06月30日,,                869396,,,                839518,                839518,                 29878,                 29878,,,                112022,,                 62870,,                  7204,                182096,               -152218,,,                 17647,,                 26391,,                  8218,,,                 -1528,                 34292,               -117926,,                  3338,               -121264,               -121264,,,,,,,,,,                   -782,               -122046,,               -103228,                -18036,,               -104074,                -17972,,                             -0.52,,,                    684,                 -2285,,,                    245,                   -574,,,                876522,                 13364,                  7272,                855886,,,                 13510,                 13510,,,,                              0,                  2168,                -28559,,                              0,                  8218,
3031,2012年01月01日至2012年12月31日,,              3327511,,,              3094391,              3094391,                233120,                233120,,,                 73041,,                496070,,                 27488,                596599,               -363479,,,                 64424,,                -52375,,                 33631,,,                 15862,                 -5720,               -369199,,                 46664,               -415863,               -415863,,,,,,,,,,                -10127,               -425990,,               -356801,                -59062,,               -366584,                -59406,,                             -1.81,,,                 -1545,                -14626,                  6173,,                 -1710,                 -1581,,,              3339482,                 55024,                 17557,              3266901,,,                 60610,                 60610,,                  8019,                 32759,                              0,                 10204,                 42171,,                              0,,                 23646
3031,2012年01月01日至2012年09月30日,,              2546873,,,              2363797,              2363797,                183076,                183076,,,                 56664,,                384601,,                 21174,                462439,               -279363,,,                 42304,,                -44638,,                 24210,,,                 -2064,                -28608,               -307971,,                  3302,               -311273,               -311273,,,,,,,,,,                -10883,               -322156,,               -277485,                -33788,,               -288009,                -34147,,                             -1.41,,,                 -4726,                 -7688,,,                 -1858,                 -3389,,,              2549550,                 42732,                 11903,              2494915,,,                 51958,                 51958,,                  6535,                 18771,                              0,                  7526,                 37112,,                              0,,                 16998
3031,2012年01月01日至2012年06月30日,,              1707820,,,              1602516,              1602516,                105304,                105304,,,                139278,,                114541,,                 14534,                268353,               -163049,,,                 25299,,                -15474,,                 16263,,,                 -2270,                 -8708,               -171757,,                  2374,               -174131,               -174131,,,,,,,,,,                 10286,               -163845,,               -152293,                -21838,,               -141870,                -21975,,                             -0.77,,,                 -2469,                 15656,,,                   -744,                  2157,,,              1702814,                 23994,                  8477,              1670343,,,                 37477,                 37477,,,,                              0,                  6075,                  9399,,                              0,                 16263,
3031,2012年01月01日至2012年03月31日,,                838424,,,                762998,                762998,                 75426,                 75426,,,                 27256,,                 51671,,                  7330,                 86257,                -10831,,,                  7652,,                -41865,,                  8045,,,                   -742,                -43000,                -53831,,                   -964,                -52867,                -52867,,,,,,,,,,                 11068,                -41799,,                -49065,                 -3802,,                -37796,                 -4003,,                             -0.25,,,                 -3153,                 17941,,,                   -989,                  2731,,,                826292,                 10630,                  1205,                814457,,,,                 23967,,,,                              0,                  3907,                 37958,,                              0,                  8045,
