證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 勞務收入,　　　 裝置收入,　　　　 裝置收入淨額,　　　 勞務收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 勞務成本,　　　 裝置成本,　　　 勞務成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 繼續營業單位淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益,　　 稀釋繼續營業單位淨利（淨損）
1603,2014年01月01日至2014年03月31日,,,,                603692,,                    105,                603587,,,                106196,                106196,                709783,,,                517331,,                 98825,                 98825,                616156,                 93627,                 93627,,,                 26405,,                 17870,                 44275,,                  4866,                 54218,,,                  1001,                  1001,,                 -6459,,                  4404,,                   -112,                 -9974,                 44244,,                 10470,                 33774,                 33774,,,                  5584,                    291,                  5875,                  5875,                 39649,,                 33774,                              0,,                 39653,                     -4,,                              0.12,,                              0.12,,,,,,,,
1603,2013年第3季,,,,                543464,                              0,                    344,                543120,,,                109395,                109395,                652515,,,                459383,,                 98021,                 98021,                557404,                 95111,                 95111,,,                 21696,,                 15824,                 37520,,                  5024,                 62615,,,                 29588,                 29588,,                  6537,,                  3911,,                 -1396,                 30818,                 93433,,                 14844,                 78589,                 78589,,,,,,                 25660,                104249,,                 78575,                     14,,                104209,                     40,,                              0.28,,,                              0.28,,,                 -1016,                 26676,,,
1603,2013年第2季,,,,                710396,                    322,                    172,                709902,,,                 96692,                 96692,                806594,,,                596148,,                 90181,                 90181,                686329,                120265,                120265,,,                 20530,,                 15894,                 36424,,                  4718,                 88559,,,                  1477,                  1477,,                 -2567,,                  3757,,                    -40,                 -4887,                 83672,,                  8578,                 75094,                 75094,,,,,,                 -8134,                 66960,,                 75094,                              0,,                 66975,                    -15,,                              0.26,,,                              0.26,,,                  1944,                -10078,,,
1603,2013年度,,,,              2399400,                    323,                    789,              2398288,,,                504310,                504310,              2902598,,,              2022319,,                423090,                423090,              2445409,                457189,                457189,,,                 99184,,                 69687,                168871,,                 19453,                307771,,,                 34266,                 34266,,                -32832,,                 15726,,                 -1967,                -16259,                291512,,                 45781,                245731,                245731,,,,,,                 79711,                325442,,                245723,                      8,,                325392,                     50,,                              0.87,,                              0.87,                              0.87,,                              0,                  9196,                 78456,                 -9567,                  1626,                              0.87
1603,2013年07月01日至2013年09月30日,,,,                543464,                              0,                    344,                543120,,,                109395,                109395,                652515,,,                459383,,                 98021,                 98021,                557404,                 95111,                 95111,,,                 21696,,                 15824,                 37520,,                  5024,                 62615,,,                 29588,                 29588,,                  6537,,                  3911,,                 -1396,                 30818,                 93433,,                 14844,                 78589,                 78589,,,,,,                 25660,                104249,,                 78575,                     14,,                104209,                     40,,                              0.28,,,                              0.28,,,                 -1016,                 26676,,,
1603,2013年04月01日至2013年06月30日,,,,                710396,                    322,                    172,                709902,,,                 96692,                 96692,                806594,,,                596148,,                 90181,                 90181,                686329,                120265,                120265,,,                 20530,,                 15894,                 36424,,                  4718,                 88559,,,                  1477,                  1477,,                 -2567,,                  3757,,                    -40,                 -4887,                 83672,,                  8578,                 75094,                 75094,,,,,,                 -8134,                 66960,,                 75094,                              0,,                 66975,                    -15,,                              0.26,,,                              0.26,,,                  1944,                -10078,,,
1603,2013年01月01日至2013年12月31日,,,,              2399400,                    323,                    789,              2398288,,,                504310,                504310,              2902598,,,              2022319,,                423090,                423090,              2445409,                457189,                457189,,,                 99184,,                 69687,                168871,,                 19453,                307771,,,                 34266,                 34266,,                -32832,,                 15726,,                 -1967,                -16259,                291512,,                 45781,                245731,                245731,,,,,,                 79711,                325442,,                245723,                      8,,                325392,                     50,,                              0.87,,                              0.87,                              0.87,,                              0,                  9196,                 78456,                 -9567,                  1626,                              0.87
1603,2013年01月01日至2013年09月30日,,,,              1668828,                    322,                    590,              1667916,,,                286865,                286865,              1954781,,,              1414329,,                266089,                266089,              1680418,                274363,                274363,,,                 65534,,                 48619,                114153,,                 14601,                174811,,,                 33056,                 33056,,                 -3624,,                 11061,,                 -1456,                 16915,                191726,,                 26013,                165713,                165713,,,,,,                 29236,                194949,,                165699,                     14,,                194909,                     40,,                              0.58,,,                              0.58,,,                  4105,                 25131,,,
1603,2013年01月01日至2013年06月30日,,,,              1125364,                    322,                    246,              1124796,,,                177470,                177470,              1302266,,,                954946,,                168068,                168068,              1123014,                179252,                179252,,,                 43838,,                 32795,                 76633,,                  9577,                112196,,,                  3468,                  3468,,                -10161,,                  7150,,                    -60,                -13903,                 98293,,                 11169,                 87124,                 87124,,,,,,                  3576,                 90700,,                 87124,                              0,,                 90700,                              0,,                              0.31,,,                              0.31,,,                  5121,                 -1545,,,
1603,2013年01月01日至2013年03月31日,,,,                414968,                              0,                     74,                414894,,,                 80778,                 80778,                495672,,,                358798,,                 77887,                 77887,                436685,                 58987,                 58987,,,                 23308,,                 16901,                 40209,,                  4859,                 23637,,,                  1991,                  1991,,                 -7594,,                  3393,,                    -20,                 -9016,                 14621,,                  2591,                 12030,                 12030,,,,,,                 11710,                 23740,,                 12030,                              0,,                 23725,                     15,,                              0.04,,                              0.04,,,,                  3177,                  8533,,,
1603,2012年07月01日至2012年09月30日,,,,                575127,                              0,                  2318,                572809,,,                 65739,                 65739,                638548,,,                484182,,                 62485,                 62485,                546667,                 91881,                 91881,,,                 19552,,                 16825,                 36377,,                 -2301,                 53203,,,                 54285,                 54285,,                 86457,,                  4468,,                     62,                136336,                189539,,                 10388,                179151,                179151,,,,,,                 35845,                214996,,                179151,                              0,,                214972,                     24,,                              0.63,,,                              0.63,,,                   -915,                 36760,,,
1603,2012年04月01日至2012年06月30日,,,,                579071,                    466,                 18672,                559933,,,                146665,                146665,                706598,,,                510652,,                125851,                125851,                636503,                 70095,                 70095,,,                 11245,,                 11626,                 22871,,                  4845,                 52069,,,                 28949,                 28949,,                -35405,,                  4085,,                     -3,                -10544,                 41525,,                  1754,                 39771,                 39771,,,,,,                -26605,                 13166,,                 39771,                              0,,                 13178,                    -12,,                              0.14,,,                              0.14,,,                    353,                -26958,,,
1603,2012年01月01日至2012年12月31日,,,,              2329986,                    487,                 30210,              2299289,,,                468115,                468115,              2767404,,,              2010958,,                377826,                377826,              2388784,                378620,                378620,,,                 76025,,                 65445,                141470,,                 19481,                256631,,,                 88900,                 88900,,                 74495,,                 17078,,                    122,                146439,                403070,,                 18121,                384949,                384949,,,,,,                 38514,                423463,,                384940,                      9,,                423419,                     44,,                              1.36,,                              1.36,                              1.36,,                              0,                 -3202,                 49612,                 -9513,                  1617,                              1.36
1603,2012年01月01日至2012年09月30日,,,,              1747107,                    482,                 24857,              1721768,,,                301479,                301479,              2023247,,,              1502686,,                265349,                265349,              1768035,                255212,                255212,,,                 55151,,                 46539,                101690,,                  7331,                160853,,,                 89865,                 89865,,                 65958,,                 13773,,                     44,                142094,                302947,,                 18485,                284462,                284462,,,,,,                 59572,                344034,,                284462,                              0,,                344007,                     27,,                              1.00,,,                              1.00,,,                 -3204,                 62776,,,
1603,2012年01月01日至2012年06月30日,,,,              1171980,                    482,                 22539,              1148959,,,                235740,                235740,              1384699,,,              1018504,,                202864,                202864,              1221368,                163331,                163331,,,                 35599,,                 29714,                 65313,,                  9632,                107650,,,                 35580,                 35580,,                -20499,,                  9305,,                    -18,                  5758,                113408,,                  8097,                105311,                105311,,,,,,                 23727,                129038,,                105311,                              0,,                129035,                      3,,                              0.37,,,                              0.37,,,                 -2289,                 26016,,,
1603,2012年01月01日至2012年03月31日,,,,                592909,                     16,                  3867,                589026,,,                 89075,                 89075,                678101,,,                507852,,                 77013,                 77013,                584865,                 93236,                 93236,,,                 24354,,                 18088,                 42442,,                  4787,                 55581,,,                  6631,                  6631,,                 14906,,                  5220,,                    -15,                 16302,                 71883,,                  6343,                 65540,                 65540,,,,,,                 50332,                115872,,                 65540,                              0,,                115857,                     15,,                              0.23,,,,,,                 -2642,                 52974,,,
