證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計
1506,2014年01月01日至2014年03月31日,,,                331046,                331046,,,                293678,                293678,                 37368,                 37368,,,                 14822,,                 28548,,                  3937,                 47307,                 -9939,,,                  1783,,                  3573,,                  3367,                  1989,                 -7950,,                    744,                 -8694,                 -8694,,,                 13813,                  1832,                 11981,                 11981,                  3287,,                 -7828,                   -866,,                  1119,                  2168,,                             -0.06,                             -0.06,,                             -0.06,                             -0.06,,,,,,
1506,2013年第3季,,,                355292,                355292,,,                314874,                314874,                 40418,                 40418,,,                 11974,,                 27573,,                  4908,                 44455,                 -4037,,,                  1995,,                 -1144,,                  4781,                 -3930,                 -7967,,                  1369,                 -9336,                 -9336,,,,,,                -27455,                -36791,,                 -7430,                 -1906,,                -29056,                 -7735,,,                             -0.06,,,,                -27455,,                              0,,,
1506,2013年第2季,,,                364359,                364359,,,                336619,                336619,                 27740,                 27740,,,                 14797,,                 23901,,                  5011,                 43709,                -15969,,,                  2421,,                 14791,,                  3664,                 13548,                 -2421,,                  8934,                -11355,                -11355,,,,,,                 -6242,                -17597,,                -11047,                   -308,,                -14641,                 -2956,,,                             -0.09,,,,                 -6242,,                              0,,,
1506,2013年度,,,              1433888,              1433888,,,              1325069,              1325069,                108819,                108819,,,                 54824,,                116679,,                 20007,                191510,                -82691,,,                 17514,,                  1363,,                 29088,                -10211,                -92902,,                  6420,                -99322,                -99322,,,,,,                 15076,                -84246,,                -83802,                -15520,,                -63281,                -20965,,,                             -0.69,,,,                 -7033,                 26312,                  4203,,,
1506,2013年07月01日至2013年09月30日,,,                355292,                355292,,,                314874,                314874,                 40418,                 40418,,,                 11974,,                 27573,,                  4908,                 44455,                 -4037,,,                  1995,,                 -1144,,                  4781,                 -3930,                 -7967,,                  1369,                 -9336,                 -9336,,,,,,                -27455,                -36791,,                 -7430,                 -1906,,                -29056,                 -7735,,,                             -0.06,,,,                -27455,,,,                355292,                355292
1506,2013年04月01日至2013年06月30日,,,                364359,                364359,,,                336619,                336619,                 27740,                 27740,,,                 14797,,                 23901,,                  5011,                 43709,                -15969,,,                  2421,,                 14791,,                  3664,                 13548,                 -2421,,                  8934,                -11355,                -11355,,,,,,                 -6242,                -17597,,                -11047,                   -308,,                -14641,                 -2956,,,                             -0.09,,,,                 -6242,,,,,
1506,2013年01月01日至2013年12月31日,,,              1433888,              1433888,,,              1325069,              1325069,                108819,                108819,,,                 54824,,                116679,,                 20007,                191510,                -82691,,,                 17514,,                  1363,,                 29088,                -10211,                -92902,,                  6420,                -99322,                -99322,,,,,,                 15076,                -84246,,                -83802,                -15520,,                -63281,                -20965,,,                             -0.69,,,,                 -7033,                 26312,                  4203,,,
1506,2013年01月01日至2013年09月30日,,,              1066991,              1066991,,,                974275,                974275,                 92716,                 92716,,,                 40560,,                 84621,,                 14875,                140056,                -47340,,,                  9902,,                 15911,,                 12532,                 13281,                -34059,,                 10303,                -44362,                -44362,,,,,,                -13877,                -58239,,                -38771,                 -5591,,                -46717,                -11522,,,                             -0.32,,,,                -13877,,                              0,,              1066991,              1066991
1506,2013年01月01日至2013年06月30日,,,                711699,                711699,,,                659401,                659401,                 52298,                 52298,,,                 28586,,                 57048,,                  9967,                 95601,                -43303,,,                  7907,,                 17055,,                  7751,                 17211,                -26092,,                  8934,                -35026,                -35026,,,,,,                 13578,                -21448,,                -31341,                 -3685,,                -17661,                 -3787,,,                             -0.26,,,,                 13578,,                              0,,,
1506,2013年01月01日至2013年03月31日,,,                347340,                347340,,,                322782,                322782,                 24558,                 24558,,,                 11752,,                 33147,,                  4956,                 49855,                -25297,,,                  3449,,                  2264,,                  4087,                  1626,                -23671,,                              0,                -23671,                -23671,,,,,,                 19820,                 -3851,,                -20294,                 -3377,,                 -3020,                   -831,,                             -0.17,                             -0.17,,,,                 23358,,                  3538,,,
1506,2012年07月01日至2012年09月30日,,,                394263,                394263,,,                355183,                355183,                 39080,                 39080,,,                 17591,,                 21882,,                  5740,                 45213,                 -6133,,,                  4656,,                 -3125,,                  6029,                 -4498,                -10631,,                    697,                -11328,                -11328,,,,,,                  9159,                 -2169,,                -11280,                    -48,,                 -5488,                  3319,,,                             -0.11,,,,                  9159,,,,                394263,                394263
1506,2012年04月01日至2012年06月30日,,,                379583,                379583,,,                331330,                331330,                 48253,                 48253,,,                 20331,,                 26540,,                  5808,                 52679,                 -4426,,,                 13011,,                   -266,,                  5850,                  6895,                  2469,,                    392,                  2077,                  2077,,,,,,                -14636,                -12559,,                  2935,                   -858,,                 -7082,                 -5477,,,                              0.02,,,,                -14636,,,,,
1506,2012年01月01日至2012年12月31日,,,              1579593,              1579593,,,              1437438,              1437438,                142155,                142155,,,                 81991,,                106677,,                 21115,                209783,                -67628,,,                 22870,,                 -8601,,                 26742,                -12473,                -80101,,                   -574,                -79527,                -79527,,,,,,                -34275,               -113802,,                -69892,                 -9635,,               -106219,                 -7583,,,                             -0.67,,,,                -14357,                -22708,                 -2790,,,
1506,2012年01月01日至2012年09月30日,,,              1167468,              1167468,,,              1012244,              1012244,                155224,                155224,,,                 60347,,                 74577,,                 16619,                151543,                  3681,,,                 20492,,                 -8748,,                 17487,                 -5743,                 -2062,,                    793,                 -2855,                 -2855,,,,,,                -12296,                -15151,,                 -2711,                   -144,,                 -9331,                 -5820,,,                             -0.03,,,,                -12296,,,,              1167468,              1167468
1506,2012年01月01日至2012年06月30日,,,                773205,                773205,,,                657061,                657061,                116144,                116144,,,                 42756,,                 52695,,                 10879,                106330,                  9814,,,                 15836,,                 -5623,,                 11458,                 -1245,                  8569,,                     96,                  8473,                  8473,,,,,,                -21455,                -12982,,                  8569,                    -96,,                 -3843,                 -9139,,,                              0.08,,,,                -21455,,,,,
1506,2012年01月01日至2012年03月31日,,,                393622,                393622,,,                325731,                325731,                 67891,                 67891,,,                 22425,,                 26155,,                  5071,                 53651,                 14240,,,                  2825,,                 -5357,,                  5608,                 -8140,                  6100,,                   -296,                  6396,                  6396,,,,,,                 -6819,                   -423,,                  5634,                    762,,                  3239,                 -3662,,,                              0.06,,,,                 -6819,,,,,
